# 1.38236e-07 0 13 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 308485 38.8518
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 1.10919e-14 1.10697e-14 2.21167e-17 0.00199395 0.00420552 0 0
0.0525665 1.28469e-14 1.28232e-14 2.37369e-17 0.00184768 0.00374558 0 0
0.0552647 1.48284e-14 1.48029e-14 2.54538e-17 0.00171656 0.00333455 0 8.90036e-314
0.0581015 1.75267e-14 1.74998e-14 2.6876e-17 0.00153343 0.00296681 0 6.90266e-299
0.0610839 2.44854e-14 2.44568e-14 2.86157e-17 0.00116868 0.00261245 0 1.18362e-284
0.0642193 3.09406e-14 3.09086e-14 3.19471e-17 0.00103253 0.00225945 0 3.73134e-271
0.0675157 3.70093e-14 3.69716e-14 3.7671e-17 0.00101788 0.00190336 0 2.44661e-258
0.0709813 4.25175e-14 4.24784e-14 3.91019e-17 0.000919666 0.00159391 0 3.646e-246
0.0746248 3.97206e-14 3.96863e-14 3.43342e-17 0.000864394 0.0013728 0 1.12186e-234
0.0784553 3.12129e-14 3.11862e-14 2.67377e-17 0.000856624 0.00122568 0 7.88182e-224
0.0824824 2.47733e-14 2.47545e-14 1.88365e-17 0.000760355 0.00114419 0 1.61867e-213
0.0867162 2.07514e-14 2.07369e-14 1.4511e-17 0.000699281 0.00109731 0 1.07825e-203
0.0911674 1.81065e-14 1.80943e-14 1.2177e-17 0.000672524 0.00106432 0 2.43694e-194
0.095847 1.6203e-14 1.61934e-14 9.67131e-18 0.000596882 0.00112113 0 1.94277e-185
0.100767 1.42221e-14 1.42155e-14 6.59912e-18 0.000464006 0.00130789 0 5.50764e-177
0.105939 1.23985e-14 1.2394e-14 4.57114e-18 0.000368684 0.00141193 0 5.90549e-169
0.111377 1.06393e-14 1.06366e-14 2.79363e-18 0.000262575 0.00161628 0 2.48844e-161
0.117094 9.01725e-15 9.01551e-15 1.74018e-18 0.000192984 0.00148212 0 4.32494e-154
0.123105 7.57963e-15 7.5785e-15 1.13321e-18 0.000149508 0.00127191 0 3.24897e-147
0.129424 6.37568e-15 6.37496e-15 7.28626e-19 0.000114282 0.00106978 0 1.10852e-140
0.136067 5.78201e-15 5.78154e-15 4.71903e-19 8.16157e-05 0.00090518 0 1.92384e-134
0.143051 5.24776e-15 5.24745e-15 3.09882e-19 5.90503e-05 0.000772197 0 1.63542e-128
0.150394 4.95706e-15 4.95685e-15 2.1106e-19 4.25776e-05 0.000659223 0 7.3338e-123
0.158114 4.89952e-15 4.89936e-15 1.59572e-19 3.2569e-05 0.000564552 0 1.80325e-117
0.16623 5.09416e-15 5.09401e-15 1.47344e-19 2.89242e-05 0.000485363 0 2.52259e-112
0.174762 5.58107e-15 5.58089e-15 1.77455e-19 3.17958e-05 0.000417365 0 2.07268e-107
0.183733 6.44845e-15 6.4482e-15 2.53302e-19 3.9281e-05 0.000355493 0 1.03021e-102
0.193164 7.98211e-15 7.98171e-15 4.02324e-19 5.04032e-05 0.000295838 0 3.23362e-98
0.203079 1.04552e-14 1.04546e-14 6.14343e-19 5.87594e-05 0.000237233 0 6.49701e-94
0.213503 1.288e-14 1.28792e-14 7.54677e-19 5.85931e-05 0.000182452 0 7.61268e-90
0.224463 1.23689e-14 1.23682e-14 6.27464e-19 5.07293e-05 0.000135093 0 4.41386e-86
0.235984 9.55782e-15 9.5574e-15 4.25618e-19 4.45308e-05 9.64296e-05 0 1.33673e-82
0.248097 7.21883e-15 7.21855e-15 2.75395e-19 3.81495e-05 7.38466e-05 0 2.62367e-79
0.260832 5.77749e-15 5.7773e-15 1.89074e-19 3.2726e-05 7.67735e-05 0 3.69218e-76
0.274221 4.91446e-15 4.91433e-15 1.36344e-19 2.77435e-05 0.0001026 0 3.80906e-73
0.288297 4.3758e-15 4.3757e-15 1.01608e-19 2.32204e-05 0.000137685 0 2.88977e-70
0.303095 3.96501e-15 3.96493e-15 7.82899e-20 1.97452e-05 0.000154417 0 1.59493e-67
0.318653 3.46621e-15 3.46615e-15 6.09564e-20 1.75859e-05 0.000161152 0 6.1727e-65
0.335009 3.0459e-15 3.04585e-15 4.80091e-20 1.57619e-05 0.000158498 0 1.77315e-62
0.352205 2.65908e-15 2.65904e-15 3.82788e-20 1.43955e-05 0.000150408 0 3.79303e-60
0.370284 2.30499e-15 2.30496e-15 3.07909e-20 1.33584e-05 0.000140623 0 6.12586e-58
0.389291 1.98314e-15 1.98312e-15 2.49584e-20 1.25853e-05 0.000131112 0 7.56886e-56
0.409273 1.69352e-15 1.6935e-15 2.02913e-20 1.19817e-05 0.000121877 0 7.24762e-54
0.430281 1.4344e-15 1.43438e-15 1.65133e-20 1.15123e-05 0.000113102 0 5.44139e-52
0.452368 1.20435e-15 1.20434e-15 1.34367e-20 1.11568e-05 0.000104037 1.60944e-293 3.23913e-50
0.475588 1.00197e-15 1.00196e-15 1.09407e-20 1.09192e-05 9.53541e-05 2.54207e-279 1.54532e-48
0.5 8.25971e-16 8.25962e-16 8.93178e-21 1.08137e-05 8.70236e-05 7.89332e-266 5.97144e-47
0.525665 6.73855e-16 6.73848e-16 7.29961e-21 1.08326e-05 7.91466e-05 5.20834e-253 1.88586e-45
0.552647 5.43641e-16 5.43635e-16 5.96791e-21 1.09777e-05 7.19709e-05 7.86549e-241 4.91105e-44
0.581015 4.33482e-16 4.33478e-16 4.90295e-21 1.13106e-05 6.53021e-05 2.91884e-229 1.06397e-42
0.610839 3.41092e-16 3.41088e-16 4.0292e-21 1.18126e-05 5.92613e-05 2.84424e-218 1.93251e-41
0.642193 2.6387e-16 2.63866e-16 3.31061e-21 1.25464e-05 5.37813e-05 7.73417e-208 2.95968e-40
0.675157 1.98981e-16 1.98978e-16 2.7233e-21 1.36862e-05 4.88313e-05 6.18826e-198 3.82901e-39
0.709813 1.41904e-16 1.41902e-16 2.24398e-21 1.58133e-05 4.43914e-05 1.49857e-188 4.11012e-38
0.746248 8.49342e-17 8.49324e-17 1.84934e-21 2.17738e-05 4.04245e-05 1.03061e-179 3.30015e-37
0.784553 4.5903e-17 4.59015e-17 1.52364e-21 3.31926e-05 3.68219e-05 2.28285e-171 2.17651e-36
0.824824 3.17794e-17 3.17781e-17 1.25502e-21 3.94917e-05 3.35888e-05 2.42983e-163 1.71432e-35
0.867162 1.99551e-17 1.9954e-17 1.03414e-21 5.18233e-05 3.06797e-05 9.23139e-156 1.1693e-34
0.911674 7.13091e-18 7.13006e-18 8.51678e-22 0.000119435 2.8048e-05 8.21985e-149 4.39555e-34
0.95847 1.87788e-18 1.87717e-18 7.00829e-22 0.000373203 2.56893e-05 2.31946e-142 1.1774e-33
1.00767 5.85462e-19 5.84885e-19 5.76742e-22 0.000985105 2.35476e-05 3.47146e-136 3.55899e-33
1.05939 2.12776e-19 2.12302e-19 4.74425e-22 0.0022297 2.16048e-05 2.82118e-130 1.1739e-32
1.11377 8.59281e-20 8.5538e-20 3.90139e-22 0.0045403 1.98363e-05 1.23119e-124 3.96796e-32
1.17094 3.8432e-20 3.81113e-20 3.20689e-22 0.0083443 1.81852e-05 2.97828e-119 1.35726e-31
1.23105 1.98047e-20 1.95409e-20 2.63723e-22 0.0133162 1.66737e-05 4.29845e-114 4.86985e-31
1.29424 1.22173e-20 1.20004e-20 2.16946e-22 0.0177572 1.52833e-05 3.97774e-109 1.90647e-30
1.36067 9.28016e-21 9.1018e-21 1.78361e-22 0.0192196 1.40167e-05 2.50911e-104 8.4094e-30
1.43051 8.40947e-21 8.2629e-21 1.46572e-22 0.0174293 1.28628e-05 1.07637e-99 4.06114e-29
1.50394 8.50867e-21 8.38818e-21 1.20492e-22 0.014161 1.17962e-05 3.01581e-95 2.01247e-28
1.58114 9.09864e-21 8.99959e-21 9.90535e-23 0.0108866 1.08018e-05 5.35464e-91 9.7054e-28
1.6623 9.98868e-21 9.90724e-21 8.14382e-23 0.00815304 9.87947e-06 5.99722e-87 4.43823e-27
1.74762 1.11084e-20 1.10414e-20 6.69627e-23 0.00602814 9.04838e-06 4.28102e-83 1.9056e-26
1.83733 1.24447e-20 1.23897e-20 5.50543e-23 0.00442391 8.2887e-06 1.98126e-79 7.66672e-26
1.93164 1.40191e-20 1.39739e-20 4.52464e-23 0.00322747 7.59122e-06 6.06375e-76 2.89516e-25
2.03079 1.58814e-20 1.58443e-20 3.71772e-23 0.00234092 6.944e-06 1.25283e-72 1.02969e-24
2.13503 1.81207e-20 1.80902e-20 3.05709e-23 0.00168707 6.35198e-06 1.78472e-69 3.46567e-24
2.24463 2.08715e-20 2.08463e-20 2.5127e-23 0.0012039 5.81245e-06 1.78969e-66 1.10972e-23
2.35984 2.43668e-20 2.43462e-20 2.06448e-23 0.000847249 5.31514e-06 1.29113e-63 3.40428e-23
2.48097 2.90474e-20 2.90304e-20 1.69591e-23 0.000583844 4.85575e-06 6.86469e-61 1.01071e-22
2.60832 3.5871e-20 3.5857e-20 1.39431e-23 0.000388703 4.43199e-06 2.77277e-58 2.95411e-22
2.74221 4.71255e-20 4.7114e-20 1.14596e-23 0.000243173 4.0462e-06 8.87127e-56 8.75139e-22
2.88297 6.99129e-20 6.99035e-20 9.4112e-24 0.000134613 3.69725e-06 2.42105e-53 2.79599e-21
3.03095 1.38093e-19 1.38085e-19 7.73027e-24 5.59787e-05 3.38025e-06 6.73664e-51 1.13849e-20
3.18653 7.07698e-19 7.07692e-19 6.35066e-24 8.97368e-06 3.08609e-06 3.77319e-48 1.15387e-19
3.35009 3.81812e-18 3.81811e-18 5.21554e-24 1.366e-06 2.81572e-06 1.74763e-45 1.18358e-18
3.52205 2.25914e-19 2.2591e-19 4.28128e-24 1.89509e-05 2.5697e-06 7.05587e-45 1.28261e-19
3.70284 1.10067e-19 1.10064e-19 3.5159e-24 3.19432e-05 2.34471e-06 1.88547e-43 1.10466e-19
3.89291 8.76818e-20 8.76789e-20 2.88629e-24 3.29178e-05 2.13719e-06 6.69291e-42 1.50425e-19
4.09273 8.54976e-20 8.54953e-20 2.3691e-24 2.77096e-05 1.94104e-06 2.38666e-40 2.42875e-19
4.30281 9.18791e-20 9.18771e-20 1.9442e-24 2.11604e-05 1.76387e-06 7.77244e-39 4.19347e-19
4.52368 1.0494e-19 1.04938e-19 1.59598e-24 1.52085e-05 1.60263e-06 2.24983e-37 7.47874e-19
4.75588 1.27326e-19 1.27325e-19 1.30963e-24 1.02856e-05 1.45485e-06 5.83635e-36 1.37911e-18
5 1.76756e-19 1.76755e-19 1.07434e-24 6.07809e-06 1.31343e-06 1.47357e-34 2.83628e-18
5.25665 4.85941e-19 4.8594e-19 8.81519e-25 1.81404e-06 1.18653e-06 6.31751e-33 1.12757e-17
5.52648 4.18617e-19 4.18616e-19 7.23265e-25 1.72775e-06 1.07308e-06 7.33124e-32 1.37283e-17
5.81015 7.10609e-19 7.10608e-19 5.9304e-25 8.34552e-07 9.69287e-07 1.45865e-30 3.22306e-17
6.10839 2.33466e-18 2.33466e-18 4.86134e-25 2.08225e-07 8.72278e-07 4.92037e-29 1.43481e-16
6.42193 1.55833e-18 1.55832e-18 3.98497e-25 2.55721e-07 7.93015e-07 2.97308e-28 1.27272e-16
6.75157 1.28078e-18 1.28078e-18 3.26704e-25 2.55082e-07 7.07894e-07 1.96229e-27 1.3648e-16
7.09813 1.43908e-18 1.43908e-18 2.67695e-25 1.86018e-07 6.34182e-07 1.57996e-26 1.96623e-16
7.46248 3.30458e-18 3.30458e-18 2.19278e-25 6.63556e-08 5.66047e-07 2.33279e-25 5.69431e-16
7.84553 4.13782e-18 4.13782e-18 1.79684e-25 4.34247e-08 5.00347e-07 1.69423e-24 8.85232e-16
8.24824 1.67375e-18 1.67375e-18 1.4719e-25 8.794e-08 4.38356e-07 3.60364e-24 4.37984e-16
8.67162 1.79373e-18 1.79373e-18 1.20492e-25 6.71738e-08 3.85495e-07 1.84996e-23 5.66036e-16
9.11674 6.74539e-19 6.74539e-19 9.86362e-26 1.46228e-07 3.38755e-07 3.04956e-23 2.53245e-16
9.5847 5.60985e-19 5.60985e-19 8.07118e-26 1.43875e-07 2.957e-07 1.02181e-22 2.47364e-16
10.0767 5.97192e-19 5.97192e-19 6.60156e-26 1.10543e-07 2.55912e-07 4.04445e-22 3.05496e-16
10.5939 8.20785e-19 8.20785e-19 5.39552e-26 6.5736e-08 2.178e-07 1.91494e-21 4.81418e-16
11.1377 4.19763e-18 4.19763e-18 4.40643e-26 1.04974e-08 1.82759e-07 3.13744e-20 2.79135e-15
11.7094 2.20426e-18 2.20426e-18 3.63223e-26 1.64782e-08 1.5136e-07 4.92584e-20 1.64406e-15
12.3105 2.26943e-18 2.26943e-18 2.95338e-26 1.30137e-08 1.17556e-07 1.41989e-19 1.87906e-15
12.9424 1.85317e-18 1.85317e-18 2.41158e-26 1.30133e-08 8.55628e-08 3.04954e-19 1.68664e-15
13.6067 1.3951e-18 1.3951e-18 1.96923e-26 1.41154e-08 5.95175e-08 5.68976e-19 1.38258e-15
14.3051 1.0678e-18 1.0678e-18 1.60674e-26 1.50472e-08 3.59563e-08 1.01999e-18 1.14189e-15
15.0394 8.72502e-19 8.72502e-19 1.3102e-26 1.50165e-08 1.64762e-08 1.84985e-18 9.98115e-16
15.8114 8.98809e-19 8.98809e-19 1.06836e-26 1.18864e-08 -4.18404e-09 4.01873e-18 1.09083e-15
16.623 1.25377e-18 1.25377e-18 8.71003e-27 6.94708e-09 -2.59681e-08 1.12606e-17 1.60153e-15
17.4762 1.07422e-18 1.07422e-18 7.0973e-27 6.60694e-09 -4.28762e-08 1.85039e-17 1.43332e-15
18.3733 7.04831e-19 7.04831e-19 5.78007e-27 8.20065e-09 -6.34191e-08 2.22826e-17 9.75259e-16
19.3164 5.90868e-19 5.90868e-19 4.71336e-27 7.97702e-09 -8.10431e-08 3.28775e-17 8.41988e-16
20.3079 5.04235e-19 5.04235e-19 3.84597e-27 7.62734e-09 -9.96439e-08 4.74543e-17 7.35131e-16
