# 4.84839e-07 0 25 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 7076.04 3397.98
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 4.25784e-13 3.961e-13 2.96842e-14 0.0697165 0.0566068 0 0
0.0525665 4.89895e-13 4.57771e-13 3.21233e-14 0.0655718 0.0504731 0 0
0.0552647 5.62778e-13 5.28075e-13 3.47026e-14 0.0616631 0.0449455 0 0
0.0581015 7.20927e-13 6.84076e-13 3.68506e-14 0.0511156 0.0399467 0 0
0.0610839 1.09478e-12 1.05518e-12 3.95993e-14 0.0361709 0.0351777 0 0
0.0642193 1.37849e-12 1.33355e-12 4.49439e-14 0.0326037 0.0305089 0 0
0.0675157 1.64972e-12 1.59513e-12 5.45871e-14 0.0330888 0.0257674 0 0
0.0709813 1.89301e-12 1.83272e-12 6.02811e-14 0.0318441 0.0213963 0 0
0.0746248 1.76947e-12 1.71225e-12 5.72198e-14 0.0323372 0.0181047 0 0
0.0784553 1.39328e-12 1.34552e-12 4.77541e-14 0.0342747 0.0158689 0 0
0.0824824 1.10316e-12 1.06803e-12 3.51353e-14 0.0318496 0.0145185 0 0
0.0867162 9.21994e-13 8.9469e-13 2.73036e-14 0.0296137 0.0136651 0 0
0.0911674 8.03822e-13 7.80676e-13 2.31455e-14 0.0287944 0.0130159 0 0
0.095847 7.17414e-13 6.98661e-13 1.87532e-14 0.02614 0.0134759 0 0
0.100767 6.26236e-13 6.13325e-13 1.29117e-14 0.0206179 0.0156628 0 0
0.105939 5.43699e-13 5.34736e-13 8.96383e-15 0.0164867 0.0170028 0 0
0.111377 4.64346e-13 4.58912e-13 5.43441e-15 0.0117034 0.0194198 0 0
0.117094 3.92318e-13 3.88972e-13 3.34524e-15 0.00852687 0.0181106 0 0
0.123105 3.29136e-13 3.26974e-13 2.16169e-15 0.00656776 0.0155857 0 0
0.129424 2.76428e-13 2.75047e-13 1.38109e-15 0.00499618 0.0131133 0 0
0.136067 2.50334e-13 2.49444e-13 8.90349e-16 0.00355664 0.0111008 0 0
0.143051 2.26983e-13 2.264e-13 5.8269e-16 0.00256711 0.00947686 0 0
0.150394 2.14258e-13 2.13863e-13 3.95554e-16 0.00184616 0.00809733 0 0
0.158114 2.1168e-13 2.11382e-13 2.97875e-16 0.00140719 0.00694075 0 0
0.16623 2.20054e-13 2.1978e-13 2.7367e-16 0.00124365 0.00597305 0 0
0.174762 2.41114e-13 2.40787e-13 3.27502e-16 0.00135828 0.00514141 0 7.64972e-319
0.183733 2.78671e-13 2.78206e-13 4.64851e-16 0.0016681 0.0043837 0 1.25836e-303
0.193164 3.45107e-13 3.4437e-13 7.36875e-16 0.00213521 0.00365114 0 2.53405e-289
0.203079 4.52195e-13 4.51063e-13 1.13258e-15 0.00250462 0.00292828 0 1.08331e-275
0.213503 5.57084e-13 5.55671e-13 1.41294e-15 0.00253632 0.00225163 0 9.45255e-263
0.224463 5.34817e-13 5.33627e-13 1.19047e-15 0.00222594 0.00166887 0 1.50344e-250
0.235984 4.13162e-13 4.12353e-13 8.08879e-16 0.00195778 0.0011938 0 4.83077e-239
0.248097 3.11965e-13 3.11444e-13 5.21743e-16 0.00167244 0.000911509 0 4.07534e-228
0.260832 2.49618e-13 2.49261e-13 3.57023e-16 0.00143028 0.000936388 0 1.04357e-217
0.274221 2.12285e-13 2.12028e-13 2.56792e-16 0.00120966 0.00124093 0 8.64836e-208
0.288297 1.8898e-13 1.88789e-13 1.91003e-16 0.0010107 0.00166921 0 2.42159e-198
0.303095 1.71218e-13 1.71071e-13 1.46972e-16 0.000858392 0.00187832 0 2.35402e-189
0.318653 1.49673e-13 1.49558e-13 1.1431e-16 0.000763734 0.00196554 0 7.93913e-181
0.335009 1.31516e-13 1.31426e-13 8.99516e-17 0.000683957 0.00193691 0 1.01753e-172
0.352205 1.1481e-13 1.14739e-13 7.16692e-17 0.00062424 0.00184038 0 5.13795e-165
0.370284 9.95209e-14 9.94633e-14 5.76148e-17 0.000578922 0.00172217 0 1.06896e-157
0.389291 8.56266e-14 8.55799e-14 4.66773e-17 0.000545126 0.00160674 0 9.565e-151
0.409273 7.31244e-14 7.30865e-14 3.79317e-17 0.000518729 0.00149436 0 3.83536e-144
0.430281 6.1941e-14 6.19101e-14 3.08569e-17 0.000498166 0.00138739 0 7.16221e-138
0.452368 5.20134e-14 5.19883e-14 2.5099e-17 0.000482548 0.00127663 9.67378e-292 6.46211e-132
0.475588 4.32823e-14 4.32618e-14 2.04299e-17 0.000472016 0.0011704 1.50379e-277 2.91776e-126
0.5 3.56914e-14 3.56747e-14 1.66738e-17 0.000467166 0.00106838 4.59968e-264 6.81987e-121
0.525665 2.9134e-14 2.91204e-14 1.36233e-17 0.000467607 0.00097184 2.99262e-251 8.51352e-116
0.552647 2.35262e-14 2.35151e-14 1.11353e-17 0.000473315 0.000883863 4.46111e-239 5.84965e-111
0.581015 1.87909e-14 1.87817e-14 9.14631e-18 0.000486743 0.000802048 1.63648e-227 2.27802e-106
0.610839 1.48349e-14 1.48274e-14 7.51497e-18 0.000506572 0.000727926 1.57991e-216 5.16743e-102
0.642193 1.15596e-14 1.15535e-14 6.17363e-18 0.000534068 0.000660671 4.27573e-206 7.00321e-98
0.675157 8.87816e-15 8.87309e-15 5.07762e-18 0.000571922 0.000599907 3.44478e-196 5.81018e-94
0.709813 6.71387e-15 6.70969e-15 4.18334e-18 0.000623089 0.000545396 8.75007e-187 3.02121e-90
0.746248 4.96923e-15 4.96578e-15 3.4472e-18 0.000693709 0.000496688 7.36474e-178 1.00216e-86
0.784553 3.54345e-15 3.54061e-15 2.83975e-18 0.000801408 0.000452448 2.13119e-169 2.13508e-83
0.824824 2.28622e-15 2.28389e-15 2.33885e-18 0.00102302 0.000412742 2.09396e-161 2.804e-80
0.867162 1.18261e-15 1.18068e-15 1.92703e-18 0.00162947 0.000377014 6.49181e-154 2.05356e-77
