# 7.38128e-08 0 7 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 2.0964e+06 5.42258
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 1.70487e-15 1.70435e-15 5.22868e-19 0.000306691 0.00119233 0 6.93966e-179
0.0525665 1.9745e-15 1.97394e-15 5.60699e-19 0.00028397 0.00106206 0 1.36688e-170
0.0552647 2.27861e-15 2.27801e-15 6.00761e-19 0.000263652 0.000945689 0 1.05854e-162
0.0581015 2.68008e-15 2.67945e-15 6.33822e-19 0.000236494 0.00084161 0 3.46002e-155
0.0610839 3.724e-15 3.72333e-15 6.74022e-19 0.000180994 0.000741193 0 5.80149e-148
0.0642193 4.70631e-15 4.70555e-15 7.51133e-19 0.000159601 0.000641051 0 4.02427e-141
0.0675157 5.62948e-15 5.62859e-15 8.83047e-19 0.000156861 0.000540124 0 1.25797e-134
0.0709813 6.46786e-15 6.46695e-15 9.12152e-19 0.000141028 0.000452723 0 1.87951e-128
0.0746248 6.04267e-15 6.04187e-15 7.97e-19 0.000131895 0.00039041 0 1.18429e-122
0.0784553 4.74843e-15 4.74781e-15 6.18515e-19 0.000130257 0.00034896 0 3.37735e-117
0.0824824 3.76908e-15 3.76864e-15 4.35153e-19 0.000115453 0.00032615 0 5.40264e-112
0.0867162 3.15734e-15 3.157e-15 3.35321e-19 0.000106204 0.000313127 0 5.19751e-107
0.0911674 2.75497e-15 2.75469e-15 2.81308e-19 0.000102109 0.000304015 0 3.03469e-102
0.095847 2.46552e-15 2.46529e-15 2.23241e-19 9.05454e-05 0.000320498 0 1.07976e-97
0.100767 2.16433e-15 2.16417e-15 1.5233e-19 7.03822e-05 0.000373828 0 2.28264e-93
0.105939 1.88698e-15 1.88687e-15 1.05542e-19 5.59316e-05 0.00040334 0 2.9581e-89
0.111377 1.61938e-15 1.61932e-15 6.45533e-20 3.9863e-05 0.000461634 0 2.3743e-85
0.117094 1.37257e-15 1.37253e-15 4.02442e-20 2.93204e-05 0.000422835 0 1.20759e-81
0.123105 1.15379e-15 1.15376e-15 2.62213e-20 2.27263e-05 0.000362777 0 3.98427e-78
0.129424 9.70549e-16 9.70533e-16 1.6867e-20 1.73788e-05 0.000305107 0 8.76978e-75
0.136067 8.80198e-16 8.80187e-16 1.09274e-20 1.24147e-05 0.000258149 0 1.41353e-71
0.143051 7.98883e-16 7.98876e-16 7.17726e-21 8.98412e-06 0.00022021 0 1.57684e-68
0.150394 7.5464e-16 7.54635e-16 4.88946e-21 6.4792e-06 0.000187982 0 1.28826e-65
0.158114 7.45887e-16 7.45884e-16 3.69762e-21 4.95734e-06 0.000160976 0 7.88015e-63
0.16623 7.75521e-16 7.75517e-16 3.41532e-21 4.40391e-06 0.000138388 0 3.68664e-60
0.174762 8.49644e-16 8.49639e-16 4.11482e-21 4.84299e-06 0.000118992 0 1.34177e-57
0.183733 9.81683e-16 9.81678e-16 5.8754e-21 5.98503e-06 0.000101346 0 3.85829e-55
0.193164 1.21515e-15 1.21514e-15 9.33259e-21 7.68017e-06 8.43356e-05 0 9.02936e-53
0.203079 1.59163e-15 1.59162e-15 1.42439e-20 8.94925e-06 6.76291e-05 0 1.72133e-50
0.213503 1.96076e-15 1.96074e-15 1.74804e-20 8.91511e-06 5.20134e-05 0 2.4062e-48
0.224463 1.88296e-15 1.88295e-15 1.4523e-20 7.71284e-06 3.851e-05 0 2.069e-46
0.235984 1.45504e-15 1.45503e-15 9.85087e-21 6.77017e-06 2.74855e-05 0 1.14267e-44
0.248097 1.09897e-15 1.09896e-15 6.37551e-21 5.80137e-06 2.10534e-05 0 4.97761e-43
0.260832 8.79546e-16 8.79542e-16 4.37815e-21 4.97774e-06 2.19045e-05 0 1.87358e-41
0.274221 7.48164e-16 7.48161e-16 3.15771e-21 4.2206e-06 2.92873e-05 0 6.17263e-40
