# 3.55e-08 1 0 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 1.85953e+07 0.136239
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 1.90231e-16 1.90225e-16 6.50925e-21 3.42176e-05 0.000275342 0 2.06498e-47
0.0525665 2.20306e-16 2.20299e-16 6.9783e-21 3.16756e-05 0.00024527 0 5.53246e-46
0.0552647 2.54214e-16 2.54207e-16 7.47485e-21 2.94038e-05 0.00021841 0 1.51709e-44
0.0581015 2.98576e-16 2.98568e-16 7.88408e-21 2.64056e-05 0.000194389 0 4.7926e-43
0.0610839 4.1422e-16 4.14212e-16 8.38067e-21 2.02324e-05 0.000171204 0 1.95749e-41
0.0642193 5.23491e-16 5.23482e-16 9.33406e-21 1.78304e-05 0.000148074 0 7.10053e-40
0.0675157 6.26176e-16 6.26165e-16 1.09627e-20 1.75073e-05 0.000124772 0 2.19014e-38
0.0709813 7.19443e-16 7.19432e-16 1.13071e-20 1.57164e-05 0.000104612 0 5.64151e-37
0.0746248 6.72154e-16 6.72145e-16 9.86514e-21 1.46769e-05 9.02483e-05 0 1.01937e-35
0.0784553 5.28191e-16 5.28183e-16 7.6483e-21 1.44802e-05 8.06931e-05 0 1.33885e-34
0.0824824 4.19259e-16 4.19253e-16 5.3791e-21 1.283e-05 7.54456e-05 0 1.54291e-33
0.0867162 3.51212e-16 3.51208e-16 4.14557e-21 1.18036e-05 7.24558e-05 0 1.63993e-32
0.0911674 3.06456e-16 3.06453e-16 3.47758e-21 1.13477e-05 7.03679e-05 0 1.59684e-31
0.095847 2.74261e-16 2.74258e-16 2.75913e-21 1.00603e-05 7.42e-05 0 1.41122e-30
0.100767 2.40761e-16 2.40759e-16 1.88279e-21 7.82015e-06 8.65405e-05 0 1.08914e-29
0.105939 2.09911e-16 2.0991e-16 1.3046e-21 6.21502e-06 9.33548e-05 0 7.47457e-29
0.111377 1.80147e-16 1.80146e-16 7.98156e-22 4.43058e-06 0.00010684 0 4.54569e-28
0.117094 1.52694e-16 1.52694e-16 4.9772e-22 3.25959e-06 9.78249e-05 0 2.4709e-27
0.123105 1.2836e-16 1.2836e-16 3.24347e-22 2.52686e-06 8.3924e-05 0 1.21148e-26
0.129424 1.07982e-16 1.07981e-16 2.08665e-22 1.93242e-06 7.05812e-05 0 5.43178e-26
0.136067 9.79397e-17 9.79395e-17 1.35199e-22 1.38043e-06 5.97172e-05 0 2.4103e-25
0.143051 8.89076e-17 8.89076e-17 8.88062e-23 9.98859e-07 5.094e-05 0 9.86852e-25
0.150394 8.40049e-17 8.40049e-17 6.05029e-23 7.2023e-07 4.34839e-05 0 3.89292e-24
0.158114 8.30574e-17 8.30574e-17 4.57581e-23 5.50922e-07 3.72362e-05 0 1.49333e-23
0.16623 8.6388e-17 8.63879e-17 4.22689e-23 4.89291e-07 3.20106e-05 0 5.62081e-23
0.174762 9.4676e-17 9.4676e-17 5.09317e-23 5.37958e-07 2.75238e-05 0 2.08662e-22
0.183733 1.09415e-16 1.09415e-16 7.27303e-23 6.64717e-07 2.34417e-05 0 7.67165e-22
