# 0.00169024 2 103 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 1.21924e-05 1.50354e+26
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 1.80491e-05 6.36832e-06 1.16808e-05 0.647168 0.854446 0 0
0.0525665 1.80538e-05 6.26577e-06 1.1788e-05 0.652938 0.842007 0 0
0.0552647 1.80586e-05 6.18851e-06 1.18701e-05 0.65731 0.831684 0 0
0.0581015 1.80633e-05 6.15416e-06 1.19092e-05 0.659301 0.825357 0 0
0.0610839 1.80681e-05 6.06778e-06 1.20003e-05 0.664172 0.816638 0 0
0.0642193 1.80738e-05 5.85117e-06 1.22226e-05 0.676262 0.798439 0 0
0.0675157 1.80807e-05 5.63658e-06 1.24441e-05 0.688254 0.77856 0 0
0.0709813 1.80879e-05 5.61708e-06 1.24709e-05 0.689457 0.77149 0 0
0.0746248 1.8095e-05 5.70486e-06 1.23902e-05 0.684728 0.772861 0 0
0.0784553 1.81018e-05 5.82626e-06 1.22756e-05 0.67814 0.777769 0 0
0.0824824 1.81087e-05 5.96481e-06 1.21439e-05 0.670611 0.783648 0 0
0.0867162 1.81158e-05 5.99913e-06 1.21167e-05 0.668845 0.782549 0 0
0.0911674 1.81236e-05 5.97444e-06 1.21492e-05 0.670351 0.777438 0 0
0.095847 1.81317e-05 6.00353e-06 1.21282e-05 0.668893 0.775704 0 0
0.100767 1.81379e-05 6.21781e-06 1.19201e-05 0.657193 0.787118 0 0
0.105939 1.81427e-05 6.43232e-06 1.17104e-05 0.64546 0.801707 0 0
0.111377 1.81447e-05 6.8206e-06 1.13241e-05 0.624099 0.829578 0 0
0.117094 1.81457e-05 7.21865e-06 1.0927e-05 0.602184 0.861781 0 0
0.123105 1.81495e-05 7.4762e-06 1.06733e-05 0.588076 0.884324 0 0
0.129424 1.81543e-05 7.69537e-06 1.04589e-05 0.576113 0.904211 0 0
0.136067 1.81593e-05 7.87111e-06 1.02882e-05 0.566552 0.92034 0 0
0.143051 1.81634e-05 8.00776e-06 1.01556e-05 0.559125 0.932922 0 0
0.150394 1.81653e-05 8.0849e-06 1.00804e-05 0.554927 0.941033 0 0
0.158114 1.81671e-05 8.05633e-06 1.01108e-05 0.556543 0.94192 0 0
0.16623 1.81728e-05 7.86415e-06 1.03086e-05 0.567256 0.931196 0 0
0.174762 1.81843e-05 7.48796e-06 1.06963e-05 0.588218 0.904886 0 0
0.183733 1.81984e-05 7.01564e-06 1.11828e-05 0.614492 0.869353 0 0
0.193164 1.82141e-05 6.52601e-06 1.16881e-05 0.641705 0.832783 0 0
0.203079 1.82308e-05 6.10163e-06 1.21292e-05 0.665312 0.802566 0 0
0.213503 1.82488e-05 5.73828e-06 1.25106e-05 0.685553 0.777992 0 0
0.224463 1.82695e-05 5.49901e-06 1.27705e-05 0.699006 0.761017 0 0
0.235984 1.82925e-05 5.3676e-06 1.29249e-05 0.706569 0.749603 0 0
0.248097 1.83169e-05 5.40228e-06 1.29146e-05 0.705066 0.745903 0 0
0.260832 1.83376e-05 5.54241e-06 1.27951e-05 0.697756 0.748025 0 0
0.274221 1.83526e-05 5.70839e-06 1.26442e-05 0.68896 0.752169 0 0
0.288297 1.83599e-05 5.9209e-06 1.2439e-05 0.677509 0.761525 0 0
0.303095 1.83677e-05 6.06697e-06 1.23008e-05 0.669694 0.768668 0 0
0.318653 1.83762e-05 6.18635e-06 1.21898e-05 0.66335 0.774955 0 0
0.335009 1.8386e-05 6.28157e-06 1.21044e-05 0.65835 0.780364 0 0
0.352205 1.83976e-05 6.34832e-06 1.20493e-05 0.654937 0.784184 0 0
0.370284 1.84105e-05 6.39297e-06 1.20175e-05 0.652754 0.786545 0 0
0.389291 1.84245e-05 6.41841e-06 1.20061e-05 0.651638 0.787454 0 0
0.409273 1.84391e-05 6.43828e-06 1.20008e-05 0.650835 0.787998 0 0
0.430281 1.84541e-05 6.45567e-06 1.19984e-05 0.650176 0.788381 0 0
0.452368 1.84698e-05 6.47341e-06 1.19964e-05 0.649514 0.788949 0 0
0.475588 1.84861e-05 6.48983e-06 1.19963e-05 0.648935 0.789462 0 0
0.5 1.85036e-05 6.50233e-06 1.20013e-05 0.648592 0.789714 0 0
0.525665 1.85219e-05 6.51234e-06 1.20096e-05 0.648398 0.789805 0 0
0.552647 1.8541e-05 6.52108e-06 1.20199e-05 0.648288 0.789775 0 0
0.581015 1.85615e-05 6.51934e-06 1.20421e-05 0.64877 0.788951 0 0
0.610839 1.85826e-05 6.51734e-06 1.20653e-05 0.649278 0.788088 0 0
