# 0.00658175 2 116 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 8.51574e-07 inf
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 0.000272811 9.648e-05 0.000176331 0.646348 0.853791 0 0
0.0525665 0.000272836 9.49092e-05 0.000177927 0.652138 0.841284 0 0
0.0552647 0.000272864 9.37195e-05 0.000179144 0.656534 0.830899 0 0
0.0581015 0.000272891 9.31806e-05 0.000179711 0.658543 0.824526 0 0
0.0610839 0.000272918 9.18592e-05 0.000181059 0.663419 0.815745 0 0
0.0642193 0.00027295 8.85638e-05 0.000184386 0.675531 0.797429 0 0
0.0675157 0.000272987 8.52867e-05 0.0001877 0.687579 0.777424 0 0
0.0709813 0.000273025 8.49519e-05 0.000188073 0.688849 0.770291 0 0
0.0746248 0.000273062 8.6237e-05 0.000186825 0.684186 0.771642 0 0
0.0784553 0.0002731 8.80307e-05 0.000185069 0.677661 0.776551 0 0
0.0824824 0.000273138 9.00801e-05 0.000183058 0.670203 0.782438 0 0
0.0867162 0.000273177 9.05531e-05 0.000182624 0.668519 0.781309 0 0
0.0911674 0.000273219 9.01241e-05 0.000183095 0.67014 0.776149 0 0
0.095847 0.000273263 9.04949e-05 0.000182768 0.668836 0.774397 0 0
0.100767 0.000273301 9.36689e-05 0.000179632 0.657268 0.785885 0 0
0.105939 0.000273333 9.68651e-05 0.000176468 0.645615 0.800566 0 0
0.111377 0.000273356 0.000102703 0.000170653 0.624287 0.828637 0 0
0.117094 0.000273374 0.000108738 0.000164635 0.602236 0.861019 0 0
0.123105 0.000273403 0.000112628 0.000160775 0.588052 0.883689 0 0
0.129424 0.000273436 0.000115925 0.000157511 0.576042 0.903694 0 0
0.136067 0.00027347 0.000118557 0.000154913 0.566471 0.919923 0 0
0.143051 0.000273502 0.000120598 0.000152904 0.559059 0.932589 0 0
0.150394 0.000273526 0.000121762 0.000151764 0.554843 0.940755 0 0
0.158114 0.00027355 0.000121363 0.000152187 0.55634 0.941639 0 0
0.16623 0.00027359 0.000118509 0.000155081 0.566838 0.930805 0 0
0.174762 0.000273654 0.00011284 0.000160814 0.587655 0.904224 0 0
0.183733 0.000273727 0.000105678 0.000168049 0.61393 0.868317 0 0
0.193164 0.000273807 9.8228e-05 0.000175579 0.64125 0.83136 0 0
0.203079 0.000273892 9.17489e-05 0.000182143 0.665018 0.800811 0 0
0.213503 0.000273982 8.61833e-05 0.000187799 0.685442 0.775944 0 0
0.224463 0.000274083 8.24616e-05 0.000191621 0.699136 0.75873 0 0
0.235984 0.000274192 8.03351e-05 0.000193857 0.707012 0.747119 0 0
0.248097 0.000274308 8.06568e-05 0.000193651 0.705962 0.743328 0 0
0.260832 0.000274414 8.25649e-05 0.000191849 0.699122 0.745474 0 0
0.274221 0.000274507 8.48959e-05 0.000189611 0.690733 0.749713 0 0
0.288297 0.00027457 8.80117e-05 0.000186558 0.679456 0.759223 0 0
0.303095 0.000274633 9.01482e-05 0.000184485 0.67175 0.76646 0 0
0.318653 0.000274699 9.18875e-05 0.000182811 0.665497 0.772821 0 0
0.335009 0.000274768 9.32628e-05 0.000181506 0.660577 0.77828 0 0
0.352205 0.000274845 9.42017e-05 0.000180643 0.657255 0.782124 0 0
0.370284 0.000274928 9.47995e-05 0.000180128 0.655184 0.784489 0 0
0.389291 0.000275017 9.50999e-05 0.000179917 0.654204 0.785387 0 0
0.409273 0.00027511 9.53129e-05 0.000179797 0.653546 0.785916 0 0
0.430281 0.000275205 9.54861e-05 0.000179719 0.653037 0.786285 0 0
0.452368 0.000275305 9.5661e-05 0.000179644 0.652527 0.786838 0 0
0.475588 0.000275408 9.58123e-05 0.000179596 0.652108 0.787335 0 0
0.5 0.000275517 9.58988e-05 0.000179618 0.651931 0.787566 0 0
0.525665 0.000275631 9.59422e-05 0.000179689 0.651918 0.787633 0 0
0.552647 0.000275751 9.59623e-05 0.000179789 0.651996 0.787579 0 0
0.581015 0.000275877 9.5815e-05 0.000180062 0.65269 0.786716 0 0
0.610839 0.000276009 9.56598e-05 0.000180349 0.653418 0.785815 0 0
0.642193 0.000276146 9.5496e-05 0.00018065 0.654183 0.784873 0 0
0.675157 0.000276288 9.52677e-05 0.000181021 0.655187 0.78361 0 0
0.709813 0.000276439 9.49799e-05 0.000181459 0.656417 0.782048 0 0
0.746248 0.000276594 9.46635e-05 0.000181931 0.657753 0.780331 0 0
0.784553 0.000276755 9.4337e-05 0.000182418 0.659132 0.778573 0 0
0.824824 0.000276922 9.40028e-05 0.00018292 0.660545 0.776766 0 0
0.867162 0.000277097 9.36604e-05 0.000183436 0.661994 0.774912 0 0
0.911674 0.000277275 9.3317e-05 0.000183958 0.663449 0.773053 0 0
0.95847 0.000277459 9.29894e-05 0.00018447 0.664854 0.771246 0 0
1.00767 0.000277649 9.26596e-05 0.000184989 0.666271 0.76943 0 0
1.05939 0.000277844 9.23578e-05 0.000185487 0.667592 0.767724 0 0
1.11377 0.000278046 9.20467e-05 0.000185999 0.668951 0.765982 0 0
1.17094 0.000278254 9.17595e-05 0.000186494 0.670231 0.764343 0 0
1.23105 0.000278467 9.14736e-05 0.000186994 0.67151 0.762711 0 0
1.29424 0.00027869 9.11575e-05 0.000187532 0.672907 0.760951 0 0
1.36067 0.000278918 9.08533e-05 0.000188065 0.674265 0.759237 0 0
1.43051 0.000279151 9.05685e-05 0.000188583 0.675557 0.757606 0 0
1.50394 0.000279392 9.02961e-05 0.000189096 0.676813 0.756023 0 0
1.58114 0.000279642 9.0012e-05 0.00018963 0.678117 0.754395 0 0
1.6623 0.000279901 8.97018e-05 0.000190199 0.679523 0.752668 0 0
1.74762 0.000280166 8.93873e-05 0.000190778 0.680948 0.750919 0 0
1.83733 0.000280436 8.90853e-05 0.000191351 0.682333 0.749225 0 0
1.93164 0.000280715 8.87847e-05 0.00019193 0.683719 0.747541 0 0
2.03079 0.000281002 8.84828e-05 0.000192519 0.685117 0.74586 0 0
2.13503 0.000281296 8.81633e-05 0.000193132 0.686581 0.744105 0 0
2.24463 0.000281596 8.78482e-05 0.000193748 0.688034 0.742383 0 0
2.35984 0.000281904 8.75437e-05 0.00019436 0.689456 0.740702 0 0
2.48097 0.000282219 8.72439e-05 0.000194975 0.690865 0.739053 0 0
2.60832 0.000282544 8.69056e-05 0.000195638 0.692417 0.737266 0 0
2.74221 0.000282874 8.65559e-05 0.000196318 0.694012 0.73545 0 0
2.88297 0.000283209 8.62347e-05 0.000196974 0.695508 0.733752 0 0
3.03095 0.000283548 8.59074e-05 0.00019764 0.697027 0.732048 0 0
3.18653 0.000283895 8.55712e-05 0.000198324 0.698581 0.730324 0 0
3.35009 0.000284245 8.52323e-05 0.000199013 0.700145 0.7286 0 0
3.52205 0.000284601 8.48996e-05 0.000199702 0.701689 0.726917 0 0
3.70284 0.00028496 8.45704e-05 0.00020039 0.70322 0.725262 0 0
3.89291 0.000285332 8.42521e-05 0.00020108 0.704723 0.723668 0 0
4.09273 0.000285697 8.391e-05 0.000201787 0.706297 0.722008 0 0
4.30281 0.000286064 8.35654e-05 0.000202498 0.707879 0.720362 3.40049e-289 0
4.52368 0.000286458 8.32188e-05 0.000203239 0.709491 0.718745 7.71779e-275 0
4.75588 0.000286859 8.28713e-05 0.000203988 0.711108 0.717144 3.44438e-261 0
5 0.000287215 8.25193e-05 0.000204696 0.712692 0.715525 3.27254e-248 0
5.25665 0.000287651 8.2132e-05 0.000205519 0.714473 0.713886 7.13658e-236 0
5.52648 0.000288028 8.17384e-05 0.000206289 0.716214 0.712206 3.83799e-224 0
5.81015 0.000288475 8.13626e-05 0.000207112 0.717956 0.710668 5.45466e-213 0
6.10839 0.000288744 8.09861e-05 0.000207758 0.719523 0.709013 2.18472e-202 0
6.42193 0.000289238 8.06348e-05 0.000208603 0.721216 0.707624 2.62542e-192 0
6.75157 0.000289708 8.02546e-05 0.000209453 0.722981 0.706154 1.00269e-182 0
7.09813 0.000290107 7.98852e-05 0.000210222 0.724635 0.704682 1.28846e-173 0
7.46248 0.000290383 7.95352e-05 0.000210848 0.726103 0.703213 5.87264e-165 0
7.84553 0.000290777 7.91869e-05 0.00021159 0.727672 0.701863 9.98922e-157 0
8.24824 0.000291187 7.88005e-05 0.000212386 0.729382 0.700457 6.64755e-149 0
8.67162 0.00029156 7.84314e-05 0.000213128 0.730994 0.699097 1.81382e-141 0
9.11674 0.000291986 7.80891e-05 0.000213897 0.732559 0.697873 2.11901e-134 0
9.5847 0.000292452 7.77876e-05 0.000214664 0.734016 0.696833 1.10537e-127 0
10.0767 0.000292945 7.75017e-05 0.000215444 0.73544 0.695856 2.67621e-121 0
10.5939 0.000293458 7.72172e-05 0.000216241 0.736872 0.69496 3.12274e-115 0
11.1377 0.000293894 7.69917e-05 0.000216902 0.738029 0.694343 1.82079e-109 0
11.7094 0.000294272 7.63324e-05 0.00021794 0.740606 0.691401 5.45253e-104 0
12.3105 0.000294683 7.62479e-05 0.000218435 0.741255 0.691598 8.7777e-99 0
12.9424 0.000295193 7.5883e-05 0.00021931 0.742937 0.690709 7.74395e-94 0
13.6067 0.000295642 7.55292e-05 0.000220113 0.744525 0.689806 3.87052e-89 0
14.3051 0.000296026 7.52135e-05 0.000220812 0.745922 0.688989 1.12699e-84 0
15.0394 0.000296453 7.49215e-05 0.000221532 0.747274 0.688256 1.96285e-80 0
15.8114 0.000296903 7.46635e-05 0.000222239 0.748525 0.68765 2.09682e-76 0
16.623 0.000297314 7.43792e-05 0.000222934 0.749829 0.687019 1.40615e-72 0
17.4762 0.000297707 7.40651e-05 0.000223642 0.751215 0.686369 6.05451e-69 0
18.3733 0.000298063 7.37351e-05 0.000224328 0.752619 0.685731 1.71094e-65 0
19.3164 0.000298355 7.3309e-05 0.000225046 0.75429 0.684874 3.23502e-62 0
20.3079 0.000298506 7.26221e-05 0.000225883 0.756714 0.68347 4.16454e-59 0
21.3503 0.000298504 7.18212e-05 0.000226683 0.759396 0.68162 3.72541e-56 0
22.4463 0.000298413 7.08185e-05 0.000227595 0.762683 0.678972 2.35431e-53 0
23.5984 0.000298358 6.94961e-05 0.000228862 0.767071 0.674947 1.06683e-50 0
24.8097 0.00029852 6.76958e-05 0.000230824 0.773228 0.668846 3.51359e-48 0
26.0832 0.000299081 6.5665e-05 0.000233416 0.780444 0.660544 8.56576e-46 0
27.4221 0.000299991 6.35411e-05 0.00023645 0.78819 0.651001 1.5713e-43 0
28.8297 0.000301346 6.15463e-05 0.000239799 0.795762 0.640619 2.20614e-41 0
30.3095 0.000302954 5.96349e-05 0.00024332 0.803156 0.630156 2.40081e-39 0
31.8653 0.000304727 5.80739e-05 0.000246654 0.809424 0.620599 2.0599e-37 0
