# 1.12148e-07 2 11 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 531146 3.33382
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 5.94958e-15 5.94321e-15 6.36636e-18 0.00107005 0.00276044 0 0
0.0525665 6.89085e-15 6.88402e-15 6.83008e-18 0.000991181 0.00245866 0 7.95643e-312
0.0552647 7.95311e-15 7.94578e-15 7.32129e-18 0.000920558 0.00218905 0 4.77861e-297
0.0581015 9.02574e-15 9.01801e-15 7.72752e-18 0.000856165 0.00194787 0 5.34391e-283
0.0610839 1.02335e-14 1.02253e-14 8.22305e-18 0.000803542 0.00171532 0 1.22641e-269
0.0642193 1.1958e-14 1.19488e-14 9.17259e-18 0.000767068 0.00148355 0 6.43688e-257
0.0675157 1.45865e-14 1.45757e-14 1.08007e-17 0.000740459 0.00124984 0 8.42323e-245
0.0709813 1.62321e-14 1.62209e-14 1.11851e-17 0.000689071 0.00104709 0 2.57552e-233
0.0746248 1.54767e-14 1.54669e-14 9.79801e-18 0.000633084 0.000902375 0 1.84733e-222
0.0784553 1.32245e-14 1.32169e-14 7.61727e-18 0.000575996 0.000806103 0 3.46304e-212
0.0824824 1.06342e-14 1.06289e-14 5.36263e-18 0.00050428 0.000752944 0 1.89277e-202
0.0867162 9.28888e-15 9.28475e-15 4.13166e-18 0.000444797 0.000722477 0 3.68576e-193
0.0911674 8.18571e-15 8.18224e-15 3.46662e-18 0.000423497 0.000701092 0 2.50958e-184
0.095847 6.42811e-15 6.42536e-15 2.75218e-18 0.000428147 0.000738803 0 5.55832e-176
0.100767 4.43192e-15 4.43004e-15 1.87791e-18 0.000423725 0.000861818 0 4.15111e-168
0.105939 2.90605e-15 2.90475e-15 1.30094e-18 0.000447666 0.000930136 0 1.18827e-160
0.111377 1.75858e-15 1.75778e-15 7.95363e-19 0.000452276 0.00106467 0 1.32676e-153
0.117094 1.34532e-15 1.34482e-15 4.95635e-19 0.000368415 0.000975774 0 8.29705e-147
0.123105 1.05387e-15 1.05355e-15 3.22842e-19 0.000306339 0.000837284 0 2.46705e-140
0.129424 8.84208e-16 8.84e-16 2.07622e-19 0.000234812 0.000704205 0 3.82487e-134
0.136067 8.37467e-16 8.37333e-16 1.34488e-19 0.000160589 0.000595839 0 3.41534e-128
0.143051 8.68569e-16 8.68481e-16 8.8323e-20 0.000101688 0.000508288 0 1.78016e-122
0.150394 1.00203e-15 1.00197e-15 6.01629e-20 6.00412e-05 0.000433911 0 5.71443e-117
0.158114 1.21608e-15 1.21604e-15 4.54917e-20 3.74084e-05 0.000371587 0 1.10057e-111
0.16623 1.52299e-15 1.52295e-15 4.20119e-20 2.75851e-05 0.000319455 0 1.27496e-106
0.174762 1.9934e-15 1.99335e-15 5.06063e-20 2.53869e-05 0.000274693 0 9.15125e-102
0.183733 2.67592e-15 2.67584e-15 7.22472e-20 2.69991e-05 0.000233965 0 4.05557e-97
0.193164 3.71446e-15 3.71434e-15 1.14756e-19 3.08943e-05 0.000194699 0 1.13674e-92
0.203079 4.9104e-15 4.91023e-15 1.7519e-19 3.56774e-05 0.00015613 0 1.88798e-88
0.213503 5.30458e-15 5.30436e-15 2.15107e-19 4.05513e-05 0.000120077 0 1.6237e-84
0.224463 4.07592e-15 4.07574e-15 1.78784e-19 4.38633e-05 8.89065e-05 0 6.41371e-81
0.235984 2.77841e-15 2.77829e-15 1.21269e-19 4.3647e-05 6.34582e-05 0 1.47927e-77
0.248097 1.97175e-15 1.97167e-15 7.84758e-20 3.98002e-05 4.86021e-05 0 2.38238e-74
0.260832 1.55798e-15 1.55792e-15 5.38839e-20 3.45858e-05 5.05468e-05 0 2.91866e-71
0.274221 1.28541e-15 1.28537e-15 3.88598e-20 3.02315e-05 6.75664e-05 0 2.59678e-68
0.288297 1.11085e-15 1.11082e-15 2.89613e-20 2.60712e-05 9.06625e-05 0 1.71247e-65
0.303095 9.77009e-16 9.76987e-16 2.23158e-20 2.2841e-05 0.00010167 0 8.26815e-63
0.318653 8.62496e-16 8.62479e-16 1.73757e-20 2.01458e-05 0.000106095 0 2.9285e-60
0.335009 7.73325e-16 7.73312e-16 1.36854e-20 1.76969e-05 0.000104341 0 7.81658e-58
0.352205 7.04427e-16 7.04416e-16 1.0912e-20 1.54906e-05 9.90114e-05 0 1.59554e-55
0.370284 6.46864e-16 6.46855e-16 8.77758e-21 1.35695e-05 9.25678e-05 0 2.50554e-53
0.389291 5.92711e-16 5.92704e-16 7.11505e-21 1.20042e-05 8.63051e-05 0 3.03558e-51
0.409273 5.40946e-16 5.4094e-16 5.78463e-21 1.06935e-05 8.02245e-05 0 2.86786e-49
0.430281 4.91384e-16 4.9138e-16 4.70764e-21 9.58037e-06 7.44474e-05 0 2.13637e-47
0.452368 4.48742e-16 4.48738e-16 3.83064e-21 8.53638e-06 6.84797e-05 0 1.28191e-45
0.475588 4.10139e-16 4.10136e-16 3.11907e-21 7.60492e-06 6.27639e-05 0 6.23463e-44
0.5 3.77469e-16 3.77467e-16 2.54638e-21 6.74594e-06 5.72803e-05 0 2.49827e-42
0.525665 3.49267e-16 3.49265e-16 2.08108e-21 5.9584e-06 5.20952e-05 0 8.31531e-41
0.552647 3.22658e-16 3.22656e-16 1.70143e-21 5.27317e-06 4.73718e-05 0 2.30423e-39
0.581015 3.00553e-16 3.00551e-16 1.39782e-21 4.65083e-06 4.29822e-05 0 5.41633e-38
0.610839 2.79463e-16 2.79462e-16 1.14872e-21 4.11046e-06 3.90061e-05 0 1.07816e-36
0.642193 2.5932e-16 2.59319e-16 9.43858e-22 3.63974e-06 3.5399e-05 0 1.83148e-35
0.675157 2.40669e-16 2.40668e-16 7.76419e-22 3.22608e-06 3.21408e-05 0 2.68119e-34
0.709813 2.23432e-16 2.23432e-16 6.39768e-22 2.86336e-06 2.92184e-05 0 3.4077e-33
0.746248 2.0724e-16 2.07239e-16 5.27257e-22 2.54419e-06 2.66074e-05 0 3.78142e-32
0.784553 1.91865e-16 1.91865e-16 4.34398e-22 2.26408e-06 2.42361e-05 0 3.68407e-31
0.824824 1.77497e-16 1.77497e-16 3.57815e-22 2.01589e-06 2.2108e-05 0 3.1744e-30
0.867162 1.64058e-16 1.64058e-16 2.94841e-22 1.79717e-06 2.01932e-05 0 2.43312e-29
0.911674 1.51435e-16 1.51435e-16 2.42821e-22 1.60347e-06 1.8461e-05 2.19589e-309 1.66759e-28
0.95847 1.39742e-16 1.39742e-16 1.99814e-22 1.42987e-06 1.69085e-05 1.74364e-294 1.02853e-27
