# 1.88795e-06 2 38 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 102.432 4946.56
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 1.76119e-11 9.31063e-12 8.30132e-12 0.471346 0.646836 0 0
0.0525665 1.87701e-11 1.00679e-11 8.70222e-12 0.463621 0.623182 0 0
0.0552647 1.99978e-11 1.09134e-11 9.0844e-12 0.454269 0.601764 0 0
0.0581015 2.10533e-11 1.17252e-11 9.32804e-12 0.443069 0.581838 0 0
0.0610839 2.20776e-11 1.24096e-11 9.66801e-12 0.437911 0.55833 0 0
0.0642193 2.3834e-11 1.33055e-11 1.05286e-11 0.441746 0.532341 0 0
0.0675157 2.67579e-11 1.48923e-11 1.18656e-11 0.443443 0.511995 0 0
0.0709813 2.97513e-11 1.68367e-11 1.29146e-11 0.434084 0.497662 0 0
0.0746248 3.17149e-11 1.82704e-11 1.34445e-11 0.423916 0.478763 0 0
0.0784553 3.24678e-11 1.89389e-11 1.35289e-11 0.416687 0.448925 0 0
0.0824824 3.22543e-11 1.89557e-11 1.32986e-11 0.412304 0.407074 0 0
0.0867162 3.24645e-11 1.90397e-11 1.34248e-11 0.413523 0.363315 0 0
0.0911674 3.33585e-11 1.92465e-11 1.4112e-11 0.423041 0.320421 0 0
0.095847 3.42651e-11 1.92617e-11 1.50034e-11 0.437863 0.280559 0 0
0.100767 3.4558e-11 1.92473e-11 1.53107e-11 0.443043 0.259359 0 0
0.105939 3.44247e-11 1.88072e-11 1.56175e-11 0.453672 0.267378 0 0
0.111377 2.97995e-11 1.63777e-11 1.34218e-11 0.450402 0.274519 0 0
0.117094 2.44876e-11 1.38785e-11 1.06091e-11 0.433245 0.273851 0 0
0.123105 1.82022e-11 1.04676e-11 7.73457e-12 0.424925 0.260414 0 0
0.129424 1.22982e-11 7.29814e-12 5.00005e-12 0.406568 0.218732 0 0
0.136067 9.06994e-12 5.87674e-12 3.1932e-12 0.352064 0.179785 0 0
0.143051 7.40031e-12 5.3263e-12 2.07401e-12 0.28026 0.150816 0 0
0.150394 6.82965e-12 5.45011e-12 1.37954e-12 0.201992 0.128012 0 0
0.158114 7.02445e-12 6.02836e-12 9.96094e-13 0.141804 0.1099 0 0
0.16623 7.81711e-12 6.96039e-12 8.56716e-13 0.109595 0.0953265 0 0
0.174762 9.28024e-12 8.35135e-12 9.28892e-13 0.100094 0.0830516 0 0
0.183733 1.14565e-11 1.02765e-11 1.18002e-12 0.103 0.0719123 0 0
0.193164 1.49571e-11 1.3252e-11 1.70505e-12 0.113996 0.0610304 0 0
0.203079 2.00331e-11 1.74415e-11 2.59159e-12 0.129365 0.0496282 0 0
0.213503 2.52665e-11 2.15579e-11 3.70853e-12 0.146777 0.0382596 0 0
0.224463 2.54661e-11 2.13955e-11 4.07053e-12 0.159841 0.0287203 0 0
0.235984 2.00446e-11 1.68137e-11 3.23085e-12 0.161183 0.0214289 0 0
0.248097 1.44764e-11 1.23214e-11 2.15495e-12 0.14886 0.0164739 0 0
0.260832 1.12091e-11 9.75276e-12 1.45634e-12 0.129924 0.01484 0 0
0.274221 9.12409e-12 8.09563e-12 1.02846e-12 0.112719 0.0165931 0 0
0.288297 7.7318e-12 6.98051e-12 7.51283e-13 0.0971679 0.0215697 0 0
0.303095 6.64913e-12 6.07864e-12 5.70494e-13 0.0857998 0.0248072 0 0
0.318653 5.7302e-12 5.29142e-12 4.38783e-13 0.0765737 0.0266953 0 0
0.335009 5.001e-12 4.65906e-12 3.4194e-13 0.0683744 0.0269389 0 0
0.352205 4.43506e-12 4.16488e-12 2.70178e-13 0.0609187 0.0260151 0 0
0.370284 3.97415e-12 3.75852e-12 2.1563e-13 0.0542582 0.0246194 0 0
0.389291 3.56683e-12 3.39323e-12 1.73608e-13 0.0486729 0.0231633 0 0
0.409273 3.19631e-12 3.05601e-12 1.40297e-13 0.0438936 0.0216907 0 0
0.430281 2.85608e-12 2.74253e-12 1.13551e-13 0.0397575 0.0202553 0 0
0.452368 2.56721e-12 2.47528e-12 9.1929e-14 0.035809 0.0187193 0 0
0.475588 2.31235e-12 2.23784e-12 7.45056e-14 0.0322207 0.0172221 0 0
0.5 2.09938e-12 2.03881e-12 6.05703e-14 0.0288515 0.0157631 0 0
0.525665 1.91808e-12 1.86877e-12 4.93122e-14 0.0257091 0.0143692 0 0
0.552647 1.75187e-12 1.7117e-12 4.01747e-14 0.0229324 0.0130932 0 9.57509e-311
0.581015 1.61521e-12 1.58231e-12 3.29032e-14 0.0203708 0.0118964 0 2.10277e-296
0.610839 1.48808e-12 1.46112e-12 2.69628e-14 0.0181192 0.0108097 0 9.09255e-283
0.642193 1.36938e-12 1.34728e-12 2.20963e-14 0.016136 0.00982175 0 8.37833e-270
0.675157 1.26149e-12 1.24336e-12 1.81332e-14 0.0143744 0.00892664 0 1.77858e-257
0.709813 1.16344e-12 1.14853e-12 1.49096e-14 0.0128151 0.00812186 0 9.34798e-246
0.746248 1.07271e-12 1.06045e-12 1.22632e-14 0.011432 0.00740201 0 1.30107e-234
0.784553 9.87801e-13 9.77716e-13 1.00851e-14 0.0102097 0.00674738 0 5.11194e-224
0.824824 9.09349e-13 9.01056e-13 8.29316e-15 0.00911988 0.00615947 0 6.03917e-214
0.867162 8.36762e-13 8.29938e-13 6.8231e-15 0.00815418 0.00563001 0 2.27563e-204
0.911674 7.69241e-13 7.6363e-13 5.61132e-15 0.00729461 0.00515065 1.83716e-301 2.89166e-195
0.95847 7.07151e-13 7.02539e-13 4.61138e-15 0.00652108 0.004721 9.04998e-287 1.30862e-186
1.00767 6.49595e-13 6.45805e-13 3.79034e-15 0.00583493 0.00433047 8.40144e-273 2.21783e-178
1.05939 5.97437e-13 5.94323e-13 3.11447e-15 0.00521305 0.00397617 1.59776e-259 1.48077e-170
1.11377 5.48803e-13 5.46244e-13 2.55855e-15 0.00466206 0.00365322 6.70942e-247 4.06984e-163
1.17094 5.05732e-13 5.03631e-13 2.10113e-15 0.00415462 0.00335145 6.72686e-235 4.83462e-156
1.23105 4.66242e-13 4.64515e-13 1.72643e-15 0.00370287 0.00307486 1.72248e-223 2.58245e-149
1.29424 4.29841e-13 4.28422e-13 1.41911e-15 0.00330147 0.00282002 1.20348e-212 6.45589e-143
1.36067 3.96329e-13 3.95163e-13 1.16589e-15 0.00294172 0.00258774 2.44492e-202 7.85286e-137
1.43051 3.65522e-13 3.64565e-13 9.57467e-16 0.00261945 0.00237601 1.53427e-192 4.82469e-131
1.50394 3.37631e-13 3.36845e-13 7.86635e-16 0.00232986 0.00218014 3.15377e-183 1.55373e-125
1.58114 3.12255e-13 3.11609e-13 6.46327e-16 0.00206987 0.00199728 2.24176e-174 2.71369e-120
1.6623 2.88878e-13 2.88347e-13 5.31124e-16 0.00183857 0.00182746 5.79887e-166 2.65511e-115
1.74762 2.66969e-13 2.66532e-13 4.36523e-16 0.00163511 0.00167435 5.72716e-158 1.50077e-110
1.83733 2.46797e-13 2.46439e-13 3.58747e-16 0.00145361 0.00153435 2.26639e-150 5.06214e-106
1.93164 2.28162e-13 2.27867e-13 2.94727e-16 0.00129174 0.00140572 3.75713e-143 1.04978e-101
2.03079 2.11119e-13 2.10877e-13 2.42083e-16 0.00114667 0.00128628 2.72457e-136 1.37871e-97
2.13503 1.95304e-13 1.95105e-13 1.99004e-16 0.00101895 0.00117694 8.98993e-130 1.17738e-93
2.24463 1.80581e-13 1.80418e-13 1.63521e-16 0.000905524 0.00107726 1.40197e-123 6.70599e-90
2.35984 1.67109e-13 1.66975e-13 1.34317e-16 0.000803769 0.000985349 1.07337e-117 2.61264e-86
2.48097 1.54704e-13 1.54594e-13 1.10312e-16 0.000713052 0.000900408 4.17552e-112 7.11207e-83
2.60832 1.43158e-13 1.43068e-13 9.06753e-17 0.000633391 0.000821978 8.52324e-107 1.37811e-79
2.74221 1.32318e-13 1.32243e-13 7.45102e-17 0.000563116 0.00075057 9.41426e-102 1.93257e-76
2.88297 1.2231e-13 1.22249e-13 6.11807e-17 0.000500211 0.000685957 5.80497e-97 1.99428e-73
3.03095 1.1296e-13 1.12909e-13 5.02452e-17 0.000444806 0.00062726 2.05393e-92 1.53393e-70
3.18653 1.0436e-13 1.04319e-13 4.12721e-17 0.000395478 0.000572778 4.28973e-88 8.91611e-68
3.35009 9.64122e-14 9.63783e-14 3.38906e-17 0.000351518 0.000522668 5.42469e-84 3.96072e-65
3.52205 8.90409e-14 8.90131e-14 2.78164e-17 0.0003124 0.000477065 4.25512e-80 1.35884e-62
3.70284 8.22388e-14 8.22159e-14 2.28411e-17 0.000277741 0.00043536 2.11999e-76 3.63896e-60
3.89291 7.60051e-14 7.59863e-14 1.8749e-17 0.00024668 0.000396857 6.86313e-73 7.6858e-58
4.09273 7.02599e-14 7.02445e-14 1.5388e-17 0.000219016 0.000360498 1.47383e-69 1.29172e-55
4.30281 6.48935e-14 6.48808e-14 1.26271e-17 0.000194581 0.000327617 2.13968e-66 1.74111e-53
4.52368 5.99203e-14 5.99099e-14 1.03648e-17 0.000172976 0.000297693 2.14173e-63 1.8995e-51
4.75588 5.53233e-14 5.53148e-14 8.50451e-18 0.000153724 0.000270254 1.50539e-60 1.69149e-49
5 5.11504e-14 5.11434e-14 6.97615e-18 0.000136385 0.000243994 7.57085e-58 1.24107e-47
5.25665 4.71694e-14 4.71637e-14 5.72379e-18 0.000121345 0.000220443 2.75838e-55 7.53008e-46
5.52648 4.34481e-14 4.34434e-14 4.69598e-18 0.000108083 0.000199373 7.4054e-53 3.81119e-44
5.81015 4.00367e-14 4.00328e-14 3.85029e-18 9.61691e-05 0.000180137 1.48938e-50 1.6231e-42
6.10839 3.69278e-14 3.69246e-14 3.15607e-18 8.5466e-05 0.000162101 2.27689e-48 5.85858e-41
6.42193 3.39737e-14 3.39711e-14 2.58702e-18 7.61478e-05 0.000147343 2.67257e-46 1.79781e-39
6.75157 3.13702e-14 3.13681e-14 2.12087e-18 6.76078e-05 0.000131554 2.45444e-44 4.74865e-38
7.09813 2.89364e-14 2.89347e-14 1.73774e-18 6.00538e-05 0.00011779 1.77711e-42 1.08116e-36
7.46248 2.67189e-14 2.67175e-14 1.42341e-18 5.32735e-05 0.000105114 1.02821e-40 2.1383e-35
7.84553 2.47192e-14 2.4718e-14 1.16636e-18 4.71843e-05 9.29087e-05 4.81132e-39 3.69786e-34
8.24824 2.28413e-14 2.28404e-14 9.55413e-19 4.18283e-05 8.1532e-05 1.834e-37 5.60345e-33
8.67162 2.11024e-14 2.11017e-14 7.82099e-19 3.7062e-05 7.16752e-05 5.75831e-36 7.4868e-32
9.11674 1.9534e-14 1.95333e-14 6.40223e-19 3.27748e-05 6.28726e-05 1.50644e-34 8.8821e-31
9.5847 1.81402e-14 1.81396e-14 5.23871e-19 2.88791e-05 5.4944e-05 3.31786e-33 9.41342e-30
10.0767 1.69113e-14 1.69108e-14 4.28478e-19 2.53368e-05 4.75375e-05 6.20852e-32 8.95862e-29
10.5939 1.58274e-14 1.58271e-14 3.50194e-19 2.21258e-05 4.04389e-05 9.9524e-31 7.69031e-28
11.1377 1.49222e-14 1.49219e-14 2.85994e-19 1.91657e-05 3.38589e-05 1.38201e-29 6.00019e-27
11.7094 1.39677e-14 1.39675e-14 2.35742e-19 1.68776e-05 2.80301e-05 1.6505e-28 4.21058e-26
12.3105 1.33158e-14 1.33156e-14 1.91681e-19 1.43949e-05 2.19032e-05 1.75139e-27 2.73695e-25
12.9424 1.27254e-14 1.27252e-14 1.56515e-19 1.22995e-05 1.59367e-05 1.63605e-26 1.62803e-24
13.6067 1.22529e-14 1.22527e-14 1.27806e-19 1.04307e-05 1.09578e-05 1.36093e-25 8.93952e-24
14.3051 1.19312e-14 1.19311e-14 1.04278e-19 8.73992e-06 6.64219e-06 1.01793e-24 4.56386e-23
15.0394 1.17651e-14 1.1765e-14 8.50319e-20 7.22748e-06 2.75993e-06 6.89495e-24 2.1765e-22
15.8114 1.17878e-14 1.17877e-14 6.93362e-20 5.88204e-06 -8.80956e-07 4.26676e-23 9.75984e-22
16.623 1.19956e-14 1.19955e-14 5.65273e-20 4.71235e-06 -4.54728e-06 2.42387e-22 4.12625e-21
17.4762 1.24133e-14 1.24132e-14 4.60607e-20 3.7106e-06 -8.07175e-06 1.27181e-21 1.6516e-20
18.3733 1.31002e-14 1.31002e-14 3.75118e-20 2.86345e-06 -1.14096e-05 6.21064e-21 6.29487e-20
19.3164 1.40751e-14 1.4075e-14 3.0589e-20 2.17328e-06 -1.48151e-05 2.8303e-20 2.28683e-19
20.3079 1.53833e-14 1.53832e-14 2.49596e-20 1.62252e-06 -1.86784e-05 1.20786e-19 7.93331e-19
21.3503 1.71322e-14 1.71322e-14 2.0388e-20 1.19004e-06 -2.15049e-05 4.85482e-19 2.63925e-18
22.4463 1.94277e-14 1.94276e-14 1.67077e-20 8.59995e-07 -2.37578e-05 1.84354e-18 8.43438e-18
23.5984 2.23537e-14 2.23537e-14 1.37735e-20 6.16163e-07 -2.58178e-05 6.61482e-18 2.58623e-17
24.8097 2.59364e-14 2.59364e-14 1.14527e-20 4.4157e-07 -2.86437e-05 2.23663e-17 7.57921e-17
26.0832 3.01406e-14 3.01406e-14 9.64624e-21 3.20041e-07 -3.05169e-05 7.10173e-17 2.11305e-16
27.4221 3.46624e-14 3.46624e-14 8.23702e-21 2.37636e-07 -3.20045e-05 2.09886e-16 5.54912e-16
28.8297 3.88229e-14 3.88229e-14 7.1522e-21 1.84226e-07 -3.25871e-05 5.69898e-16 1.3536e-15
30.3095 4.21436e-14 4.21436e-14 6.28688e-21 1.49177e-07 -3.28428e-05 1.41888e-15 3.05813e-15
31.8653 4.31118e-14 4.31118e-14 5.52374e-21 1.28126e-07 -3.23021e-05 3.15798e-15 6.23344e-15
33.5009 4.22623e-14 4.22623e-14 4.84493e-21 1.1464e-07 -3.17118e-05 6.40576e-15 1.16777e-14
35.2206 3.87848e-14 3.87848e-14 4.14916e-21 1.06979e-07 -2.99148e-05 1.15974e-14 1.96772e-14
37.0284 3.4328e-14 3.4328e-14 3.50962e-21 1.02238e-07 -2.81287e-05 1.93514e-14 3.07742e-14
38.9291 2.94369e-14 2.94369e-14 2.91556e-21 9.90444e-08 -2.57031e-05 2.99621e-14 4.49477e-14
