# 2.86846e-06 2 42 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 28.0642 15908.4
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 4.91971e-11 2.19596e-11 2.72375e-11 0.55364 0.765536 0 0
0.0525665 5.11005e-11 2.3202e-11 2.78985e-11 0.545954 0.745861 0 0
0.0552647 5.31292e-11 2.46109e-11 2.85182e-11 0.536772 0.72852 0 0
0.0581015 5.48342e-11 2.60073e-11 2.8827e-11 0.525711 0.714414 0 0
0.0610839 5.65466e-11 2.7085e-11 2.94616e-11 0.521014 0.698493 0 0
0.0642193 5.97128e-11 2.83215e-11 3.13913e-11 0.525705 0.676877 0 0
0.0675157 6.47913e-11 3.06841e-11 3.41072e-11 0.526417 0.656866 0 0
0.0709813 6.98868e-11 3.39362e-11 3.59506e-11 0.514412 0.646339 0 0
0.0746248 7.33626e-11 3.65961e-11 3.67665e-11 0.501161 0.638283 0 0
0.0784553 7.49567e-11 3.81552e-11 3.68015e-11 0.49097 0.627246 0 0
0.0824824 7.50865e-11 3.87915e-11 3.62949e-11 0.483375 0.611927 0 0
0.0867162 7.60971e-11 3.94753e-11 3.66218e-11 0.481251 0.594829 0 0
0.0911674 7.82269e-11 4.03586e-11 3.78683e-11 0.484083 0.577848 0 0
0.095847 8.00614e-11 4.1023e-11 3.90384e-11 0.487606 0.561924 0 0
0.100767 8.02723e-11 4.16313e-11 3.8641e-11 0.481374 0.550806 0 0
0.105939 8.13609e-11 4.17111e-11 3.96498e-11 0.487332 0.53529 0 0
0.111377 8.00931e-11 3.96019e-11 4.04912e-11 0.505551 0.508592 0 0
0.117094 7.78231e-11 3.85261e-11 3.92969e-11 0.504952 0.510101 0 0
0.123105 7.23509e-11 3.47523e-11 3.75986e-11 0.51967 0.501415 0 0
0.129424 6.24121e-11 2.90059e-11 3.34062e-11 0.535252 0.472984 0 0
0.136067 5.17267e-11 2.55561e-11 2.61706e-11 0.50594 0.437021 0 0
0.143051 4.11405e-11 2.23699e-11 1.87706e-11 0.456255 0.392215 0 0
0.150394 3.33598e-11 2.04738e-11 1.2886e-11 0.386274 0.337295 0 0
0.158114 2.9971e-11 2.06368e-11 9.33419e-12 0.311441 0.286283 0 0
0.16623 3.00581e-11 2.2206e-11 7.85212e-12 0.261231 0.246692 0 0
0.174762 3.26821e-11 2.46729e-11 8.00919e-12 0.245063 0.215667 0 0
