# 5.95219e-05 2 71 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 0.0076416 2.63104e+06
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 2.31457e-08 8.09732e-09 1.50484e-08 0.650158 0.858329 0 0
0.0525665 2.32208e-08 8.01228e-09 1.52085e-08 0.654952 0.846388 0 0
0.0552647 2.32994e-08 7.96308e-09 1.53363e-08 0.658228 0.836482 0 0
0.0581015 2.33726e-08 7.96591e-09 1.54066e-08 0.659177 0.830403 0 0
0.0610839 2.34456e-08 7.89178e-09 1.55539e-08 0.663401 0.822099 0 0
0.0642193 2.35485e-08 7.65858e-09 1.58899e-08 0.674774 0.804873 0 0
0.0675157 2.36913e-08 7.45918e-09 1.62321e-08 0.685151 0.786133 0 0
0.0709813 2.3847e-08 7.53691e-09 1.63101e-08 0.683948 0.779549 0 0
0.0746248 2.39907e-08 7.75684e-09 1.62339e-08 0.676673 0.780941 0 0
0.0784553 2.41159e-08 8.01393e-09 1.6102e-08 0.667691 0.785631 0 0
0.0824824 2.42241e-08 8.28791e-09 1.59362e-08 0.657865 0.791088 0 0
0.0867162 2.43251e-08 8.41196e-09 1.59132e-08 0.654186 0.789896 0 0
0.0911674 2.44421e-08 8.46799e-09 1.59741e-08 0.653548 0.784962 0 0
0.095847 2.45449e-08 8.59603e-09 1.59489e-08 0.649784 0.783063 0 0
0.100767 2.45652e-08 8.92976e-09 1.56354e-08 0.636487 0.793119 0 0
0.105939 2.45555e-08 9.2344e-09 1.53211e-08 0.623937 0.806261 0 0
0.111377 2.4444e-08 9.717e-09 1.4727e-08 0.602479 0.831359 0 0
0.117094 2.4421e-08 1.02492e-08 1.41718e-08 0.580311 0.861411 0 0
0.123105 2.44504e-08 1.06274e-08 1.3823e-08 0.565348 0.882556 0 0
0.129424 2.44983e-08 1.09734e-08 1.35249e-08 0.552075 0.901276 0 0
0.136067 2.45359e-08 1.12673e-08 1.32686e-08 0.540782 0.916436 0 0
0.143051 2.45207e-08 1.14905e-08 1.30302e-08 0.531395 0.928177 0 0
0.150394 2.4394e-08 1.15726e-08 1.28215e-08 0.525598 0.935512 0 0
0.158114 2.42247e-08 1.14599e-08 1.27648e-08 0.526933 0.935733 0 0
0.16623 2.42105e-08 1.11429e-08 1.30676e-08 0.53975 0.924784 0 0
0.174762 2.44325e-08 1.06723e-08 1.37601e-08 0.563191 0.899501 0 0
0.183733 2.47479e-08 1.01488e-08 1.45991e-08 0.589911 0.866344 0 0
0.193164 2.51204e-08 9.65774e-09 1.54626e-08 0.615542 0.832937 0 0
0.203079 2.55403e-08 9.29494e-09 1.62454e-08 0.636068 0.806006 0 0
0.213503 2.60219e-08 9.05162e-09 1.69703e-08 0.652154 0.784913 0 0
0.224463 2.65658e-08 9.02467e-09 1.75412e-08 0.66029 0.771209 0 0
0.235984 2.69878e-08 9.07348e-09 1.79143e-08 0.663793 0.761718 0 0
0.248097 2.71069e-08 9.20672e-09 1.79001e-08 0.660354 0.756851 0 0
0.260832 2.70065e-08 9.39154e-09 1.7615e-08 0.65225 0.755719 0 0
0.274221 2.68549e-08 9.59046e-09 1.72644e-08 0.642879 0.756145 0 0
0.288297 2.6758e-08 9.88976e-09 1.68683e-08 0.6304 0.761943 0 0
0.303095 2.67497e-08 1.01292e-08 1.66204e-08 0.621332 0.766456 0 0
0.318653 2.67729e-08 1.03447e-08 1.64282e-08 0.613614 0.770392 0 0
0.335009 2.68314e-08 1.05426e-08 1.62888e-08 0.60708 0.773717 0 0
0.352205 2.69174e-08 1.07127e-08 1.62047e-08 0.602015 0.775658 0 0
0.370284 2.70199e-08 1.08588e-08 1.61611e-08 0.598119 0.776249 0 0
0.389291 2.71291e-08 1.09787e-08 1.61504e-08 0.595315 0.775392 0 0
0.409273 2.72447e-08 1.10948e-08 1.61498e-08 0.59277 0.774118 0 0
0.430281 2.73622e-08 1.12084e-08 1.61539e-08 0.590371 0.772548 0 0
0.452368 2.74923e-08 1.13313e-08 1.61609e-08 0.587835 0.771105 0 0
0.475588 2.76244e-08 1.1455e-08 1.61694e-08 0.58533 0.769399 0 0
0.5 2.77635e-08 1.15799e-08 1.61836e-08 0.582909 0.76735 0 0
