# 7.38128e-08 2 7 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 1.86371e+06 1.26759
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 1.70487e-15 1.70435e-15 5.22868e-19 0.000306691 0.00119233 0 8.42498e-136
0.0525665 1.9745e-15 1.97394e-15 5.60699e-19 0.00028397 0.00106206 0 4.80295e-130
0.0552647 2.27861e-15 2.27801e-15 6.00761e-19 0.000263652 0.000945689 0 1.44207e-124
0.0581015 2.58571e-15 2.58508e-15 6.33822e-19 0.000245125 0.00084161 0 2.32091e-119
0.0610839 2.93125e-15 2.93057e-15 6.74022e-19 0.000229944 0.000741193 0 2.09488e-114
0.0642193 3.42371e-15 3.42296e-15 7.51133e-19 0.000219392 0.000641051 0 1.12469e-109
0.0675157 4.17143e-15 4.17055e-15 8.83047e-19 0.000211689 0.000540124 0 3.7343e-105
0.0709813 4.63172e-15 4.63081e-15 9.12152e-19 0.000196936 0.000452723 0 6.87065e-101
0.0746248 4.40604e-15 4.40524e-15 7.97e-19 0.000180888 0.00039041 0 6.7463e-97
0.0784553 3.75921e-15 3.75859e-15 6.18515e-19 0.000164533 0.00034896 0 3.78653e-93
0.0824824 3.02153e-15 3.02109e-15 4.35153e-19 0.000144018 0.00032615 0 1.30429e-89
0.0867162 2.63969e-15 2.63936e-15 3.35321e-19 0.00012703 0.000313127 0 3.24745e-86
0.0911674 2.32558e-15 2.3253e-15 2.81308e-19 0.000120963 0.000304015 0 5.53154e-83
0.095847 1.82514e-15 1.82492e-15 2.23241e-19 0.000122314 0.000320498 0 5.80121e-80
0.100767 1.25811e-15 1.25795e-15 1.5233e-19 0.000121079 0.000373828 0 3.76086e-77
0.105939 8.24904e-16 8.24798e-16 1.05542e-19 0.000127944 0.00040334 0 1.65997e-74
0.111377 4.99254e-16 4.99189e-16 6.45533e-20 0.0001293 0.000461634 0 4.9202e-72
0.117094 3.82385e-16 3.82344e-16 4.02442e-20 0.000105245 0.000422835 0 1.3636e-69
0.123105 2.99779e-16 2.99753e-16 2.62213e-20 8.74688e-05 0.000362777 0 2.90024e-67
0.129424 2.51665e-16 2.51648e-16 1.6867e-20 6.70214e-05 0.000305107 0 5.02215e-65
0.136067 2.38475e-16 2.38464e-16 1.09274e-20 4.58221e-05 0.000258149 0 7.56341e-63
0.143051 2.47426e-16 2.47419e-16 7.17726e-21 2.90077e-05 0.00022021 0 9.73179e-61
0.150394 2.85534e-16 2.85529e-16 4.88946e-21 1.71239e-05 0.000187982 0 1.09995e-58
0.158114 3.46609e-16 3.46606e-16 3.69762e-21 1.0668e-05 0.000160976 0 1.04474e-56
0.16623 4.34166e-16 4.34162e-16 3.41532e-21 7.86641e-06 0.000138388 0 8.26961e-55
0.174762 5.6836e-16 5.68356e-16 4.11482e-21 7.23981e-06 0.000118992 0 5.58276e-53
0.183733 7.6305e-16 7.63044e-16 5.8754e-21 7.69989e-06 0.000101346 0 3.1857e-51
0.193164 1.05921e-15 1.0592e-15 9.33259e-21 8.81089e-06 8.43356e-05 0 1.5638e-49
0.203079 1.39991e-15 1.3999e-15 1.42439e-20 1.01749e-05 6.76291e-05 0 6.13602e-48
0.213503 1.51157e-15 1.51155e-15 1.74804e-20 1.15644e-05 5.20134e-05 0 1.6659e-46
0.224463 1.16104e-15 1.16102e-15 1.4523e-20 1.25086e-05 3.851e-05 0 2.74957e-45
0.235984 7.9144e-16 7.9143e-16 9.85087e-21 1.24468e-05 2.74855e-05 0 3.4794e-44
0.248097 5.61711e-16 5.61705e-16 6.37551e-21 1.13501e-05 2.10534e-05 0 4.02991e-43
0.260832 4.43862e-16 4.43857e-16 4.37815e-21 9.86377e-06 2.19045e-05 0 4.7343e-42
0.274221 3.66216e-16 3.66213e-16 3.15771e-21 8.62252e-06 2.92873e-05 0 5.68749e-41
0.288297 3.16496e-16 3.16493e-16 2.35351e-21 7.43617e-06 3.92945e-05 0 7.75086e-40
0.303095 2.78378e-16 2.78376e-16 1.81357e-21 6.51477e-06 4.406e-05 0 1.21472e-38
0.318653 2.45763e-16 2.45762e-16 1.41214e-21 5.74594e-06 4.59733e-05 0 2.01289e-37
0.335009 2.20366e-16 2.20365e-16 1.11226e-21 5.04734e-06 4.52101e-05 0 3.23728e-36
0.352205 2.00745e-16 2.00744e-16 8.86874e-22 4.41792e-06 4.28989e-05 0 4.77373e-35
0.370284 1.84349e-16 1.84348e-16 7.13416e-22 3.86993e-06 4.01059e-05 0 6.26617e-34
0.389291 1.68922e-16 1.68922e-16 5.78299e-22 3.42346e-06 3.73918e-05 0 7.21264e-33
0.409273 1.54174e-16 1.54174e-16 4.70173e-22 3.04962e-06 3.47566e-05 0 7.28151e-32
0.430281 1.40053e-16 1.40052e-16 3.82642e-22 2.73213e-06 3.22532e-05 0 6.47121e-31
0.452368 1.27903e-16 1.27903e-16 3.11361e-22 2.43435e-06 2.96674e-05 0 5.14065e-30
0.475588 1.16903e-16 1.16903e-16 2.53527e-22 2.1687e-06 2.7191e-05 0 3.65345e-29
0.5 1.07594e-16 1.07593e-16 2.0698e-22 1.92371e-06 2.48151e-05 0 2.34964e-28
0.525665 9.95571e-17 9.95569e-17 1.69159e-22 1.69911e-06 2.25687e-05 0 1.37229e-27
0.552647 9.19739e-17 9.19738e-17 1.38301e-22 1.50369e-06 2.05223e-05 0 7.26347e-27
0.581015 8.56743e-17 8.56742e-17 1.13622e-22 1.32621e-06 1.86206e-05 0 3.53526e-26
0.610839 7.9664e-17 7.96639e-17 9.33751e-23 1.17211e-06 1.6898e-05 0 1.57343e-25
0.642193 7.39229e-17 7.39228e-17 7.6723e-23 1.03788e-06 1.53353e-05 0 6.42901e-25
0.675157 6.86071e-17 6.8607e-17 6.31128e-23 9.19917e-07 1.39238e-05 0 2.42684e-24
0.709813 6.36941e-17 6.36941e-17 5.2005e-23 8.1648e-07 1.26578e-05 0 8.49727e-24
0.746248 5.90787e-17 5.90787e-17 4.28594e-23 7.25463e-07 1.15266e-05 0 2.76642e-23
0.784553 5.46962e-17 5.46962e-17 3.53114e-23 6.45592e-07 1.04993e-05 0 8.39588e-23
0.824824 5.06008e-17 5.06007e-17 2.90862e-23 5.74817e-07 9.5774e-06 0 2.38589e-22
0.867162 4.67699e-17 4.67699e-17 2.39672e-23 5.12448e-07 8.74788e-06 0 6.36779e-22
0.911674 4.31716e-17 4.31715e-17 1.97387e-23 4.57214e-07 7.99746e-06 6.26011e-310 1.60033e-21
0.95847 3.98384e-17 3.98384e-17 1.62426e-23 4.07713e-07 7.32486e-06 4.97086e-295 3.80212e-21
1.00767 3.67232e-17 3.67232e-17 1.33668e-23 3.63987e-07 6.71419e-06 7.26637e-281 8.55646e-21
1.05939 3.38869e-17 3.38869e-17 1.09955e-23 3.24476e-07 6.16025e-06 2.12838e-267 1.83268e-20
1.11377 3.12221e-17 3.12221e-17 9.04209e-24 2.89606e-07 5.65596e-06 1.34769e-254 3.73579e-20
1.17094 2.88572e-17 2.88571e-17 7.43248e-24 2.57561e-07 5.18514e-06 1.99724e-242 7.29902e-20
