# 0.000152549 2 80 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 0.00128781 2.51595e+07
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 1.49697e-07 5.24016e-08 9.72955e-08 0.649949 0.857254 0 0
0.0525665 1.49931e-07 5.16728e-08 9.82581e-08 0.655356 0.845132 0 0
0.0552647 1.50175e-07 5.11625e-08 9.90121e-08 0.659313 0.83508 0 0
0.0581015 1.50406e-07 5.09996e-08 9.94062e-08 0.66092 0.828934 0 0
0.0610839 1.50637e-07 5.03774e-08 1.0026e-07 0.66557 0.820493 0 0
0.0642193 1.50944e-07 4.86959e-08 1.02248e-07 0.67739 0.802872 0 0
0.0675157 1.51352e-07 4.71102e-08 1.04241e-07 0.688737 0.78364 0 0
0.0709813 1.51794e-07 4.7209e-08 1.04585e-07 0.688993 0.776853 0 0
0.0746248 1.52211e-07 4.82135e-08 1.03998e-07 0.683246 0.778257 0 0
0.0784553 1.52592e-07 4.94905e-08 1.03101e-07 0.675668 0.783079 0 0
0.0824824 1.52952e-07 5.09172e-08 1.02035e-07 0.667103 0.788793 0 0
0.0867162 1.53306e-07 5.14508e-08 1.01855e-07 0.664391 0.787729 0 0
0.0911674 1.53707e-07 5.15258e-08 1.02182e-07 0.66478 0.782781 0 0
0.095847 1.5409e-07 5.20796e-08 1.02011e-07 0.662019 0.781029 0 0
0.100767 1.54266e-07 5.41029e-08 1.00163e-07 0.649289 0.791835 0 0
0.105939 1.54341e-07 5.60318e-08 9.83091e-08 0.636961 0.805754 0 0
0.111377 1.54097e-07 5.92481e-08 9.48491e-08 0.615515 0.832265 0 0
0.117094 1.54007e-07 6.25433e-08 9.14636e-08 0.593893 0.863362 0 0
