# 0.00351441 3 110 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 2.9161e-06 inf
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 7.78717e-05 2.75153e-05 5.03564e-05 0.646659 0.854032 0 0
0.0525665 7.78832e-05 2.70688e-05 5.08144e-05 0.652444 0.84155 0 0
0.0552647 7.78956e-05 2.67312e-05 5.11644e-05 0.656833 0.831188 0 0
0.0581015 7.79063e-05 2.65779e-05 5.13284e-05 0.658848 0.824832 0 0
0.0610839 7.79162e-05 2.61997e-05 5.17165e-05 0.663746 0.816074 0 0
0.0642193 7.79292e-05 2.526e-05 5.26692e-05 0.67586 0.7978 0 0
0.0675157 7.79452e-05 2.43268e-05 5.36185e-05 0.687899 0.777841 0 0
0.0709813 7.7962e-05 2.42339e-05 5.37281e-05 0.689158 0.770732 0 0
0.0746248 7.798e-05 2.46048e-05 5.33752e-05 0.684473 0.772091 0 0
0.0784553 7.7998e-05 2.51217e-05 5.28763e-05 0.677919 0.777 0 0
0.0824824 7.80162e-05 2.57115e-05 5.23047e-05 0.670434 0.782886 0 0
0.0867162 7.80346e-05 2.58512e-05 5.21833e-05 0.668721 0.781769 0 0
0.0911674 7.80544e-05 2.57343e-05 5.23201e-05 0.670303 0.776628 0 0
0.095847 7.80745e-05 2.58467e-05 5.22278e-05 0.668948 0.774884 0 0
0.100767 7.80915e-05 2.6759e-05 5.13324e-05 0.657337 0.786347 0 0
0.105939 7.81054e-05 2.7676e-05 5.04294e-05 0.645659 0.800997 0 0
0.111377 7.81135e-05 2.93458e-05 4.87677e-05 0.624318 0.828998 0 0
0.117094 7.81194e-05 3.10667e-05 4.70526e-05 0.602317 0.861318 0 0
0.123105 7.81308e-05 3.21773e-05 4.59535e-05 0.588161 0.883941 0 0
0.129424 7.81448e-05 3.31199e-05 4.50249e-05 0.576173 0.903904 0 0
0.136067 7.81594e-05 3.38733e-05 4.42861e-05 0.566613 0.920096 0 0
0.143051 7.81719e-05 3.44581e-05 4.37138e-05 0.559201 0.932731 0 0
0.150394 7.81803e-05 3.47905e-05 4.33897e-05 0.554996 0.940877 0 0
0.158114 7.81887e-05 3.46737e-05 4.3515e-05 0.556538 0.941764 0 0
0.16623 7.82047e-05 3.38542e-05 4.43505e-05 0.567108 0.930973 0 0
0.174762 7.82334e-05 3.22344e-05 4.5999e-05 0.587971 0.904493 0 0
0.183733 7.82676e-05 3.01921e-05 4.80754e-05 0.614245 0.868724 0 0
0.193164 7.83048e-05 2.80699e-05 5.02349e-05 0.64153 0.831907 0 0
0.203079 7.8344e-05 2.6226e-05 5.21179e-05 0.665245 0.801478 0 0
0.213503 7.83862e-05 2.46436e-05 5.37426e-05 0.685613 0.776715 0 0
0.224463 7.84342e-05 2.35906e-05 5.48436e-05 0.699231 0.759585 0 0
0.235984 7.84874e-05 2.29962e-05 5.54912e-05 0.707008 0.748044 0 0
0.248097 7.85437e-05 2.31061e-05 5.54376e-05 0.705818 0.744287 0 0
0.260832 7.8594e-05 2.36704e-05 5.49236e-05 0.698827 0.74643 0 0
0.274221 7.86351e-05 2.43536e-05 5.42816e-05 0.690297 0.750642 0 0
0.288297 7.86601e-05 2.52536e-05 5.34065e-05 0.678953 0.760105 0 0
0.303095 7.86855e-05 2.58711e-05 5.28144e-05 0.671208 0.767315 0 0
0.318653 7.87116e-05 2.63745e-05 5.23371e-05 0.664922 0.773655 0 0
0.335009 7.87403e-05 2.67737e-05 5.19666e-05 0.659975 0.779101 0 0
0.352205 7.87727e-05 2.70486e-05 5.17241e-05 0.656625 0.78294 0 0
0.370284 7.88083e-05 2.72269e-05 5.15814e-05 0.654517 0.785309 0 0
0.389291 7.88466e-05 2.7321e-05 5.15256e-05 0.653492 0.786214 0 0
0.409273 7.88865e-05 2.73905e-05 5.1496e-05 0.652786 0.786754 0 0
0.430281 7.89273e-05 2.74488e-05 5.14785e-05 0.652227 0.787132 0 0
0.452368 7.89702e-05 2.7508e-05 5.14622e-05 0.651666 0.787696 0 0
0.475588 7.90148e-05 2.75609e-05 5.14539e-05 0.651194 0.788204 0 0
0.5 7.90618e-05 2.75957e-05 5.14661e-05 0.650961 0.788448 0 0
0.525665 7.91115e-05 2.76188e-05 5.14927e-05 0.650888 0.788529 0 0
0.552647 7.91631e-05 2.76356e-05 5.15274e-05 0.650902 0.788489 0 0
0.581015 7.92181e-05 2.76057e-05 5.16124e-05 0.651523 0.787646 0 0
0.610839 7.92753e-05 2.75739e-05 5.17014e-05 0.652175 0.786766 0 0
0.642193 7.93346e-05 2.75402e-05 5.17944e-05 0.65286 0.785844 0 0
0.675157 7.93967e-05 2.74886e-05 5.19081e-05 0.653781 0.784603 0 0
0.709813 7.94614e-05 2.74208e-05 5.20407e-05 0.654917 0.783065 0 0
0.746248 7.95287e-05 2.73453e-05 5.21834e-05 0.656158 0.781372 0 0
0.784553 7.95982e-05 2.72675e-05 5.23307e-05 0.657436 0.779638 0 0
0.824824 7.96701e-05 2.71878e-05 5.24823e-05 0.658745 0.777856 0 0
0.867162 7.97439e-05 2.71062e-05 5.26377e-05 0.660084 0.776027 0 0
0.911674 7.982e-05 2.70247e-05 5.27952e-05 0.661429 0.774193 0 0
0.95847 7.9898e-05 2.6948e-05 5.295e-05 0.66272 0.772408 0 0
1.00767 7.9978e-05 2.6871e-05 5.31071e-05 0.664021 0.770616 0 0
1.05939 8.006e-05 2.68021e-05 5.32579e-05 0.665225 0.768933 0 0
1.11377 8.0144e-05 2.67309e-05 5.34131e-05 0.666465 0.767211 0 0
1.17094 8.02305e-05 2.66668e-05 5.35637e-05 0.667623 0.765593 0 0
1.23105 8.03194e-05 2.66033e-05 5.37161e-05 0.668781 0.763982 0 0
1.29424 8.04111e-05 2.65316e-05 5.38795e-05 0.670051 0.762242 0 0
1.36067 8.05048e-05 2.64633e-05 5.40415e-05 0.671283 0.760548 0 0
1.43051 8.06005e-05 2.64008e-05 5.41997e-05 0.672449 0.758934 0 0
