# 3.94133e-08 3 1 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 1.53099e+07 0.344787
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 2.60276e-16 2.60264e-16 1.21855e-20 4.68175e-05 0.000339431 0 5.39766e-52
0.0525665 3.01425e-16 3.01412e-16 1.30638e-20 4.334e-05 0.000302358 0 2.39483e-50
0.0552647 3.47822e-16 3.47808e-16 1.39937e-20 4.02323e-05 0.000269245 0 8.80545e-49
0.0581015 4.0842e-16 4.08405e-16 1.47601e-20 3.61394e-05 0.000239632 0 2.76573e-47
0.0610839 5.65665e-16 5.65649e-16 1.56902e-20 2.77376e-05 0.00021105 0 8.67884e-46
0.0642193 7.14461e-16 7.14443e-16 1.74758e-20 2.44601e-05 0.000182537 0 2.1222e-44
0.0675157 8.54719e-16 8.54698e-16 2.05264e-20 2.40154e-05 0.00015381 0 4.24016e-43
0.0709813 9.81767e-16 9.81746e-16 2.11735e-20 2.15667e-05 0.000128956 0 7.10991e-42
0.0746248 9.17347e-16 9.17329e-16 1.84752e-20 2.01398e-05 0.000111247 0 8.69674e-41
0.0784553 7.21314e-16 7.213e-16 1.43246e-20 1.9859e-05 9.94657e-05 0 8.5154e-40
0.0824824 5.72608e-16 5.72598e-16 1.00748e-20 1.75946e-05 9.29951e-05 0 8.95504e-39
0.0867162 4.7984e-16 4.79832e-16 7.76436e-21 1.61812e-05 8.9308e-05 0 1.17065e-37
0.0911674 4.18725e-16 4.18718e-16 6.51331e-21 1.55551e-05 8.67327e-05 0 1.80882e-36
0.095847 3.74345e-16 3.74339e-16 5.16777e-21 1.38049e-05 9.14547e-05 0 2.87052e-35
0.100767 3.28098e-16 3.28094e-16 3.52638e-21 1.0748e-05 0.000106665 0 4.10754e-34
0.105939 2.85643e-16 2.85641e-16 2.44345e-21 8.55421e-06 0.000115066 0 5.1877e-33
0.111377 2.44822e-16 2.44821e-16 1.49487e-21 6.10596e-06 0.000131687 0 5.68136e-32
0.117094 2.0745e-16 2.07449e-16 9.32169e-22 4.49347e-06 0.00012058 0 5.4231e-31
0.123105 1.74353e-16 1.74352e-16 6.07457e-22 3.48407e-06 0.000103446 0 4.54575e-30
0.129424 1.46665e-16 1.46665e-16 3.90795e-22 2.66454e-06 8.69992e-05 0 3.39411e-29
0.136067 1.33032e-16 1.33032e-16 2.53203e-22 1.90333e-06 7.36083e-05 0 2.44521e-28
0.143051 1.20795e-16 1.20795e-16 1.66318e-22 1.37686e-06 6.27894e-05 0 1.58646e-27
0.150394 1.14192e-16 1.14192e-16 1.1331e-22 9.92274e-07 5.35989e-05 0 9.69031e-27
0.158114 1.12976e-16 1.12976e-16 8.56956e-23 7.58532e-07 4.5898e-05 0 5.62926e-26
0.16623 1.17588e-16 1.17588e-16 7.91606e-23 6.73205e-07 3.94569e-05 0 3.14111e-25
0.174762 1.28979e-16 1.28979e-16 9.53831e-23 7.39524e-07 3.39264e-05 0 1.69408e-24
0.183733 1.49195e-16 1.49195e-16 1.36206e-22 9.12943e-07 2.88949e-05 0 8.8747e-24
0.193164 1.84855e-16 1.84854e-16 2.16356e-22 1.17041e-06 2.40446e-05 0 4.60544e-23
0.203079 2.42139e-16 2.42139e-16 3.30167e-22 1.36354e-06 1.92815e-05 0 2.34571e-22
0.213503 2.97969e-16 2.97968e-16 4.05074e-22 1.35945e-06 1.48294e-05 0 1.04585e-21
0.224463 2.85738e-16 2.85738e-16 3.36471e-22 1.17755e-06 1.09793e-05 0 3.39772e-21
0.235984 2.20708e-16 2.20707e-16 2.28226e-22 1.03407e-06 7.83593e-06 0 8.34103e-21
0.248097 1.66719e-16 1.66719e-16 1.47719e-22 8.86033e-07 6.00262e-06 0 1.8845e-20
0.260832 1.33497e-16 1.33497e-16 1.01447e-22 7.59922e-07 6.24662e-06 0 4.25991e-20
0.274221 1.13603e-16 1.13603e-16 7.31719e-23 6.44102e-07 8.35315e-06 0 9.68663e-20
0.288297 1.01192e-16 1.01192e-16 5.45387e-23 5.38963e-07 1.12067e-05 0 2.18815e-19
0.303095 9.16327e-17 9.16327e-17 4.20273e-23 4.5865e-07 1.25649e-05 0 4.78105e-19
0.318653 7.9951e-17 7.9951e-17 3.27255e-23 4.09319e-07 1.31099e-05 0 9.60003e-19
0.335009 7.0159e-17 7.0159e-17 2.57764e-23 3.674e-07 1.28918e-05 0 1.85323e-18
0.352205 6.10466e-17 6.10466e-17 2.05534e-23 3.36683e-07 1.22324e-05 0 3.39829e-18
0.370284 5.24786e-17 5.24786e-17 1.65337e-23 3.15056e-07 1.14358e-05 0 5.90988e-18
0.389291 4.40961e-17 4.40961e-17 1.34024e-23 3.03936e-07 1.06617e-05 0 9.66236e-18
