# 5.38285e-07 3 26 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 4900.93 281.264
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 5.70438e-13 5.19129e-13 5.13089e-14 0.0899465 0.0711823 0 0
0.0525665 6.54588e-13 5.99001e-13 5.5587e-14 0.0849191 0.0635296 0 0
0.0552647 7.50253e-13 6.90149e-13 6.01042e-14 0.0801118 0.0566165 0 0
0.0581015 9.51154e-13 8.87305e-13 6.38489e-14 0.0671278 0.0503422 0 0
0.0610839 1.39641e-12 1.32776e-12 6.86499e-14 0.0491618 0.0443595 0 0
0.0642193 1.73879e-12 1.66074e-12 7.80501e-14 0.0448876 0.0385228 0 0
0.0675157 2.09107e-12 1.99595e-12 9.51194e-14 0.0454883 0.0325931 0 0
0.0709813 2.40843e-12 2.30224e-12 1.06183e-13 0.0440881 0.0270454 0 0
0.0746248 2.28641e-12 2.18389e-12 1.02521e-13 0.0448391 0.0228026 0 0
0.0784553 1.84844e-12 1.76129e-12 8.71562e-14 0.0471511 0.0198985 0 0
0.0824824 1.47857e-12 1.41347e-12 6.50979e-14 0.0440276 0.0181157 0 0
0.0867162 1.24673e-12 1.19587e-12 5.08573e-14 0.0407925 0.0169703 0 0
0.0911674 1.09234e-12 1.04907e-12 4.32785e-14 0.0396198 0.0160867 0 0
0.095847 9.57431e-13 9.22141e-13 3.52901e-14 0.0368592 0.0165701 0 0
0.100767 8.05612e-13 7.81208e-13 2.44042e-14 0.0302927 0.0192191 0 0
0.105939 6.73949e-13 6.56974e-13 1.69751e-14 0.0251875 0.0208819 0 0
0.111377 5.54943e-13 5.4466e-13 1.02825e-14 0.0185289 0.0238104 0 0
0.117094 4.62779e-13 4.56467e-13 6.31248e-15 0.0136404 0.0222983 0 0
0.123105 3.85135e-13 3.81063e-13 4.07185e-15 0.0105725 0.0192004 0 0
0.129424 3.22667e-13 3.2007e-13 2.59754e-15 0.00805021 0.016154 0 0
0.136067 2.92521e-13 2.90848e-13 1.67271e-15 0.00571825 0.0136754 0 0
0.143051 2.67427e-13 2.66333e-13 1.09382e-15 0.00409018 0.0116764 0 0
0.150394 2.56387e-13 2.55645e-13 7.41928e-16 0.00289378 0.00997863 0 0
0.158114 2.58317e-13 2.57758e-13 5.58156e-16 0.00216074 0.00855517 0 0
0.16623 2.743e-13 2.73788e-13 5.12138e-16 0.00186707 0.00736418 0 0
0.174762 3.07778e-13 3.07166e-13 6.11849e-16 0.00198795 0.0063405 0 0
0.183733 3.63976e-13 3.63109e-13 8.67107e-16 0.00238232 0.00540751 0 0
0.193164 4.59798e-13 4.58424e-13 1.37358e-15 0.00298736 0.00450494 0 0
0.203079 6.04387e-13 6.02273e-13 2.11419e-15 0.00349807 0.00361328 0 0
0.213503 7.29879e-13 7.27231e-13 2.64772e-15 0.00362762 0.00277825 0 2.54995e-316
0.224463 6.78771e-13 6.76532e-13 2.23899e-15 0.00329859 0.00205975 0 1.63769e-301
0.235984 5.16135e-13 5.14613e-13 1.52236e-15 0.00294953 0.00147429 0 1.59899e-287
0.248097 3.87059e-13 3.86077e-13 9.81305e-16 0.00253529 0.00112499 0 3.12443e-274
0.260832 3.09611e-13 3.0894e-13 6.70975e-16 0.00216715 0.00115224 0 1.42837e-261
0.274221 2.6275e-13 2.62268e-13 4.82309e-16 0.00183562 0.00152352 0 1.63641e-249
0.288297 2.33417e-13 2.33058e-13 3.58573e-16 0.00153619 0.00205025 0 4.97492e-238
0.303095 2.11056e-13 2.1078e-13 2.75824e-16 0.00130687 0.0023089 0 4.1727e-227
0.318653 1.85037e-13 1.84823e-13 2.1447e-16 0.00115906 0.0024177 0 9.8046e-217
0.335009 1.63276e-13 1.63107e-13 1.68733e-16 0.00103342 0.00238363 0 7.11873e-207
0.352205 1.43551e-13 1.43417e-13 1.34415e-16 0.000936354 0.00226552 0 1.67518e-197
0.370284 1.25615e-13 1.25507e-13 1.0804e-16 0.00086009 0.00212045 0 1.34824e-188
0.389291 1.09258e-13 1.09171e-13 8.75186e-17 0.000801023 0.00197865 0 3.90557e-180
0.409273 9.44522e-14 9.4381e-14 7.1113e-17 0.0007529 0.00184049 0 4.27909e-172
0.430281 8.11108e-14 8.1053e-14 5.78436e-17 0.000713143 0.00170893 0 1.85822e-164
0.452368 6.92768e-14 6.92298e-14 4.70458e-17 0.000679098 0.00157263 0 3.34982e-157
0.475588 5.88201e-14 5.87818e-14 3.82909e-17 0.000650982 0.00144187 0 2.61524e-150
0.5 4.97251e-14 4.96939e-14 3.12487e-17 0.000628429 0.00131626 0 9.22482e-144
0.525665 4.18443e-14 4.18188e-14 2.55301e-17 0.000610121 0.00119737 0 1.52803e-137
0.552647 3.50226e-14 3.50017e-14 2.08663e-17 0.000595797 0.00108902 0 1.23225e-131
0.581015 2.92458e-14 2.92287e-14 1.71383e-17 0.000586009 0.000988236 0 5.02738e-126
0.610839 2.43355e-14 2.43214e-14 1.40808e-17 0.000578611 0.000896928 0 1.07168e-120
0.642193 2.01858e-14 2.01742e-14 1.15671e-17 0.000573031 0.000814075 0 1.23283e-115
0.675157 1.67189e-14 1.67093e-14 9.51319e-18 0.000569009 0.000739217 0 7.90384e-111
0.709813 1.38559e-14 1.38481e-14 7.83743e-18 0.000565637 0.000672057 1.91469e-294 2.91345e-106
0.746248 1.14936e-14 1.14872e-14 6.45807e-18 0.000561883 0.000612046 3.37725e-280 6.35084e-102
0.784553 9.54623e-15 9.54091e-15 5.31991e-18 0.000557279 0.000557539 1.17675e-266 8.40923e-98
0.824824 7.93941e-15 7.93503e-15 4.38141e-18 0.000551856 0.000508618 8.76865e-254 6.93837e-94
0.867162 6.6125e-15 6.60889e-15 3.60985e-18 0.000545913 0.000464595 1.50705e-241 3.65563e-90
0.911674 5.57539e-15 5.57242e-15 2.97261e-18 0.000533166 0.000424768 6.48763e-230 1.27267e-86
0.95847 4.73561e-15 4.73317e-15 2.44585e-18 0.00051648 0.000389071 7.45277e-219 2.97933e-83
1.00767 3.99071e-15 3.98869e-15 2.0126e-18 0.000504321 0.000356655 2.40068e-208 4.71931e-80
1.05939 3.42236e-15 3.42071e-15 1.65541e-18 0.000483703 0.00032725 2.36586e-198 5.29657e-77
1.11377 3.04179e-15 3.04043e-15 1.3612e-18 0.0004475 0.000300479 7.70317e-189 4.37483e-74
1.17094 2.72651e-15 2.7254e-15 1.11881e-18 0.000410343 0.000275484 8.52657e-180 2.63698e-71
1.23105 2.44183e-15 2.44091e-15 9.20005e-19 0.000376769 0.0002526 3.3522e-171 1.1699e-68
1.29424 2.20962e-15 2.20886e-15 7.56774e-19 0.000342491 0.000231546 4.97852e-163 3.92904e-66
1.36067 2.01179e-15 2.01116e-15 6.22147e-19 0.000309251 0.000212366 2.91825e-155 1.01061e-63
1.43051 1.83549e-15 1.83498e-15 5.11234e-19 0.000278527 0.000194891 7.03874e-148 2.01263e-61
1.50394 1.67887e-15 1.67845e-15 4.20249e-19 0.000250316 0.000178738 7.29929e-141 3.14843e-59
1.58114 1.5388e-15 1.53846e-15 3.45464e-19 0.000224502 0.000163677 3.39013e-134 3.91852e-57
1.6623 1.41216e-15 1.41187e-15 2.84016e-19 0.000201122 0.000149706 7.32876e-128 3.9262e-55
1.74762 1.2959e-15 1.29567e-15 2.33525e-19 0.000180202 0.000137116 7.64579e-122 3.20176e-53
1.83733 1.19083e-15 1.19064e-15 1.91989e-19 0.000161223 0.000125608 3.99406e-116 2.15316e-51
1.93164 1.09543e-15 1.09527e-15 1.57782e-19 0.000144036 0.000115042 1.08044e-110 1.20739e-49
2.03079 1.00956e-15 1.00943e-15 1.2964e-19 0.000128413 0.000105235 1.56422e-105 5.71108e-48
2.13503 9.31078e-16 9.30972e-16 1.06601e-19 0.000114492 9.62656e-05 1.24831e-100 2.29861e-46
2.24463 8.59006e-16 8.58919e-16 8.76162e-20 0.000101997 8.80911e-05 5.65089e-96 7.93716e-45
2.35984 7.93837e-16 7.93765e-16 7.19855e-20 9.06804e-05 8.05554e-05 1.49384e-91 2.37155e-43
2.48097 7.34451e-16 7.34392e-16 5.9133e-20 8.05132e-05 7.3595e-05 2.36651e-87 6.16418e-42
2.60832 6.79675e-16 6.79626e-16 4.86161e-20 7.15285e-05 6.71725e-05 2.30146e-83 1.39904e-40
2.74221 6.28675e-16 6.28635e-16 3.99562e-20 6.35562e-05 6.13271e-05 1.40616e-79 2.78153e-39
2.88297 5.82089e-16 5.82057e-16 3.28135e-20 5.6372e-05 5.60378e-05 5.52958e-76 4.8691e-38
3.03095 5.39527e-16 5.395e-16 2.69524e-20 4.99556e-05 5.12342e-05 1.43008e-72 7.5322e-37
3.18653 5.08444e-16 5.08422e-16 2.2142e-20 4.35485e-05 4.67773e-05 2.52171e-69 1.0499e-35
3.35009 5.19897e-16 5.19879e-16 1.81841e-20 3.49764e-05 4.26792e-05 3.29929e-66 1.41335e-34
3.52205 4.30601e-16 4.30586e-16 1.49267e-20 3.46648e-05 3.89501e-05 2.43565e-63 1.37822e-33
3.70284 3.97972e-16 3.97959e-16 1.2258e-20 3.08013e-05 3.55406e-05 1.42262e-60 1.3481e-32
3.89291 3.69774e-16 3.69764e-16 1.00629e-20 2.72135e-05 3.23934e-05 6.02318e-58 1.1981e-31
4.09273 3.44618e-16 3.4461e-16 8.25969e-21 2.39677e-05 2.94228e-05 1.87398e-55 9.70515e-31
4.30281 3.22042e-16 3.22035e-16 6.77824e-21 2.10477e-05 2.67367e-05 4.34871e-53 7.20147e-30
4.52368 3.02585e-16 3.02579e-16 5.5642e-21 1.83889e-05 2.42926e-05 7.65732e-51 4.93277e-29
4.75588 2.87445e-16 2.8744e-16 4.56583e-21 1.58842e-05 2.20517e-05 1.04302e-48 3.15015e-28
5 2.82888e-16 2.82885e-16 3.74551e-21 1.32402e-05 1.99079e-05 1.14094e-46 1.92899e-27
5.25665 3.64926e-16 3.64923e-16 3.07327e-21 8.42162e-06 1.79856e-05 1.28404e-44 1.43734e-26
5.52648 3.23375e-16 3.23373e-16 2.52153e-21 7.79753e-06 1.62658e-05 7.88359e-43 6.84512e-26
5.81015 4.02165e-16 4.02163e-16 2.06752e-21 5.14097e-06 1.46958e-05 5.45643e-41 4.26457e-25
6.10839 9.23172e-16 9.23171e-16 1.6948e-21 1.83585e-06 1.3224e-05 5.65887e-39 4.57762e-24
