# 5.37201e-06 3 48 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 3.68312 75280.6
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 1.91773e-10 7.48171e-11 1.16956e-10 0.609866 0.826632 0 0
0.0525665 1.95756e-10 7.70001e-11 1.18756e-10 0.606653 0.812149 0 0
0.0552647 2.00059e-10 7.96645e-11 1.20394e-10 0.601794 0.799753 0 0
0.0581015 2.04146e-10 8.28925e-11 1.21253e-10 0.593955 0.790984 0 0
0.0610839 2.08755e-10 8.54722e-11 1.23283e-10 0.590563 0.780372 0 0
0.0642193 2.15899e-10 8.71562e-11 1.28743e-10 0.596311 0.762216 0 0
0.0675157 2.26597e-10 9.11698e-11 1.35427e-10 0.597656 0.743697 0 0
0.0709813 2.37516e-10 9.83702e-11 1.39146e-10 0.585838 0.736304 0 0
0.0746248 2.45273e-10 1.04984e-10 1.4029e-10 0.571972 0.735029 0 0
0.0784553 2.49426e-10 1.09664e-10 1.39762e-10 0.560335 0.735 0 0
0.0824824 2.50703e-10 1.12833e-10 1.3787e-10 0.549933 0.733081 0 0
0.0867162 2.52981e-10 1.14849e-10 1.38132e-10 0.546018 0.72529 0 0
0.0911674 2.57181e-10 1.16823e-10 1.40358e-10 0.545755 0.715115 0 0
0.095847 2.60109e-10 1.18576e-10 1.41533e-10 0.544128 0.705889 0 0
0.100767 2.58586e-10 1.20824e-10 1.37762e-10 0.532752 0.703707 0 0
0.105939 2.57361e-10 1.23523e-10 1.33838e-10 0.520041 0.704762 0 0
0.111377 2.56067e-10 1.29171e-10 1.26896e-10 0.495558 0.71179 0 0
0.117094 2.68141e-10 1.36771e-10 1.3137e-10 0.489928 0.729732 0 0
0.123105 2.77011e-10 1.36047e-10 1.40964e-10 0.508876 0.731382 0 0
0.129424 2.73971e-10 1.3034e-10 1.43631e-10 0.524256 0.731693 0 0
0.136067 2.51903e-10 1.21808e-10 1.30095e-10 0.516448 0.717836 0 0
0.143051 2.25924e-10 1.1136e-10 1.14563e-10 0.507089 0.704683 0 0
0.150394 2.14244e-10 1.09366e-10 1.04878e-10 0.489528 0.710379 0 0
0.158114 2.00662e-10 1.08681e-10 9.19806e-11 0.458386 0.692905 0 0
0.16623 1.91044e-10 1.08016e-10 8.30284e-11 0.434602 0.653541 0 0
0.174762 1.96346e-10 1.10079e-10 8.62668e-11 0.439361 0.611082 0 0
0.183733 2.08069e-10 1.13805e-10 9.42635e-11 0.45304 0.575374 0 0
0.193164 2.24157e-10 1.20709e-10 1.03448e-10 0.461497 0.54995 0 0
0.203079 2.44692e-10 1.31102e-10 1.13589e-10 0.464214 0.52815 0 0
0.213503 2.69267e-10 1.41431e-10 1.27836e-10 0.474757 0.50058 0 0
0.224463 2.86331e-10 1.45214e-10 1.41117e-10 0.492846 0.459658 0 0
0.235984 2.8474e-10 1.38669e-10 1.4607e-10 0.512996 0.395327 0 0
0.248097 2.75386e-10 1.30547e-10 1.44839e-10 0.525948 0.327221 0 0
0.260832 2.71887e-10 1.2941e-10 1.42477e-10 0.524031 0.276589 0 0
0.274221 2.7355e-10 1.32872e-10 1.40679e-10 0.51427 0.240396 0 0
0.288297 2.76352e-10 1.39214e-10 1.37138e-10 0.496243 0.219988 0 0
0.303095 2.7821e-10 1.44327e-10 1.33883e-10 0.48123 0.204156 0 0
0.318653 2.76923e-10 1.47757e-10 1.29167e-10 0.466434 0.192328 0 0
0.335009 2.70441e-10 1.48491e-10 1.2195e-10 0.450929 0.182834 0 0
0.352205 2.58741e-10 1.46355e-10 1.12386e-10 0.434358 0.17281 0 0
0.370284 2.43266e-10 1.41921e-10 1.01345e-10 0.416601 0.162178 0 0
0.389291 2.25439e-10 1.35528e-10 8.99114e-11 0.398828 0.152283 0 0
0.409273 2.05084e-10 1.26891e-10 7.81937e-11 0.381276 0.143475 0 0
0.430281 1.83371e-10 1.16587e-10 6.67837e-11 0.3642 0.135517 0 0
0.452368 1.6176e-10 1.05759e-10 5.6001e-11 0.346197 0.126484 0 0
0.475588 1.41457e-10 9.50668e-11 4.639e-11 0.327945 0.117397 0 0
0.5 1.23534e-10 8.53873e-11 3.81466e-11 0.308794 0.108188 0 0
0.525665 1.07917e-10 7.67281e-11 3.11888e-11 0.289007 0.0991888 0 0
0.552647 9.41347e-11 6.87358e-11 2.53989e-11 0.269814 0.090952 0 0
0.581015 8.2776e-11 6.20479e-11 2.07281e-11 0.250412 0.0829373 0 0
0.610839 7.28139e-11 5.59256e-11 1.68883e-11 0.231937 0.0756771 0 0
0.642193 6.40815e-11 5.03413e-11 1.37402e-11 0.214418 0.0690735 0 0
0.675157 5.65856e-11 4.53993e-11 1.11862e-11 0.197687 0.0630174 0 0
0.709813 5.01568e-11 4.10353e-11 9.12149e-12 0.181859 0.0575221 0 0
0.746248 4.45571e-11 3.7118e-11 7.43903e-12 0.166955 0.0526 0 0
0.784553 3.96248e-11 3.35592e-11 6.06553e-12 0.153074 0.0481124 0 0
0.824824 3.53028e-11 3.03571e-11 4.94569e-12 0.140093 0.0440855 0 0
0.867162 3.15099e-11 2.74742e-11 4.03573e-12 0.128078 0.0404531 0 0
0.911674 2.81552e-11 2.48625e-11 3.29273e-12 0.116949 0.0371592 0 0
0.95847 2.51949e-11 2.25095e-11 2.68534e-12 0.106583 0.0342187 6.98798e-290 0
