# 3.5286e-05 3 66 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 0.0213844 1.36663e+06
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 8.22364e-09 2.88785e-09 5.33579e-09 0.648836 0.858072 0 0
0.0525665 8.2639e-09 2.86773e-09 5.39617e-09 0.652981 0.846191 0 0
0.0552647 8.30617e-09 2.8611e-09 5.44507e-09 0.655546 0.836325 0 0
0.0581015 8.34542e-09 2.87271e-09 5.47271e-09 0.655774 0.830233 0 0
0.0610839 8.385e-09 2.8554e-09 5.5296e-09 0.659464 0.821958 0 0
0.0642193 8.44205e-09 2.7831e-09 5.65896e-09 0.670329 0.804945 0 0
0.0675157 8.52308e-09 2.72994e-09 5.79314e-09 0.6797 0.786524 0 0
0.0709813 8.61132e-09 2.7811e-09 5.83022e-09 0.677041 0.780073 0 0
0.0746248 8.69055e-09 2.88208e-09 5.80847e-09 0.668366 0.781437 0 0
0.0784553 8.7562e-09 2.99252e-09 5.76368e-09 0.65824 0.785987 0 0
0.0824824 8.8078e-09 3.10416e-09 5.70364e-09 0.647566 0.79115 0 0
0.0867162 8.85513e-09 3.15857e-09 5.69657e-09 0.643307 0.789729 0 0
0.0911674 8.91186e-09 3.18974e-09 5.72212e-09 0.642079 0.784688 0 0
0.095847 8.95866e-09 3.24426e-09 5.7144e-09 0.637864 0.782554 0 0
0.100767 8.95808e-09 3.36418e-09 5.5939e-09 0.624452 0.791867 0 0
0.105939 8.94441e-09 3.47145e-09 5.47296e-09 0.611886 0.804264 0 0
0.111377 8.88306e-09 3.64052e-09 5.24254e-09 0.590173 0.828194 0 0
0.117094 8.87589e-09 3.8423e-09 5.03359e-09 0.567108 0.857416 0 0
0.123105 8.89368e-09 3.99091e-09 4.90277e-09 0.551265 0.878008 0 0
0.129424 8.92033e-09 4.12986e-09 4.79048e-09 0.537029 0.896278 0 0
0.136067 8.93948e-09 4.24823e-09 4.69125e-09 0.524779 0.911013 0 0
0.143051 8.92469e-09 4.33334e-09 4.59136e-09 0.514455 0.922287 0 0
0.150394 8.83155e-09 4.34575e-09 4.4858e-09 0.507929 0.928932 0 0
0.158114 8.70497e-09 4.28556e-09 4.41941e-09 0.507688 0.92864 0 0
0.16623 8.67926e-09 4.16628e-09 4.51297e-09 0.519972 0.917025 0 0
0.174762 8.80671e-09 4.012e-09 4.79471e-09 0.544438 0.891392 0 0
0.183733 8.98896e-09 3.85114e-09 5.13782e-09 0.57157 0.85839 0 0
0.193164 9.20132e-09 3.71221e-09 5.48911e-09 0.596557 0.825607 0 0
0.203079 9.44375e-09 3.62784e-09 5.81591e-09 0.615847 0.799728 0 0
0.213503 9.71485e-09 3.58836e-09 6.12649e-09 0.630631 0.779801 0 0
0.224463 9.9865e-09 3.60934e-09 6.37716e-09 0.638579 0.766726 0 0
0.235984 1.01471e-08 3.61643e-09 6.53064e-09 0.643598 0.756402 0 0
0.248097 1.01444e-08 3.63485e-09 6.50951e-09 0.641687 0.749479 0 0
0.260832 1.00632e-08 3.68405e-09 6.37919e-09 0.63391 0.746079 0 0
0.274221 9.98256e-09 3.75215e-09 6.23041e-09 0.62413 0.744565 0 0
0.288297 9.93835e-09 3.8679e-09 6.07045e-09 0.610811 0.74846 0 0
0.303095 9.93904e-09 3.96727e-09 5.97177e-09 0.60084 0.75141 0 0
0.318653 9.95163e-09 4.05726e-09 5.89437e-09 0.592302 0.753618 0 0
0.335009 9.98228e-09 4.14299e-09 5.83929e-09 0.584965 0.755363 0 0
0.352205 1.00253e-08 4.22073e-09 5.80456e-09 0.578992 0.755666 0 0
0.370284 1.0072e-08 4.28637e-09 5.78563e-09 0.574427 0.754362 0 0
0.389291 1.01251e-08 4.34414e-09 5.78092e-09 0.570952 0.751755 0 0
0.409273 1.01803e-08 4.4024e-09 5.77794e-09 0.567558 0.748496 0 0
0.430281 1.02318e-08 4.45628e-09 5.7755e-09 0.564467 0.744384 0 0
0.452368 1.02925e-08 4.51416e-09 5.77833e-09 0.561412 0.740372 0 0
0.475588 1.03662e-08 4.57656e-09 5.7896e-09 0.55851 0.736266 0 0
0.5 1.04588e-08 4.63172e-09 5.82713e-09 0.557148 0.731958 0 0
0.525665 1.05765e-08 4.67957e-09 5.89695e-09 0.557551 0.727911 0 0
0.552647 1.06997e-08 4.72168e-09 5.97801e-09 0.558709 0.72453 0 0
0.581015 1.0789e-08 4.78067e-09 6.00835e-09 0.556895 0.720643 0 0
0.610839 1.07415e-08 4.78533e-09 5.95616e-09 0.5545 0.707716 0 0
0.642193 1.06983e-08 4.83537e-09 5.86293e-09 0.548025 0.691191 0 0
0.675157 1.06404e-08 4.92209e-09 5.71826e-09 0.537413 0.674626 0 0
0.709813 1.03082e-08 4.78084e-09 5.52733e-09 0.536209 0.632131 0 0
0.746248 1.04364e-08 4.83516e-09 5.60128e-09 0.536704 0.58225 0 0
0.784553 1.0714e-08 4.83966e-09 5.87433e-09 0.548286 0.554156 0 0
0.824824 1.09231e-08 4.78008e-09 6.14299e-09 0.562387 0.55325 0 0
0.867162 1.1068e-08 4.69574e-09 6.37224e-09 0.575736 0.549463 0 0
0.911674 1.18591e-08 4.83194e-09 7.02718e-09 0.592555 0.522137 0 0
0.95847 1.19476e-08 4.42482e-09 7.52273e-09 0.629646 0.492861 0 0
1.00767 1.23951e-08 4.20079e-09 8.19432e-09 0.661093 0.494339 0 0
1.05939 1.30556e-08 4.23014e-09 8.82543e-09 0.67599 0.504042 0 0
1.11377 1.39536e-08 4.40168e-09 9.55195e-09 0.68455 0.512329 0 0
