# 0.000208763 3 83 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 0.000708731 1.15247e+08
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 2.79268e-07 9.786e-08 1.81408e-07 0.649584 0.856781 0 0
0.0525665 2.7961e-07 9.6438e-08 1.83172e-07 0.655098 0.844601 0 0
0.0552647 2.79967e-07 9.54188e-08 1.84548e-07 0.659178 0.8345 0 0
0.0581015 2.80308e-07 9.50517e-08 1.85256e-07 0.660902 0.828325 0 0
0.0610839 2.80649e-07 9.38424e-08 1.86806e-07 0.665623 0.819835 0 0
0.0642193 2.81094e-07 9.06464e-08 1.90448e-07 0.677523 0.8021 0 0
0.0675157 2.81676e-07 8.75875e-08 1.94089e-07 0.689049 0.782736 0 0
0.0709813 2.82306e-07 8.76346e-08 1.94672e-07 0.689576 0.775895 0 0
0.0746248 2.82904e-07 8.93627e-08 1.93541e-07 0.684124 0.777299 0 0
0.0784553 2.83455e-07 9.16046e-08 1.9185e-07 0.676828 0.782145 0 0
0.0824824 2.83984e-07 9.41275e-08 1.89856e-07 0.668546 0.787907 0 0
0.0867162 2.8451e-07 9.50054e-08 1.89505e-07 0.666074 0.786851 0 0
0.0911674 2.85107e-07 9.50174e-08 1.9009e-07 0.666731 0.781879 0 0
0.095847 2.85687e-07 9.59162e-08 1.89771e-07 0.664261 0.780144 0 0
0.100767 2.85989e-07 9.9599e-08 1.8639e-07 0.651739 0.791102 0 0
0.105939 2.86145e-07 1.03151e-07 1.82995e-07 0.639517 0.805183 0 0
0.111377 2.8586e-07 1.09182e-07 1.76679e-07 0.618059 0.832013 0 0
0.117094 2.85736e-07 1.15308e-07 1.70428e-07 0.596453 0.863356 0 0
0.123105 2.85882e-07 1.19405e-07 1.66477e-07 0.582326 0.885331 0 0
0.129424 2.86126e-07 1.2299e-07 1.63136e-07 0.570153 0.904724 0 0
0.136067 2.86358e-07 1.25946e-07 1.60412e-07 0.560179 0.92044 0 0
0.143051 2.86435e-07 1.28259e-07 1.58176e-07 0.552223 0.932682 0 0
0.150394 2.86202e-07 1.29456e-07 1.56747e-07 0.547677 0.940537 0 0
0.158114 2.85896e-07 1.28767e-07 1.57129e-07 0.549603 0.941302 0 0
0.16623 2.86067e-07 1.25468e-07 1.606e-07 0.561405 0.930771 0 0
0.174762 2.86995e-07 1.19586e-07 1.67409e-07 0.583316 0.905274 0 0
0.183733 2.88245e-07 1.12494e-07 1.75752e-07 0.609729 0.871078 0 0
0.193164 2.89683e-07 1.05335e-07 1.84347e-07 0.636377 0.836048 0 0
0.203079 2.91267e-07 9.93329e-08 1.91934e-07 0.658963 0.807266 0 0
0.213503 2.93054e-07 9.44038e-08 1.9865e-07 0.677862 0.784075 0 0
0.224463 2.95244e-07 9.17447e-08 2.03499e-07 0.689258 0.768353 0 0
0.235984 2.97626e-07 9.10119e-08 2.06614e-07 0.694207 0.757978 0 0
0.248097 2.99515e-07 9.28161e-08 2.06699e-07 0.690112 0.754528 0 0
0.260832 3.00188e-07 9.56623e-08 2.04526e-07 0.681325 0.755972 0 0
0.274221 3.00088e-07 9.84773e-08 2.0161e-07 0.671838 0.759014 0 0
0.288297 2.99751e-07 1.01878e-07 1.97873e-07 0.660126 0.76715 0 0
0.303095 2.99789e-07 1.04337e-07 1.95452e-07 0.651966 0.773476 0 0
0.318653 2.99974e-07 1.06422e-07 1.93552e-07 0.645229 0.77908 0 0
0.335009 3.00339e-07 1.08194e-07 1.92145e-07 0.639759 0.783937 0 0
0.352205 3.00866e-07 1.0958e-07 1.91286e-07 0.635785 0.787328 0 0
0.370284 3.01497e-07 1.10657e-07 1.9084e-07 0.632974 0.789334 0 0
0.389291 3.02184e-07 1.11451e-07 1.90733e-07 0.631181 0.789935 0 0
0.409273 3.02901e-07 1.12169e-07 1.90732e-07 0.629684 0.790168 0 0
0.430281 3.03632e-07 1.12855e-07 1.90777e-07 0.628317 0.790226 0 0
0.452368 3.04418e-07 1.13575e-07 1.90843e-07 0.626912 0.790459 0 0
0.475588 3.05243e-07 1.14293e-07 1.9095e-07 0.625567 0.790623 0 0
0.5 3.06127e-07 1.14977e-07 1.9115e-07 0.624415 0.790526 0 0
0.525665 3.07066e-07 1.15647e-07 1.91419e-07 0.623379 0.790262 0 0
0.552647 3.08032e-07 1.16311e-07 1.91721e-07 0.622405 0.789854 0 0
0.581015 3.09073e-07 1.16833e-07 1.9224e-07 0.62199 0.788674 0 0
0.610839 3.10137e-07 1.17361e-07 1.92777e-07 0.621585 0.787425 0 0
0.642193 3.1123e-07 1.17895e-07 1.93335e-07 0.621196 0.786102 0 0
0.675157 3.12348e-07 1.18375e-07 1.93973e-07 0.621015 0.784435 0 0
0.709813 3.13526e-07 1.188e-07 1.94726e-07 0.621085 0.782467 0 0
0.746248 3.14591e-07 1.19198e-07 1.95394e-07 0.621103 0.780203 0 0
0.784553 3.16047e-07 1.19576e-07 1.96471e-07 0.621652 0.778064 0 0
0.824824 3.16835e-07 1.19907e-07 1.96928e-07 0.621549 0.775143 0 0
0.867162 3.18139e-07 1.20194e-07 1.97945e-07 0.622198 0.772486 0 0
0.911674 3.20352e-07 1.20378e-07 1.99974e-07 0.624233 0.770217 0 0
0.95847 3.19964e-07 1.20451e-07 1.99513e-07 0.623549 0.765167 0 0
1.00767 3.2074e-07 1.20251e-07 2.00489e-07 0.625083 0.760167 0 0
1.05939 3.25161e-07 1.19943e-07 2.05218e-07 0.631126 0.758563 0 0
1.11377 3.25993e-07 1.19416e-07 2.06577e-07 0.633685 0.753914 0 0
1.17094 3.22659e-07 1.18869e-07 2.03791e-07 0.631597 0.74491 0 0
1.23105 3.24146e-07 1.18149e-07 2.05997e-07 0.635506 0.736971 0 0
1.29424 3.32104e-07 1.17152e-07 2.14952e-07 0.647242 0.73365 0 0
1.36067 3.3724e-07 1.16068e-07 2.21172e-07 0.65583 0.730561 0 0
1.43051 3.32721e-07 1.14025e-07 2.18695e-07 0.657294 0.719974 0 0
1.50394 3.24135e-07 1.11732e-07 2.12403e-07 0.655291 0.698494 0 0
1.58114 3.2532e-07 1.13018e-07 2.12302e-07 0.652594 0.694334 0 0
1.6623 3.37519e-07 1.12459e-07 2.2506e-07 0.666808 0.69734 0 0
1.74762 3.4828e-07 1.09163e-07 2.39117e-07 0.686566 0.704895 0 0
1.83733 3.51248e-07 1.08519e-07 2.42729e-07 0.691047 0.692222 0 0
1.93164 3.4495e-07 1.07558e-07 2.37392e-07 0.688192 0.670909 0 0
2.03079 3.38637e-07 1.05003e-07 2.33634e-07 0.689924 0.651458 0 0
2.13503 3.23463e-07 1.03209e-07 2.20254e-07 0.680924 0.610628 5.27079e-291 0
2.24463 3.35403e-07 1.03556e-07 2.31847e-07 0.691248 0.605032 1.26397e-276 0
2.35984 3.29775e-07 9.94918e-08 2.30283e-07 0.698303 0.616251 5.69413e-263 0
2.48097 3.61908e-07 1.01482e-07 2.60426e-07 0.719591 0.63059 5.78562e-250 0
2.60832 3.57315e-07 9.74005e-08 2.59915e-07 0.72741 0.638496 1.2673e-237 0
2.74221 3.83809e-07 9.86944e-08 2.85114e-07 0.742855 0.660008 7.21599e-226 0
2.88297 3.83308e-07 1.0387e-07 2.79439e-07 0.729018 0.626242 1.12511e-214 0
3.03095 3.68169e-07 9.27229e-08 2.75446e-07 0.748151 0.645067 4.18679e-204 0
3.18653 3.73919e-07 1.0151e-07 2.72409e-07 0.728524 0.621773 5.71956e-194 0
3.35009 3.40157e-07 9.35238e-08 2.46634e-07 0.725057 0.571896 2.08796e-184 0
3.52205 3.37518e-07 9.48917e-08 2.42626e-07 0.718854 0.556177 2.81867e-175 0
3.70284 3.38007e-07 9.79628e-08 2.40045e-07 0.710175 0.504234 1.37122e-166 0
3.89291 3.24957e-07 9.41377e-08 2.30819e-07 0.710307 0.441939 2.31355e-158 0
4.09273 3.20894e-07 9.15392e-08 2.29355e-07 0.714737 0.432663 1.54439e-150 0
4.30281 3.51402e-07 9.89482e-08 2.52454e-07 0.718419 0.390079 4.69096e-143 0
4.52368 3.57426e-07 9.14087e-08 2.66017e-07 0.744258 0.426814 5.20686e-136 0
4.75588 3.67057e-07 9.01669e-08 2.7689e-07 0.754352 0.456816 2.7504e-129 0
5 3.96873e-07 9.32772e-08 3.03596e-07 0.76497 0.469037 7.06413e-123 0
5.25665 4.23077e-07 9.59817e-08 3.27095e-07 0.773134 0.425398 8.68754e-117 0
5.52648 4.0725e-07 8.43544e-08 3.22895e-07 0.792868 0.423219 4.55146e-111 0
5.81015 4.27463e-07 8.28649e-08 3.44598e-07 0.806147 0.435867 1.37569e-105 0
6.10839 4.57173e-07 8.5062e-08 3.72111e-07 0.813939 0.450348 2.31571e-100 0
6.42193 4.96465e-07 9.0502e-08 4.05963e-07 0.817707 0.45581 2.22099e-95 0
6.75157 4.92294e-07 9.19715e-08 4.00323e-07 0.813178 0.437166 1.15131e-90 0
7.09813 4.43098e-07 8.43491e-08 3.58749e-07 0.809638 0.40635 3.13455e-86 0
7.46248 4.22473e-07 7.94156e-08 3.43058e-07 0.812022 0.377112 5.23398e-82 0
7.84553 4.20394e-07 7.72233e-08 3.43171e-07 0.816307 0.347818 5.53094e-78 0
8.24824 4.27768e-07 7.68214e-08 3.50947e-07 0.820414 0.320281 3.75184e-74 0
8.67162 4.37764e-07 7.82065e-08 3.59557e-07 0.82135 0.298247 1.67214e-70 0
9.11674 4.3525e-07 8.02389e-08 3.55011e-07 0.815649 0.281967 4.92674e-67 0
9.5847 4.09163e-07 8.03608e-08 3.28802e-07 0.803597 0.26361 9.48977e-64 0
10.0767 3.76363e-07 7.85874e-08 2.97776e-07 0.791192 0.233616 1.21874e-60 0
10.5939 3.516e-07 7.68237e-08 2.74776e-07 0.781502 0.192915 1.08864e-57 0
11.1377 3.34072e-07 7.58871e-08 2.58184e-07 0.772842 0.148811 6.95842e-55 0
11.7094 3.2845e-07 7.62764e-08 2.52173e-07 0.767768 0.116143 3.25924e-52 0
12.3105 3.11195e-07 7.54251e-08 2.3577e-07 0.757628 0.0775356 1.09917e-49 0
12.9424 2.95991e-07 7.46789e-08 2.21312e-07 0.747699 0.0472667 2.75787e-47 0
13.6067 2.78229e-07 7.34748e-08 2.04754e-07 0.73592 0.0213443 5.18431e-45 0
14.3051 2.57828e-07 7.17417e-08 1.86087e-07 0.721746 -0.00119075 7.39259e-43 0
15.0394 2.3546e-07 6.94932e-08 1.65967e-07 0.704863 -0.0209168 8.09975e-41 0
15.8114 2.12167e-07 6.68928e-08 1.45274e-07 0.684716 -0.038288 6.91562e-39 0
16.623 1.89029e-07 6.4036e-08 1.24993e-07 0.661237 -0.0537758 4.66017e-37 0
17.4762 1.67082e-07 6.1186e-08 1.05896e-07 0.633796 -0.0676831 2.51553e-35 0
18.3733 1.47171e-07 5.86296e-08 8.85416e-08 0.601623 -0.0801781 1.10475e-33 0
19.3164 1.29825e-07 5.64785e-08 7.33463e-08 0.564964 -0.0913444 3.99734e-32 0
20.3079 1.15024e-07 5.47292e-08 6.02947e-08 0.524193 -0.101687 1.20412e-30 0
21.3503 1.03206e-07 5.39227e-08 4.92831e-08 0.477522 -0.111203 3.08031e-29 0
22.4463 9.43578e-08 5.41558e-08 4.0202e-08 0.42606 -0.119759 6.76845e-28 0
23.5984 8.82949e-08 5.54511e-08 3.28438e-08 0.371978 -0.127414 1.28834e-26 0
24.8097 8.46075e-08 5.76598e-08 2.69477e-08 0.318503 -0.134429 2.13306e-25 0
26.0832 8.34487e-08 6.11512e-08 2.22975e-08 0.2672 -0.141295 3.10842e-24 0
27.4221 8.40383e-08 6.53876e-08 1.86507e-08 0.221931 -0.147628 3.96988e-23 0
28.8297 8.5854e-08 7.00078e-08 1.58461e-08 0.184571 -0.153425 4.4429e-22 0
30.3095 8.78729e-08 7.42169e-08 1.36559e-08 0.155406 -0.158751 4.33712e-21 0
31.8653 8.80059e-08 7.61608e-08 1.18452e-08 0.134595 -0.163638 3.63267e-20 0
33.5009 8.61869e-08 7.58657e-08 1.03212e-08 0.119754 -0.168099 2.63331e-19 0
35.2206 8.05696e-08 7.17344e-08 8.83524e-09 0.10966 -0.172045 1.62467e-18 0
37.0284 7.30813e-08 6.5601e-08 7.48031e-09 0.102356 -0.175652 8.7386e-18 0
38.9291 6.44506e-08 5.82358e-08 6.21476e-09 0.0964267 -0.178878 4.13376e-17 0
40.9273 5.59727e-08 5.08676e-08 5.10504e-09 0.091206 -0.181816 1.75158e-16 0
43.0282 4.84129e-08 4.42605e-08 4.15242e-09 0.0857709 -0.184655 6.76166e-16 0
45.2368 4.19052e-08 3.85416e-08 3.36359e-09 0.0802665 -0.187333 2.39945e-15 0
47.5588 3.68088e-08 3.40911e-08 2.71773e-09 0.0738337 -0.189821 7.97765e-15 0
50 3.25323e-08 3.03357e-08 2.19659e-09 0.0675203 -0.192203 2.47088e-14 0
52.5665 2.92355e-08 2.7461e-08 1.77452e-09 0.0606973 -0.193694 7.23653e-14 0
55.2648 2.6595e-08 2.51607e-08 1.43421e-09 0.0539279 -0.194667 2.00099e-13 0
58.1015 2.44939e-08 2.33327e-08 1.16124e-09 0.0474093 -0.195168 5.24168e-13 0
61.0839 2.28026e-08 2.18617e-08 9.40905e-10 0.041263 -0.195179 1.3027e-12 0
64.2193 2.14449e-08 2.06819e-08 7.62987e-10 0.035579 -0.194728 3.07905e-12 0
67.5157 2.03554e-08 1.9736e-08 6.19387e-10 0.0304286 -0.193702 6.93469e-12 0
70.9813 1.9478e-08 1.89744e-08 5.03529e-10 0.0258512 -0.192267 1.49061e-11 0
74.6248 1.87858e-08 1.83761e-08 4.09694e-10 0.0218087 -0.19049 3.06555e-11 0
78.4553 1.82751e-08 1.79414e-08 3.33735e-10 0.0182617 -0.188566 6.05194e-11 0
82.4824 1.80216e-08 1.77491e-08 2.72556e-10 0.0151238 -0.186478 1.15548e-10 0
86.7162 1.81286e-08 1.79055e-08 2.23139e-10 0.0123087 -0.183236 2.15214e-10 0
91.1674 1.86668e-08 1.84838e-08 1.8305e-10 0.00980618 -0.176839 3.93249e-10 0
95.847 1.96477e-08 1.94973e-08 1.50358e-10 0.00765272 -0.163915 7.05385e-10 0
100.767 2.09671e-08 2.08436e-08 1.2352e-10 0.00589112 -0.137798 1.23434e-09 0
105.939 2.13012e-08 2.12011e-08 1.00067e-10 0.0046977 -0.08641 1.98187e-09 0
111.377 1.89006e-08 1.88212e-08 7.94605e-11 0.00420411 -0.0229164 2.68309e-09 0
117.094 1.4262e-08 1.41996e-08 6.24697e-11 0.00438014 0.0162133 2.98728e-09 0
123.105 1.02056e-08 1.01559e-08 4.96561e-11 0.00486559 0.0212722 3.05615e-09 0
129.424 7.6111e-09 7.57108e-09 4.00141e-11 0.00525734 0.00807651 3.16354e-09 0
136.067 5.93709e-09 5.90459e-09 3.2506e-11 0.00547508 -0.00558619 3.33044e-09 0
143.051 4.93745e-09 4.91089e-09 2.65614e-11 0.00537958 -0.0197226 3.63999e-09 0
150.394 4.11357e-09 4.09184e-09 2.17247e-11 0.00528122 -0.0306343 3.88502e-09 0
158.114 3.62492e-09 3.60715e-09 1.77667e-11 0.00490126 -0.0390291 4.28175e-09 0
166.23 3.19183e-09 3.1773e-09 1.45241e-11 0.0045504 -0.0463878 4.60752e-09 0
174.763 2.80844e-09 2.79656e-09 1.18804e-11 0.00423026 -0.0528514 4.84666e-09 0
183.733 2.56482e-09 2.55511e-09 9.71495e-12 0.00378777 -0.0571269 5.18286e-09 0
193.164 2.34926e-09 2.34132e-09 7.94286e-12 0.00338101 -0.0609896 5.44932e-09 0
203.079 2.1667e-09 2.1602e-09 6.49544e-12 0.00299785 -0.0640887 5.66121e-09 0
213.503 2.0293e-09 2.02399e-09 5.31349e-12 0.00261839 -0.0659032 5.8664e-09 0
224.463 1.90124e-09 1.8969e-09 4.34587e-12 0.00228581 -0.0676203 5.97818e-09 0
235.984 1.78184e-09 1.77829e-09 3.55384e-12 0.00199448 -0.0692448 5.99616e-09 0
248.097 1.67066e-09 1.66776e-09 2.9078e-12 0.0017405 -0.0707792 5.92511e-09 0
260.832 1.58295e-09 1.58057e-09 2.37902e-12 0.0015029 -0.0712197 5.83119e-09 0
274.221 1.50264e-09 1.5007e-09 1.94594e-12 0.00129501 -0.0714597 5.67067e-09 0
288.297 1.42639e-09 1.4248e-09 1.59151e-12 0.00111576 -0.0716897 5.44288e-09 0
303.095 1.35563e-09 1.35433e-09 1.30251e-12 0.000960815 -0.071737 5.16615e-09 0
318.653 1.29365e-09 1.29259e-09 1.06564e-12 0.000823741 -0.0711275 4.86632e-09 0
335.009 1.23422e-09 1.23335e-09 8.71643e-13 0.000706229 -0.0705432 4.5324e-09 0
352.206 1.17731e-09 1.1766e-09 7.13126e-13 0.000605725 -0.0699838 4.17679e-09 0
370.284 1.12488e-09 1.1243e-09 5.83562e-13 0.000518776 -0.068843 3.81764e-09 0
389.291 1.07467e-09 1.07419e-09 4.77421e-13 0.00044425 -0.0676677 3.45671e-09 0
409.273 1.02635e-09 1.02596e-09 3.90497e-13 0.000380471 -0.0665347 3.10157e-09 0
430.282 9.79782e-10 9.79462e-10 3.1954e-13 0.000326134 -0.0649132 2.75885e-09 0
452.368 9.34902e-10 9.3464e-10 2.61463e-13 0.000279669 -0.063221 2.43394e-09 0
475.588 8.91711e-10 8.91497e-10 2.13894e-13 0.000239869 -0.0615906 2.1308e-09 0
500 8.5016e-10 8.49985e-10 1.74959e-13 0.000205796 -0.0600111 1.85188e-09 0
525.665 8.06968e-10 8.06825e-10 1.43177e-13 0.000177426 -0.0576513 1.59208e-09 0
552.648 7.65533e-10 7.65416e-10 1.1714e-13 0.000153017 -0.0553733 1.35968e-09 0
581.015 7.25872e-10 7.25776e-10 9.58159e-14 0.000132001 -0.0531837 1.15407e-09 0
610.838 6.87991e-10 6.87913e-10 7.83917e-14 0.000113943 -0.0510827 9.73953e-10 0
642.193 6.51863e-10 6.51799e-10 6.41543e-14 9.84169e-05 -0.0490688 8.17565e-10 0
675.157 6.17409e-10 6.17357e-10 5.24899e-14 8.50163e-05 -0.0471379 6.82828e-10 0
709.813 5.83043e-10 5.83e-10 4.29343e-14 7.36383e-05 -0.0450732 5.66111e-10 0
746.247 5.46571e-10 5.46536e-10 3.51333e-14 6.42794e-05 -0.0425564 4.64e-10 0
784.553 5.1215e-10 5.12122e-10 2.87482e-14 5.61324e-05 -0.0401648 3.78667e-10 0
824.824 4.797e-10 4.79677e-10 2.35182e-14 4.90269e-05 -0.0378943 3.07783e-10 0
867.162 4.49161e-10 4.49142e-10 1.92381e-14 4.28311e-05 -0.0357417 2.49239e-10 0
911.674 4.205e-10 4.20484e-10 1.57465e-14 3.7447e-05 -0.0337059 2.01155e-10 0
958.471 3.9358e-10 3.93568e-10 1.28852e-14 3.27383e-05 -0.0317788 1.61827e-10 0
1007.67 3.67825e-10 3.67814e-10 1.05411e-14 2.8658e-05 -0.0299041 1.29626e-10 0
1059.39 3.41183e-10 3.41174e-10 8.62522e-15 2.52804e-05 -0.0278677 1.02785e-10 0
1113.77 3.16442e-10 3.16435e-10 7.05931e-15 2.23084e-05 -0.0259619 8.12932e-11 0
1170.94 2.93464e-10 2.93458e-10 5.77612e-15 1.96826e-05 -0.0241777 6.41391e-11 0
1231.05 2.71252e-10 2.71247e-10 4.72511e-15 1.74196e-05 -0.0224376 5.03275e-11 0
1294.24 2.49968e-10 2.49964e-10 3.8675e-15 1.5472e-05 -0.0207517 3.92909e-11 0
1360.67 2.3037e-10 2.30367e-10 3.1652e-15 1.37396e-05 -0.0191867 3.06179e-11 0
1430.51 2.12333e-10 2.1233e-10 2.58983e-15 1.2197e-05 -0.0177348 2.38188e-11 0
1503.94 1.95655e-10 1.95653e-10 2.11891e-15 1.08298e-05 -0.0163821 1.84932e-11 0
1581.14 1.79073e-10 1.79071e-10 1.73456e-15 9.68634e-06 -0.0150381 1.4239e-11 0
1662.3 1.63923e-10 1.63921e-10 1.41956e-15 8.65995e-06 -0.0138015 1.09486e-11 0
1747.63 1.501e-10 1.50099e-10 1.16147e-15 7.73795e-06 -0.0126648 8.40929e-12 0
1837.33 1.3751e-10 1.37509e-10 9.50557e-16 6.91263e-06 -0.0116216 6.45351e-12 0
1931.64 1.26046e-10 1.26046e-10 7.78127e-16 6.17334e-06 -0.0106638 4.94912e-12 0
2030.79 1.14701e-10 1.14701e-10 6.36788e-16 5.55169e-06 -0.0097228 3.7635e-12 0
2135.03 1.02566e-10 1.02565e-10 5.20965e-16 5.07934e-06 -0.00874304 2.80908e-12 0
2244.63 9.1768e-11 9.17676e-11 4.26474e-16 4.64731e-06 -0.0078706 2.09575e-12 0
2359.84 8.21402e-11 8.21399e-11 3.49078e-16 4.24979e-06 -0.00709128 1.56265e-12 0
2480.97 7.35542e-11 7.35539e-11 2.85655e-16 3.8836e-06 -0.00639442 1.16457e-12 0
2608.32 6.59039e-11 6.59037e-11 2.33747e-16 3.54678e-06 -0.00577127 8.67638e-13 0
2742.21 5.9099e-11 5.90988e-11 1.91372e-16 3.23816e-06 -0.00521453 6.46424e-13 0
2882.96 5.30291e-11 5.30289e-11 1.56638e-16 2.95381e-06 -0.00471534 4.81527e-13 0
3030.95 4.7614e-11 4.76139e-11 1.28175e-16 2.69196e-06 -0.00426736 3.58664e-13 0
3186.53 4.27899e-11 4.27898e-11 1.04913e-16 2.45182e-06 -0.00386561 2.67201e-13 0
3350.09 3.84889e-11 3.84888e-11 8.58896e-17 2.23154e-06 -0.00350479 1.99109e-13 0
3522.05 3.46469e-11 3.46469e-11 7.02972e-17 2.02896e-06 -0.00317994 1.4839e-13 0
3702.84 3.12132e-11 3.12131e-11 5.752e-17 1.84281e-06 -0.00288715 1.10613e-13 0
3892.91 2.81512e-11 2.81511e-11 4.70937e-17 1.67289e-06 -0.00262365 8.24997e-14 0
4092.73 2.54119e-11 2.54119e-11 3.85518e-17 1.51707e-06 -0.0023857 6.15534e-14 0
4302.81 2.2959e-11 2.2959e-11 3.15507e-17 1.37422e-06 -0.0021705 4.5942e-14 0
4523.68 2.07625e-11 2.07625e-11 2.58197e-17 1.24357e-06 -0.00197579 3.4306e-14 0
4755.88 1.87977e-11 1.87977e-11 2.11406e-17 1.12463e-06 -0.00179972 2.56352e-14 0
5000 1.70342e-11 1.70341e-11 1.73046e-17 1.01588e-06 -0.00163993 1.9165e-14 0
