# 0.00256808 4 107 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 3.87648e-06 inf
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 4.16104e-05 1.7601e-05 2.40094e-05 0.577006 0.931732 0 0
0.0525665 4.16172e-05 1.74478e-05 2.41694e-05 0.580754 0.925921 0 0
0.0552647 4.16246e-05 1.71934e-05 2.44313e-05 0.586943 0.91703 0 0
0.0581015 4.16329e-05 1.68074e-05 2.48255e-05 0.596295 0.903204 0 0
0.0610839 4.16423e-05 1.64182e-05 2.52241e-05 0.605732 0.8877 0 0
0.0642193 4.16523e-05 1.61461e-05 2.55062e-05 0.61236 0.875091 0 0
0.0675157 4.16626e-05 1.59922e-05 2.56704e-05 0.61615 0.866193 0 0
0.0709813 4.16732e-05 1.59347e-05 2.57385e-05 0.617627 0.860581 0 0
0.0746248 4.16837e-05 1.59575e-05 2.57263e-05 0.617178 0.857845 0 0
0.0784553 4.16943e-05 1.6071e-05 2.56233e-05 0.614551 0.858486 0 0
0.0824824 4.17043e-05 1.63134e-05 2.53909e-05 0.608832 0.864042 0 0
0.0867162 4.17132e-05 1.6415e-05 2.52983e-05 0.606481 0.867024 0 0
0.0911674 4.17246e-05 1.62679e-05 2.54567e-05 0.610113 0.860488 0 0
0.095847 4.17365e-05 1.62475e-05 2.5489e-05 0.610713 0.857182 0 0
0.100767 4.1748e-05 1.62964e-05 2.54516e-05 0.609648 0.856712 0 0
0.105939 4.17585e-05 1.64616e-05 2.52969e-05 0.60579 0.860643 0 0
0.111377 4.17687e-05 1.66321e-05 2.51365e-05 0.601803 0.865727 0 0
0.117094 4.17793e-05 1.67437e-05 2.50356e-05 0.599234 0.868915 0 0
0.123105 4.17904e-05 1.682e-05 2.49703e-05 0.597514 0.870922 0 0
0.129424 4.18018e-05 1.68673e-05 2.49345e-05 0.596494 0.871899 0 0
0.136067 4.18138e-05 1.68824e-05 2.49314e-05 0.596249 0.871656 0 0
0.143051 4.18262e-05 1.68466e-05 2.49796e-05 0.597224 0.869319 0 0
0.150394 4.18373e-05 1.69062e-05 2.49311e-05 0.595905 0.870558 0 0
0.158114 4.1848e-05 1.70873e-05 2.47607e-05 0.591682 0.877033 0 0
0.16623 4.18596e-05 1.7293e-05 2.45666e-05 0.586882 0.884901 0 0
0.174762 4.18727e-05 1.74758e-05 2.43969e-05 0.582644 0.892042 0 0
0.183733 4.18865e-05 1.76386e-05 2.4248e-05 0.578897 0.898429 0 0
0.193164 4.19011e-05 1.77772e-05 2.4124e-05 0.575736 0.903851 0 0
0.203079 4.19166e-05 1.7896e-05 2.40205e-05 0.573056 0.908461 0 0
