# 9.08e-07 4 31 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 4801.41 3200.72
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 2.48909e-12 2.12719e-12 3.61902e-13 0.145395 0.235577 0 0
0.0525665 2.57976e-12 2.21502e-12 3.6475e-13 0.141389 0.211649 0 0
0.0552647 2.69858e-12 2.32086e-12 3.77713e-13 0.139968 0.189565 0 0
0.0581015 2.92747e-12 2.51005e-12 4.17422e-13 0.142588 0.169527 0 0
0.0610839 3.2944e-12 2.81333e-12 4.81071e-13 0.146027 0.151432 0 0
0.0642193 3.71337e-12 3.16768e-12 5.45684e-13 0.146951 0.134725 0 0
0.0675157 4.1017e-12 3.50517e-12 5.96528e-13 0.145434 0.119269 0 0
0.0709813 4.39479e-12 3.77026e-12 6.24536e-13 0.142108 0.105419 0 0
0.0746248 4.5319e-12 3.90954e-12 6.22359e-13 0.137328 0.0937085 0 0
0.0784553 4.44577e-12 3.86448e-12 5.81298e-13 0.130753 0.0846609 0 0
0.0824824 4.09057e-12 3.59399e-12 4.9658e-13 0.121396 0.0784867 0 0
0.0867162 3.79891e-12 3.38811e-12 4.10803e-13 0.108137 0.0711488 0 0
0.0911674 3.69518e-12 3.31331e-12 3.81865e-13 0.103341 0.0640047 0 0
0.095847 3.37468e-12 3.03316e-12 3.4152e-13 0.101201 0.0600229 0 0
0.100767 2.96133e-12 2.67209e-12 2.89231e-13 0.0976696 0.0573095 0 0
0.105939 2.45987e-12 2.22989e-12 2.29973e-13 0.0934899 0.0559541 0 0
0.111377 2.0619e-12 1.88314e-12 1.78758e-13 0.0866957 0.0533457 0 0
0.117094 1.74859e-12 1.60724e-12 1.4135e-13 0.0808366 0.0503072 0 0
0.123105 1.48867e-12 1.37575e-12 1.12922e-13 0.0758545 0.0471967 0 0
0.129424 1.26687e-12 1.1758e-12 9.10695e-14 0.0718855 0.0441933 0 0
0.136067 1.07263e-12 9.9825e-13 7.4381e-14 0.0693445 0.0414531 0 0
0.143051 8.82341e-13 8.20344e-13 6.19979e-14 0.0702652 0.0393692 0 0
0.150394 6.30836e-13 5.81196e-13 4.96398e-14 0.0786889 0.0375881 0 0
0.158114 4.15103e-13 3.77464e-13 3.76388e-14 0.0906735 0.034414 0 0
0.16623 2.70475e-13 2.42386e-13 2.80889e-14 0.10385 0.0306013 0 0
0.174762 1.82925e-13 1.61888e-13 2.10365e-14 0.115001 0.0269975 0 0
0.183733 1.22505e-13 1.06684e-13 1.58212e-14 0.129147 0.023816 0 0
0.193164 8.38071e-14 7.18024e-14 1.20047e-14 0.143242 0.02107 0 0
0.203079 5.86087e-14 4.94241e-14 9.18457e-15 0.15671 0.0187008 0 0
0.213503 4.32642e-14 3.62029e-14 7.06138e-15 0.163215 0.0166342 0 0
0.224463 3.57313e-14 3.02584e-14 5.47299e-15 0.15317 0.014839 0 0
0.235984 3.28186e-14 2.85293e-14 4.28933e-15 0.130698 0.0132828 0 0
0.248097 3.15683e-14 2.81742e-14 3.39407e-15 0.107515 0.0119226 0 0
0.260832 3.00205e-14 2.73192e-14 2.70127e-15 0.0899811 0.0107188 0 0
0.274221 2.8466e-14 2.63075e-14 2.1585e-15 0.0758272 0.0096467 0 0
0.288297 2.69868e-14 2.52545e-14 1.73232e-15 0.0641916 0.0086915 0 0
0.303095 2.56122e-14 2.4218e-14 1.39418e-15 0.0544343 0.00783612 0 0
0.318653 2.43137e-14 2.31895e-14 1.12413e-15 0.0462346 0.00706791 0 0
0.335009 2.30902e-14 2.21816e-14 9.08575e-16 0.039349 0.00637858 0 0
0.352205 2.19428e-14 2.12072e-14 7.35598e-16 0.0335234 0.00575871 0 0
0.370284 2.08565e-14 2.02603e-14 5.96179e-16 0.0285848 0.00520018 0 0
0.389291 1.98318e-14 1.93479e-14 4.83871e-16 0.0243988 0.00469713 0 0
0.409273 1.88538e-14 1.84604e-14 3.93423e-16 0.020867 0.00424454 0 0
0.430281 1.79222e-14 1.76023e-14 3.19982e-16 0.0178539 0.00383572 0 0
0.452368 1.70393e-14 1.67787e-14 2.60582e-16 0.015293 0.00346714 0 0
0.475588 1.6201e-14 1.59887e-14 2.12295e-16 0.0131038 0.00313417 0 4.1796e-314
0.5 1.54104e-14 1.52372e-14 1.73151e-16 0.011236 0.00283395 0 1.0897e-299
0.525665 1.46629e-14 1.45217e-14 1.41244e-16 0.00963276 0.00256248 0 5.559e-286
0.552647 1.39567e-14 1.38416e-14 1.1519e-16 0.00825334 0.0023168 0 6.00949e-273
0.581015 1.32806e-14 1.31865e-14 9.4123e-17 0.00708727 0.00209558 0 1.48451e-260
0.610839 1.26419e-14 1.2565e-14 7.69206e-17 0.00608457 0.00189556 0 9.01322e-249
0.642193 1.20376e-14 1.19748e-14 6.28405e-17 0.00522035 0.00171444 0 1.44049e-237
0.675157 1.14661e-14 1.14148e-14 5.13487e-17 0.00447829 0.00155065 0 6.47008e-227
0.709813 1.09265e-14 1.08845e-14 4.20005e-17 0.00384392 0.00140286 0 8.69201e-217
0.746248 1.04158e-14 1.03814e-14 3.43513e-17 0.00329801 0.00126911 0 3.70574e-207
0.784553 9.93142e-15 9.90333e-15 2.80868e-17 0.00282807 0.001148 0 5.3027e-198
0.824824 9.46729e-15 9.44432e-15 2.29739e-17 0.00242666 0.00103854 0 2.68578e-189
0.867162 9.02451e-15 9.0057e-15 1.88077e-17 0.00208406 0.000939706 0 5.06846e-181
0.911674 8.60291e-15 8.58751e-15 1.53936e-17 0.00178935 0.00085022 0 3.74138e-173
0.95847 8.19924e-15 8.18664e-15 1.25979e-17 0.00153648 0.000769216 0 1.13118e-165
1.00767 7.81659e-15 7.80628e-15 1.03126e-17 0.00131933 0.00069598 0 1.46453e-158
1.05939 7.45551e-15 7.44707e-15 8.44271e-18 0.00113241 0.000629736 0 8.4698e-152
1.11377 7.11237e-15 7.10546e-15 6.90998e-18 0.000971544 0.000569746 0 2.27656e-145
1.17094 6.78477e-15 6.77912e-15 5.65324e-18 0.000833226 0.000515419 1.14938e-299 2.95395e-139
1.23105 6.47338e-15 6.46875e-15 4.6274e-18 0.000714835 0.000466339 3.58448e-285 1.91939e-133
1.29424 6.19266e-15 6.18887e-15 3.78629e-18 0.000611415 0.000421892 2.16548e-271 6.48206e-128
1.36067 5.92933e-15 5.92623e-15 3.09929e-18 0.000522704 0.000381704 2.74126e-258 1.17417e-122
1.43051 5.67883e-15 5.67629e-15 2.53505e-18 0.000446403 0.000345286 7.84405e-246 1.17705e-117
1.50394 5.44052e-15 5.43845e-15 2.07501e-18 0.000381399 0.000312401 5.45589e-234 6.73221e-113
1.58114 5.21245e-15 5.21075e-15 1.69797e-18 0.000325752 0.000282625 9.8805e-223 2.26162e-108
1.6623 4.99391e-15 4.99252e-15 1.38827e-18 0.000277993 0.000255635 4.97539e-212 4.59003e-104
1.74762 4.78817e-15 4.78704e-15 1.13534e-18 0.000237113 0.000231238 7.42135e-202 5.78726e-100
1.83733 4.60032e-15 4.59939e-15 9.28279e-19 0.000201786 0.000209161 3.48401e-192 4.65929e-96
1.93164 4.42482e-15 4.42406e-15 7.5866e-19 0.000171456 0.00018917 5.44282e-183 2.45453e-92
2.03079 4.25911e-15 4.25849e-15 6.19941e-19 0.000145557 0.00017108 2.98453e-174 8.66642e-89
2.13503 4.10213e-15 4.10162e-15 5.06606e-19 0.000123498 0.000154728 6.04559e-166 2.09945e-85
2.24463 3.95592e-15 3.95551e-15 4.13727e-19 0.000104584 0.000139917 4.75163e-158 3.57083e-82
2.35984 3.81625e-15 3.81591e-15 3.37707e-19 8.84919e-05 0.000126508 1.51647e-150 4.35212e-79
2.48097 3.68426e-15 3.68398e-15 2.75391e-19 7.47479e-05 0.000114359 2.05455e-143 3.87921e-76
2.60832 3.56215e-15 3.56193e-15 2.24641e-19 6.30633e-05 0.000103389 1.23303e-136 2.57757e-73
2.74221 3.44626e-15 3.44608e-15 1.83153e-19 5.31453e-05 9.34582e-05 3.40839e-130 1.29725e-70
2.88297 3.33869e-15 3.33854e-15 1.49072e-19 4.46497e-05 8.44486e-05 4.51025e-124 5.02398e-68
3.03095 3.23705e-15 3.23693e-15 1.21314e-19 3.74767e-05 7.63074e-05 2.96026e-118 1.51669e-65
3.18653 3.14832e-15 3.14822e-15 9.8676e-20 3.13425e-05 6.89444e-05 9.99609e-113 3.62081e-63
3.35009 3.06442e-15 3.06434e-15 8.01566e-20 2.61572e-05 6.22735e-05 1.79005e-107 6.89399e-61
3.52205 2.97339e-15 2.97332e-15 6.49975e-20 2.18597e-05 5.6227e-05 1.74653e-102 1.05303e-58
3.70284 2.88371e-15 2.88366e-15 5.26741e-20 1.82661e-05 5.07649e-05 9.58808e-98 1.30559e-56
