# 5.39371e-08 4 4 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 2.49925e+07 0.174594
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 6.62485e-16 6.62444e-16 4.08419e-20 6.16495e-05 0.000677992 0 6.2472e-87
0.0525665 6.85029e-16 6.8499e-16 3.89032e-20 5.67905e-05 0.000609489 0 1.51476e-83
0.0552647 7.18516e-16 7.18477e-16 3.85366e-20 5.36337e-05 0.000545483 0 2.52798e-80
0.0581015 7.87461e-16 7.8742e-16 4.14477e-20 5.26346e-05 0.000484846 0 3.04846e-77
0.0610839 8.91997e-16 8.9195e-16 4.65545e-20 5.21914e-05 0.000429473 0 2.67544e-74
0.0642193 9.92542e-16 9.92491e-16 5.04052e-20 5.0784e-05 0.000381309 0 1.65229e-71
0.0675157 1.05387e-15 1.05382e-15 5.11251e-20 4.85116e-05 0.000340707 0 7.09009e-69
0.0709813 1.05749e-15 1.05744e-15 4.83929e-20 4.5762e-05 0.000307758 0 2.12634e-66
0.0746248 1.00181e-15 1.00176e-15 4.2865e-20 4.27876e-05 0.000282585 0 4.519e-64
0.0784553 8.96945e-16 8.96909e-16 3.54792e-20 3.95556e-05 0.000265542 0 6.90927e-62
0.0824824 7.60487e-16 7.6046e-16 2.7171e-20 3.57285e-05 0.000256324 0 7.71808e-60
0.0867162 6.96825e-16 6.96803e-16 2.14198e-20 3.07391e-05 0.000236436 0 7.28007e-58
0.0911674 6.57681e-16 6.57662e-16 1.89193e-20 2.87666e-05 0.00021627 0 5.59462e-56
0.095847 5.68668e-16 5.68652e-16 1.58571e-20 2.78846e-05 0.000207963 0 3.15117e-54
0.100767 4.80722e-16 4.80709e-16 1.28105e-20 2.66486e-05 0.000202305 0 1.40378e-52
0.105939 3.9011e-16 3.901e-16 9.85995e-21 2.52748e-05 0.000199649 0 4.90705e-51
0.111377 3.27926e-16 3.27918e-16 7.56105e-21 2.30572e-05 0.00019081 0 1.46689e-49
0.117094 2.80247e-16 2.80241e-16 5.93174e-21 2.11661e-05 0.000180065 0 3.71561e-48
0.123105 2.40908e-16 2.40904e-16 4.71672e-21 1.95789e-05 0.000168903 0 7.96154e-47
0.129424 2.07036e-16 2.07032e-16 3.7935e-21 1.83229e-05 0.000158051 0 1.44663e-45
