# 7.35159e-06 4 51 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 10.8004 808517
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 3.54091e-10 1.69547e-10 1.84544e-10 0.521176 0.906926 0 0
0.0525665 3.57468e-10 1.70799e-10 1.86669e-10 0.522197 0.899581 0 0
0.0552647 3.61776e-10 1.71197e-10 1.9058e-10 0.526789 0.889374 0 0
0.0581015 3.6867e-10 1.715e-10 1.9717e-10 0.534814 0.874716 0 0
0.0610839 3.78112e-10 1.7356e-10 2.04552e-10 0.540982 0.858713 0 0
0.0642193 3.88286e-10 1.77682e-10 2.10603e-10 0.542392 0.845507 0 0
0.0675157 3.98245e-10 1.83123e-10 2.15123e-10 0.540176 0.835699 0 0
0.0709813 4.0755e-10 1.89245e-10 2.18305e-10 0.535652 0.828717 0 0
0.0746248 4.15798e-10 1.95546e-10 2.20252e-10 0.529708 0.823986 0 0
0.0784553 4.22345e-10 2.01731e-10 2.20613e-10 0.522354 0.821726 0 0
0.0824824 4.26532e-10 2.0791e-10 2.18622e-10 0.512556 0.823212 0 0
0.0867162 4.28256e-10 2.11449e-10 2.16807e-10 0.506256 0.822099 0 0
0.0911674 4.34141e-10 2.141e-10 2.20041e-10 0.506842 0.812614 0 0
0.095847 4.40398e-10 2.17945e-10 2.22454e-10 0.505119 0.805468 0 0
0.100767 4.45165e-10 2.2186e-10 2.23305e-10 0.501623 0.800301 0 0
0.105939 4.48649e-10 2.26455e-10 2.22194e-10 0.495251 0.798137 0 0
0.111377 4.51481e-10 2.30947e-10 2.20535e-10 0.488469 0.796542 0 0
0.117094 4.55152e-10 2.35328e-10 2.19824e-10 0.482969 0.793298 0 0
0.123105 4.59606e-10 2.40031e-10 2.19575e-10 0.477747 0.788831 0 0
0.129424 4.64184e-10 2.44688e-10 2.19496e-10 0.472864 0.782144 0 0
0.136067 4.68195e-10 2.48649e-10 2.19546e-10 0.46892 0.772026 0 0
