# 4.34943e-05 4 68 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 0.0408878 2.45875e+07
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 1.23982e-08 5.2901e-09 7.10813e-09 0.573318 0.931061 0 0
0.0525665 1.24332e-08 5.26443e-09 7.16876e-09 0.576583 0.925371 0 0
0.0552647 1.24732e-08 5.20742e-09 7.26578e-09 0.582511 0.916778 0 0
0.0581015 1.2528e-08 5.11697e-09 7.41102e-09 0.591557 0.903553 0 0
0.0610839 1.25988e-08 5.03867e-09 7.56009e-09 0.600066 0.888787 0 0
0.0642193 1.26756e-08 5.00513e-09 7.67043e-09 0.605136 0.876783 0 0
0.0675157 1.27533e-08 5.01237e-09 7.74091e-09 0.606974 0.868289 0 0
0.0709813 1.28299e-08 5.05164e-09 7.77825e-09 0.60626 0.862882 0 0
0.0746248 1.29029e-08 5.11607e-09 7.78687e-09 0.603496 0.860151 0 0
0.0784553 1.29673e-08 5.20568e-09 7.76165e-09 0.598554 0.860524 0 0
0.0824824 1.30154e-08 5.32755e-09 7.68783e-09 0.590673 0.865407 0 0
0.0867162 1.30488e-08 5.38842e-09 7.66041e-09 0.587057 0.867916 0 0
0.0911674 1.31126e-08 5.38815e-09 7.72445e-09 0.589086 0.861571 0 0
0.095847 1.31757e-08 5.43305e-09 7.74263e-09 0.587646 0.858124 0 0
0.100767 1.32248e-08 5.49129e-09 7.73347e-09 0.584772 0.857236 0 0
0.105939 1.32576e-08 5.57719e-09 7.68041e-09 0.579321 0.86035 0 0
0.111377 1.32865e-08 5.66057e-09 7.62596e-09 0.573962 0.864567 0 0
0.117094 1.33205e-08 5.72757e-09 7.59296e-09 0.570019 0.867007 0 0
0.123105 1.33578e-08 5.78513e-09 7.57271e-09 0.566911 0.868323 0 0
0.129424 1.3398e-08 5.83498e-09 7.56298e-09 0.564488 0.868638 0 0
0.136067 1.34403e-08 5.87573e-09 7.56456e-09 0.562827 0.867763 0 0
0.143051 1.34833e-08 5.90012e-09 7.58323e-09 0.562414 0.864838 0 0
0.150394 1.35174e-08 5.95026e-09 7.56711e-09 0.559807 0.865147 0 0
0.158114 1.35561e-08 6.04348e-09 7.51261e-09 0.554187 0.870434 0 0
0.16623 1.3608e-08 6.15387e-09 7.45413e-09 0.547775 0.877109 0 0
0.174762 1.3669e-08 6.26059e-09 7.40841e-09 0.541986 0.882885 0 0
0.183733 1.37536e-08 6.33183e-09 7.42178e-09 0.539624 0.886222 0 0
0.193164 1.36326e-08 6.24641e-09 7.38616e-09 0.541802 0.873987 0 0
0.203079 1.44091e-08 5.87175e-09 8.53731e-09 0.592496 0.866046 0 0
0.213503 1.35709e-08 5.39913e-09 8.17176e-09 0.602154 0.831169 0 0
0.224463 1.31859e-08 5.14269e-09 8.04319e-09 0.609985 0.805677 0 0
0.235984 1.46216e-08 4.97419e-09 9.64741e-09 0.659805 0.81965 0 0
0.248097 1.52794e-08 4.99368e-09 1.02858e-08 0.673177 0.821131 0 0
0.260832 1.4526e-08 5.01765e-09 9.50839e-09 0.654575 0.800081 0 0
0.274221 1.34476e-08 4.91939e-09 8.52818e-09 0.63418 0.762546 0 0
0.288297 1.3016e-08 4.78454e-09 8.23145e-09 0.632411 0.753722 0 0
0.303095 1.35432e-08 4.75461e-09 8.78855e-09 0.648929 0.77069 0 0
0.318653 1.48267e-08 4.74125e-09 1.00854e-08 0.680221 0.801342 0 0
0.335009 1.6337e-08 4.66004e-09 1.1677e-08 0.714755 0.823402 0 0
0.352205 1.70373e-08 4.72232e-09 1.2315e-08 0.722825 0.827578 0 0
0.370284 1.67901e-08 4.56351e-09 1.22266e-08 0.728202 0.823514 0 0
0.389291 1.6522e-08 4.65525e-09 1.18667e-08 0.718239 0.794574 0 0
0.409273 1.49482e-08 4.62054e-09 1.03277e-08 0.690897 0.749529 0 0
0.430281 1.40027e-08 4.47153e-09 9.53118e-09 0.680667 0.692486 0 0
0.452368 1.27551e-08 4.51244e-09 8.24267e-09 0.646225 0.614964 0 0
0.475588 1.17927e-08 4.23315e-09 7.5595e-09 0.641035 0.520471 0 0
0.5 1.25413e-08 4.24583e-09 8.29548e-09 0.661452 0.507906 0 0
0.525665 1.27568e-08 4.58655e-09 8.17029e-09 0.640463 0.454834 0 0
0.552647 1.33094e-08 3.75318e-09 9.55627e-09 0.718006 0.502648 0 0
0.581015 1.56176e-08 4.00437e-09 1.16132e-08 0.743599 0.543388 0 0
0.610839 1.65354e-08 4.16726e-09 1.23682e-08 0.74798 0.543572 0 0
0.642193 1.74376e-08 3.39405e-09 1.40436e-08 0.80536 0.608687 0 0
0.675157 2.05707e-08 3.46151e-09 1.71092e-08 0.831726 0.640602 0 0
0.709813 2.25014e-08 3.81555e-09 1.86858e-08 0.83043 0.632153 0 0
0.746248 2.15998e-08 3.24036e-09 1.83594e-08 0.849982 0.64326 0 0
0.784553 2.29728e-08 2.90227e-09 2.00705e-08 0.873665 0.686639 0 0
0.824824 2.54153e-08 3.02343e-09 2.23919e-08 0.881039 0.701274 0 0
0.867162 2.62857e-08 3.19437e-09 2.30913e-08 0.878475 0.686076 0 0
0.911674 2.43889e-08 2.82039e-09 2.15686e-08 0.884358 0.660748 0 0
0.95847 2.33178e-08 2.41138e-09 2.09064e-08 0.896586 0.66147 0 0
1.00767 2.38556e-08 2.3248e-09 2.15308e-08 0.902547 0.679881 0 0
1.05939 2.46613e-08 2.43038e-09 2.22309e-08 0.90145 0.694963 0 0
1.11377 2.42597e-08 2.5059e-09 2.17538e-08 0.896705 0.694432 0 0
1.17094 2.20777e-08 2.32948e-09 1.97482e-08 0.894487 0.671306 0 0
1.23105 1.95956e-08 1.99682e-09 1.75988e-08 0.898099 0.632666 0 0
1.29424 1.79984e-08 1.74411e-09 1.62543e-08 0.903097 0.59733 0 0
