# 0.000535041 4 92 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 8.55502e-05 1.07114e+21
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 1.81852e-06 7.67143e-07 1.05138e-06 0.57815 0.932213 0 0
0.0525665 1.81941e-06 7.60706e-07 1.05871e-06 0.581894 0.926467 0 0
0.0552647 1.82038e-06 7.49827e-07 1.07055e-06 0.588092 0.917678 0 0
0.0581015 1.82153e-06 7.3327e-07 1.08826e-06 0.597443 0.904012 0 0
0.0610839 1.8229e-06 7.16732e-07 1.10616e-06 0.606816 0.888691 0 0
0.0642193 1.82435e-06 7.0543e-07 1.11892e-06 0.613326 0.876236 0 0
0.0675157 1.82585e-06 6.99372e-07 1.12648e-06 0.616961 0.867453 0 0
0.0709813 1.82737e-06 6.97588e-07 1.12978e-06 0.618255 0.861919 0 0
0.0746248 1.82889e-06 6.99363e-07 1.12953e-06 0.617603 0.859228 0 0
0.0784553 1.83036e-06 7.05137e-07 1.12523e-06 0.614756 0.859868 0 0
0.0824824 1.83168e-06 7.16517e-07 1.11516e-06 0.60882 0.865358 0 0
0.0867162 1.83278e-06 7.21421e-07 1.11136e-06 0.606379 0.868318 0 0
0.0911674 1.83433e-06 7.15671e-07 1.11866e-06 0.609846 0.861881 0 0
0.095847 1.83597e-06 7.15691e-07 1.12028e-06 0.610183 0.858619 0 0
0.100767 1.83746e-06 7.18682e-07 1.11878e-06 0.608872 0.85815 0 0
0.105939 1.83873e-06 7.26672e-07 1.11206e-06 0.604797 0.862016 0 0
0.111377 1.83989e-06 7.34747e-07 1.10515e-06 0.600658 0.867027 0 0
0.117094 1.84114e-06 7.40248e-07 1.10089e-06 0.59794 0.870167 0 0
0.123105 1.84244e-06 7.44222e-07 1.09822e-06 0.596068 0.872142 0 0
