Calzetti et al. 1995 (IC 435)
wave, albedo, delta,   g, delta
1275.00 0.79   0.05 0.72   0.05 
1325.00 0.76   0.05 0.76   0.05
1375.00	0.72   0.05 0.74   0.05
1425.00	0.75   0.05 0.72   0.05
1475.00 0.73   0.05 0.72   0.05
1525.00 0.77   0.05 0.66   0.05
1575.00 0.82   0.05 0.62   0.05
1625.00 0.76   0.05 0.66   0.05
1675.00 0.66   0.05 0.72   0.05
1725.00 0.65   0.05 0.74   0.05
1775.00 0.76   0.05 0.68   0.05
1825.00 0.67   0.05 0.70   0.05
1875.00 0.60   0.05 0.76   0.05
1925.00 0.56   0.05 0.72   0.05
1975.00 0.56   0.05 0.70   0.05
2025.00 0.50   0.05 0.66   0.05
2075.00 0.45   0.05 0.70   0.05
2125.00 0.48   0.05 0.64   0.05
2175.00 0.44   0.05 0.66   0.05
2225.00 0.47   0.05 0.60   0.05
2275.00 0.39   0.05 0.70   0.05
2325.00 0.38   0.05 0.78   0.05
2375.00 0.44   0.05 0.66   0.05
2425.00 0.44   0.05 0.64   0.05
2475.00 0.46   0.05 0.64   0.05
2525.00 0.43   0.05 0.70   0.05
2575.00 0.46   0.05 0.66   0.05
2625.00 0.48   0.05 0.66   0.05
2675.00 0.46   0.05 0.66   0.05
2725.00 0.48   0.05 0.66   0.05
2775.00 0.48   0.05 0.66   0.05
2825.00 0.48   0.05 0.66   0.05
2875.00 0.51   0.05 0.64   0.05
2925.00 0.54   0.05 0.64   0.05
2975.00 0.55   0.05 0.64   0.05
3025.00 0.57   0.05 0.62   0.05
3075.00 0.64   0.05 0.58   0.05
4400.00 0.64   0.05 0.58   0.05
5500.00 0.49   0.05 0.64   0.05
