#  lambda (microns),     nu*Inu,      uncertainty
#  AROME
      3.30000  5.77732e-09  2.62606e-09
#  ISOCAM / CVF spectrum
      5.07900   5.2291139e-10   6.2094615e-11
      5.14100   4.5712453e-10   5.4282564e-11
      5.20200   1.1447495e-09   1.3593657e-10
      5.26400   1.9085616e-09   2.2663763e-10
      5.32500   1.4987675e-09   1.7797545e-10
      5.38500   9.5607493e-10   1.1353186e-10
      5.44600   9.0736636e-10   1.0774782e-10
      5.50700   6.7491269e-10   8.0144446e-11
      5.56700   1.7117274e-09   2.0326398e-10
      5.62700   1.9437758e-09   2.3081923e-10
      5.68700   2.9449449e-09   3.4970594e-10
      5.74700   2.4359958e-09   2.8926931e-10
      5.80700   2.5818234e-09   3.0658603e-10
      5.86700   2.7611406e-09   3.2787957e-10
      5.92600   2.7096107e-09   3.2176050e-10
      5.98500   3.4780481e-09   4.1301081e-10
      6.04400   5.3389312e-09   6.3398672e-10
      6.10300   8.7083282e-09   1.0340954e-09
      6.16200   1.4651706e-08   1.7398589e-09
      6.22100   1.8920162e-08   2.2467290e-09
      6.27900   1.9087848e-08   2.2666413e-09
      6.33700   1.5500767e-08   1.8406831e-09
      6.39600   1.2166391e-08   1.4447330e-09
      6.45400   8.8602097e-09   1.0521310e-09
      6.51100   6.7170537e-09   7.9763583e-10
      6.56900   5.9985402e-09   7.1231388e-10
      6.62600   6.0383557e-09   7.1704189e-10
      6.68400   5.8614360e-09   6.9603305e-10
      6.74100   6.0747770e-09   7.2136683e-10
      6.79800   6.0581949e-09   7.1939775e-10
      6.85500   6.4292119e-09   7.6345522e-10
      6.91100   7.4401106e-09   8.8349730e-10
      6.96800   8.5373011e-09   1.0137863e-09
      7.02400   9.1464781e-09   1.0861248e-09
      7.08000   8.5799670e-09   1.0188528e-09
      7.13600   7.6064328e-09   9.0324770e-10
      7.19200   8.2245135e-09   9.7664347e-10
      7.24800   8.6814429e-09   1.0309029e-09
      7.30300   1.0615113e-08   1.2605221e-09
      7.35800   1.3232377e-08   1.5713166e-09
      7.41400   1.5893385e-08   1.8873056e-09
      7.46900   1.9207286e-08   2.2808244e-09
      7.52400   2.2822979e-08   2.7101801e-09
      7.57800   2.6540139e-08   3.1515850e-09
      7.63300   2.7549454e-08   3.2714390e-09
      7.68700   2.7756190e-08   3.2959884e-09
      7.74100   2.6616926e-08   3.1607033e-09
      7.79500   2.5344596e-08   3.0096169e-09
      7.84900   2.3732612e-08   2.8181972e-09
      7.90300   2.1975390e-08   2.6095308e-09
      7.95600   1.8971006e-08   2.2527666e-09
      8.01000   1.6512248e-08   1.9607943e-09
      8.06300   1.4666939e-08   1.7416678e-09
      8.11600   1.3384484e-08   1.5893790e-09
      8.16900   1.2150223e-08   1.4428131e-09
      8.22200   1.1573861e-08   1.3743713e-09
      8.27400   1.1213238e-08   1.3315481e-09
      8.32700   1.1618348e-08   1.3796541e-09
      8.37900   1.2009073e-08   1.4260519e-09
      8.43100   1.2701019e-08   1.5082190e-09
      8.48300   1.3709267e-08   1.6279463e-09
      8.53400   1.4239496e-08   1.6909098e-09
      8.58600   1.4746738e-08   1.7511438e-09
      8.63700   1.3735578e-08   1.6310706e-09
      8.68900   1.2323956e-08   1.4634436e-09
      8.74000   1.0476640e-08   1.2440787e-09
      8.79100   8.5197425e-09   1.0117013e-09
      8.84200   7.0249704e-09   8.3420028e-10
      8.89200   5.7492054e-09   6.8270590e-10
      8.94300   4.9010497e-09   5.8198922e-10
      8.99300   4.2649502e-09   5.0645376e-10
      9.04300   4.4293718e-09   5.2597847e-10
