# 1.01013e-07 0 10 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 799144 13.6299
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 4.35477e-15 4.35136e-15 3.41112e-18 0.000783306 0.0022373 0 7.39412e-245
0.0525665 5.04369e-15 5.04003e-15 3.65903e-18 0.000725468 0.00199276 0 2.42632e-233
0.0552647 5.821e-15 5.81707e-15 3.92164e-18 0.000673705 0.00177429 0 2.16859e-222
0.0581015 6.85807e-15 6.85393e-15 4.13867e-18 0.000603474 0.00157887 0 5.76197e-212
0.0610839 9.54703e-15 9.54263e-15 4.40309e-18 0.0004612 0.00139041 0 5.5956e-202
0.0642193 1.20649e-14 1.206e-14 4.90999e-18 0.000406964 0.00120255 0 1.61563e-192
0.0675157 1.44315e-14 1.44257e-14 5.77847e-18 0.000400408 0.00101314 0 1.52716e-183
0.0709813 1.65803e-14 1.65743e-14 5.97906e-18 0.000360612 0.000848922 0 5.05086e-175
0.0746248 1.54901e-14 1.54849e-14 5.23311e-18 0.000337835 0.000731756 0 5.19905e-167
0.0784553 1.21724e-14 1.21683e-14 4.06594e-18 0.00033403 0.000653814 0 1.80533e-159
0.0824824 9.66163e-15 9.65877e-15 2.86181e-18 0.000296204 0.000610826 0 2.65603e-152
0.0867162 8.09336e-15 8.09116e-15 2.20501e-18 0.000272446 0.000586218 0 1.80426e-145
0.0911674 7.06195e-15 7.0601e-15 1.84999e-18 0.000261966 0.000568965 0 5.81755e-139
0.095847 6.31984e-15 6.31837e-15 1.46851e-18 0.000232366 0.000599651 0 9.10678e-133
0.100767 5.54765e-15 5.54664e-15 1.00203e-18 0.000180622 0.000699478 0 6.86813e-127
0.105939 4.83661e-15 4.83592e-15 6.94191e-19 0.000143528 0.000754853 0 2.61536e-121
0.111377 4.15061e-15 4.15018e-15 4.24471e-19 0.000102267 0.000864008 0 5.15141e-116
0.117094 3.51796e-15 3.51769e-15 2.6455e-19 7.51999e-05 0.000791709 0 5.4347e-111
0.123105 2.95718e-15 2.95701e-15 1.72336e-19 5.82772e-05 0.000679316 0 3.17727e-106
0.129424 2.48752e-15 2.48741e-15 1.10839e-19 4.45581e-05 0.000571337 0 1.06856e-101
0.136067 2.25593e-15 2.25586e-15 7.18003e-20 3.18274e-05 0.000483414 0 2.28855e-97
0.143051 2.04751e-15 2.04746e-15 4.71556e-20 2.30307e-05 0.000412378 0 2.97283e-93
0.150394 1.93411e-15 1.93408e-15 3.21222e-20 1.66083e-05 0.000352032 0 2.49619e-89
0.158114 1.91167e-15 1.91165e-15 2.429e-20 1.27061e-05 0.000301465 0 1.39423e-85
0.16623 1.98762e-15 1.9876e-15 2.24332e-20 1.12865e-05 0.000259168 0 5.32423e-82
0.174762 2.17759e-15 2.17757e-15 2.70241e-20 1.24101e-05 0.000222851 0 1.42217e-78
0.183733 2.51601e-15 2.51597e-15 3.85826e-20 1.53348e-05 0.000189807 0 2.71328e-75
0.193164 3.11439e-15 3.11433e-15 6.12842e-20 1.96777e-05 0.00015795 0 3.82828e-72
0.203079 4.07931e-15 4.07922e-15 9.35509e-20 2.2933e-05 0.000126661 0 4.01779e-69
0.213503 5.02536e-15 5.02524e-15 1.14847e-19 2.28535e-05 9.74141e-05 0 2.83639e-66
0.224463 4.82597e-15 4.82587e-15 9.54412e-20 1.97766e-05 7.21257e-05 0 1.13486e-63
0.235984 3.72921e-15 3.72915e-15 6.47378e-20 1.73596e-05 5.14796e-05 0 2.6983e-61
0.248097 2.8166e-15 2.81656e-15 4.18948e-20 1.48742e-05 3.94294e-05 0 4.70035e-59
0.260832 2.25423e-15 2.2542e-15 2.87674e-20 1.27615e-05 4.10125e-05 0 6.59634e-57
0.274221 1.91751e-15 1.91748e-15 2.0747e-20 1.08198e-05 5.48264e-05 0 7.58164e-55
0.288297 1.70734e-15 1.70732e-15 1.54626e-20 9.05653e-06 7.35651e-05 0 7.12017e-53
0.303095 1.54702e-15 1.54701e-15 1.19147e-20 7.70174e-06 8.24935e-05 0 5.37747e-51
0.318653 1.35233e-15 1.35232e-15 9.27725e-21 6.86019e-06 8.60812e-05 0 3.13338e-49
0.335009 1.18832e-15 1.18832e-15 7.30701e-21 6.14901e-06 8.46561e-05 0 1.48498e-47
0.352205 1.03738e-15 1.03737e-15 5.82624e-21 5.61632e-06 8.03307e-05 0 5.72449e-46
0.370284 8.99195e-16 8.9919e-16 4.68665e-21 5.21205e-06 7.51022e-05 0 1.81699e-44
0.389291 7.73593e-16 7.7359e-16 3.79897e-21 4.91081e-06 7.00207e-05 0 4.81703e-43
0.409273 6.60555e-16 6.60552e-16 3.08864e-21 4.67582e-06 6.50869e-05 0 1.08624e-41
0.430281 5.59408e-16 5.59405e-16 2.51361e-21 4.49334e-06 6.03996e-05 0 2.13056e-40
0.452368 4.69589e-16 4.69587e-16 2.04534e-21 4.3556e-06 5.55577e-05 4.50546e-294 3.73322e-39
0.475588 3.90548e-16 3.90546e-16 1.66542e-21 4.26431e-06 5.09203e-05 7.22988e-280 5.99696e-38
0.5 3.21758e-16 3.21756e-16 1.35964e-21 4.22565e-06 4.64714e-05 2.27841e-266 8.97487e-37
0.525665 2.62226e-16 2.62225e-16 1.11119e-21 4.23751e-06 4.22647e-05 1.52396e-253 1.24952e-35
0.552647 2.11129e-16 2.11128e-16 9.0848e-22 4.30295e-06 3.84326e-05 2.32902e-241 1.59529e-34
0.581015 1.67626e-16 1.67625e-16 7.46368e-22 4.45259e-06 3.48712e-05 8.72048e-230 1.83358e-33
0.610839 1.30508e-16 1.30507e-16 6.13364e-22 4.69982e-06 3.16453e-05 8.51461e-219 1.86223e-32
0.642193 9.78035e-17 9.7803e-17 5.03977e-22 5.15295e-06 2.87189e-05 2.26994e-208 1.62832e-31
0.675157 6.54613e-17 6.54609e-17 4.14574e-22 6.33312e-06 2.60756e-05 1.63052e-198 1.13451e-30
0.709813 3.54962e-17 3.54959e-17 3.41608e-22 9.62378e-06 2.37046e-05 3.03498e-189 5.71729e-30
0.746248 2.31355e-17 2.31352e-17 2.81532e-22 1.21688e-05 2.15863e-05 2.29648e-180 3.10006e-29
0.784553 1.64077e-17 1.64075e-17 2.31951e-22 1.41367e-05 1.96625e-05 6.74091e-172 1.64327e-28
0.824824 7.73635e-18 7.73616e-18 1.91058e-22 2.46961e-05 1.7936e-05 4.93232e-164 5.22486e-28
0.867162 2.17895e-18 2.17879e-18 1.57433e-22 7.22516e-05 1.63825e-05 8.47975e-157 8.99225e-28
0.911674 6.48007e-19 6.47878e-19 1.29657e-22 0.000200085 1.49772e-05 6.33665e-150 1.48726e-27
0.95847 2.26713e-19 2.26606e-19 1.06692e-22 0.000470605 1.37177e-05 2.39462e-143 2.64504e-27
1.00767 8.98437e-20 8.97559e-20 8.78016e-23 0.000977271 1.25739e-05 4.59094e-137 4.89039e-27
1.05939 3.88212e-20 3.8749e-20 7.22254e-23 0.00186046 1.15366e-05 4.46983e-131 9.08405e-27
1.11377 1.8038e-20 1.79786e-20 5.9394e-23 0.00329271 1.05922e-05 2.26191e-125 1.67811e-26
1.17094 9.19828e-21 9.14946e-21 4.88213e-23 0.00530765 9.71056e-06 6.29089e-120 3.1581e-26
1.23105 5.41759e-21 5.37744e-21 4.01489e-23 0.00741084 8.90343e-06 1.04728e-114 6.39794e-26
1.29424 3.81165e-21 3.77863e-21 3.30276e-23 0.0086649 8.16095e-06 1.11552e-109 1.44933e-25
1.36067 3.2109e-21 3.18375e-21 2.71537e-23 0.0084567 7.48463e-06 7.86121e-105 3.69385e-25
1.43051 3.09579e-21 3.07347e-21 2.2314e-23 0.00720787 6.86838e-06 3.60538e-100 1.0152e-24
1.50394 3.22907e-21 3.21073e-21 1.83436e-23 0.00568077 6.29889e-06 1.04486e-95 2.85005e-24
1.58114 3.50114e-21 3.48606e-21 1.50799e-23 0.00430715 5.76791e-06 1.88656e-91 7.87174e-24
1.6623 3.8678e-21 3.8554e-21 1.23981e-23 0.00320548 5.27541e-06 2.13258e-87 2.10189e-23
1.74762 4.31427e-21 4.30407e-21 1.01944e-23 0.00236296 4.83159e-06 1.53163e-83 5.39071e-23
1.83733 4.84102e-21 4.83264e-21 8.3815e-24 0.00173135 4.42594e-06 7.12255e-80 1.32633e-22
1.93164 5.45864e-21 5.45175e-21 6.88835e-24 0.00126192 4.05353e-06 2.18907e-76 3.13461e-22
2.03079 6.18759e-21 6.18193e-21 5.6599e-24 0.000914718 3.70796e-06 4.54035e-73 7.135e-22
2.13503 7.06305e-21 7.05839e-21 4.65415e-24 0.000658944 3.39176e-06 6.49149e-70 1.57022e-21
2.24463 8.13768e-21 8.13385e-21 3.82537e-24 0.000470081 3.10368e-06 6.53197e-67 3.35563e-21
2.35984 9.50259e-21 9.49945e-21 3.14298e-24 0.00033075 2.83811e-06 4.72772e-64 7.00617e-21
2.48097 1.13298e-20 1.13272e-20 2.58187e-24 0.000227884 2.59281e-06 2.52145e-61 1.44243e-20
2.60832 1.39929e-20 1.39908e-20 2.12272e-24 0.0001517 2.36654e-06 1.02147e-58 2.97619e-20
2.74221 1.83849e-20 1.83831e-20 1.74463e-24 9.48949e-05 2.16056e-06 3.2773e-56 6.33108e-20
2.88297 2.72765e-20 2.72751e-20 1.43278e-24 5.25278e-05 1.97412e-06 8.96791e-54 1.47626e-19
3.03095 5.38797e-20 5.38786e-20 1.17687e-24 2.18425e-05 1.80492e-06 2.50169e-51 4.45579e-19
3.18653 2.7613e-19 2.76129e-19 9.66836e-25 3.50138e-06 1.64792e-06 1.40458e-48 3.39742e-18
3.35009 1.48976e-18 1.48976e-18 7.94023e-25 5.32986e-07 1.50361e-06 6.52058e-46 2.65899e-17
3.52205 8.8147e-20 8.81463e-20 6.5179e-25 7.39435e-06 1.37222e-06 2.63837e-45 2.22837e-18
3.70284 4.29455e-20 4.2945e-20 5.35265e-25 1.24638e-05 1.25189e-06 7.06494e-44 1.50334e-18
3.89291 3.42111e-20 3.42107e-20 4.39414e-25 1.28442e-05 1.141e-06 2.51281e-42 1.62322e-18
4.09273 3.33593e-20 3.33589e-20 3.60677e-25 1.08119e-05 1.03664e-06 8.97749e-41 2.1024e-18
4.30281 3.58492e-20 3.58489e-20 2.95988e-25 8.25648e-06 9.41752e-07 2.92885e-39 2.94415e-18
4.52368 4.09456e-20 4.09453e-20 2.42976e-25 5.93412e-06 8.55608e-07 8.49236e-38 4.30341e-18
4.75588 4.96802e-20 4.968e-20 1.9938e-25 4.01327e-06 7.76827e-07 2.20659e-36 6.56881e-18
5 6.89671e-20 6.89669e-20 1.63559e-25 2.37156e-06 7.01287e-07 5.57984e-35 1.12879e-17
5.25665 1.89606e-19 1.89606e-19 1.34205e-25 7.07809e-07 6.336e-07 2.39569e-33 3.78306e-17
5.52648 1.63337e-19 1.63337e-19 1.10111e-25 6.74136e-07 5.72782e-07 2.78398e-32 3.91558e-17
5.81015 2.77267e-19 2.77267e-19 9.02857e-26 3.25628e-07 5.18042e-07 5.54645e-31 7.877e-17
6.10839 9.10941e-19 9.10941e-19 7.40099e-26 8.12455e-08 4.65669e-07 1.8733e-29 3.02722e-16
6.42193 6.08032e-19 6.08032e-19 6.06679e-26 9.97774e-08 4.23193e-07 1.13328e-28 2.33452e-16
6.75157 4.99738e-19 4.99738e-19 4.9738e-26 9.9528e-08 3.78082e-07 7.48841e-28 2.19091e-16
7.09813 5.61507e-19 5.61507e-19 4.07544e-26 7.25804e-08 3.39013e-07 6.03594e-27 2.77965e-16
7.46248 1.28939e-18 1.28939e-18 3.33833e-26 2.58908e-08 3.02021e-07 8.92115e-26 7.13093e-16
7.84553 1.61451e-18 1.61451e-18 2.73554e-26 1.69435e-08 2.67074e-07 6.48548e-25 9.87459e-16
8.24824 6.5307e-19 6.5307e-19 2.24085e-26 3.43126e-08 2.33915e-07 1.38076e-24 4.3747e-16
8.67162 6.99884e-19 6.99884e-19 1.83439e-26 2.62099e-08 2.05334e-07 7.09455e-24 5.08753e-16
9.11674 2.63193e-19 2.63193e-19 1.50166e-26 5.70552e-08 1.81083e-07 1.17048e-23 2.05783e-16
9.5847 2.18887e-19 2.18887e-19 1.22877e-26 5.61373e-08 1.57539e-07 3.92507e-23 1.82533e-16
10.0767 2.33014e-19 2.33014e-19 1.00504e-26 4.31321e-08 1.36671e-07 1.55477e-22 2.05583e-16
10.5939 3.20258e-19 3.20258e-19 8.21424e-27 2.56488e-08 1.16089e-07 7.36683e-22 2.96644e-16
11.1377 1.63784e-18 1.63784e-18 6.70845e-27 4.0959e-09 9.73925e-08 1.20781e-20 1.58103e-15
11.7094 8.60064e-19 8.60064e-19 5.52979e-27 6.42951e-09 8.04415e-08 1.89753e-20 8.59166e-16
12.3105 8.85491e-19 8.85491e-19 4.49628e-27 5.07772e-09 6.34937e-08 5.47313e-20 9.09276e-16
12.9424 7.23075e-19 7.23075e-19 3.67145e-27 5.07756e-09 4.65238e-08 1.17617e-19 7.58375e-16
13.6067 5.44342e-19 5.44342e-19 2.998e-27 5.50756e-09 3.41839e-08 2.19572e-19 5.79592e-16
14.3051 4.16637e-19 4.16637e-19 2.44613e-27 5.87113e-09 2.08724e-08 3.93833e-19 4.47764e-16
15.0394 3.40435e-19 3.40435e-19 1.99467e-27 5.85918e-09 6.31791e-09 7.14623e-19 3.67272e-16
15.8114 3.50698e-19 3.50698e-19 1.6265e-27 4.63788e-09 -3.38708e-09 1.55324e-18 3.7783e-16
