# 3.9334e-07 0 23 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 13258.9 1675.77
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 2.35843e-13 2.26293e-13 9.55045e-15 0.0404949 0.0360867 0 0
0.0525665 2.72298e-13 2.61986e-13 1.03122e-14 0.0378709 0.0321453 0 0
0.0552647 3.13698e-13 3.02579e-13 1.11192e-14 0.0354455 0.0286054 0 0
0.0581015 3.90416e-13 3.78621e-13 1.17942e-14 0.0302094 0.0254193 0 0
0.0610839 5.76083e-13 5.63432e-13 1.26511e-14 0.0219605 0.0223735 0 0
0.0642193 7.26368e-13 7.12067e-13 1.43011e-14 0.0196885 0.0193741 0 0
0.0675157 8.68982e-13 8.51743e-13 1.72383e-14 0.0198374 0.0163321 0 0
0.0709813 9.9728e-13 9.78609e-13 1.86703e-14 0.0187212 0.0135887 0 0
0.0746248 9.31525e-13 9.14285e-13 1.72402e-14 0.0185075 0.0115672 0 0
0.0784553 7.3246e-13 7.18459e-13 1.40009e-14 0.0191149 0.0102077 0 0
0.0824824 5.80388e-13 5.70288e-13 1.00996e-14 0.0174014 0.00940896 0 0
0.0867162 4.85535e-13 4.77731e-13 7.8039e-15 0.0160728 0.00891883 0 0
0.0911674 4.23436e-13 4.16852e-13 6.58391e-15 0.0155488 0.00855485 0 0
0.095847 3.78349e-13 3.7306e-13 5.28898e-15 0.0139791 0.00892039 0 0
0.100767 3.31116e-13 3.27493e-13 3.62326e-15 0.0109425 0.0103923 0 0
0.105939 2.8804e-13 2.85529e-13 2.51065e-15 0.00871632 0.0112634 0 0
0.111377 2.46567e-13 2.45042e-13 1.52531e-15 0.00618618 0.0128866 0 0
0.117094 2.0864e-13 2.07697e-13 9.42868e-16 0.00451911 0.0119441 0 0
0.123105 1.75203e-13 1.74592e-13 6.1095e-16 0.00348709 0.0102694 0 0
0.129424 1.47256e-13 1.46865e-13 3.91226e-16 0.00265677 0.00864016 0 0
0.136067 1.33446e-13 1.33194e-13 2.52635e-16 0.00189316 0.00731333 0 0
0.143051 1.21055e-13 1.2089e-13 1.6554e-16 0.00136747 0.006242 0 0
0.150394 1.14307e-13 1.14195e-13 1.12512e-16 0.00098429 0.00533177 0 1.21447e-317
0.158114 1.12955e-13 1.1287e-13 8.48532e-17 0.000751211 0.00456871 0 1.04964e-302
0.16623 1.17433e-13 1.17355e-13 7.81057e-17 0.000665109 0.0039303 0 1.6215e-288
0.174762 1.28665e-13 1.28571e-13 9.36964e-17 0.000728219 0.00338181 0 5.31841e-275
0.183733 1.48685e-13 1.48552e-13 1.33284e-16 0.000896418 0.00288229 0 4.00875e-262
0.193164 1.84092e-13 1.83881e-13 2.1147e-16 0.00114872 0.00239983 0 7.59882e-250
0.203079 2.41175e-13 2.40851e-13 3.243e-16 0.00134466 0.00192455 0 3.84045e-238
0.213503 2.97111e-13 2.96708e-13 4.02274e-16 0.00135395 0.00147993 0 4.92063e-227
0.224463 2.85274e-13 2.84937e-13 3.37183e-16 0.00118196 0.00109648 0 1.41236e-216
0.235984 2.2041e-13 2.20181e-13 2.28911e-16 0.00103857 0.000783678 0 9.96416e-207
0.248097 1.66447e-13 1.66299e-13 1.47808e-16 0.000888019 0.00059896 0 2.22419e-197
0.260832 1.33197e-13 1.33096e-13 1.01263e-16 0.000760249 0.000618036 0 1.79962e-188
0.274221 1.13288e-13 1.13215e-13 7.29025e-17 0.000643514 0.000821706 0 5.57898e-180
0.288297 1.00861e-13 1.00806e-13 5.42628e-17 0.000537998 0.00110446 0 6.86137e-172
0.303095 9.13871e-14 9.13453e-14 4.17744e-17 0.000457114 0.00124134 0 3.41302e-164
0.318653 7.98908e-14 7.98583e-14 3.25034e-17 0.000406847 0.00129771 0 6.81102e-157
0.335009 7.02019e-14 7.01763e-14 2.55854e-17 0.000364455 0.00127791 0 5.93079e-150
0.352205 6.12864e-14 6.1266e-14 2.03906e-17 0.00033271 0.00121366 0 2.32044e-143
0.370284 5.31257e-14 5.31093e-14 1.63956e-17 0.000308619 0.00113534 0 4.23896e-137
0.389291 4.57093e-14 4.5696e-14 1.32856e-17 0.000290654 0.00105898 0 3.75104e-131
0.409273 3.90358e-14 3.9025e-14 1.07981e-17 0.000276621 0.000984727 0 1.66563e-125
0.430281 3.30659e-14 3.30571e-14 8.78542e-18 0.000265694 0.000914088 0 3.8358e-120
0.452368 2.77663e-14 2.77592e-14 7.147e-18 0.000257398 0.000841005 5.16532e-292 4.72797e-115
0.475588 2.31053e-14 2.30995e-14 5.81819e-18 0.000251812 0.000770953 8.0294e-278 3.21461e-110
0.5 1.90528e-14 1.90481e-14 4.74898e-18 0.000249253 0.000703695 2.45595e-264 1.24123e-105
0.525665 1.55521e-14 1.55482e-14 3.88052e-18 0.000249518 0.000640069 1.59784e-251 2.79542e-101
0.552647 1.25581e-14 1.2555e-14 3.17211e-18 0.000252594 0.000582093 2.38183e-239 3.76817e-97
0.581015 1.00298e-14 1.00272e-14 2.60571e-18 0.000259797 0.000528192 8.73681e-228 3.1178e-93
0.610839 7.91744e-15 7.9153e-15 2.14109e-18 0.000270427 0.000479361 8.43401e-217 1.62111e-89
0.642193 6.16824e-15 6.16648e-15 1.75905e-18 0.000285179 0.000435058 2.28211e-206 5.41308e-86
0.675157 4.73559e-15 4.73415e-15 1.44685e-18 0.000305526 0.000395034 1.83793e-196 1.18518e-82
0.709813 3.57809e-15 3.5769e-15 1.19208e-18 0.000333162 0.00035913 4.66462e-187 1.73602e-79
0.746248 2.64221e-15 2.64123e-15 9.82361e-19 0.000371795 0.000327051 3.9172e-178 1.7247e-76
0.784553 1.8695e-15 1.86869e-15 8.09291e-19 0.000432892 0.000297915 1.12481e-169 1.16217e-73
0.824824 1.16922e-15 1.16855e-15 6.66565e-19 0.000570096 0.000271765 1.07137e-161 4.99493e-71
0.867162 5.96608e-16 5.96059e-16 5.49218e-19 0.000920567 0.000248236 3.27734e-154 1.28741e-68
0.911674 3.7002e-16 3.69568e-16 4.52291e-19 0.00122234 0.000226949 5.02111e-147 3.01866e-66
0.95847 2.43741e-16 2.43369e-16 3.72162e-19 0.00152687 0.00020787 3.5156e-140 5.72321e-64
1.00767 1.03853e-16 1.03547e-16 3.06252e-19 0.00294889 0.000190545 7.13046e-134 5.42438e-62
1.05939 2.71789e-17 2.6927e-17 2.51911e-19 0.00926862 0.00017483 4.12148e-128 2.46837e-60
1.11377 7.72955e-18 7.5224e-18 2.07148e-19 0.0267995 0.000160524 1.23855e-122 9.61283e-59
1.17094 2.67505e-18 2.50478e-18 1.70266e-19 0.0636498 0.000147167 2.22444e-117 3.60076e-57
1.23105 1.13094e-18 9.90926e-19 1.40016e-19 0.123805 0.000134938 2.46171e-112 1.30846e-55
1.29424 5.8306e-19 4.67882e-19 1.15178e-19 0.19754 0.000123689 1.74112e-107 4.68354e-54
1.36067 3.74789e-19 2.80098e-19 9.46907e-20 0.252651 0.000113441 8.61981e-103 1.7717e-52
1.43051 2.94781e-19 2.16969e-19 7.78118e-20 0.263965 0.000104104 3.13825e-98 7.29519e-51
1.50394 2.67509e-19 2.03545e-19 6.39647e-20 0.239112 9.54735e-05 8.08423e-94 3.08658e-49
1.58114 2.63898e-19 2.11315e-19 5.2583e-20 0.199255 8.74269e-05 1.3822e-89 1.2359e-47
1.6623 2.73003e-19 2.29772e-19 4.3231e-20 0.158354 7.99631e-05 1.52201e-85 4.46464e-46
1.74762 2.90502e-19 2.54956e-19 3.55462e-20 0.122361 7.32372e-05 1.07696e-81 1.42703e-44
1.83733 3.14877e-19 2.85653e-19 2.92243e-20 0.0928117 6.70894e-05 4.95583e-78 4.01638e-43
1.93164 3.46027e-19 3.22009e-19 2.40177e-20 0.0694098 6.1445e-05 1.50994e-74 9.9696e-42
2.03079 3.8478e-19 3.65046e-19 1.97341e-20 0.0512867 5.6207e-05 3.10737e-71 2.19149e-40
2.13503 4.32995e-19 4.16768e-19 1.62272e-20 0.0374766 5.14154e-05 4.41046e-68 4.29008e-39
2.24463 4.93593e-19 4.80255e-19 1.33374e-20 0.0270211 4.70489e-05 4.40753e-65 7.52571e-38
2.35984 5.7184e-19 5.60882e-19 1.09581e-20 0.0191629 4.30237e-05 3.16934e-62 1.19261e-36
2.48097 6.77797e-19 6.68795e-19 9.00173e-21 0.0132809 3.93058e-05 1.67986e-59 1.7269e-35
2.60832 8.33469e-19 8.26069e-19 7.40082e-21 0.00887953 3.58754e-05 6.76533e-57 2.32765e-34
2.74221 1.09149e-18 1.08541e-18 6.08258e-21 0.00557274 3.27533e-05 2.15846e-54 3.01197e-33
2.88297 1.61542e-18 1.61042e-18 4.99528e-21 0.00309226 2.99282e-05 5.87492e-52 3.98894e-32
3.03095 3.18529e-18 3.18119e-18 4.10304e-21 0.00128812 2.73625e-05 1.63058e-49 6.40249e-31
3.18653 1.6307e-17 1.63036e-17 3.37076e-21 0.000206706 2.49821e-05 9.11083e-47 2.43733e-29
3.35009 8.79635e-17 8.79607e-17 2.76825e-21 3.14705e-05 2.27933e-05 4.2102e-44 8.9658e-28
3.52205 5.20672e-18 5.20445e-18 2.27236e-21 0.000436429 2.08016e-05 1.69611e-43 3.33276e-28
3.70284 2.53748e-18 2.53562e-18 1.86612e-21 0.00073542 1.89807e-05 4.52297e-42 9.43243e-28
