# 4.3758e-08 0 2 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 1.13329e+07 1.2199
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 3.56095e-16 3.56072e-16 2.28093e-20 6.4054e-05 0.000418448 0 1.14829e-58
0.0525665 4.12395e-16 4.1237e-16 2.44539e-20 5.92973e-05 0.000372744 0 1.32894e-56
0.0552647 4.75876e-16 4.7585e-16 2.61952e-20 5.50462e-05 0.000331921 0 1.21559e-54
0.0581015 5.59042e-16 5.59014e-16 2.76305e-20 4.94248e-05 0.000295412 0 9.08321e-53
0.0610839 7.75757e-16 7.75728e-16 2.93728e-20 3.78634e-05 0.000260175 0 6.50415e-51
0.0642193 9.80399e-16 9.80366e-16 3.27172e-20 3.33713e-05 0.000225026 0 3.47727e-49
0.0675157 1.17271e-15 1.17267e-15 3.84316e-20 3.27716e-05 0.00018961 0 1.45688e-47
0.0709813 1.34738e-15 1.34734e-15 3.96482e-20 2.94262e-05 0.000158967 0 4.90087e-46
0.0746248 1.25881e-15 1.25878e-15 3.46e-20 2.74862e-05 0.000137131 0 1.1308e-44
0.0784553 9.89197e-16 9.8917e-16 2.68289e-20 2.71219e-05 0.000122607 0 1.86721e-43
0.0824824 7.85187e-16 7.85168e-16 1.88699e-20 2.40324e-05 0.000114627 0 2.67198e-42
0.0867162 6.57749e-16 6.57734e-16 1.45424e-20 2.21093e-05 0.000110079 0 3.49029e-41
0.0911674 5.73931e-16 5.73919e-16 1.21992e-20 2.12555e-05 0.000106902 0 4.14352e-40
0.095847 5.13635e-16 5.13625e-16 9.67926e-21 1.88446e-05 0.00011272 0 4.45097e-39
0.100767 4.50896e-16 4.5089e-16 6.6049e-21 1.46484e-05 0.000131469 0 4.21988e-38
0.105939 3.93119e-16 3.93114e-16 4.57654e-21 1.16416e-05 0.000141825 0 3.72966e-37
0.111377 3.37375e-16 3.37372e-16 2.79981e-21 8.29882e-06 0.000162313 0 3.31123e-36
0.117094 2.85958e-16 2.85956e-16 1.74586e-21 6.10531e-06 0.000148626 0 3.27788e-35
0.123105 2.40378e-16 2.40377e-16 1.13769e-21 4.7329e-06 0.000127508 0 3.693e-34
0.129424 2.02204e-16 2.02203e-16 7.31901e-22 3.61962e-06 0.000107236 0 4.36216e-33
0.136067 1.83381e-16 1.8338e-16 4.74208e-22 2.58592e-06 9.07305e-05 0 5.29628e-32
0.143051 1.6644e-16 1.6644e-16 3.11484e-22 1.87145e-06 7.73951e-05 0 5.84429e-31
0.150394 1.57223e-16 1.57222e-16 2.12208e-22 1.34973e-06 6.60669e-05 0 5.99253e-30
0.158114 1.55399e-16 1.55399e-16 1.60491e-22 1.03276e-06 5.65748e-05 0 5.72299e-29
0.16623 1.61573e-16 1.61573e-16 1.4825e-22 9.17541e-07 4.86353e-05 0 5.1296e-28
0.174762 1.77016e-16 1.77016e-16 1.7863e-22 1.00912e-06 4.18185e-05 0 4.34071e-27
0.183733 2.04525e-16 2.04525e-16 2.5508e-22 1.24718e-06 3.56165e-05 0 3.48738e-26
0.193164 2.53166e-16 2.53166e-16 4.05179e-22 1.60045e-06 2.9638e-05 0 2.71548e-25
0.203079 3.31602e-16 3.31602e-16 6.18327e-22 1.86466e-06 2.37668e-05 0 2.03375e-24
0.213503 4.08506e-16 4.08505e-16 7.58631e-22 1.85709e-06 1.82791e-05 0 1.30816e-23
0.224463 3.923e-16 3.92299e-16 6.30166e-22 1.60634e-06 1.35334e-05 0 6.01605e-23
0.235984 3.03144e-16 3.03144e-16 4.27435e-22 1.41001e-06 9.6588e-06 0 2.05039e-22
0.248097 2.2896e-16 2.2896e-16 2.76655e-22 1.20831e-06 7.39896e-06 0 6.31586e-22
0.260832 1.83246e-16 1.83246e-16 1.89994e-22 1.03682e-06 7.69957e-06 0 1.9135e-21
0.274221 1.55874e-16 1.55874e-16 1.37038e-22 8.79158e-07 1.02959e-05 0 5.73963e-21
0.288297 1.3879e-16 1.3879e-16 1.02141e-22 7.35942e-07 1.38132e-05 0 1.68448e-20
0.303095 1.25665e-16 1.25665e-16 7.87092e-23 6.26342e-07 1.54875e-05 0 4.71428e-20
0.318653 1.09655e-16 1.09654e-16 6.12884e-23 5.58923e-07 1.61593e-05 0 1.19606e-19
0.335009 9.62346e-17 9.62346e-17 4.82743e-23 5.01632e-07 1.58905e-05 0 2.87928e-19
0.352205 8.38267e-17 8.38267e-17 3.84925e-23 4.59191e-07 1.50778e-05 0 6.50844e-19
0.370284 7.23674e-17 7.23674e-17 3.09643e-23 4.27877e-07 1.40959e-05 0 1.38306e-18
0.389291 6.17436e-17 6.17435e-17 2.51001e-23 4.06521e-07 1.31418e-05 0 2.76215e-18
0.409273 5.16818e-17 5.16818e-17 2.04072e-23 3.94862e-07 1.22156e-05 0 5.15872e-18
0.430281 4.12472e-17 4.12472e-17 1.66082e-23 4.02649e-07 1.13356e-05 0 8.77656e-18
0.452368 2.81004e-17 2.81004e-17 1.35144e-23 4.80931e-07 1.04268e-05 2.00654e-298 1.22034e-17
0.475588 1.68822e-17 1.68822e-17 1.10042e-23 6.51823e-07 9.55638e-06 3.30624e-284 1.43564e-17
0.5 1.31216e-17 1.31216e-17 8.98383e-24 6.84658e-07 8.72135e-06 1.37347e-270 2.10043e-17
0.525665 9.5975e-18 9.59749e-18 7.34228e-24 7.6502e-07 7.93183e-06 1.13336e-257 2.78512e-17
0.552647 4.08729e-18 4.08728e-18 6.00292e-24 1.46868e-06 7.2126e-06 1.23997e-245 2.07454e-17
0.581015 1.24874e-18 1.24873e-18 4.93179e-24 3.94943e-06 6.54424e-06 2.38255e-234 1.07134e-17
0.610839 4.46612e-19 4.46608e-19 4.05297e-24 9.07494e-06 5.9388e-06 1.40522e-223 6.26942e-18
0.642193 1.85186e-19 1.85183e-19 3.33019e-24 1.79829e-05 5.38958e-06 2.68945e-213 4.12368e-18
0.675157 8.48744e-20 8.48717e-20 2.73944e-24 3.22764e-05 4.89349e-06 1.69471e-203 2.91078e-18
0.709813 4.19531e-20 4.19508e-20 2.2573e-24 5.38054e-05 4.44856e-06 3.6395e-194 2.15448e-18
0.746248 2.16688e-20 2.1667e-20 1.86035e-24 8.58536e-05 4.05103e-06 2.73055e-185 1.62232e-18
0.784553 1.15314e-20 1.15299e-20 1.53272e-24 0.000132916 3.68994e-06 7.44308e-177 1.22698e-18
0.824824 6.2812e-21 6.27993e-21 1.26251e-24 0.000200998 3.36596e-06 7.70544e-169 9.27088e-19
0.867162 3.50046e-21 3.49942e-21 1.04032e-24 0.000297196 3.07444e-06 3.17867e-161 7.00341e-19
0.911674 1.98258e-21 1.98173e-21 8.56775e-25 0.000432151 2.81069e-06 5.43463e-154 5.26012e-19
0.95847 1.14845e-21 1.14774e-21 7.05029e-25 0.000613898 2.57428e-06 4.04907e-147 3.9573e-19
1.00767 6.93002e-22 6.92421e-22 5.802e-25 0.000837228 2.35968e-06 1.39586e-140 3.04053e-19
1.05939 4.46257e-22 4.45779e-22 4.77272e-25 0.0010695 2.16499e-06 2.37329e-134 2.4467e-19
1.11377 3.15744e-22 3.15352e-22 3.92482e-25 0.00124304 1.98777e-06 2.12781e-128 2.12527e-19
1.17094 2.5153e-22 2.51207e-22 3.22616e-25 0.00128262 1.82234e-06 1.06857e-122 2.04403e-19
1.23105 2.25836e-22 2.25571e-22 2.65309e-25 0.00117479 1.6709e-06 3.11336e-117 2.18091e-19
