# 3.54285e-07 1 22 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 17239.1 1075.03
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 1.7497e-13 1.69638e-13 5.33197e-15 0.0304736 0.0289201 0 0
0.0525665 2.02229e-13 1.96478e-13 5.75134e-15 0.0284397 0.0257561 0 0
0.0552647 2.33162e-13 2.26966e-13 6.19589e-15 0.0265733 0.0229177 0 0
0.0581015 2.87013e-13 2.80446e-13 6.56789e-15 0.0228836 0.0203669 0 0
0.0610839 4.1875e-13 4.11712e-13 7.03771e-15 0.0168065 0.0179256 0 0
0.0642193 5.28265e-13 5.20325e-13 7.93978e-15 0.0150299 0.0155158 0 0
0.0675157 6.31926e-13 6.22391e-13 9.53552e-15 0.0150896 0.0130737 0 0
0.0709813 7.25337e-13 7.15093e-13 1.02438e-14 0.0141228 0.010889 0 0
0.0746248 6.77448e-13 6.68088e-13 9.35915e-15 0.0138153 0.00929112 0 0
0.0784553 5.32525e-13 5.24998e-13 7.52726e-15 0.014135 0.00821981 0 0
0.0824824 4.22119e-13 4.16723e-13 5.39576e-15 0.0127825 0.0075975 0 0
0.0867162 3.53254e-13 3.4909e-13 4.16349e-15 0.0117861 0.00722031 0 0
0.0911674 3.08112e-13 3.04604e-13 3.50747e-15 0.0113837 0.00694303 0 0
0.095847 2.75414e-13 2.72604e-13 2.80966e-15 0.0102016 0.00725725 0 0
0.100767 2.4123e-13 2.39308e-13 1.92214e-15 0.00796809 0.00845984 0 0
0.105939 2.09976e-13 2.08644e-13 1.33137e-15 0.0063406 0.0091627 0 0
0.111377 1.7987e-13 1.7906e-13 8.09674e-16 0.00450144 0.0104872 0 0
0.117094 1.52274e-13 1.51773e-13 5.01293e-16 0.00329204 0.00969829 0 0
0.123105 1.27911e-13 1.27585e-13 3.25157e-16 0.00254207 0.00833547 0 0
0.129424 1.07539e-13 1.0733e-13 2.08395e-16 0.00193786 0.00701279 0 0
0.136067 9.74836e-14 9.73489e-14 1.34655e-16 0.00138131 0.00593553 0 0
0.143051 8.84597e-14 8.83714e-14 8.82727e-17 0.000997886 0.00506554 0 1.07295e-311
0.150394 8.35584e-14 8.34983e-14 6.00229e-17 0.000718335 0.00432637 0 4.31369e-297
0.158114 8.26016e-14 8.25563e-14 4.52917e-17 0.000548315 0.00370675 0 3.47318e-283
0.16623 8.59086e-14 8.58668e-14 4.17188e-17 0.000485619 0.00318836 0 6.10307e-270
0.174762 9.41551e-14 9.4105e-14 5.00898e-17 0.000531993 0.00274303 0 2.53186e-257
0.183733 1.08827e-13 1.08756e-13 7.13085e-17 0.000655246 0.00233754 0 2.66992e-245
0.193164 1.34743e-13 1.3463e-13 1.13171e-16 0.000839901 0.00194604 0 7.79292e-234
0.203079 1.76498e-13 1.76325e-13 1.73403e-16 0.000982463 0.0015606 0 6.64361e-223
0.213503 2.17427e-13 2.17212e-13 2.14647e-16 0.000987216 0.00120009 0 1.56631e-212
0.224463 2.08866e-13 2.08686e-13 1.79589e-16 0.000859828 0.000889019 0 8.98966e-203
0.235984 1.61567e-13 1.61445e-13 1.21891e-16 0.000754428 0.000635217 0 1.3729e-193
0.248097 1.22228e-13 1.22149e-13 7.87378e-17 0.000644188 0.000485681 0 7.15351e-185
