# 4.84839e-07 1 25 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 6725 3111.38
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 4.25784e-13 3.961e-13 2.96842e-14 0.0697165 0.0566068 0 0
0.0525665 4.89895e-13 4.57771e-13 3.21233e-14 0.0655718 0.0504731 0 0
0.0552647 5.62778e-13 5.28075e-13 3.47026e-14 0.0616631 0.0449455 0 0
0.0581015 7.20927e-13 6.84076e-13 3.68506e-14 0.0511156 0.0399467 0 0
0.0610839 1.09478e-12 1.05518e-12 3.95993e-14 0.0361709 0.0351777 0 0
0.0642193 1.37849e-12 1.33355e-12 4.49439e-14 0.0326037 0.0305089 0 0
0.0675157 1.64972e-12 1.59513e-12 5.45871e-14 0.0330888 0.0257674 0 0
0.0709813 1.89301e-12 1.83272e-12 6.02811e-14 0.0318441 0.0213963 0 0
0.0746248 1.76947e-12 1.71225e-12 5.72198e-14 0.0323372 0.0181047 0 0
0.0784553 1.39328e-12 1.34552e-12 4.77541e-14 0.0342747 0.0158689 0 0
0.0824824 1.10316e-12 1.06803e-12 3.51353e-14 0.0318496 0.0145185 0 0
0.0867162 9.21994e-13 8.9469e-13 2.73036e-14 0.0296137 0.0136651 0 0
0.0911674 8.03822e-13 7.80676e-13 2.31455e-14 0.0287944 0.0130159 0 0
0.095847 7.17414e-13 6.98661e-13 1.87532e-14 0.02614 0.0134759 0 0
0.100767 6.26237e-13 6.13325e-13 1.29117e-14 0.0206179 0.0156628 0 0
0.105939 5.43702e-13 5.34738e-13 8.96383e-15 0.0164867 0.0170028 0 0
0.111377 4.6435e-13 4.58916e-13 5.43441e-15 0.0117033 0.0194198 0 0
0.117094 3.92327e-13 3.88981e-13 3.34524e-15 0.00852667 0.0181106 0 0
0.123105 3.29153e-13 3.26991e-13 2.16169e-15 0.00656743 0.0155857 0 0
0.129424 2.7646e-13 2.75078e-13 1.38109e-15 0.00499561 0.0131133 0 0
0.136067 2.50388e-13 2.49498e-13 8.90349e-16 0.00355588 0.0111008 0 0
0.143051 2.27071e-13 2.26488e-13 5.8269e-16 0.00256611 0.00947686 0 0
0.150394 2.14395e-13 2.13999e-13 3.95554e-16 0.00184498 0.00809733 0 0
0.158114 2.11883e-13 2.11585e-13 2.97875e-16 0.00140585 0.00694075 0 0
0.16623 2.20343e-13 2.20069e-13 2.7367e-16 0.00124202 0.00597305 0 0
0.174762 2.41511e-13 2.41183e-13 3.27502e-16 0.00135606 0.00514141 0 3.72283e-319
0.183733 2.79197e-13 2.78732e-13 4.64851e-16 0.00166496 0.0043837 0 6.13771e-304
0.193164 3.45782e-13 3.45045e-13 7.36875e-16 0.00213104 0.00365114 0 1.23805e-289
0.203079 4.53038e-13 4.51906e-13 1.13258e-15 0.00249996 0.00292828 0 5.30035e-276
0.213503 5.5811e-13 5.56697e-13 1.41294e-15 0.00253166 0.00225163 0 4.63173e-263
0.224463 5.36036e-13 5.34846e-13 1.19047e-15 0.00222088 0.00166887 0 7.38082e-251
0.235984 4.14579e-13 4.1377e-13 8.08879e-16 0.00195109 0.0011938 0 2.37767e-239
0.248097 3.1358e-13 3.13058e-13 5.21743e-16 0.00166383 0.000911509 0 2.01215e-228
0.260832 2.51424e-13 2.51067e-13 3.57023e-16 0.00142 0.000936388 0 5.17017e-218
0.274221 2.14272e-13 2.14015e-13 2.56792e-16 0.00119844 0.00124093 0 4.29951e-208
0.288297 1.91132e-13 1.90941e-13 1.91003e-16 0.000999325 0.00166921 0 1.20793e-198
0.303095 1.73518e-13 1.73371e-13 1.46972e-16 0.000847013 0.00187832 0 1.17817e-189
0.318653 1.521e-13 1.51986e-13 1.1431e-16 0.000751544 0.00196554 0 3.98971e-181
0.335009 1.34041e-13 1.33951e-13 8.99516e-17 0.000671074 0.00193691 0 5.13533e-173
0.352205 1.17406e-13 1.17334e-13 7.16692e-17 0.000610439 0.00184038 0 2.60526e-165
0.370284 1.02161e-13 1.02103e-13 5.76148e-17 0.000563963 0.00172217 0 5.44858e-158
0.389291 8.8283e-14 8.82363e-14 4.66773e-17 0.000528724 0.00160674 0 4.90366e-151
0.409273 7.5772e-14 7.57341e-14 3.79317e-17 0.000500604 0.00149436 0 1.97905e-144
0.430281 6.45548e-14 6.45239e-14 3.08569e-17 0.000477995 0.00138739 0 3.72275e-138
0.452368 5.45714e-14 5.45463e-14 2.5099e-17 0.000459929 0.00127663 7.75931e-297 3.38677e-132
0.475588 4.57646e-14 4.57441e-14 2.04299e-17 0.000446414 0.0011704 2.16072e-282 1.54372e-126
0.5 3.80804e-14 3.80638e-14 1.66738e-17 0.000437857 0.00106838 1.1526e-268 3.64757e-121
0.525665 3.14155e-14 3.14019e-14 1.36233e-17 0.000433648 0.00097184 1.27534e-255 4.61098e-116
0.552647 2.56887e-14 2.56776e-14 1.11353e-17 0.000433471 0.000883863 3.15825e-243 3.21505e-111
0.581015 2.08262e-14 2.0817e-14 9.14631e-18 0.000439175 0.000802048 1.8831e-231 1.27382e-106
0.610839 1.6738e-14 1.67305e-14 7.51497e-18 0.000448977 0.000727926 2.89639e-220 2.94926e-102
0.642193 1.3329e-14 1.33228e-14 6.17363e-18 0.000463173 0.000660671 1.22654e-209 4.09675e-98
0.675157 1.05168e-14 1.05117e-14 5.07762e-18 0.000482812 0.000599907 1.52237e-199 3.50321e-94
0.709813 8.23113e-15 8.22695e-15 4.18334e-18 0.000508234 0.000545396 5.88421e-190 1.89238e-90
0.746248 6.38659e-15 6.38314e-15 3.4472e-18 0.000539756 0.000496688 7.49124e-181 6.60858e-87
0.784553 4.91265e-15 4.90981e-15 2.83975e-18 0.000578049 0.000452448 3.3143e-172 1.52622e-83
0.824824 3.74776e-15 3.74542e-15 2.33885e-18 0.000624065 0.000412742 5.36563e-164 2.3835e-80
0.867162 2.83702e-15 2.8351e-15 1.92703e-18 0.000679242 0.000377014 3.33914e-156 2.57209e-77
