# 5.98828e-08 1 5 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 3.63527e+06 0.640146
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 9.11547e-16 9.11398e-16 1.49472e-19 0.000163976 0.000784179 0 4.11837e-96
0.0525665 1.05569e-15 1.05553e-15 1.60267e-19 0.000151813 0.000698515 0 3.51225e-92
0.0552647 1.21824e-15 1.21807e-15 1.71698e-19 0.000140939 0.000621997 0 1.91846e-88
0.0581015 1.43196e-15 1.43178e-15 1.81126e-19 0.000126488 0.000553563 0 7.01173e-85
0.0610839 1.98831e-15 1.98812e-15 1.92579e-19 9.68555e-05 0.000487525 0 2.03026e-81
0.0642193 2.51281e-15 2.51259e-15 2.14556e-19 8.53849e-05 0.000421658 0 3.65959e-78
0.0675157 3.00572e-15 3.00546e-15 2.52128e-19 8.38828e-05 0.000355283 0 4.35106e-75
0.0709813 3.45337e-15 3.45311e-15 2.60265e-19 7.53654e-05 0.000297832 0 3.52511e-72
0.0746248 3.22636e-15 3.22613e-15 2.27259e-19 7.04382e-05 0.000256882 0 1.67578e-69
0.0784553 2.53533e-15 2.53516e-15 1.76287e-19 6.9532e-05 0.000229642 0 4.9136e-67
0.0824824 2.01244e-15 2.01232e-15 1.24006e-19 6.162e-05 0.000214667 0 1.08377e-64
0.0867162 1.68581e-15 1.68572e-15 9.55621e-20 5.66861e-05 0.000206124 0 1.90621e-62
0.0911674 1.47098e-15 1.4709e-15 8.01666e-20 5.44987e-05 0.000200151 0 2.67611e-60
0.095847 1.31644e-15 1.31638e-15 6.36123e-20 4.83214e-05 0.000211025 0 2.99176e-58
0.100767 1.15564e-15 1.15559e-15 4.3407e-20 3.75611e-05 0.000246132 0 2.57989e-56
0.105939 1.00755e-15 1.00752e-15 3.00755e-20 2.98501e-05 0.000265542 0 1.75831e-54
0.111377 8.64681e-16 8.64663e-16 1.83975e-20 2.12766e-05 0.000303911 0 9.4948e-53
0.117094 7.32907e-16 7.32896e-16 1.14708e-20 1.56511e-05 0.000278323 0 4.12061e-51
0.123105 6.16105e-16 6.16097e-16 7.47443e-21 1.21318e-05 0.000238783 0 1.45818e-49
0.129424 5.18292e-16 5.18288e-16 4.80823e-21 9.27706e-06 0.000200823 0 4.28744e-48
0.136067 4.70092e-16 4.70089e-16 3.11519e-21 6.62677e-06 0.000169913 0 1.13909e-46
0.143051 4.26738e-16 4.26736e-16 2.04616e-21 4.79488e-06 0.000144941 0 2.56108e-45
0.150394 4.03206e-16 4.03204e-16 1.39398e-21 3.45723e-06 0.000123727 0 5.11066e-44
0.158114 3.98657e-16 3.98656e-16 1.05422e-21 2.64442e-06 0.000105952 0 9.17344e-43
0.16623 4.14643e-16 4.14642e-16 9.73775e-22 2.34847e-06 9.10834e-05 0 1.5005e-41
0.174762 4.54425e-16 4.54424e-16 1.17327e-21 2.58188e-06 7.83173e-05 0 2.25747e-40
0.183733 5.25171e-16 5.2517e-16 1.67534e-21 3.19009e-06 6.67028e-05 0 3.1523e-39
0.193164 6.50117e-16 6.50114e-16 2.66117e-21 4.09336e-06 5.55065e-05 0 4.19567e-38
