# 1.01013e-07 2 10 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 726974 2.81169
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 4.35477e-15 4.35136e-15 3.41112e-18 0.000783306 0.0022373 0 7.80874e-209
0.0525665 5.04369e-15 5.04003e-15 3.65903e-18 0.000725468 0.00199276 0 1.30511e-199
0.0552647 5.821e-15 5.81707e-15 3.92164e-18 0.000673705 0.00177429 0 7.69129e-191
0.0581015 6.6059e-15 6.60176e-15 4.13867e-18 0.000626511 0.00157887 0 1.65916e-182
0.0610839 7.48952e-15 7.48511e-15 4.40309e-18 0.000587901 0.00139041 0 1.39702e-174
0.0642193 8.75035e-15 8.74544e-15 4.90999e-18 0.00056112 0.00120255 0 4.95846e-167
0.0675157 1.06698e-14 1.0664e-14 5.77847e-18 0.000541575 0.00101314 0 7.84878e-160
0.0709813 1.18647e-14 1.18588e-14 5.97906e-18 0.000503935 0.000848922 0 5.04689e-153
0.0746248 1.13039e-14 1.12986e-14 5.23311e-18 0.000462948 0.000731756 0 1.2886e-146
0.0784553 9.65404e-15 9.64997e-15 4.06594e-18 0.000421165 0.000653814 0 1.41915e-140
0.0824824 7.76187e-15 7.75901e-15 2.86181e-18 0.000368701 0.000610826 0 7.33912e-135
0.0867162 6.78026e-15 6.77806e-15 2.20501e-18 0.00032521 0.000586218 0 2.12788e-129
0.0911674 5.97447e-15 5.97262e-15 1.84999e-18 0.00030965 0.000568965 0 3.31886e-124
0.095847 4.69071e-15 4.68924e-15 1.46851e-18 0.000313069 0.000599651 0 2.53771e-119
0.100767 3.23381e-15 3.23281e-15 1.00203e-18 0.00030986 0.000699478 0 9.67097e-115
0.105939 2.12039e-15 2.1197e-15 6.94191e-19 0.000327388 0.000754853 0 2.05163e-110
0.111377 1.2832e-15 1.28277e-15 4.24471e-19 0.000330792 0.000864008 0 2.42897e-106
0.117094 9.82042e-16 9.81777e-16 2.6455e-19 0.000269388 0.000791709 0 2.28004e-102
0.123105 7.69493e-16 7.69321e-16 1.72336e-19 0.000223961 0.000679316 0 1.43197e-98
0.129424 6.45741e-16 6.4563e-16 1.10839e-19 0.000171646 0.000571337 0 6.59236e-95
0.136067 6.11703e-16 6.11631e-16 7.18003e-20 0.000117378 0.000483414 0 2.45039e-91
0.143051 6.34502e-16 6.34455e-16 4.71556e-20 7.4319e-05 0.000412378 0 7.34637e-88
0.150394 7.32072e-16 7.3204e-16 3.21222e-20 4.38785e-05 0.000352032 0 1.81927e-84
0.158114 8.8853e-16 8.88505e-16 2.429e-20 2.73373e-05 0.000301465 0 3.49657e-81
0.16623 1.11284e-15 1.11282e-15 2.24332e-20 2.01585e-05 0.000259168 0 5.07211e-78
0.174762 1.45665e-15 1.45662e-15 2.70241e-20 1.85523e-05 0.000222851 0 5.60612e-75
0.183733 1.95546e-15 1.95542e-15 3.85826e-20 1.97307e-05 0.000189807 0 4.64806e-72
0.193164 2.7144e-15 2.71434e-15 6.12842e-20 2.25774e-05 0.00015795 0 2.93766e-69
0.203079 3.58807e-15 3.58798e-15 9.35509e-20 2.60728e-05 0.000126661 0 1.31733e-66
0.213503 3.87549e-15 3.87537e-15 1.14847e-19 2.96342e-05 9.74141e-05 0 3.63955e-64
0.224463 2.97748e-15 2.97738e-15 9.54412e-20 3.20544e-05 7.21257e-05 0 5.4602e-62
0.235984 2.02964e-15 2.02958e-15 6.47378e-20 3.18961e-05 5.14796e-05 0 5.61747e-60
0.248097 1.44042e-15 1.44037e-15 4.18948e-20 2.90852e-05 3.94294e-05 0 4.70689e-58
0.260832 1.13817e-15 1.13814e-15 2.87674e-20 2.52752e-05 4.10125e-05 0 3.47543e-56
0.274221 9.39053e-16 9.39032e-16 2.0747e-20 2.20936e-05 5.48264e-05 0 2.1446e-54
0.288297 8.11538e-16 8.11523e-16 1.54626e-20 1.90534e-05 7.35651e-05 0 1.12147e-52
