# 0.00433194 2 112 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 1.93602e-06 inf
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 0.000118264 4.18011e-05 7.64627e-05 0.646543 0.853941 0 0
0.0525665 0.000118279 4.11219e-05 7.71569e-05 0.652331 0.841451 0 0
0.0552647 0.000118295 4.0608e-05 7.76869e-05 0.656722 0.831079 0 0
0.0581015 0.000118311 4.03759e-05 7.79346e-05 0.658729 0.824717 0 0
0.0610839 0.000118327 3.98045e-05 7.85222e-05 0.663605 0.81595 0 0
0.0642193 0.000118345 3.83778e-05 7.99674e-05 0.675713 0.797661 0 0
0.0675157 0.000118367 3.696e-05 8.14069e-05 0.687751 0.777685 0 0
0.0709813 0.00011839 3.6818e-05 8.15719e-05 0.68901 0.770566 0 0
0.0746248 0.000118413 3.73784e-05 8.10341e-05 0.684337 0.771923 0 0
0.0784553 0.000118434 3.81593e-05 8.02749e-05 0.677802 0.776832 0 0
0.0824824 0.000118457 3.90512e-05 7.94053e-05 0.670333 0.782718 0 0
0.0867162 0.00011848 3.926e-05 7.92197e-05 0.668635 0.781598 0 0
0.0911674 0.000118505 3.90787e-05 7.94263e-05 0.670236 0.776449 0 0
0.095847 0.000118531 3.92452e-05 7.92859e-05 0.668904 0.774702 0 0
0.100767 0.000118553 4.06266e-05 7.79261e-05 0.657312 0.786175 0 0
0.105939 0.000118571 4.20162e-05 7.65544e-05 0.645644 0.800838 0 0
0.111377 0.000118582 4.45499e-05 7.40325e-05 0.624312 0.828865 0 0
0.117094 0.000118591 4.71643e-05 7.14263e-05 0.602293 0.861209 0 0
0.123105 0.000118606 4.88504e-05 6.97555e-05 0.588129 0.88385 0 0
0.129424 0.000118624 5.02809e-05 6.83435e-05 0.576133 0.903828 0 0
0.136067 0.000118644 5.14237e-05 6.72204e-05 0.566572 0.920034 0 0
0.143051 0.000118661 5.23104e-05 6.63503e-05 0.55916 0.932681 0 0
0.150394 0.000118673 5.28151e-05 6.58578e-05 0.554952 0.940834 0 0
0.158114 0.000118685 5.26394e-05 6.60453e-05 0.556477 0.94172 0 0
0.16623 0.000118707 5.13978e-05 6.73094e-05 0.56702 0.930914 0 0
0.174762 0.000118744 4.89387e-05 6.98054e-05 0.587864 0.904395 0 0
0.183733 0.000118788 4.58361e-05 7.29521e-05 0.614136 0.868575 0 0
0.193164 0.000118837 4.26108e-05 7.6226e-05 0.641434 0.831706 0 0
0.203079 0.000118888 3.98075e-05 7.90804e-05 0.665168 0.801231 0 0
0.213503 0.000118942 3.74008e-05 8.15415e-05 0.685555 0.776429 0 0
0.224463 0.000119004 3.57958e-05 8.32079e-05 0.699204 0.759267 0 0
0.235984 0.00011907 3.4885e-05 8.41853e-05 0.707022 0.7477 0 0
0.248097 0.000119142 3.50407e-05 8.41009e-05 0.705891 0.743929 0 0
0.260832 0.000119206 3.58855e-05 8.33203e-05 0.698962 0.746075 0 0
0.274221 0.00011926 3.69125e-05 8.23475e-05 0.690487 0.750298 0 0
0.288297 0.000119294 3.82732e-05 8.10212e-05 0.679171 0.75978 0 0
0.303095 0.000119329 3.92066e-05 8.01221e-05 0.67144 0.767001 0 0
0.318653 0.000119364 3.99671e-05 7.93973e-05 0.665168 0.77335 0 0
0.335009 0.000119403 4.05693e-05 7.88333e-05 0.660231 0.778801 0 0
0.352205 0.000119446 4.09828e-05 7.84633e-05 0.656893 0.782643 0 0
0.370284 0.000119494 4.1249e-05 7.82446e-05 0.654802 0.785011 0 0
0.389291 0.000119544 4.1387e-05 7.81572e-05 0.653794 0.785914 0 0
0.409273 0.000119597 4.14874e-05 7.81095e-05 0.653106 0.786451 0 0
0.430281 0.000119651 4.15708e-05 7.80807e-05 0.652568 0.786826 0 0
0.452368 0.000119708 4.16552e-05 7.8053e-05 0.652027 0.787386 0 0
0.475588 0.000119767 4.17297e-05 7.80372e-05 0.651576 0.787891 0 0
0.5 0.00011983 4.17767e-05 7.80529e-05 0.651366 0.788131 0 0
0.525665 0.000119895 4.18055e-05 7.80897e-05 0.651317 0.788207 0 0
0.552647 0.000119963 4.18245e-05 7.81387e-05 0.651356 0.788163 0 0
0.581015 0.000120036 4.1772e-05 7.8264e-05 0.652005 0.787313 0 0
0.610839 0.000120112 4.17164e-05 7.83954e-05 0.652687 0.786426 0 0
0.642193 0.00012019 4.16576e-05 7.85329e-05 0.653404 0.785497 0 0
0.675157 0.000120272 4.15714e-05 7.87006e-05 0.654355 0.784249 0 0
0.709813 0.000120358 4.146e-05 7.88983e-05 0.655528 0.782703 0 0
0.746248 0.000120447 4.13369e-05 7.91102e-05 0.656805 0.781003 0 0
