# 4.85817e-08 2 3 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 6.53789e+06 0.185841
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 4.8716e-16 4.87118e-16 4.26905e-20 8.76313e-05 0.000515878 0 6.9443e-73
0.0525665 5.64186e-16 5.6414e-16 4.577e-20 8.11257e-05 0.000459529 0 2.93727e-70
0.0552647 6.5104e-16 6.50991e-16 4.90305e-20 7.53111e-05 0.000409198 0 9.20451e-68
0.0581015 7.38746e-16 7.38694e-16 5.17186e-20 7.00087e-05 0.000364186 0 2.13986e-65
0.0610839 8.37396e-16 8.37341e-16 5.49822e-20 6.56586e-05 0.000320745 0 3.80163e-63
0.0642193 9.77875e-16 9.77814e-16 6.12464e-20 6.26321e-05 0.000277412 0 5.39317e-61
0.0675157 1.19081e-15 1.19074e-15 7.19512e-20 6.04219e-05 0.000233749 0 6.26256e-59
0.0709813 1.32093e-15 1.32085e-15 7.42409e-20 5.62037e-05 0.000195967 0 5.26189e-57
0.0746248 1.25533e-15 1.25526e-15 6.4798e-20 5.16184e-05 0.000169042 0 3.04322e-55
0.0784553 1.07037e-15 1.07032e-15 5.02498e-20 4.69462e-05 0.000151131 0 1.28255e-53
0.0824824 8.6018e-16 8.60144e-16 3.5344e-20 4.10891e-05 0.000141291 0 4.18056e-52
0.0867162 7.51536e-16 7.51509e-16 2.7238e-20 3.62431e-05 0.00013568 0 1.22768e-50
0.0911674 6.62033e-16 6.6201e-16 2.28493e-20 3.45139e-05 0.00013176 0 3.04082e-49
0.095847 5.19447e-16 5.19429e-16 1.81298e-20 3.49021e-05 0.000138927 0 5.66279e-48
0.100767 3.58037e-16 3.58025e-16 1.23713e-20 3.45532e-05 0.000162037 0 7.89305e-47
0.105939 2.34751e-16 2.34742e-16 8.572e-21 3.65153e-05 0.000174804 0 9.0168e-46
0.111377 1.42087e-16 1.42082e-16 5.24399e-21 3.69069e-05 0.000200059 0 8.35525e-45
0.117094 1.08882e-16 1.08879e-16 3.26987e-21 3.00314e-05 0.000183196 0 9.028e-44
0.123105 8.53881e-17 8.5386e-17 2.13077e-21 2.49539e-05 0.000157167 0 1.02419e-42
0.129424 7.17021e-17 7.17008e-17 1.37076e-21 1.91174e-05 0.00013218 0 1.47295e-41
0.136067 6.79569e-17 6.7956e-17 8.88119e-22 1.30689e-05 0.000111835 0 2.86256e-40
0.143051 7.05192e-17 7.05186e-17 5.83358e-22 8.27233e-06 9.53982e-05 0 6.34134e-39
0.150394 8.1391e-17 8.13906e-17 3.97429e-22 4.88296e-06 8.1435e-05 0 1.44781e-37
0.158114 9.88104e-17 9.88101e-17 3.00569e-22 3.04188e-06 6.9735e-05 0 3.07169e-36
0.16623 1.2378e-16 1.2378e-16 2.77642e-22 2.24302e-06 5.99489e-05 0 5.8679e-35
0.174762 1.6205e-16 1.6205e-16 3.34533e-22 2.06438e-06 5.15463e-05 0 1.02266e-33
0.183733 2.17571e-16 2.17571e-16 4.77701e-22 2.19561e-06 4.39017e-05 0 1.60272e-32
0.193164 3.02018e-16 3.02017e-16 7.58801e-22 2.51244e-06 3.65325e-05 0 2.28998e-31
0.203079 3.99122e-16 3.99121e-16 1.15799e-21 2.90134e-06 2.92956e-05 0 2.76271e-30
0.213503 4.30866e-16 4.30865e-16 1.42079e-21 3.29753e-06 2.25313e-05 0 2.4287e-29
0.224463 3.30899e-16 3.30898e-16 1.18022e-21 3.56672e-06 1.66816e-05 0 1.36235e-28
0.235984 2.25563e-16 2.25562e-16 8.00534e-22 3.54905e-06 1.19057e-05 0 6.11601e-28
0.248097 1.60096e-16 1.60096e-16 5.18137e-22 3.23641e-06 9.12012e-06 0 2.59067e-27
0.260832 1.2651e-16 1.2651e-16 3.5583e-22 2.81266e-06 9.49042e-06 0 1.11246e-26
0.274221 1.0438e-16 1.0438e-16 2.5665e-22 2.45879e-06 1.26905e-05 0 4.56221e-26
0.288297 9.02107e-17 9.02105e-17 1.91293e-22 2.12051e-06 1.70259e-05 0 1.80039e-25
0.303095 7.93476e-17 7.93474e-17 1.47409e-22 1.85776e-06 1.90897e-05 0 6.67017e-25
0.318653 7.00531e-17 7.0053e-17 1.14783e-22 1.63851e-06 1.99179e-05 0 2.29705e-24
