# 2.09606e-06 2 39 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 74.2528 6642.06
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 2.29861e-11 1.15936e-11 1.13925e-11 0.495626 0.686163 0 0
0.0525665 2.43257e-11 1.24598e-11 1.18659e-11 0.487793 0.663485 0 0
0.0552647 2.57406e-11 1.34283e-11 1.23123e-11 0.478322 0.64314 0 0
0.0581015 2.69441e-11 1.4363e-11 1.2581e-11 0.466931 0.625023 0 0
0.0610839 2.8115e-11 1.51333e-11 1.29817e-11 0.461736 0.603912 0 0
0.0642193 3.01655e-11 1.61129e-11 1.40526e-11 0.46585 0.579055 0 0
0.0675157 3.35472e-11 1.78678e-11 1.56794e-11 0.467383 0.558713 0 0
0.0709813 3.69719e-11 2.00544e-11 1.69175e-11 0.457578 0.546105 0 0
0.0746248 3.92546e-11 2.17159e-11 1.75387e-11 0.446794 0.533091 0 0
0.0784553 4.02887e-11 2.26557e-11 1.76331e-11 0.437667 0.514191 0 0
0.0824824 4.02836e-11 2.29865e-11 1.72971e-11 0.429384 0.485337 0 0
0.0867162 4.05441e-11 2.31987e-11 1.73454e-11 0.427816 0.44839 0 0
0.0911674 4.14137e-11 2.3361e-11 1.80528e-11 0.435913 0.406372 0 0
0.095847 4.21756e-11 2.31731e-11 1.90025e-11 0.450557 0.361243 0 0
0.100767 4.23828e-11 2.29193e-11 1.94635e-11 0.459231 0.327098 0 0
0.105939 4.3419e-11 2.27368e-11 2.06821e-11 0.476339 0.319212 0 0
0.111377 4.01957e-11 2.12166e-11 1.89791e-11 0.472168 0.33346 0 0
0.117094 3.48101e-11 1.86546e-11 1.61555e-11 0.464104 0.331488 0 0
0.123105 2.82626e-11 1.52614e-11 1.30012e-11 0.460014 0.318374 0 0
0.129424 1.97751e-11 1.09608e-11 8.81426e-12 0.445725 0.279518 0 0
0.136067 1.42753e-11 8.56798e-12 5.70731e-12 0.399803 0.229926 0 0
0.143051 1.13077e-11 7.5611e-12 3.74661e-12 0.331332 0.191405 0 0
0.150394 1.00666e-11 7.56071e-12 2.50584e-12 0.248927 0.161447 0 0
0.158114 1.00265e-11 8.22059e-12 1.80589e-12 0.180112 0.138164 0 0
0.16623 1.0893e-11 9.35393e-12 1.53911e-12 0.141293 0.119794 0 0
0.174762 1.26741e-11 1.1035e-11 1.63911e-12 0.129328 0.104521 0 0
0.183733 1.53571e-11 1.33259e-11 2.03112e-12 0.13226 0.0907642 0 0
0.193164 1.96899e-11 1.68342e-11 2.85563e-12 0.145031 0.0774027 0 0
0.203079 2.60378e-11 2.17813e-11 4.25655e-12 0.163476 0.0632785 0 0
0.213503 3.30296e-11 2.69159e-11 6.1137e-12 0.185098 0.0488798 0 0
0.224463 3.49093e-11 2.78609e-11 7.04848e-12 0.201908 0.0367353 0 0
0.235984 2.89916e-11 2.30648e-11 5.92684e-12 0.204433 0.0276435 0 0
0.248097 2.14479e-11 1.73723e-11 4.07555e-12 0.190021 0.0214134 0 0
0.260832 1.66625e-11 1.38823e-11 2.78013e-12 0.16685 0.0189745 0 0
0.274221 1.3556e-11 1.15877e-11 1.96829e-12 0.145197 0.0204041 0 0
0.288297 1.14607e-11 1.00236e-11 1.43708e-12 0.125392 0.0259364 0 0
0.303095 9.82882e-12 8.73843e-12 1.09039e-12 0.110938 0.0297655 0 0
0.318653 8.4418e-12 7.60403e-12 8.37766e-13 0.0992403 0.0321376 0 0
0.335009 7.33403e-12 6.68199e-12 6.52035e-13 0.0889055 0.0325753 0 0
0.352205 6.47124e-12 5.95671e-12 5.14533e-13 0.0795107 0.0315655 0 0
0.370284 5.77027e-12 5.36012e-12 4.10151e-13 0.07108 0.0299448 0 0
0.389291 5.15665e-12 4.82679e-12 3.29858e-13 0.0639676 0.0282255 0 0
0.409273 4.60294e-12 4.33665e-12 2.66292e-13 0.0578525 0.0264709 0 0
0.430281 4.09824e-12 3.88293e-12 2.15312e-13 0.0525376 0.0247513 0 0
0.452368 3.67062e-12 3.49648e-12 1.74146e-13 0.0474433 0.0228963 0 0
0.475588 3.29518e-12 3.15417e-12 1.41012e-13 0.0427933 0.0210813 0 0
0.5 2.9822e-12 2.86766e-12 1.14541e-13 0.0384082 0.0193067 0 0
0.525665 2.71652e-12 2.62334e-12 9.31776e-14 0.0343003 0.0176074 0 0
0.552647 2.47438e-12 2.39852e-12 7.58561e-14 0.0306566 0.0160505 0 8.39912e-323
0.581015 2.27571e-12 2.21362e-12 6.20856e-14 0.0272819 0.0145873 0 5.38602e-308
0.610839 2.09189e-12 2.04104e-12 5.08457e-14 0.0243061 0.0132582 0 6.52217e-294
0.642193 1.92111e-12 1.87947e-12 4.1645e-14 0.0216775 0.0120494 0 1.60175e-280
0.675157 1.76654e-12 1.73238e-12 3.4158e-14 0.0193361 0.0109534 0 8.64671e-268
0.709813 1.62657e-12 1.5985e-12 2.80724e-14 0.0172586 0.00996757 0 1.10531e-255
0.746248 1.49752e-12 1.47444e-12 2.30797e-14 0.015412 0.0090856 0 3.5869e-244
0.784553 1.37715e-12 1.35818e-12 1.89727e-14 0.0137768 0.00828334 0 3.15702e-233
0.824824 1.26623e-12 1.25064e-12 1.55959e-14 0.0123167 0.00756276 0 8.04465e-223
0.867162 1.16387e-12 1.15104e-12 1.28268e-14 0.0110209 0.00691372 0 6.30885e-213
0.911674 1.06887e-12 1.05833e-12 1.05454e-14 0.00986595 0.006326 1.04717e-301 1.61321e-203
0.95847 9.81668e-13 9.73004e-13 8.66366e-15 0.00882545 0.00579926 5.38349e-287 1.42334e-194
1.00767 9.00994e-13 8.93875e-13 7.11919e-15 0.00790148 0.00532036 5.205e-273 4.56585e-186
1.05939 8.27968e-13 8.2212e-13 5.84826e-15 0.00706338 0.00488588 1.02887e-259 5.61303e-178
1.11377 7.60002e-13 7.55199e-13 4.80327e-15 0.00632007 0.00448974 4.48238e-247 2.76918e-170
1.17094 6.99844e-13 6.959e-13 3.94369e-15 0.00563509 0.00411952 4.6539e-235 5.7686e-163
1.23105 6.4476e-13 6.4152e-13 3.23976e-15 0.00502475 0.0037801 1.23198e-223 5.29127e-156
1.29424 5.94056e-13 5.91394e-13 2.66257e-15 0.00448202 0.00346725 8.88455e-213 2.22978e-149
1.36067 5.47428e-13 5.45241e-13 2.18712e-15 0.00399527 0.00318206 1.8601e-202 4.5001e-143
1.43051 5.04602e-13 5.02806e-13 1.79586e-15 0.00355897 0.00292207 1.20119e-192 4.52815e-137
1.50394 4.65858e-13 4.64383e-13 1.47525e-15 0.00316673 0.00268151 2.53728e-183 2.3649e-131
