# 3.18466e-06 2 43 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 20.183 21084.6
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 6.2556e-11 2.703e-11 3.55259e-11 0.567906 0.782171 0 0
0.0525665 6.46606e-11 2.84146e-11 3.6246e-11 0.560558 0.76347 0 0
0.0552647 6.69253e-11 2.99969e-11 3.69284e-11 0.551785 0.747062 0 0
0.0581015 6.8836e-11 3.15823e-11 3.72537e-11 0.541195 0.734042 0 0
0.0610839 7.07822e-11 3.27768e-11 3.80054e-11 0.536934 0.71936 0 0
0.0642193 7.44095e-11 3.4089e-11 4.03205e-11 0.541872 0.69861 0 0
0.0675157 8.01634e-11 3.66712e-11 4.34922e-11 0.542545 0.678807 0 0
0.0709813 8.59187e-11 4.03451e-11 4.55736e-11 0.530427 0.668947 0 0
0.0746248 8.98886e-11 4.34202e-11 4.64684e-11 0.516955 0.663091 0 0
0.0784553 9.18974e-11 4.54292e-11 4.64682e-11 0.505653 0.656158 0 0
0.0824824 9.22769e-11 4.65281e-11 4.57488e-11 0.495777 0.644454 0 0
0.0867162 9.32482e-11 4.72655e-11 4.59827e-11 0.493121 0.626469 0 0
0.0911674 9.53336e-11 4.79624e-11 4.73712e-11 0.496899 0.60657 0 0
0.095847 9.72171e-11 4.84518e-11 4.87653e-11 0.501613 0.588967 0 0
0.100767 9.78301e-11 4.93983e-11 4.84318e-11 0.49506 0.582302 0 0
0.105939 1.00377e-10 5.08188e-11 4.95582e-11 0.493721 0.581705 0 0
0.111377 1.00755e-10 5.02335e-11 5.05215e-11 0.501429 0.574618 0 0
0.117094 9.79057e-11 4.80587e-11 4.9847e-11 0.509133 0.56315 0 0
0.123105 9.34571e-11 4.48221e-11 4.8635e-11 0.520399 0.55705 0 0
0.129424 8.21066e-11 3.76594e-11 4.44472e-11 0.541336 0.534417 0 0
0.136067 6.96908e-11 3.27071e-11 3.69838e-11 0.530683 0.497647 0 0
0.143051 5.97802e-11 3.04162e-11 2.9364e-11 0.491199 0.459724 0 0
0.150394 4.97875e-11 2.86184e-11 2.11691e-11 0.425189 0.416857 0 0
0.158114 4.34027e-11 2.81638e-11 1.52389e-11 0.351104 0.363461 0 0
0.16623 4.23077e-11 2.95797e-11 1.2728e-11 0.300844 0.315115 0 0
0.174762 4.49919e-11 3.21287e-11 1.28632e-11 0.285901 0.276435 0 0
0.183733 4.98877e-11 3.54523e-11 1.44354e-11 0.289358 0.243092 0 0
0.193164 5.81194e-11 4.04795e-11 1.76399e-11 0.303511 0.21301 0 0
0.203079 7.0174e-11 4.73146e-11 2.28595e-11 0.325754 0.182125 0 0
0.213503 8.38947e-11 5.36808e-11 3.02139e-11 0.360141 0.14572 0 0
0.224463 9.52405e-11 5.73541e-11 3.78863e-11 0.397797 0.109499 0 0
0.235984 9.92584e-11 5.81327e-11 4.11258e-11 0.41433 0.0842745 0 0
0.248097 9.1834e-11 5.48831e-11 3.69508e-11 0.402366 0.0679605 0 0
0.260832 8.02167e-11 5.0446e-11 2.97707e-11 0.371128 0.0583689 0 0
0.274221 6.92696e-11 4.59987e-11 2.32709e-11 0.335947 0.0541435 0 0
0.288297 6.00011e-11 4.20879e-11 1.79132e-11 0.298549 0.0580262 0 0
0.303095 5.21085e-11 3.80683e-11 1.40401e-11 0.26944 0.0621435 0 0
0.318653 4.49246e-11 3.39195e-11 1.10051e-11 0.244969 0.0659285 0 0
0.335009 3.87029e-11 3.00532e-11 8.64967e-12 0.223489 0.0674744 0 0
0.352205 3.35786e-11 2.67269e-11 6.85168e-12 0.204049 0.0663038 0 0
0.370284 2.93413e-11 2.38759e-11 5.46539e-12 0.18627 0.0636544 0 0
0.389291 2.57136e-11 2.1322e-11 4.39163e-12 0.17079 0.0605904 0 0
0.409273 2.2513e-11 1.89754e-11 3.53763e-12 0.157137 0.057321 0 0
0.430281 1.96688e-11 1.68172e-11 2.85162e-12 0.144982 0.0540188 0 0
0.452368 1.72661e-11 1.49685e-11 2.29756e-12 0.133068 0.0502633 0 0
0.475588 1.51985e-11 1.33458e-11 1.85265e-12 0.121897 0.0464977 0 0
0.5 1.34912e-11 1.19928e-11 1.49842e-12 0.111066 0.0427352 0 0
0.525665 1.20607e-11 1.08469e-11 1.21375e-12 0.100637 0.0390821 0 0
0.552647 1.07964e-11 9.81241e-12 9.84031e-13 0.091144 0.0357164 0 0
0.581015 9.77008e-12 8.96776e-12 8.02319e-13 0.0821199 0.0325116 0 0
0.610839 8.84859e-12 8.19391e-12 6.54679e-13 0.0739868 0.0295944 0 0
0.642193 8.0165e-12 7.48214e-12 5.34362e-13 0.0666577 0.0269354 0 0
0.675157 7.28114e-12 6.84425e-12 4.36886e-13 0.0600025 0.024515 0 0
0.709813 6.63001e-12 6.27202e-12 3.57986e-13 0.0539948 0.0223313 0 0
0.746248 6.04248e-12 5.74898e-12 2.93502e-13 0.0485732 0.0203757 0 0
0.784553 5.50572e-12 5.26507e-12 2.40646e-13 0.0437084 0.0185941 0 0
0.824824 5.01949e-12 4.82216e-12 1.97332e-13 0.0393131 0.0169933 0 0
0.867162 4.5781e-12 4.41617e-12 1.6193e-13 0.0353705 0.0155501 0 0
0.911674 4.17468e-12 4.04183e-12 1.32848e-13 0.0318222 0.0142421 1.54011e-303 0
0.95847 3.80868e-12 3.69975e-12 1.08926e-13 0.0285995 0.0130704 1.03414e-288 0
1.00767 3.4745e-12 3.38516e-12 8.93446e-14 0.0257143 0.0120037 1.28916e-274 0
1.05939 3.17441e-12 3.10114e-12 7.32701e-14 0.0230815 0.011036 3.24476e-261 0
1.11377 2.89851e-12 2.83842e-12 6.00836e-14 0.0207291 0.0101522 1.77912e-248 0
1.17094 2.65527e-12 2.60601e-12 4.92594e-14 0.0185516 0.00932504 2.29837e-236 0
1.23105 2.43456e-12 2.39414e-12 4.04131e-14 0.0165998 0.00856546 7.49026e-225 0
1.29424 2.23332e-12 2.20015e-12 3.31729e-14 0.0148536 0.00786353 6.58361e-214 0
1.36067 2.04962e-12 2.0224e-12 2.72187e-14 0.0132799 0.00722312 1.66382e-203 0
1.43051 1.88202e-12 1.85969e-12 2.23265e-14 0.0118631 0.00663885 1.28507e-193 0
1.50394 1.73115e-12 1.71283e-12 1.83233e-14 0.0105844 0.00609751 3.21815e-184 0
1.58114 1.59477e-12 1.57973e-12 1.50402e-14 0.00943099 0.00559093 2.76014e-175 0
1.6623 1.47009e-12 1.45774e-12 1.23483e-14 0.00839972 0.00511928 8.53711e-167 0
1.74762 1.35417e-12 1.34403e-12 1.01406e-14 0.00748846 0.00469368 9.99504e-159 0
1.83733 1.24803e-12 1.2397e-12 8.32762e-15 0.00667263 0.00430415 4.64999e-151 0
1.93164 1.1505e-12 1.14366e-12 6.83682e-15 0.00594249 0.00394589 8.99128e-144 0
2.03079 1.0617e-12 1.05608e-12 5.61212e-15 0.005286 0.00361272 7.54823e-137 0
2.13503 9.79754e-13 9.75143e-13 4.61084e-15 0.00470613 0.00330738 2.86294e-130 0
2.24463 9.03845e-13 9.00058e-13 3.78675e-15 0.00418961 0.0030288 5.09764e-124 0
2.35984 8.34596e-13 8.31487e-13 3.109e-15 0.00372515 0.00277173 4.42714e-118 0
2.48097 7.71057e-13 7.68505e-13 2.55226e-15 0.00331007 0.00253395 1.94157e-112 0
2.60832 7.12209e-13 7.10112e-13 2.09711e-15 0.00294452 0.00231406 4.4424e-107 0
2.74221 6.57189e-13 6.55467e-13 1.72264e-15 0.00262122 0.00211372 5.4699e-102 0
2.88297 6.06513e-13 6.05099e-13 1.41401e-15 0.00233137 0.00193246 3.73984e-97 0
3.03095 5.59335e-13 5.58174e-13 1.16093e-15 0.00207555 0.0017677 1.45992e-92 0
3.18653 5.1605e-13 5.15097e-13 9.53346e-16 0.00184739 0.00161464 3.348e-88 0
3.35009 4.76138e-13 4.75356e-13 7.8265e-16 0.00164374 0.00147379 4.62764e-84 0
3.52205 4.39204e-13 4.38562e-13 6.42232e-16 0.00146226 0.00134557 3.9504e-80 0
3.70284 4.05194e-13 4.04667e-13 5.27253e-16 0.00130124 0.00122827 2.13313e-76 0
