# 7.35159e-06 2 51 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 1.31439 133605
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 3.6347e-10 1.36907e-10 2.26563e-10 0.623334 0.839191 0 0
0.0525665 3.6958e-10 1.3954e-10 2.3004e-10 0.622436 0.826073 0 0
0.0552647 3.76054e-10 1.43001e-10 2.33054e-10 0.619734 0.814935 0 0
0.0581015 3.8174e-10 1.47001e-10 2.34738e-10 0.614918 0.807421 0 0
0.0610839 3.87554e-10 1.49206e-10 2.38348e-10 0.615007 0.797914 0 0
0.0642193 3.97334e-10 1.4999e-10 2.47344e-10 0.622508 0.780463 0 0
0.0675157 4.12085e-10 1.54154e-10 2.57931e-10 0.625916 0.762381 0 0
0.0709813 4.27456e-10 1.64195e-10 2.63261e-10 0.615878 0.755706 0 0
0.0746248 4.39346e-10 1.74936e-10 2.6441e-10 0.601826 0.755752 0 0
0.0784553 4.46776e-10 1.83692e-10 2.63084e-10 0.58885 0.75771 0 0
0.0824824 4.49959e-10 1.90179e-10 2.59781e-10 0.577342 0.758707 0 0
0.0867162 4.54121e-10 1.94218e-10 2.59904e-10 0.572322 0.753566 0 0
0.0911674 4.60412e-10 1.97542e-10 2.6287e-10 0.570945 0.745123 0 0
0.095847 4.64572e-10 2.00526e-10 2.64046e-10 0.568364 0.738529 0 0
0.100767 4.62503e-10 2.05354e-10 2.57149e-10 0.555994 0.741353 0 0
0.105939 4.6089e-10 2.10629e-10 2.5026e-10 0.542994 0.747585 0 0
0.111377 4.55205e-10 2.20356e-10 2.34849e-10 0.515919 0.764257 0 0
0.117094 4.55312e-10 2.34912e-10 2.20399e-10 0.484063 0.779578 0 0
0.123105 4.73951e-10 2.44266e-10 2.29685e-10 0.484618 0.786549 0 0
0.129424 4.95505e-10 2.41812e-10 2.53693e-10 0.511989 0.797515 0 0
0.136067 4.79625e-10 2.36472e-10 2.43153e-10 0.506965 0.80016 0 0
0.143051 4.26519e-10 2.26269e-10 2.0025e-10 0.469499 0.78209 0 0
0.150394 3.96632e-10 2.18949e-10 1.77683e-10 0.447979 0.781834 0 0
0.158114 3.94513e-10 2.18195e-10 1.76318e-10 0.446926 0.778399 0 0
0.16623 3.91544e-10 2.15202e-10 1.76341e-10 0.450375 0.758941 0 0
0.174762 4.09008e-10 2.14938e-10 1.9407e-10 0.474489 0.729575 0 0
0.183733 4.36072e-10 2.17534e-10 2.18538e-10 0.501151 0.698434 0 0
0.193164 4.63284e-10 2.23628e-10 2.39656e-10 0.517298 0.66907 0 0
0.203079 4.88433e-10 2.33872e-10 2.54561e-10 0.521179 0.642717 0 0
0.213503 5.17625e-10 2.4482e-10 2.72805e-10 0.527032 0.617915 0 0
0.224463 5.36448e-10 2.45203e-10 2.91245e-10 0.542914 0.587365 0 0
0.235984 5.4123e-10 2.3883e-10 3.024e-10 0.558727 0.557555 0 0
0.248097 5.39267e-10 2.38252e-10 3.01015e-10 0.558192 0.536463 0 0
0.260832 5.3062e-10 2.41569e-10 2.89052e-10 0.544743 0.5155 0 0
0.274221 5.20159e-10 2.4444e-10 2.7572e-10 0.530067 0.487283 0 0
0.288297 5.13724e-10 2.49297e-10 2.64427e-10 0.514726 0.457146 0 0
0.303095 5.12014e-10 2.52462e-10 2.59552e-10 0.506923 0.422166 0 0
0.318653 5.14389e-10 2.55663e-10 2.58726e-10 0.502978 0.386106 0 0
0.335009 5.2076e-10 2.59767e-10 2.60993e-10 0.501177 0.352646 0 0
0.352205 5.28931e-10 2.64764e-10 2.64166e-10 0.499435 0.32294 0 0
