# 3.5286e-05 2 66 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 0.0213844 1.36663e+06
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 8.22364e-09 2.88785e-09 5.33579e-09 0.648836 0.858072 0 0
0.0525665 8.2639e-09 2.86773e-09 5.39617e-09 0.652981 0.846191 0 0
0.0552647 8.30617e-09 2.8611e-09 5.44507e-09 0.655546 0.836325 0 0
0.0581015 8.34505e-09 2.87234e-09 5.47271e-09 0.655803 0.830233 0 0
0.0610839 8.38387e-09 2.85426e-09 5.5296e-09 0.659553 0.821958 0 0
0.0642193 8.44062e-09 2.78166e-09 5.65896e-09 0.670443 0.804945 0 0
0.0675157 8.52136e-09 2.72822e-09 5.79314e-09 0.679837 0.786524 0 0
0.0709813 8.60934e-09 2.77912e-09 5.83022e-09 0.677197 0.780073 0 0
0.0746248 8.68871e-09 2.88024e-09 5.80847e-09 0.668508 0.781437 0 0
0.0784553 8.75475e-09 2.99107e-09 5.76368e-09 0.658349 0.785987 0 0
0.0824824 8.80666e-09 3.10302e-09 5.70364e-09 0.647651 0.79115 0 0
0.0867162 8.85417e-09 3.15761e-09 5.69657e-09 0.643377 0.789729 0 0
0.0911674 8.91103e-09 3.1889e-09 5.72212e-09 0.64214 0.784688 0 0
0.095847 8.95792e-09 3.24351e-09 5.7144e-09 0.637917 0.782554 0 0
0.100767 8.95743e-09 3.36353e-09 5.5939e-09 0.624498 0.791867 0 0
0.105939 8.94384e-09 3.47088e-09 5.47296e-09 0.611925 0.804264 0 0
0.111377 8.88257e-09 3.64003e-09 5.24254e-09 0.590205 0.828194 0 0
0.117094 8.87548e-09 3.84189e-09 5.03359e-09 0.567134 0.857416 0 0
0.123105 8.89334e-09 3.99057e-09 4.90277e-09 0.551286 0.878008 0 0
0.129424 8.92006e-09 4.12958e-09 4.79048e-09 0.537045 0.896278 0 0
0.136067 8.93921e-09 4.24796e-09 4.69125e-09 0.524795 0.911013 0 0
0.143051 8.92446e-09 4.3331e-09 4.59136e-09 0.514469 0.922287 0 0
0.150394 8.83132e-09 4.34551e-09 4.4858e-09 0.507943 0.928932 0 0
0.158114 8.70474e-09 4.28532e-09 4.41941e-09 0.507702 0.92864 0 0
0.16623 8.67902e-09 4.16605e-09 4.51297e-09 0.519986 0.917025 0 0
0.174762 8.80646e-09 4.01175e-09 4.79471e-09 0.544453 0.891392 0 0
0.183733 8.98867e-09 3.85084e-09 5.13782e-09 0.571589 0.85839 0 0
0.193164 9.20095e-09 3.71184e-09 5.48911e-09 0.596581 0.825607 0 0
0.203079 9.44327e-09 3.62736e-09 5.81591e-09 0.615879 0.799728 0 0
0.213503 9.71426e-09 3.58777e-09 6.12649e-09 0.63067 0.779801 0 0
0.224463 9.98593e-09 3.60877e-09 6.37716e-09 0.638615 0.766726 0 0
0.235984 1.01466e-08 3.61599e-09 6.53064e-09 0.643626 0.756402 0 0
0.248097 1.0144e-08 3.63453e-09 6.50951e-09 0.641708 0.749479 0 0
0.260832 1.0063e-08 3.68379e-09 6.37919e-09 0.633927 0.746079 0 0
0.274221 9.98235e-09 3.75193e-09 6.23041e-09 0.624143 0.744565 0 0
0.288297 9.93816e-09 3.86771e-09 6.07045e-09 0.610823 0.74846 0 0
0.303095 9.93886e-09 3.96709e-09 5.97177e-09 0.600851 0.75141 0 0
0.318653 9.95147e-09 4.0571e-09 5.89437e-09 0.592312 0.753618 0 0
0.335009 9.98216e-09 4.14287e-09 5.83929e-09 0.584972 0.755363 0 0
0.352205 1.00252e-08 4.22061e-09 5.80456e-09 0.578999 0.755666 0 0
0.370284 1.00719e-08 4.28627e-09 5.78563e-09 0.574433 0.754362 0 0
0.389291 1.0125e-08 4.34406e-09 5.78092e-09 0.570956 0.751755 0 0
0.409273 1.01803e-08 4.40232e-09 5.77794e-09 0.567563 0.748496 0 0
0.430281 1.02317e-08 4.45622e-09 5.7755e-09 0.56447 0.744384 0 0
0.452368 1.02925e-08 4.51413e-09 5.77833e-09 0.561414 0.740372 0 0
0.475588 1.03661e-08 4.57652e-09 5.7896e-09 0.558512 0.736266 0 0
0.5 1.04588e-08 4.63168e-09 5.82713e-09 0.55715 0.731958 0 0
0.525665 1.05765e-08 4.67953e-09 5.89695e-09 0.557553 0.727911 0 0
0.552647 1.06997e-08 4.72168e-09 5.97801e-09 0.558709 0.72453 0 0
0.581015 1.0789e-08 4.78067e-09 6.00835e-09 0.556895 0.720643 0 0
0.610839 1.07415e-08 4.78533e-09 5.95616e-09 0.5545 0.707716 0 0
0.642193 1.06983e-08 4.83537e-09 5.86293e-09 0.548025 0.691191 0 0
0.675157 1.06404e-08 4.92209e-09 5.71826e-09 0.537413 0.674626 0 0
0.709813 1.03082e-08 4.78084e-09 5.52733e-09 0.536209 0.632131 0 0
0.746248 1.04364e-08 4.83516e-09 5.60128e-09 0.536704 0.58225 0 0
0.784553 1.0714e-08 4.83966e-09 5.87433e-09 0.548286 0.554156 0 0
0.824824 1.09231e-08 4.78008e-09 6.14299e-09 0.562387 0.55325 0 0
0.867162 1.1068e-08 4.69574e-09 6.37224e-09 0.575736 0.549463 0 0
0.911674 1.18591e-08 4.83194e-09 7.02718e-09 0.592555 0.522137 0 0
0.95847 1.19476e-08 4.42482e-09 7.52273e-09 0.629646 0.492861 0 0
1.00767 1.23951e-08 4.20079e-09 8.19432e-09 0.661093 0.494339 0 0
1.05939 1.30556e-08 4.23014e-09 8.82543e-09 0.67599 0.504042 0 0
1.11377 1.39536e-08 4.40168e-09 9.55195e-09 0.68455 0.512329 0 0
