# 0.000732202 2 95 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 6.23318e-05 4.87811e+14
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 3.39983e-06 1.19678e-06 2.20305e-06 0.647988 0.855157 0 0
0.0525665 3.40144e-06 1.17787e-06 2.22357e-06 0.653714 0.842795 0 0
0.0552647 3.40313e-06 1.16375e-06 2.23937e-06 0.658034 0.832538 0 0
0.0581015 3.40476e-06 1.15768e-06 2.24708e-06 0.659981 0.826258 0 0
0.0610839 3.40641e-06 1.14173e-06 2.26469e-06 0.664831 0.817609 0 0
0.0642193 3.40843e-06 1.10132e-06 2.30711e-06 0.676884 0.799541 0 0
0.0675157 3.41094e-06 1.06154e-06 2.3494e-06 0.688783 0.779804 0 0
0.0709813 3.41363e-06 1.0587e-06 2.35493e-06 0.689861 0.772801 0 0
0.0746248 3.41622e-06 1.07611e-06 2.34011e-06 0.684999 0.774188 0 0
0.0784553 3.41869e-06 1.09985e-06 2.31884e-06 0.678283 0.779087 0 0
0.0824824 3.42114e-06 1.12689e-06 2.29425e-06 0.670611 0.784945 0 0
0.0867162 3.42363e-06 1.13426e-06 2.28938e-06 0.668698 0.783869 0 0
0.0911674 3.42643e-06 1.13067e-06 2.29577e-06 0.670016 0.778804 0 0
0.095847 3.42929e-06 1.13743e-06 2.29187e-06 0.66832 0.77708 0 0
0.100767 3.43127e-06 1.17894e-06 2.25233e-06 0.656413 0.78839 0 0
0.105939 3.43267e-06 1.22013e-06 2.21254e-06 0.644553 0.802857 0 0
0.111377 3.43267e-06 1.29363e-06 2.13903e-06 0.623141 0.830473 0 0
0.117094 3.43256e-06 1.36836e-06 2.0642e-06 0.601359 0.862456 0 0
0.123105 3.43359e-06 1.41705e-06 2.01654e-06 0.587299 0.88485 0 0
0.129424 3.43504e-06 1.45873e-06 1.97631e-06 0.575339 0.904602 0 0
0.136067 3.43653e-06 1.49238e-06 1.94415e-06 0.565731 0.920615 0 0
0.143051 3.43754e-06 1.51862e-06 1.91892e-06 0.558225 0.933103 0 0
0.150394 3.43762e-06 1.5332e-06 1.90442e-06 0.553995 0.94115 0 0
0.158114 3.43755e-06 1.52719e-06 1.91036e-06 0.555733 0.942025 0 0
0.16623 3.43912e-06 1.49007e-06 1.94905e-06 0.56673 0.931396 0 0
0.174762 3.44326e-06 1.41892e-06 2.02433e-06 0.587912 0.905362 0 0
0.183733 3.44852e-06 1.33041e-06 2.11811e-06 0.614209 0.870235 0 0
0.193164 3.45443e-06 1.23914e-06 2.21529e-06 0.641289 0.834102 0 0
0.203079 3.46078e-06 1.1605e-06 2.30028e-06 0.664671 0.804274 0 0
0.213503 3.46774e-06 1.09359e-06 2.37415e-06 0.684639 0.780056 0 0
0.224463 3.47593e-06 1.05079e-06 2.42514e-06 0.697694 0.763382 0 0
0.235984 3.48517e-06 1.02913e-06 2.45604e-06 0.704711 0.752217 0 0
0.248097 3.49474e-06 1.03979e-06 2.45495e-06 0.702469 0.748616 0 0
0.260832 3.50167e-06 1.06966e-06 2.432e-06 0.694528 0.750656 0 0
0.274221 3.5055e-06 1.1031e-06 2.4024e-06 0.685324 0.754609 0 0
0.288297 3.5064e-06 1.14401e-06 2.3624e-06 0.673738 0.76371 0 0
0.303095 3.50808e-06 1.17232e-06 2.33575e-06 0.665821 0.770687 0 0
0.318653 3.51013e-06 1.19563e-06 2.3145e-06 0.659377 0.776838 0 0
0.335009 3.51284e-06 1.2145e-06 2.29834e-06 0.654269 0.782146 0 0
0.352205 3.51627e-06 1.22815e-06 2.28812e-06 0.650723 0.785897 0 0
0.370284 3.52024e-06 1.23777e-06 2.28247e-06 0.648385 0.788212 0 0
0.389291 3.52454e-06 1.24385e-06 2.28069e-06 0.647089 0.789091 0 0
0.409273 3.52902e-06 1.24892e-06 2.2801e-06 0.646099 0.789608 0 0
0.430281 3.5336e-06 1.25355e-06 2.28006e-06 0.645249 0.789962 0 0
0.452368 3.53847e-06 1.25832e-06 2.28015e-06 0.64439 0.7905 0 0
0.475588 3.54353e-06 1.26289e-06 2.28065e-06 0.643608 0.790983 0 0
0.5 3.54893e-06 1.26681e-06 2.28213e-06 0.643045 0.791208 0 0
0.525665 3.55465e-06 1.27035e-06 2.2843e-06 0.642623 0.791274 0 0
0.552647 3.56056e-06 1.27369e-06 2.28687e-06 0.642279 0.791218 0 0
0.581015 3.56694e-06 1.27516e-06 2.29178e-06 0.642506 0.790379 0 0
0.610839 3.57351e-06 1.27662e-06 2.29688e-06 0.642753 0.789498 0 0
0.642193 3.58027e-06 1.27807e-06 2.3022e-06 0.643025 0.788571 0 0
0.675157 3.58729e-06 1.27882e-06 2.30847e-06 0.643514 0.787329 0 0
0.709813 3.59453e-06 1.27893e-06 2.3156e-06 0.644202 0.785792 0 0
0.746248 3.60196e-06 1.27874e-06 2.32322e-06 0.644987 0.784096 0 0
0.784553 3.60956e-06 1.27849e-06 2.33106e-06 0.645803 0.782354 0 0
0.824824 3.61729e-06 1.27819e-06 2.3391e-06 0.646644 0.780554 0 0
0.867162 3.62517e-06 1.27782e-06 2.34734e-06 0.647513 0.778701 0 0
0.911674 3.63315e-06 1.27747e-06 2.35568e-06 0.648384 0.776831 0 0
0.95847 3.64122e-06 1.27733e-06 2.36389e-06 0.649202 0.774997 0 0
1.00767 3.64941e-06 1.27718e-06 2.37223e-06 0.650031 0.773144 0 0
1.05939 3.65768e-06 1.2774e-06 2.38028e-06 0.650761 0.771379 0 0
1.11377 3.66592e-06 1.2775e-06 2.38842e-06 0.651521 0.769549 0 0
1.17094 3.67402e-06 1.27792e-06 2.3961e-06 0.652175 0.767773 0 0
1.23105 3.68299e-06 1.27825e-06 2.40474e-06 0.652931 0.766002 0 0
1.29424 3.69379e-06 1.27798e-06 2.41581e-06 0.65402 0.764132 0 0
1.36067 3.7018e-06 1.27752e-06 2.42428e-06 0.654893 0.762044 0 0
1.43051 3.70697e-06 1.27671e-06 2.43026e-06 0.655593 0.759673 0 0
1.50394 3.72446e-06 1.27542e-06 2.44904e-06 0.657556 0.757989 0 0
1.58114 3.72657e-06 1.27313e-06 2.45344e-06 0.658365 0.755012 0 0
1.6623 3.74054e-06 1.26963e-06 2.47091e-06 0.660576 0.752553 0 0
1.74762 3.75173e-06 1.26466e-06 2.48707e-06 0.662912 0.74962 0 0
1.83733 3.75678e-06 1.25881e-06 2.49796e-06 0.664922 0.745901 0 0
