# 9.09832e-08 3 9 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 1.06239e+06 4.24699
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 3.18646e-15 3.18463e-15 1.82647e-18 0.000573198 0.00181365 0 3.56127e-239
0.0525665 3.69049e-15 3.68853e-15 1.95897e-18 0.000530816 0.00161544 0 6.12209e-228
0.0552647 4.25914e-15 4.25704e-15 2.09931e-18 0.000492897 0.00143838 0 2.95857e-217
0.0581015 5.0127e-15 5.01048e-15 2.21523e-18 0.000441924 0.00128001 0 4.37558e-207
0.0610839 6.96041e-15 6.95805e-15 2.35636e-18 0.000338537 0.00112725 0 2.43014e-197
0.0642193 8.791e-15 8.78837e-15 2.62695e-18 0.000298822 0.000974937 0 4.13162e-188
0.0675157 1.05168e-14 1.05138e-14 3.09026e-18 0.00029384 0.000821405 0 2.36165e-179
0.0709813 1.208e-14 1.20768e-14 3.19535e-18 0.000264516 0.000688355 0 4.83922e-171
0.0746248 1.12873e-14 1.12845e-14 2.79478e-18 0.000247604 0.000593456 0 3.16044e-163
0.0784553 8.87537e-15 8.8732e-15 2.1704e-18 0.000244542 0.000530326 0 7.12343e-156
0.0824824 7.04546e-15 7.04393e-15 1.52735e-18 0.000216786 0.000495541 0 6.94467e-149
0.0867162 5.90393e-15 5.90275e-15 1.17687e-18 0.000199336 0.00047565 0 3.19066e-142
0.0911674 5.15197e-15 5.15098e-15 9.87352e-19 0.000191645 0.000461714 0 7.0912e-136
0.095847 4.60581e-15 4.60503e-15 7.83668e-19 0.000170148 0.00048667 0 7.78442e-130
0.100767 4.03665e-15 4.03612e-15 5.34732e-19 0.000132469 0.000567674 0 4.18759e-124
0.105939 3.51421e-15 3.51384e-15 3.70468e-19 0.00010542 0.000612566 0 1.15699e-118
0.111377 3.01191e-15 3.01168e-15 2.26553e-19 7.52192e-05 0.000701126 0 1.68122e-113
0.117094 2.55209e-15 2.55195e-15 1.41215e-19 5.53331e-05 0.000642353 0 1.33146e-108
0.123105 2.1449e-15 2.14481e-15 9.1999e-20 4.28919e-05 0.000551143 0 5.94371e-104
0.129424 1.80429e-15 1.80423e-15 5.91734e-20 3.27959e-05 0.000463535 0 1.55492e-99
0.136067 1.63659e-15 1.63655e-15 3.83335e-20 2.34228e-05 0.000392198 0 2.64625e-95
0.143051 1.48609e-15 1.48607e-15 2.51767e-20 1.69415e-05 0.000334563 0 2.80421e-91
0.150394 1.40492e-15 1.40491e-15 1.71507e-20 1.22076e-05 0.000285602 0 1.98608e-87
