# 1.01013e-07 3 10 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 772392 6.48209
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 4.35477e-15 4.35136e-15 3.41112e-18 0.000783306 0.0022373 0 4.84194e-264
0.0525665 5.04369e-15 5.04003e-15 3.65903e-18 0.000725468 0.00199276 0 1.36381e-251
0.0552647 5.821e-15 5.81707e-15 3.92164e-18 0.000673705 0.00177429 0 9.42025e-240
0.0581015 6.85555e-15 6.85141e-15 4.13867e-18 0.000603696 0.00157887 0 1.74986e-228
0.0610839 9.52647e-15 9.52207e-15 4.40309e-18 0.000462195 0.00139041 0 1.07884e-217
0.0642193 1.20318e-14 1.20269e-14 4.90999e-18 0.000408085 0.00120255 0 1.80889e-207
0.0675157 1.43939e-14 1.43881e-14 5.77847e-18 0.000401454 0.00101314 0 9.11826e-198
0.0709813 1.65332e-14 1.65272e-14 5.97906e-18 0.00036164 0.000848922 0 1.48144e-188
0.0746248 1.54483e-14 1.5443e-14 5.23311e-18 0.00033875 0.000731756 0 6.93312e-180
0.0784553 1.21472e-14 1.21431e-14 4.06594e-18 0.000334723 0.000653814 0 1.01705e-171
0.0824824 9.64263e-15 9.63977e-15 2.86181e-18 0.000296787 0.000610826 0 5.88872e-164
0.0867162 8.08024e-15 8.07803e-15 2.20501e-18 0.000272889 0.000586218 0 1.47275e-156
0.0911674 7.05105e-15 7.0492e-15 1.84999e-18 0.000262371 0.000568965 0 1.64006e-149
0.095847 6.30356e-15 6.30209e-15 1.46851e-18 0.000232966 0.000599651 0 8.33665e-143
0.100767 5.52451e-15 5.5235e-15 1.00203e-18 0.000181379 0.000699478 0 1.9263e-136
0.105939 4.80945e-15 4.80876e-15 6.94191e-19 0.000144339 0.000754853 0 2.1279e-130
0.111377 4.12195e-15 4.12153e-15 4.24471e-19 0.000102978 0.000864008 0 1.15431e-124
0.117094 3.49264e-15 3.49237e-15 2.6455e-19 7.57451e-05 0.000791709 0 3.19492e-119
0.123105 2.93538e-15 2.9352e-15 1.72336e-19 5.87101e-05 0.000679316 0 4.67531e-114
0.129424 2.46923e-15 2.46912e-15 1.10839e-19 4.4888e-05 0.000571337 0 3.76394e-109
0.136067 2.23972e-15 2.23965e-15 7.18003e-20 3.20577e-05 0.000483414 0 1.84942e-104
0.143051 2.03377e-15 2.03372e-15 4.71556e-20 2.31863e-05 0.000412378 0 5.29414e-100
0.150394 1.92269e-15 1.92266e-15 3.21222e-20 1.67069e-05 0.000352032 0 9.42865e-96
0.158114 1.90233e-15 1.9023e-15 2.429e-20 1.27685e-05 0.000301465 0 1.07699e-91
0.16623 1.98014e-15 1.98012e-15 2.24332e-20 1.13291e-05 0.000259168 0 8.12333e-88
0.174762 2.17212e-15 2.17209e-15 2.70241e-20 1.24414e-05 0.000222851 0 4.14648e-84
0.183733 2.51271e-15 2.51267e-15 3.85826e-20 1.5355e-05 0.000189807 0 1.46476e-80
0.193164 3.11335e-15 3.11329e-15 6.12842e-20 1.96843e-05 0.00015795 0 3.7131e-77
0.203079 4.07809e-15 4.07799e-15 9.35509e-20 2.29399e-05 0.000126661 0 6.79963e-74
0.213503 5.01836e-15 5.01825e-15 1.14847e-19 2.28853e-05 9.74141e-05 0 8.14701e-71
0.224463 4.81282e-15 4.81273e-15 9.54412e-20 1.98306e-05 7.21257e-05 0 5.39657e-68
0.235984 3.7184e-15 3.71833e-15 6.47378e-20 1.74101e-05 5.14796e-05 0 2.0803e-65
0.248097 2.80991e-15 2.80987e-15 4.18948e-20 1.49097e-05 3.94294e-05 0 5.77186e-63
0.260832 2.25098e-15 2.25096e-15 2.87674e-20 1.27799e-05 4.10125e-05 0 1.27398e-60
0.274221 1.91643e-15 1.91641e-15 2.0747e-20 1.08259e-05 5.48264e-05 0 2.292e-58
0.288297 1.70781e-15 1.70779e-15 1.54626e-20 9.05405e-06 7.35651e-05 0 3.39343e-56
0.303095 1.54879e-15 1.54878e-15 1.19147e-20 7.69294e-06 8.24935e-05 0 4.13191e-54
0.318653 1.35582e-15 1.35581e-15 9.27725e-21 6.84255e-06 8.60812e-05 0 4.03314e-52
0.335009 1.19323e-15 1.19323e-15 7.30701e-21 6.1237e-06 8.46561e-05 0 3.35769e-50
0.352205 1.04361e-15 1.04361e-15 5.82624e-21 5.58275e-06 8.03307e-05 0 2.38103e-48
0.370284 9.066e-16 9.06595e-16 4.68665e-21 5.16948e-06 7.51022e-05 0 1.43602e-46
0.389291 7.81954e-16 7.8195e-16 3.79897e-21 4.85831e-06 7.00207e-05 0 7.31191e-45
0.409273 6.69649e-16 6.69646e-16 3.08864e-21 4.61232e-06 6.50869e-05 0 3.12116e-43
0.430281 5.69036e-16 5.69033e-16 2.51361e-21 4.41732e-06 6.03996e-05 0 1.11189e-41
0.452368 4.79596e-16 4.79594e-16 2.04534e-21 4.26472e-06 5.55577e-05 0 3.30381e-40
0.475588 4.00787e-16 4.00786e-16 1.66542e-21 4.15536e-06 5.09203e-05 0 8.20809e-39
0.5 3.32117e-16 3.32115e-16 1.35964e-21 4.09385e-06 4.64714e-05 3.79989e-295 1.71328e-37
0.525665 2.72619e-16 2.72618e-16 1.11119e-21 4.07597e-06 4.22647e-05 6.5156e-281 3.01902e-36
0.552647 2.21503e-16 2.21502e-16 9.0848e-22 4.10143e-06 3.84326e-05 2.1837e-267 4.51651e-35
0.581015 1.7804e-16 1.78039e-16 7.46368e-22 4.19214e-06 3.48712e-05 1.54779e-254 5.77136e-34
0.610839 1.41199e-16 1.41198e-16 6.13364e-22 4.34396e-06 3.16453e-05 2.495e-242 6.32459e-33
0.642193 1.09563e-16 1.09562e-16 5.03977e-22 4.59988e-06 2.87189e-05 9.74282e-231 5.93229e-32
0.675157 8.07211e-17 8.07207e-17 4.14574e-22 5.13589e-06 2.60756e-05 9.57547e-220 4.65119e-31
0.709813 5.53741e-17 5.53737e-17 3.41608e-22 6.16909e-06 2.37046e-05 2.47825e-209 3.00746e-30
0.746248 4.08204e-17 4.08202e-17 2.81532e-22 6.89684e-06 2.15863e-05 2.07367e-199 1.86175e-29
0.784553 3.06339e-17 3.06337e-17 2.31951e-22 7.57169e-06 1.96625e-05 5.63395e-190 1.05109e-28
0.824824 2.05211e-17 2.05209e-17 1.91058e-22 9.31032e-06 1.7936e-05 4.60823e-181 4.7708e-28
0.867162 1.24248e-17 1.24246e-17 1.57433e-22 1.26709e-05 1.63825e-05 1.2117e-172 1.77172e-27
0.911674 8.0854e-18 8.08527e-18 1.29657e-22 1.60359e-05 1.49772e-05 1.28096e-164 6.43251e-27
0.95847 6.23147e-18 6.23136e-18 1.06692e-22 1.71215e-05 1.37177e-05 6.29478e-157 2.52757e-26
1.00767 4.80233e-18 4.80224e-18 8.78016e-23 1.82831e-05 1.25739e-05 1.27067e-149 9.115e-26
1.05939 3.49297e-18 3.4929e-18 7.22254e-23 2.06774e-05 1.15366e-05 1.03867e-142 2.8593e-25
1.11377 2.75559e-18 2.75553e-18 5.9394e-23 2.1554e-05 1.05922e-05 4.11757e-136 9.00173e-25
1.17094 2.30875e-18 2.30871e-18 4.88213e-23 2.11462e-05 9.71056e-06 8.06244e-130 2.79552e-24
1.23105 1.96188e-18 1.96184e-18 4.01489e-23 2.04645e-05 8.90343e-06 7.73012e-124 8.20756e-24
1.29424 1.66956e-18 1.66953e-18 3.30276e-23 1.97822e-05 8.16095e-06 3.71297e-118 2.25718e-23
1.36067 1.4193e-18 1.41927e-18 2.71537e-23 1.91317e-05 7.48463e-06 9.21866e-113 5.8188e-23
1.43051 1.20537e-18 1.20534e-18 2.2314e-23 1.85123e-05 6.86838e-06 1.22191e-107 1.41057e-22
1.50394 1.02449e-18 1.02447e-18 1.83436e-23 1.79051e-05 6.29889e-06 8.93093e-103 3.23073e-22
1.58114 8.72113e-19 8.72098e-19 1.50799e-23 1.72913e-05 5.76791e-06 3.70843e-98 7.01618e-22
1.6623 7.44333e-19 7.4432e-19 1.23981e-23 1.66567e-05 5.27541e-06 9.00355e-94 1.45016e-21
1.74762 6.37613e-19 6.37603e-19 1.01944e-23 1.59884e-05 4.83159e-06 1.31361e-89 2.86301e-21
1.83733 5.4946e-19 5.49452e-19 8.3815e-24 1.52541e-05 4.42594e-06 1.1836e-85 5.4247e-21
1.93164 4.76821e-19 4.76814e-19 6.88835e-24 1.44464e-05 4.05353e-06 6.75214e-82 9.89788e-21
2.03079 4.17497e-19 4.17491e-19 5.6599e-24 1.35567e-05 3.70796e-06 2.49947e-78 1.74635e-20
2.13503 3.69028e-19 3.69024e-19 4.65415e-24 1.26119e-05 3.39176e-06 6.13808e-75 2.98748e-20
2.24463 3.29289e-19 3.29285e-19 3.82537e-24 1.16171e-05 3.10368e-06 1.02062e-71 4.96537e-20
2.35984 2.97068e-19 2.97065e-19 3.14298e-24 1.058e-05 2.83811e-06 1.17349e-68 8.046e-20
2.48097 2.70977e-19 2.70974e-19 2.58187e-24 9.52802e-06 2.59281e-06 9.50549e-66 1.27364e-19
2.60832 2.49945e-19 2.49943e-19 2.12272e-24 8.49274e-06 2.36654e-06 5.52129e-63 1.97319e-19
2.74221 2.33464e-19 2.33463e-19 1.74463e-24 7.47279e-06 2.16056e-06 2.34207e-60 3.00146e-19
2.88297 2.22875e-19 2.22874e-19 1.43278e-24 6.4286e-06 1.97412e-06 7.44017e-58 4.53169e-19
3.03095 2.25649e-19 2.25648e-19 1.17687e-24 5.21549e-06 1.80492e-06 1.86486e-55 7.05842e-19
3.18653 3.51192e-19 3.51191e-19 9.66836e-25 2.75301e-06 1.64792e-06 5.42338e-53 1.64644e-18
3.35009 1.08905e-18 1.08905e-18 7.94023e-25 7.29099e-07 1.50361e-06 2.4048e-50 7.46549e-18
3.52205 2.19028e-19 2.19028e-19 6.5179e-25 2.97582e-06 1.37222e-06 5.36165e-49 2.1449e-18
3.70284 1.86065e-19 1.86064e-19 5.35265e-25 2.87677e-06 1.25189e-06 3.96356e-47 2.5464e-18
3.89291 1.77964e-19 1.77964e-19 4.39414e-25 2.46911e-06 1.141e-06 2.62044e-45 3.33393e-18
4.09273 1.77592e-19 1.77592e-19 3.60677e-25 2.03093e-06 1.03664e-06 1.45197e-43 4.46611e-18
4.30281 1.83073e-19 1.83072e-19 2.95988e-25 1.61678e-06 9.41752e-07 6.74793e-42 6.06762e-18
4.52368 1.96256e-19 1.96255e-19 2.42976e-25 1.23806e-06 8.55608e-07 2.67499e-40 8.42505e-18
4.75588 2.23499e-19 2.23499e-19 1.9938e-25 8.92084e-07 7.76827e-07 9.32967e-39 1.22258e-17
5 2.95943e-19 2.95943e-19 1.63559e-25 5.52673e-07 7.01287e-07 3.16247e-37 2.0312e-17
5.25665 8.11413e-19 8.11413e-19 1.34205e-25 1.65396e-07 6.336e-07 1.87168e-35 6.88645e-17
5.52648 6.82956e-19 6.82956e-19 1.10111e-25 1.61227e-07 5.72782e-07 2.89131e-34 7.06907e-17
5.81015 1.1689e-18 1.1689e-18 9.02857e-26 7.72401e-08 5.18042e-07 7.78384e-33 1.45641e-16
6.10839 3.9315e-18 3.9315e-18 7.40099e-26 1.88249e-08 4.65669e-07 3.55588e-31 5.82395e-16
6.42193 2.60148e-18 2.60148e-18 6.06679e-26 2.33206e-08 4.23193e-07 2.77951e-30 4.52799e-16
6.75157 2.14267e-18 2.14267e-18 4.9738e-26 2.32131e-08 3.78082e-07 2.36802e-29 4.33292e-16
7.09813 2.48523e-18 2.48523e-18 4.07544e-26 1.63986e-08 3.39013e-07 2.50406e-28 5.77654e-16
7.46248 6.0175e-18 6.0175e-18 3.33833e-26 5.54771e-09 3.02021e-07 4.90184e-27 1.59119e-15
7.84553 7.67234e-18 7.67234e-18 2.73554e-26 3.56546e-09 2.67074e-07 4.50737e-26 2.28534e-15
8.24824 3.52025e-18 3.52025e-18 2.24085e-26 6.3656e-09 2.33915e-07 1.33786e-25 1.17001e-15
8.67162 2.87814e-18 2.87814e-18 1.83439e-26 6.37353e-09 2.05334e-07 6.38125e-25 1.05767e-15
9.11674 8.40291e-19 8.40291e-19 1.50166e-26 1.78707e-08 1.81083e-07 9.85069e-25 3.38418e-16
9.5847 5.21448e-19 5.21448e-19 1.22877e-26 2.35646e-08 1.57539e-07 2.94362e-24 2.28203e-16
10.0767 4.29217e-19 4.29217e-19 1.00504e-26 2.34157e-08 1.36671e-07 1.06742e-23 2.02438e-16
10.5939 4.57784e-19 4.57784e-19 8.21424e-27 1.79435e-08 1.16089e-07 4.60859e-23 2.30844e-16
11.1377 1.68904e-18 1.68904e-18 6.70845e-27 3.97176e-09 9.73925e-08 6.35093e-22 9.03624e-16
11.7094 9.10349e-19 9.10349e-19 5.52979e-27 6.07436e-09 8.04415e-08 1.18425e-21 5.12865e-16
12.3105 9.1375e-19 9.1375e-19 4.49628e-27 4.92069e-09 6.34937e-08 3.82369e-21 5.38183e-16
12.9424 7.56228e-19 7.56228e-19 3.67145e-27 4.85496e-09 4.65238e-08 9.49816e-21 4.62409e-16
13.6067 5.88317e-19 5.88317e-19 2.998e-27 5.09589e-09 3.41839e-08 2.07645e-20 3.70955e-16
14.3051 4.58174e-19 4.58174e-19 2.44613e-27 5.33887e-09 2.08724e-08 4.26821e-20 2.95966e-16
15.0394 3.78707e-19 3.78707e-19 1.99467e-27 5.26706e-09 6.31791e-09 8.77284e-20 2.49047e-16
15.8114 3.85619e-19 3.85619e-19 1.6265e-27 4.21789e-09 -3.38708e-09 2.0989e-19 2.56605e-16
16.623 5.20357e-19 5.20357e-19 1.32603e-27 2.54831e-09 -1.22862e-08 6.3054e-19 3.48335e-16
17.4762 4.49591e-19 4.49591e-19 1.08051e-27 2.40331e-09 -2.65532e-08 1.1522e-18 3.01065e-16
18.3733 3.0688e-19 3.0688e-19 8.79969e-28 2.86747e-09 -2.78746e-08 1.58412e-18 2.04461e-16
19.3164 2.62887e-19 2.62887e-19 7.17573e-28 2.72958e-09 -3.75545e-08 2.60942e-18 1.73365e-16
20.3079 2.28993e-19 2.28993e-19 5.85518e-28 2.55692e-09 -4.90685e-08 4.182e-18 1.48733e-16
21.3503 2.03574e-19 2.03574e-19 4.78278e-28 2.3494e-09 -6.4208e-08 6.55892e-18 1.29609e-16
22.4463 1.83589e-19 1.83589e-19 3.91942e-28 2.13489e-09 -6.69277e-08 1.00268e-17 1.14056e-16
23.5984 1.67965e-19 1.67965e-19 3.23111e-28 1.92368e-09 -7.26186e-08 1.49707e-17 1.01384e-16
24.8097 1.56141e-19 1.56141e-19 2.68669e-28 1.72069e-09 -8.05032e-08 2.19056e-17 9.11915e-17
26.0832 1.47678e-19 1.47678e-19 2.26291e-28 1.53233e-09 -9.42254e-08 3.15096e-17 8.31269e-17
27.4221 1.41811e-19 1.41811e-19 1.93233e-28 1.36262e-09 -9.57877e-08 4.4538e-17 7.66496e-17
28.8297 1.37177e-19 1.37177e-19 1.67785e-28 1.22312e-09 -8.87925e-08 6.14742e-17 7.09467e-17
30.3095 1.3277e-19 1.3277e-19 1.47485e-28 1.11083e-09 -9.38421e-08 8.24245e-17 6.5487e-17
31.8653 1.26049e-19 1.26049e-19 1.29583e-28 1.02803e-09 -8.90158e-08 1.05397e-16 5.91075e-17
33.5009 1.17667e-19 1.17667e-19 1.13658e-28 9.65932e-10 -9.17003e-08 1.29019e-16 5.23031e-17
35.2206 1.06189e-19 1.06189e-19 9.73361e-29 9.16633e-10 -9.08497e-08 1.48847e-16 4.46194e-17
37.0284 9.40038e-20 9.40038e-20 8.23332e-29 8.7585e-10 -7.11768e-08 1.64421e-16 3.72429e-17
38.9291 8.1838e-20 8.1838e-20 6.8397e-29 8.3576e-10 -7.28938e-08 1.74554e-16 3.04974e-17
40.9273 7.06479e-20 7.06479e-20 5.62713e-29 7.96504e-10 -7.15597e-08 1.79777e-16 2.47085e-17
43.0282 6.08563e-20 6.08563e-20 4.59072e-29 7.54354e-10 -6.21109e-08 1.80954e-16 1.99339e-17
45.2368 5.241e-20 5.241e-20 3.7326e-29 7.12192e-10 -5.5862e-08 1.78534e-16 1.60476e-17
47.5588 4.53615e-20 4.53615e-20 3.02734e-29 6.6738e-10 -2.19986e-08 1.73733e-16 1.29607e-17
50 3.93242e-20 3.93242e-20 2.45575e-29 6.24488e-10 -3.10821e-08 1.66339e-16 1.04674e-17
52.5665 3.42647e-20 3.42647e-20 1.99089e-29 5.81033e-10 2.0748e-08 1.57384e-16 8.48438e-18
55.2648 2.9972e-20 2.9972e-20 1.61434e-29 5.38618e-10 4.24128e-08 1.47104e-16 6.89432e-18
58.1015 2.63223e-20 2.63223e-20 1.31083e-29 4.97991e-10 3.63376e-08 1.35957e-16 5.6177e-18
61.0839 2.3191e-20 2.3191e-20 1.0648e-29 4.59141e-10 2.9625e-08 1.24246e-16 4.58689e-18
64.2193 2.04885e-20 2.04885e-20 8.65298e-30 4.22334e-10 7.9449e-08 1.12305e-16 3.75158e-18
