# 0.00390182 3 111 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 2.37624e-06 inf
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 9.59648e-05 3.3914e-05 6.20508e-05 0.646599 0.853985 0 0
0.0525665 9.59781e-05 3.33633e-05 6.26148e-05 0.652386 0.841499 0 0
0.0552647 9.5992e-05 3.29468e-05 6.30452e-05 0.656776 0.831132 0 0
0.0581015 9.60044e-05 3.27572e-05 6.32472e-05 0.658795 0.824772 0 0
0.0610839 9.60147e-05 3.22904e-05 6.37244e-05 0.663694 0.81601 0 0
0.0642193 9.60296e-05 3.11318e-05 6.48978e-05 0.67581 0.797729 0 0
0.0675157 9.60477e-05 2.99808e-05 6.60669e-05 0.687855 0.77776 0 0
0.0709813 9.60664e-05 2.98653e-05 6.62011e-05 0.689118 0.770646 0 0
0.0746248 9.60866e-05 3.03215e-05 6.57651e-05 0.684436 0.772004 0 0
0.0784553 9.61079e-05 3.09577e-05 6.51501e-05 0.677886 0.776914 0 0
0.0824824 9.61288e-05 3.16838e-05 6.44451e-05 0.670403 0.7828 0 0
0.0867162 9.61499e-05 3.1855e-05 6.4295e-05 0.668695 0.781681 0 0
0.0911674 9.61722e-05 3.17096e-05 6.44627e-05 0.670284 0.776536 0 0
0.095847 9.61959e-05 3.18466e-05 6.43493e-05 0.668941 0.774791 0 0
0.100767 9.6215e-05 3.29693e-05 6.32457e-05 0.657337 0.786259 0 0
0.105939 9.6231e-05 3.40982e-05 6.21327e-05 0.645662 0.800915 0 0
0.111377 9.62411e-05 3.61554e-05 6.00858e-05 0.624325 0.82893 0 0
0.117094 9.62484e-05 3.82767e-05 5.79718e-05 0.602314 0.861262 0 0
0.123105 9.62616e-05 3.96452e-05 5.66165e-05 0.588152 0.883895 0 0
0.129424 9.62779e-05 4.08065e-05 5.54714e-05 0.576159 0.903865 0 0
0.136067 9.62947e-05 4.17344e-05 5.45602e-05 0.566597 0.920064 0 0
0.143051 9.63094e-05 4.24546e-05 5.38549e-05 0.559186 0.932706 0 0
0.150394 9.63196e-05 4.28642e-05 5.34554e-05 0.554979 0.940855 0 0
0.158114 9.63298e-05 4.2721e-05 5.36088e-05 0.556513 0.941742 0 0
0.16623 9.63484e-05 4.17123e-05 5.46361e-05 0.567068 0.930943 0 0
0.174762 9.63809e-05 3.97164e-05 5.66645e-05 0.587922 0.904443 0 0
0.183733 9.64196e-05 3.71992e-05 5.92205e-05 0.614195 0.868648 0 0
0.193164 9.64618e-05 3.45827e-05 6.18791e-05 0.641488 0.831804 0 0
0.203079 9.65064e-05 3.23088e-05 6.41976e-05 0.665216 0.801351 0 0
0.213503 9.65541e-05 3.0357e-05 6.61971e-05 0.685596 0.776569 0 0
0.224463 9.66085e-05 2.90569e-05 6.75516e-05 0.69923 0.759422 0 0
0.235984 9.66684e-05 2.83213e-05 6.83472e-05 0.707027 0.747867 0 0
0.248097 9.67319e-05 2.84522e-05 6.82797e-05 0.705865 0.744103 0 0
0.260832 9.6789e-05 2.91426e-05 6.76464e-05 0.698906 0.746247 0 0
0.274221 9.68362e-05 2.99802e-05 6.6856e-05 0.690403 0.750465 0 0
0.288297 9.68658e-05 3.10868e-05 6.5779e-05 0.679074 0.759938 0 0
0.303095 9.68951e-05 3.1846e-05 6.50491e-05 0.671335 0.767155 0 0
0.318653 9.69259e-05 3.24647e-05 6.44611e-05 0.665056 0.773499 0 0
0.335009 9.69591e-05 3.2955e-05 6.40041e-05 0.660114 0.778947 0 0
0.352205 9.69968e-05 3.32922e-05 6.37046e-05 0.65677 0.782789 0 0
0.370284 9.70377e-05 3.351e-05 6.35277e-05 0.65467 0.785157 0 0
