# 2.32712e-06 3 40 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 53.8398 8971.7
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 2.98182e-11 1.43873e-11 1.54309e-11 0.517499 0.718533 0 0
0.0525665 3.13439e-11 1.53711e-11 1.59728e-11 0.509598 0.696862 0 0
0.0552647 3.29547e-11 1.6475e-11 1.64797e-11 0.500071 0.677507 0 0
0.0581015 3.46172e-11 1.78509e-11 1.67663e-11 0.484334 0.660785 0 0
0.0610839 3.66119e-11 1.93785e-11 1.72334e-11 0.470705 0.641612 0 0
0.0642193 3.92871e-11 2.07384e-11 1.85487e-11 0.472132 0.617804 0 0
0.0675157 4.34487e-11 2.29506e-11 2.04982e-11 0.471778 0.597235 0 0
0.0709813 4.75917e-11 2.56629e-11 2.19288e-11 0.46077 0.584748 0 0
0.0746248 5.00181e-11 2.73815e-11 2.26365e-11 0.452567 0.573337 0 0
0.0784553 5.08106e-11 2.80448e-11 2.27658e-11 0.448052 0.559799 0 0
0.0824824 5.07629e-11 2.83459e-11 2.2417e-11 0.441602 0.54223 0 0
0.0867162 5.11944e-11 2.8729e-11 2.24654e-11 0.438825 0.518093 0 0
0.0911674 5.21967e-11 2.90152e-11 2.31816e-11 0.444119 0.486702 0 0
0.095847 5.28242e-11 2.8785e-11 2.40391e-11 0.455079 0.447612 0 0
0.100767 5.24394e-11 2.81889e-11 2.42505e-11 0.462449 0.40889 0 0
0.105939 5.35272e-11 2.75609e-11 2.59663e-11 0.485105 0.381999 0 0
0.111377 5.20625e-11 2.66541e-11 2.54085e-11 0.488038 0.388705 0 0
0.117094 4.73001e-11 2.45139e-11 2.27862e-11 0.481737 0.395821 0 0
0.123105 4.0959e-11 2.08699e-11 2.00891e-11 0.490468 0.376965 0 0
0.129424 3.13463e-11 1.6419e-11 1.49273e-11 0.476207 0.348528 0 0
0.136067 2.26717e-11 1.27663e-11 9.90542e-12 0.436907 0.294977 0 0
0.143051 1.75292e-11 1.09366e-11 6.59263e-12 0.376094 0.245308 0 0
0.150394 1.50719e-11 1.06217e-11 4.45012e-12 0.29526 0.205463 0 0
0.158114 1.45125e-11 1.13004e-11 3.21204e-12 0.221329 0.174953 0 0
0.16623 1.53519e-11 1.26333e-11 2.71854e-12 0.177082 0.151455 0 0
0.174762 1.74599e-11 1.46144e-11 2.84553e-12 0.162975 0.132284 0 0
0.183733 2.07094e-11 1.72764e-11 3.43297e-12 0.165769 0.115211 0 0
0.193164 2.59915e-11 2.13171e-11 4.67436e-12 0.179842 0.0988102 0 0
0.203079 3.37789e-11 2.69938e-11 6.78515e-12 0.200869 0.081365 0 0
0.213503 4.2734e-11 3.30424e-11 9.69158e-12 0.226789 0.0630623 0 0
0.224463 4.69982e-11 3.53264e-11 1.16718e-11 0.248346 0.0474163 0 0
0.235984 4.1529e-11 3.10171e-11 1.05119e-11 0.253122 0.0359867 0 0
0.248097 3.18988e-11 2.43287e-11 7.57005e-12 0.237315 0.0281442 0 0
0.260832 2.50356e-11 1.97743e-11 5.26126e-12 0.210151 0.0245962 0 0
0.274221 2.0421e-11 1.66674e-11 3.75357e-12 0.18381 0.0253699 0 0
0.288297 1.72526e-11 1.45063e-11 2.74635e-12 0.159184 0.0312559 0 0
0.303095 1.47765e-11 1.26911e-11 2.08534e-12 0.141125 0.0356414 0 0
0.318653 1.26574e-11 1.10554e-11 1.60204e-12 0.126569 0.0385564 0 0
0.335009 1.09485e-11 9.70261e-12 1.2459e-12 0.113796 0.0392592 0 0
0.352205 9.60734e-12 8.62521e-12 9.82129e-13 0.102227 0.0381871 0 0
0.370284 8.51732e-12 7.7353e-12 7.82017e-13 0.0918149 0.0363279 0 0
0.389291 7.57133e-12 6.94308e-12 6.28256e-13 0.0829783 0.0343152 0 0
0.409273 6.72474e-12 6.2181e-12 5.06649e-13 0.0753409 0.0322394 0 0
0.430281 5.95924e-12 5.55002e-12 4.09224e-13 0.0686704 0.0301917 0 0
0.452368 5.31147e-12 4.98083e-12 3.30634e-13 0.062249 0.0279608 0 0
0.475588 4.7457e-12 4.47825e-12 2.6745e-13 0.0563563 0.0257679 0 0
0.5 4.27492e-12 4.05788e-12 2.17033e-13 0.050769 0.0236152 0 0
0.525665 3.87635e-12 3.69996e-12 1.76392e-13 0.0455045 0.0215484 0 0
0.552647 3.51594e-12 3.37246e-12 1.43477e-13 0.0408075 0.0196526 0 0
0.581015 3.22077e-12 3.10343e-12 1.1734e-13 0.0364322 0.0178666 0 0
0.610839 2.94981e-12 2.85378e-12 9.60274e-14 0.0325538 0.0162435 0 0
0.642193 2.69997e-12 2.62137e-12 7.85979e-14 0.0291107 0.0147667 0 0
0.675157 2.47523e-12 2.4108e-12 6.44277e-14 0.026029 0.0134267 0 0
0.709813 2.2729e-12 2.21998e-12 5.29191e-14 0.0232826 0.0122207 0 0
0.746248 2.08743e-12 2.04395e-12 4.34847e-14 0.0208317 0.0111415 0 0
0.784553 1.91539e-12 1.87966e-12 3.57293e-14 0.0186538 0.0101595 0 0
0.824824 1.75762e-12 1.72826e-12 2.93565e-14 0.0167024 0.00927744 0 0
0.867162 1.61262e-12 1.58849e-12 2.41343e-14 0.0149659 0.00848279 0 0
0.911674 1.47859e-12 1.45876e-12 1.98341e-14 0.0134141 0.00776309 2.05989e-301 0
0.95847 1.35593e-12 1.33964e-12 1.62889e-14 0.012013 0.00711809 1.03959e-286 0
1.00767 1.24279e-12 1.22941e-12 1.33806e-14 0.0107666 0.00653151 9.87618e-273 0
1.05939 1.14059e-12 1.1296e-12 1.09885e-14 0.00963407 0.00599936 1.91989e-259 0
1.11377 1.04584e-12 1.03682e-12 9.02247e-15 0.00862696 0.00551401 8.23357e-247 0
1.17094 9.62086e-13 9.5468e-13 7.40587e-15 0.00769772 0.00506028 8.42154e-235 0
1.23105 8.85521e-13 8.79438e-13 6.08251e-15 0.00686885 0.00464418 2.19781e-223 0
1.29424 8.15196e-13 8.10199e-13 4.99779e-15 0.00613078 0.00426049 1.56371e-212 0
1.36067 7.50633e-13 7.46528e-13 4.10451e-15 0.00546807 0.00391067 3.23213e-202 0
1.43051 6.91412e-13 6.88042e-13 3.36963e-15 0.00487355 0.00359171 2.0619e-192 0
1.50394 6.3789e-13 6.35122e-13 2.76758e-15 0.00433864 0.00329652 4.30511e-183 0
1.58114 5.89283e-13 5.87009e-13 2.27331e-15 0.00385775 0.00302076 3.10598e-174 0
1.6623 5.44608e-13 5.4274e-13 1.86762e-15 0.0034293 0.00276447 8.14907e-166 0
1.74762 5.02833e-13 5.01299e-13 1.53462e-15 0.00305195 0.00253336 8.15777e-158 0
1.83733 4.64436e-13 4.63175e-13 1.26093e-15 0.00271496 0.00232196 3.27002e-150 0
1.93164 4.29018e-13 4.27982e-13 1.03571e-15 0.00241414 0.0021277 5.48764e-143 0
2.03079 3.96669e-13 3.95819e-13 8.50562e-16 0.00214426 0.00194722 4.02607e-136 0
2.13503 3.66698e-13 3.65999e-13 6.99092e-16 0.00190645 0.00178196 1.34325e-129 0
2.24463 3.3884e-13 3.38266e-13 5.74358e-16 0.00169507 0.00163128 2.11706e-123 0
2.35984 3.13369e-13 3.12897e-13 4.71718e-16 0.00150531 0.0014923 1.63721e-117 0
2.48097 2.89938e-13 2.89551e-13 3.87365e-16 0.00133603 0.00136383 6.43e-112 0
2.60832 2.68164e-13 2.67845e-13 3.18376e-16 0.00118725 0.00124515 1.32454e-106 0
2.74221 2.47743e-13 2.47482e-13 2.61592e-16 0.0010559 0.00113708 1.47579e-101 0
2.88297 2.28902e-13 2.28688e-13 2.14775e-16 0.000938281 0.0010393 9.17535e-97 0
3.03095 2.11321e-13 2.11145e-13 1.76371e-16 0.000834614 0.000950461 3.27214e-92 0
3.18653 1.95167e-13 1.95022e-13 1.44862e-16 0.00074225 0.000867978 6.88566e-88 0
3.35009 1.80272e-13 1.80153e-13 1.18946e-16 0.00065981 0.000792104 8.77132e-84 0
3.52205 1.664e-13 1.66302e-13 9.76208e-17 0.000586664 0.000723046 6.92561e-80 0
3.70284 1.5364e-13 1.5356e-13 8.01557e-17 0.000521711 0.000659888 3.47282e-76 0
