# 3.91758e-05 3 67 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 0.017305 1.54625e+06
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 1.01136e-08 3.54746e-09 6.56615e-09 0.649239 0.858217 0 0
0.0525665 1.01592e-08 3.51977e-09 6.63941e-09 0.653538 0.84633 0 0
0.0552647 1.02071e-08 3.50844e-09 6.69863e-09 0.656273 0.836461 0 0
0.0581015 1.02515e-08 3.51966e-09 6.73187e-09 0.65667 0.830378 0 0
0.0610839 1.02963e-08 3.49575e-09 6.80056e-09 0.660485 0.822103 0 0
0.0642193 1.03605e-08 3.40372e-09 6.95678e-09 0.671471 0.80505 0 0
0.0675157 1.04512e-08 3.33314e-09 7.11809e-09 0.681077 0.786566 0 0
0.0709813 1.05501e-08 3.38917e-09 7.16093e-09 0.678755 0.780087 0 0
0.0746248 1.06394e-08 3.5068e-09 7.1326e-09 0.670395 0.78146 0 0
0.0784553 1.07142e-08 3.63731e-09 7.07693e-09 0.660516 0.786045 0 0
0.0824824 1.07744e-08 3.77091e-09 7.0035e-09 0.650012 0.791281 0 0
0.0867162 1.08296e-08 3.83517e-09 6.99448e-09 0.645864 0.789921 0 0
0.0911674 1.08953e-08 3.87059e-09 7.02475e-09 0.644748 0.784914 0 0
0.095847 1.09503e-08 3.93548e-09 7.01481e-09 0.640605 0.782844 0 0
0.100767 1.09521e-08 4.08295e-09 6.86916e-09 0.6272 0.792333 0 0
0.105939 1.09383e-08 4.21525e-09 6.723e-09 0.614632 0.804905 0 0
0.111377 1.08685e-08 4.42348e-09 6.44503e-09 0.593001 0.829095 0 0
0.117094 1.0859e-08 4.66762e-09 6.19139e-09 0.570162 0.858501 0 0
0.123105 1.08785e-08 4.84606e-09 6.03247e-09 0.55453 0.879218 0 0
0.129424 1.09084e-08 5.01223e-09 5.89619e-09 0.540517 0.897589 0 0
0.136067 1.093e-08 5.15392e-09 5.77608e-09 0.528461 0.912426 0 0
0.143051 1.09146e-08 5.25732e-09 5.65726e-09 0.518321 0.923841 0 0
0.150394 1.08167e-08 5.27916e-09 5.53752e-09 0.511943 0.930695 0 0
0.158114 1.06799e-08 5.21113e-09 5.4688e-09 0.512063 0.93046 0 0
0.16623 1.06584e-08 5.06545e-09 5.59297e-09 0.524747 0.919064 0 0
0.174762 1.07988e-08 4.87131e-09 5.92752e-09 0.548904 0.893529 0 0
0.183733 1.10011e-08 4.66589e-09 6.33523e-09 0.575871 0.860525 0 0
0.193164 1.12416e-08 4.48439e-09 6.75719e-09 0.601089 0.82765 0 0
0.203079 1.15106e-08 4.36732e-09 7.14331e-09 0.620584 0.801506 0 0
0.213503 1.18155e-08 4.30594e-09 7.50956e-09 0.635569 0.781368 0 0
0.224463 1.21303e-08 4.32561e-09 7.80465e-09 0.643403 0.76825 0 0
0.235984 1.23279e-08 4.33936e-09 7.98852e-09 0.648004 0.758228 0 0
0.248097 1.23377e-08 4.3704e-09 7.96726e-09 0.645768 0.751798 0 0
0.260832 1.22505e-08 4.4356e-09 7.81495e-09 0.637927 0.748946 0 0
0.274221 1.21575e-08 4.51928e-09 7.63824e-09 0.628273 0.747872 0 0
0.288297 1.21057e-08 4.6588e-09 7.44688e-09 0.615156 0.752252 0 0
0.303095 1.21047e-08 4.77671e-09 7.32803e-09 0.605385 0.755556 0 0
0.318653 1.21188e-08 4.88294e-09 7.23589e-09 0.597079 0.758229 0 0
0.335009 1.21544e-08 4.98519e-09 7.16924e-09 0.589846 0.760395 0 0
0.352205 1.2202e-08 5.07404e-09 7.12794e-09 0.584162 0.761043 0 0
0.370284 1.22588e-08 5.15198e-09 7.10687e-09 0.579734 0.76038 0 0
0.389291 1.23204e-08 5.22036e-09 7.10005e-09 0.576283 0.75821 0 0
0.409273 1.23811e-08 5.28336e-09 7.09778e-09 0.573273 0.755328 0 0
0.430281 1.24471e-08 5.34837e-09 7.0987e-09 0.570311 0.75226 0 0
0.452368 1.25161e-08 5.42055e-09 7.09552e-09 0.566913 0.748973 0 0
0.475588 1.2576e-08 5.48746e-09 7.08851e-09 0.563655 0.744525 0 0
0.5 1.26517e-08 5.55344e-09 7.09831e-09 0.561054 0.739565 0 0
0.525665 1.27618e-08 5.61803e-09 7.14376e-09 0.559777 0.735003 0 0
0.552647 1.29229e-08 5.67133e-09 7.25161e-09 0.561143 0.731434 0 0
0.581015 1.30958e-08 5.70766e-09 7.3881e-09 0.56416 0.726827 0 0
0.610839 1.3242e-08 5.7376e-09 7.50437e-09 0.566711 0.723234 0 0
0.642193 1.33516e-08 5.80525e-09 7.54637e-09 0.565202 0.718836 0 0
0.675157 1.31535e-08 5.72568e-09 7.42785e-09 0.564704 0.69896 0 0
0.709813 1.3105e-08 5.81591e-09 7.28911e-09 0.556208 0.679457 0 0
0.746248 1.30122e-08 5.92475e-09 7.08742e-09 0.544676 0.659328 0 0
0.784553 1.24943e-08 5.66597e-09 6.82833e-09 0.546516 0.608111 0 0
0.824824 1.27943e-08 5.78416e-09 7.01012e-09 0.54791 0.555576 0 0
0.867162 1.31343e-08 5.72038e-09 7.4139e-09 0.56447 0.532054 0 0
0.911674 1.34025e-08 5.61686e-09 7.78561e-09 0.580909 0.536894 0 0
0.95847 1.3627e-08 5.52893e-09 8.09804e-09 0.594266 0.539188 0 0
1.00767 1.47674e-08 5.75842e-09 9.00894e-09 0.610057 0.512487 0 0
1.05939 1.47265e-08 5.20659e-09 9.51994e-09 0.646448 0.484643 0 0
1.11377 1.52716e-08 4.94395e-09 1.03277e-08 0.676266 0.488045 0 0
1.17094 1.61011e-08 4.98013e-09 1.1121e-08 0.690697 0.498655 2.77304e-300 0
1.23105 1.72552e-08 5.19403e-09 1.20612e-08 0.698989 0.507778 1.95925e-285 0
1.29424 1.81119e-08 5.41031e-09 1.27016e-08 0.701284 0.496257 2.57776e-271 0
1.36067 1.68619e-08 5.04065e-09 1.18212e-08 0.701062 0.461882 6.13951e-258 0
1.43051 1.59082e-08 4.66365e-09 1.12445e-08 0.70684 0.427862 3.17755e-245 0
1.50394 1.57547e-08 4.49405e-09 1.12607e-08 0.714749 0.395685 4.03677e-233 0
1.58114 1.60096e-08 4.42785e-09 1.15817e-08 0.723425 0.364735 1.32599e-221 0
1.6623 1.65435e-08 4.43679e-09 1.21067e-08 0.731811 0.338538 1.19805e-210 0
1.74762 1.71104e-08 4.50923e-09 1.26012e-08 0.736463 0.320784 3.1652e-200 0
1.83733 1.70228e-08 4.57447e-09 1.24484e-08 0.731274 0.309854 2.55682e-190 0
1.93164 1.58971e-08 4.5465e-09 1.13506e-08 0.714004 0.29554 6.56753e-181 0
2.03079 1.45366e-08 4.48057e-09 1.00561e-08 0.691774 0.268536 5.73543e-172 0
2.13503 1.35759e-08 4.45418e-09 9.1217e-09 0.671905 0.23132 1.82553e-163 0
