# 0.000188035 3 82 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 0.000865561 6.50586e+07
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 2.26841e-07 7.94598e-08 1.47382e-07 0.649712 0.856938 0 0
0.0525665 2.27143e-07 7.83202e-08 1.48822e-07 0.655194 0.844777 0 0
0.0552647 2.27457e-07 7.75089e-08 1.49948e-07 0.659237 0.834693 0 0
0.0581015 2.27756e-07 7.72263e-08 1.5053e-07 0.660926 0.828527 0 0
0.0610839 2.28057e-07 7.62562e-08 1.518e-07 0.665626 0.820053 0 0
0.0642193 2.28449e-07 7.36748e-08 1.54774e-07 0.6775 0.802355 0 0
0.0675157 2.28967e-07 7.12149e-08 1.57752e-07 0.688973 0.783033 0 0
0.0709813 2.29526e-07 7.12868e-08 1.5824e-07 0.689418 0.776209 0 0
0.0746248 2.30057e-07 7.27263e-08 1.5733e-07 0.683877 0.777614 0 0
0.0784553 2.30543e-07 7.45818e-08 1.55961e-07 0.676494 0.782453 0 0
0.0824824 2.31009e-07 7.66655e-08 1.54343e-07 0.668127 0.7882 0 0
0.0867162 2.3147e-07 7.74082e-08 1.54062e-07 0.66558 0.787143 0 0
0.0911674 2.31994e-07 7.74505e-08 1.54543e-07 0.666153 0.782178 0 0
0.095847 2.32499e-07 7.82149e-08 1.54284e-07 0.66359 0.780439 0 0
0.100767 2.32752e-07 8.12307e-08 1.51522e-07 0.650999 0.79135 0 0
0.105939 2.32876e-07 8.41286e-08 1.48748e-07 0.638741 0.80538 0 0
0.111377 2.32604e-07 8.90205e-08 1.43583e-07 0.617287 0.832111 0 0
0.117094 2.32491e-07 9.40006e-08 1.3849e-07 0.595681 0.863378 0 0
0.123105 2.32617e-07 9.73434e-08 1.35274e-07 0.58153 0.885302 0 0
0.129424 2.32828e-07 1.00276e-07 1.32552e-07 0.569312 0.904654 0 0
0.136067 2.33026e-07 1.027e-07 1.30326e-07 0.559277 0.920335 0 0
0.143051 2.33083e-07 1.04596e-07 1.28487e-07 0.551249 0.932549 0 0
0.150394 2.32857e-07 1.05567e-07 1.27291e-07 0.546647 0.940379 0 0
0.158114 2.32562e-07 1.04983e-07 1.27579e-07 0.54858 0.941125 0 0
0.16623 2.32697e-07 1.02278e-07 1.3042e-07 0.560469 0.930589 0 0
0.174762 2.33519e-07 9.75008e-08 1.36018e-07 0.582472 0.905136 0 0
0.183733 2.34632e-07 9.17641e-08 1.42868e-07 0.608902 0.871033 0 0
0.193164 2.35913e-07 8.59923e-08 1.49921e-07 0.635492 0.836121 0 0
0.203079 2.37328e-07 8.11742e-08 1.56154e-07 0.657967 0.80746 0 0
0.213503 2.38931e-07 7.72434e-08 1.61687e-07 0.676712 0.784394 0 0
0.224463 2.40896e-07 7.51901e-08 1.65706e-07 0.687873 0.768796 0 0
0.235984 2.43006e-07 7.47035e-08 1.68302e-07 0.692585 0.758519 0 0
0.248097 2.44605e-07 7.62249e-08 1.6838e-07 0.688375 0.755057 0 0
0.260832 2.45105e-07 7.85354e-08 1.66569e-07 0.679584 0.75639 0 0
0.274221 2.4495e-07 8.0806e-08 1.64144e-07 0.670112 0.759295 0 0
0.288297 2.44627e-07 8.35695e-08 1.61058e-07 0.65838 0.767302 0 0
0.303095 2.44647e-07 8.55814e-08 1.59065e-07 0.650184 0.773537 0 0
0.318653 2.44796e-07 8.72935e-08 1.57503e-07 0.643404 0.779062 0 0
0.335009 2.45106e-07 8.87571e-08 1.56349e-07 0.637882 0.783852 0 0
0.352205 2.45558e-07 8.99107e-08 1.55648e-07 0.633852 0.787185 0 0
0.370284 2.46098e-07 9.08149e-08 1.55284e-07 0.630981 0.789137 0 0
0.389291 2.46687e-07 9.1489e-08 1.55198e-07 0.629129 0.789686 0 0
0.409273 2.47301e-07 9.2102e-08 1.55199e-07 0.627571 0.789867 0 0
0.430281 2.47928e-07 9.26897e-08 1.55238e-07 0.626142 0.789867 0 0
0.452368 2.48602e-07 9.33073e-08 1.55295e-07 0.624673 0.790043 0 0
0.475588 2.49311e-07 9.39252e-08 1.55385e-07 0.623261 0.790145 0 0
0.5 2.5007e-07 9.45169e-08 1.55553e-07 0.622039 0.789986 0 0
0.525665 2.50877e-07 9.50997e-08 1.55777e-07 0.620931 0.789657 0 0
0.552647 2.51707e-07 9.56783e-08 1.56028e-07 0.619882 0.789178 0 0
0.581015 2.526e-07 9.61409e-08 1.56459e-07 0.619394 0.787929 0 0
0.610839 2.53513e-07 9.66102e-08 1.56902e-07 0.618913 0.786602 0 0
0.642193 2.54458e-07 9.70853e-08 1.57373e-07 0.618463 0.785203 0 0
0.675157 2.55387e-07 9.75165e-08 1.5787e-07 0.618161 0.783422 0 0
0.709813 2.5646e-07 9.79016e-08 1.58558e-07 0.618257 0.781416 0 0
0.746248 2.5736e-07 9.82538e-08 1.59107e-07 0.618225 0.778959 0 0
0.784553 2.58283e-07 9.85843e-08 1.59698e-07 0.618309 0.776379 0 0
0.824824 2.59881e-07 9.88814e-08 1.61e-07 0.619513 0.774297 0 0
0.867162 2.60221e-07 9.90931e-08 1.61128e-07 0.619196 0.770359 0 0
0.911674 2.60721e-07 9.91545e-08 1.61566e-07 0.619691 0.765816 0 0
0.95847 2.6361e-07 9.90856e-08 1.64524e-07 0.62412 0.763745 0 0
1.00767 2.64818e-07 9.88809e-08 1.65937e-07 0.626608 0.759854 0 0
1.05939 2.62818e-07 9.86857e-08 1.64132e-07 0.624509 0.751965 0 0
1.11377 2.63545e-07 9.8147e-08 1.65398e-07 0.627589 0.744411 0 0
1.17094 2.69248e-07 9.75905e-08 1.71657e-07 0.637544 0.740918 0 0
1.23105 2.7329e-07 9.69312e-08 1.76359e-07 0.645317 0.737365 0 0
1.29424 2.70398e-07 9.54887e-08 1.74909e-07 0.646858 0.726825 0 0
1.36067 2.64148e-07 9.34734e-08 1.70675e-07 0.646133 0.707015 0 0
1.43051 2.64449e-07 9.4024e-08 1.70425e-07 0.644453 0.7022 0 0
1.50394 2.74214e-07 9.41536e-08 1.80061e-07 0.656642 0.70467 0 0
1.58114 2.82432e-07 9.13942e-08 1.91038e-07 0.676403 0.709821 0 0
1.6623 2.85032e-07 9.06923e-08 1.94339e-07 0.681817 0.699463 0 0
1.74762 2.80003e-07 8.97809e-08 1.90222e-07 0.679357 0.67641 0 0
1.83733 2.75592e-07 8.84054e-08 1.87186e-07 0.679216 0.65745 0 0
1.93164 2.63731e-07 8.61514e-08 1.7758e-07 0.673336 0.617506 0 0
2.03079 2.73359e-07 8.70979e-08 1.86261e-07 0.681379 0.611125 2.78664e-294 0
2.13503 2.69182e-07 8.29269e-08 1.86255e-07 0.69193 0.623341 9.20325e-280 0
2.24463 2.93777e-07 8.49261e-08 2.08851e-07 0.710917 0.633322 6.29748e-266 0
2.35984 2.90181e-07 8.06148e-08 2.09566e-07 0.722191 0.645192 8.3392e-253 0
2.48097 3.13414e-07 8.30632e-08 2.30351e-07 0.734973 0.663382 2.70176e-240 0
2.60832 3.07888e-07 8.42991e-08 2.23589e-07 0.726202 0.632337 2.08968e-228 0
2.74221 3.00377e-07 7.77942e-08 2.22583e-07 0.741012 0.649396 3.81772e-217 0
2.88297 3.03638e-07 8.43232e-08 2.19314e-07 0.72229 0.62395 2.2727e-206 0
3.03095 2.75e-07 7.7215e-08 1.97785e-07 0.719218 0.576347 3.37571e-196 0
3.18653 2.77681e-07 8.08329e-08 1.96848e-07 0.7089 0.557566 1.79682e-186 0
3.35009 2.75665e-07 8.15249e-08 1.9414e-07 0.704261 0.506055 3.05691e-177 0
3.52205 2.61907e-07 7.77034e-08 1.84203e-07 0.703316 0.443519 1.72062e-168 0
3.70284 2.62602e-07 7.66507e-08 1.85952e-07 0.708111 0.436563 3.69362e-160 0
3.89291 2.85214e-07 8.17089e-08 2.03506e-07 0.713518 0.394014 3.31526e-152 0
4.09273 2.9148e-07 7.61558e-08 2.15324e-07 0.738727 0.430241 1.05441e-144 0
4.30281 2.97932e-07 7.50016e-08 2.22931e-07 0.748259 0.459498 1.50083e-137 0
4.52368 3.24084e-07 7.79502e-08 2.46134e-07 0.759475 0.469975 9.95763e-131 0
4.75588 3.43055e-07 7.95616e-08 2.63494e-07 0.76808 0.425771 2.98234e-124 0
5 3.3127e-07 7.03518e-08 2.60918e-07 0.78763 0.425 3.69465e-118 0
5.25665 3.48014e-07 6.92775e-08 2.78736e-07 0.800935 0.437323 2.52323e-112 0
5.52648 3.7202e-07 7.10247e-08 3.00995e-07 0.809083 0.451565 9.1895e-107 0
5.81015 4.04386e-07 7.53438e-08 3.29042e-07 0.813683 0.457021 1.83313e-101 0
6.10839 4.02435e-07 7.67088e-08 3.25726e-07 0.809388 0.437942 1.91597e-96 0
6.42193 3.61345e-07 7.03821e-08 2.90963e-07 0.805222 0.406541 1.01503e-91 0
6.75157 3.44603e-07 6.62909e-08 2.78313e-07 0.807631 0.376833 3.19224e-87 0
7.09813 3.42992e-07 6.43544e-08 2.78638e-07 0.812374 0.346739 6.14804e-83 0
7.46248 3.49586e-07 6.38554e-08 2.85731e-07 0.81734 0.318398 7.37386e-79 0
7.84553 3.59446e-07 6.47247e-08 2.94721e-07 0.819932 0.295892 5.64061e-75 0
8.24824 3.60539e-07 6.6163e-08 2.94376e-07 0.816489 0.27983 2.77941e-71 0
8.67162 3.41408e-07 6.63645e-08 2.75044e-07 0.805615 0.263388 8.77532e-68 0
9.11674 3.13082e-07 6.50016e-08 2.48081e-07 0.792382 0.236202 1.80349e-64 0
9.5847 2.90982e-07 6.36501e-08 2.27332e-07 0.781258 0.197511 2.51997e-61 0
10.0767 2.76308e-07 6.29793e-08 2.13328e-07 0.772068 0.155283 2.46515e-58 0
10.5939 2.64801e-07 6.27175e-08 2.02084e-07 0.763152 0.115474 1.71232e-55 0
11.1377 2.53151e-07 6.25452e-08 1.90606e-07 0.752934 0.0799919 8.54652e-53 0
11.7094 2.44138e-07 6.22949e-08 1.81843e-07 0.744837 0.0548878 3.10688e-50 0
12.3105 2.27485e-07 6.11415e-08 1.66343e-07 0.731228 0.0263863 8.24335e-48 0
12.9424 2.10439e-07 5.94633e-08 1.50976e-07 0.717432 0.0036175 1.62872e-45 0
13.6067 1.91778e-07 5.72882e-08 1.3449e-07 0.701279 -0.0162394 2.42955e-43 0
14.3051 1.72348e-07 5.47729e-08 1.17575e-07 0.682196 -0.0337744 2.77745e-41 0
15.0394 1.53095e-07 5.20688e-08 1.01026e-07 0.659893 -0.0493093 2.46916e-39 0
15.8114 1.34887e-07 4.93758e-08 8.55113e-08 0.633947 -0.0630797 1.73312e-37 0
16.623 1.18245e-07 4.67677e-08 7.14774e-08 0.604485 -0.0754047 9.72845e-36 0
17.4762 1.03526e-07 4.44025e-08 5.91239e-08 0.571099 -0.0864905 4.43008e-34 0
18.3733 9.09333e-08 4.24346e-08 4.84987e-08 0.533344 -0.0964291 1.66062e-32 0
19.3164 8.04771e-08 4.08853e-08 3.95918e-08 0.491964 -0.105269 5.18248e-31 0
20.3079 7.18954e-08 3.97048e-08 3.21906e-08 0.447742 -0.113494 1.35893e-29 0
21.3503 6.53662e-08 3.92595e-08 2.61067e-08 0.399392 -0.121098 3.05124e-28 0
22.4463 6.07762e-08 3.95927e-08 2.11835e-08 0.348549 -0.127897 5.92674e-27 0
23.5984 5.79566e-08 4.07078e-08 1.72488e-08 0.297615 -0.133929 1.00347e-25 0
24.8097 5.66133e-08 4.24858e-08 1.41275e-08 0.249543 -0.139451 1.48594e-24 0
26.0832 5.68817e-08 4.51936e-08 1.1688e-08 0.20548 -0.145005 1.94628e-23 0
27.4221 5.82165e-08 4.84305e-08 9.78603e-09 0.168097 -0.150136 2.24433e-22 0
28.8297 6.01965e-08 5.18676e-08 8.3289e-09 0.138362 -0.154837 2.27512e-21 0
30.3095 6.21029e-08 5.49119e-08 7.19102e-09 0.115792 -0.159156 2.01819e-20 0
31.8653 6.24026e-08 5.61587e-08 6.24393e-09 0.100059 -0.163134 1.53999e-19 0
33.5009 6.11396e-08 5.56987e-08 5.4409e-09 0.0889914 -0.166762 1.02052e-18 0
35.2206 5.71005e-08 5.24476e-08 4.65289e-09 0.081486 -0.169962 5.78103e-18 0
37.0284 5.17539e-08 4.78194e-08 3.93447e-09 0.0760227 -0.172887 2.86962e-17 0
38.9291 4.56739e-08 4.24081e-08 3.2658e-09 0.0715026 -0.175503 1.26002e-16 0
40.9273 3.9752e-08 3.70704e-08 2.68155e-09 0.067457 -0.177887 4.98233e-16 0
43.0282 3.45117e-08 3.23303e-08 2.18145e-09 0.0632088 -0.180248 1.80379e-15 0
45.2368 3.00132e-08 2.82453e-08 1.76786e-09 0.0589027 -0.182496 6.02841e-15 0
47.5588 2.65223e-08 2.50928e-08 1.42946e-09 0.0538968 -0.184582 1.89554e-14 0
50 2.35885e-08 2.24322e-08 1.15631e-09 0.04902 -0.186603 5.57019e-14 0
52.5665 2.13416e-08 2.04067e-08 9.34915e-10 0.0438072 -0.187664 1.55257e-13 0
55.2648 1.95448e-08 1.87886e-08 7.5626e-10 0.0386937 -0.18819 4.09637e-13 0
58.1015 1.81186e-08 1.75058e-08 6.12821e-10 0.0338228 -0.188233 1.02633e-12 0
61.0839 1.6973e-08 1.64761e-08 4.96947e-10 0.0292786 -0.187783 2.44498e-12 0
64.2193 1.60589e-08 1.56556e-08 4.03317e-10 0.0251148 -0.186892 5.55149e-12 0
67.5157 1.53364e-08 1.50087e-08 3.27712e-10 0.0213682 -0.185462 1.20399e-11 0
