# 0.000594021 3 93 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 9.36476e-05 8.58419e+12
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 2.24052e-06 7.88143e-07 1.45238e-06 0.648233 0.855382 0 0
0.0525665 2.24177e-06 7.75788e-07 1.46598e-06 0.653939 0.843044 0 0
0.0552647 2.24306e-06 7.66596e-07 1.47647e-06 0.658237 0.832808 0 0
0.0581015 2.24431e-06 7.62693e-07 1.48162e-06 0.660166 0.826543 0 0
0.0610839 2.24557e-06 7.52246e-07 1.49333e-06 0.665009 0.817915 0 0
0.0642193 2.24713e-06 7.25712e-07 1.52142e-06 0.67705 0.79989 0 0
0.0675157 2.24909e-06 6.9966e-07 1.54943e-06 0.688914 0.780201 0 0
0.0709813 2.25118e-06 6.98002e-07 1.55318e-06 0.68994 0.77322 0 0
0.0746248 2.25322e-06 7.09711e-07 1.54351e-06 0.685024 0.77461 0 0
0.0784553 2.25513e-06 7.2559e-07 1.52954e-06 0.678249 0.779504 0 0
0.0824824 2.25703e-06 7.43652e-07 1.51337e-06 0.670517 0.785353 0 0
0.0867162 2.25896e-06 7.48743e-07 1.51022e-06 0.668545 0.784283 0 0
0.0911674 2.26113e-06 7.46647e-07 1.51449e-06 0.669791 0.779232 0 0
0.095847 2.26334e-06 7.51414e-07 1.51192e-06 0.668006 0.777509 0 0
0.100767 2.26481e-06 7.79041e-07 1.48577e-06 0.656024 0.788781 0 0
0.105939 2.26582e-06 8.06368e-07 1.45945e-06 0.644116 0.803204 0 0
0.111377 2.26567e-06 8.54856e-07 1.41082e-06 0.622692 0.830729 0 0
0.117094 2.26551e-06 9.0406e-07 1.36145e-06 0.600946 0.862637 0 0
0.123105 2.26624e-06 9.36202e-07 1.33004e-06 0.586893 0.884981 0 0
0.129424 2.26732e-06 9.63785e-07 1.30353e-06 0.574923 0.904689 0 0
0.136067 2.26841e-06 9.86109e-07 1.2823e-06 0.565287 0.920664 0 0
0.143051 2.26912e-06 1.00353e-06 1.26559e-06 0.557743 0.933122 0 0
0.150394 2.26904e-06 1.01315e-06 1.25589e-06 0.55349 0.941146 0 0
0.158114 2.26884e-06 1.00903e-06 1.25981e-06 0.555266 0.942014 0 0
0.16623 2.26996e-06 9.84344e-07 1.28561e-06 0.56636 0.931409 0 0
0.174762 2.27317e-06 9.37401e-07 1.33577e-06 0.587624 0.905457 0 0
0.183733 2.2773e-06 8.7919e-07 1.39811e-06 0.613934 0.870458 0 0
0.193164 2.28194e-06 8.19298e-07 1.46264e-06 0.640964 0.834469 0 0
0.203079 2.28696e-06 7.67812e-07 1.51915e-06 0.664265 0.804771 0 0
0.213503 2.29247e-06 7.24128e-07 1.56834e-06 0.684127 0.780674 0 0
0.224463 2.29901e-06 6.96549e-07 1.60246e-06 0.697022 0.764107 0 0
0.235984 2.3064e-06 6.83116e-07 1.62329e-06 0.703817 0.753031 0 0
0.248097 2.31392e-06 6.91162e-07 1.62276e-06 0.701303 0.749462 0 0
0.260832 2.31904e-06 7.11544e-07 1.6075e-06 0.693173 0.75146 0 0
0.274221 2.32153e-06 7.33902e-07 1.58762e-06 0.683871 0.755331 0 0
0.288297 2.32188e-06 7.60971e-07 1.5609e-06 0.67226 0.764331 0 0
0.303095 2.32294e-06 7.79778e-07 1.54317e-06 0.664315 0.771241 0 0
0.318653 2.32436e-06 7.95306e-07 1.52905e-06 0.657838 0.777339 0 0
0.335009 2.3263e-06 8.07943e-07 1.51836e-06 0.652692 0.782604 0 0
0.352205 2.32882e-06 8.17185e-07 1.51163e-06 0.649099 0.786325 0 0
0.370284 2.33174e-06 8.23793e-07 1.50795e-06 0.646705 0.788616 0 0
0.389291 2.33494e-06 8.28085e-07 1.50685e-06 0.64535 0.789476 0 0
0.409273 2.33824e-06 8.31722e-07 1.50652e-06 0.644296 0.789974 0 0
0.430281 2.34164e-06 8.35069e-07 1.50657e-06 0.643382 0.790308 0 0
0.452368 2.34524e-06 8.38526e-07 1.50671e-06 0.642456 0.790827 0 0
0.475588 2.349e-06 8.41869e-07 1.50713e-06 0.641605 0.791289 0 0
0.5 2.35301e-06 8.44801e-07 1.50821e-06 0.64097 0.791494 0 0
0.525665 2.35726e-06 8.47499e-07 1.50976e-06 0.640473 0.79154 0 0
0.552647 2.36164e-06 8.50077e-07 1.51157e-06 0.640049 0.791463 0 0
0.581015 2.36638e-06 8.51439e-07 1.51494e-06 0.640194 0.790606 0 0
0.610839 2.37125e-06 8.52802e-07 1.51845e-06 0.640357 0.789705 0 0
0.642193 2.37625e-06 8.54161e-07 1.52209e-06 0.640542 0.788756 0 0
