# 0.00433194 4 112 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 1.39609e-06 inf
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 0.00011826 5.00583e-05 6.8202e-05 0.576711 0.931624 0 0
0.0525665 0.000118274 4.9621e-05 6.86531e-05 0.580458 0.9258 0 0
0.0552647 0.000118289 4.88957e-05 6.93928e-05 0.586641 0.916889 0 0
0.0581015 0.000118305 4.7796e-05 7.05087e-05 0.595992 0.903032 0 0
0.0610839 0.000118323 4.66861e-05 7.16369e-05 0.605435 0.887495 0 0
0.0642193 0.000118342 4.5908e-05 7.24341e-05 0.612074 0.874856 0 0
0.0675157 0.000118362 4.54654e-05 7.28964e-05 0.615878 0.865937 0 0
0.0709813 0.000118382 4.52964e-05 7.30858e-05 0.617372 0.860308 0 0
0.0746248 0.000118403 4.53549e-05 7.30477e-05 0.616944 0.857562 0 0
0.0784553 0.000118423 4.56714e-05 7.27519e-05 0.614338 0.8582 0 0
0.0824824 0.000118443 4.63538e-05 7.20889e-05 0.608639 0.863764 0 0
0.0867162 0.000118461 4.66388e-05 7.1822e-05 0.606293 0.866746 0 0
0.0911674 0.000118483 4.62153e-05 7.22679e-05 0.609942 0.860189 0 0
0.095847 0.000118506 4.61495e-05 7.23568e-05 0.610573 0.856873 0 0
0.100767 0.000118529 4.62814e-05 7.22476e-05 0.609536 0.856398 0 0
0.105939 0.00011855 4.6744e-05 7.18059e-05 0.605702 0.860336 0 0
0.111377 0.000118571 4.72232e-05 7.13473e-05 0.601729 0.86543 0 0
0.117094 0.000118592 4.75348e-05 7.10572e-05 0.599174 0.868621 0 0
0.123105 0.000118614 4.7746e-05 7.08681e-05 0.597468 0.87063 0 0
0.129424 0.000118638 4.78744e-05 7.07631e-05 0.596465 0.871606 0 0
0.136067 0.000118662 4.79109e-05 7.07509e-05 0.59624 0.871358 0 0
0.143051 0.000118687 4.78024e-05 7.08844e-05 0.597239 0.869012 0 0
0.150394 0.00011871 4.7966e-05 7.07437e-05 0.595939 0.870254 0 0
0.158114 0.000118732 4.8476e-05 7.02562e-05 0.59172 0.876746 0 0
0.16623 0.000118756 4.9056e-05 6.97002e-05 0.586918 0.884631 0 0
0.174762 0.000118783 4.95705e-05 6.92121e-05 0.582679 0.891788 0 0
0.183733 0.000118811 5.00269e-05 6.87841e-05 0.578937 0.89819 0 0
0.193164 0.00011884 5.04141e-05 6.84263e-05 0.575783 0.903626 0 0
0.203079 0.000118871 5.07446e-05 6.81269e-05 0.573114 0.908248 0 0
0.213503 0.000118904 5.10372e-05 6.78668e-05 0.57077 0.912313 0 0
0.224463 0.000118937 5.12824e-05 6.7655e-05 0.568829 0.915681 0 0
0.235984 0.000118972 5.14772e-05 6.7495e-05 0.567317 0.918302 0 0
0.248097 0.000119008 5.16282e-05 6.73798e-05 0.566179 0.920278 0 0
0.260832 0.000119045 5.1753e-05 6.72924e-05 0.565267 0.921858 0 0
0.274221 0.000119084 5.18609e-05 6.72227e-05 0.5645 0.923183 0 0
0.288297 0.000119123 5.19543e-05 6.7169e-05 0.563861 0.924284 0 0
0.303095 0.000119164 5.20358e-05 6.71285e-05 0.563327 0.925201 0 0
0.318653 0.000119207 5.21097e-05 6.70971e-05 0.562863 0.925995 0 0
0.335009 0.000119251 5.21762e-05 6.70747e-05 0.562467 0.926666 0 0
0.352205 0.000119296 5.22379e-05 6.70581e-05 0.562115 0.927257 0 0
0.370284 0.000119343 5.22957e-05 6.7047e-05 0.561803 0.927776 0 0
0.389291 0.000119391 5.2348e-05 6.70433e-05 0.561542 0.928201 0 0
0.409273 0.000119441 5.2397e-05 6.70442e-05 0.561315 0.928563 0 0
0.430281 0.000119493 5.24456e-05 6.70471e-05 0.561098 0.928903 0 0
0.452368 0.000119546 5.24897e-05 6.70565e-05 0.560925 0.929161 0 0
0.475588 0.000119602 5.25332e-05 6.70685e-05 0.560766 0.929393 0 0
0.5 0.000119659 5.2576e-05 6.70826e-05 0.560617 0.929597 0 0
0.525665 0.000119717 5.26186e-05 6.70989e-05 0.560477 0.929779 0 0
0.552647 0.000119779 5.26625e-05 6.71161e-05 0.560335 0.929959 0 0
0.581015 0.000119841 5.27017e-05 6.71397e-05 0.560238 0.930052 0 0
0.610839 0.000119907 5.27427e-05 6.71638e-05 0.560135 0.930149 0 0
0.642193 0.000119974 5.27856e-05 6.71886e-05 0.560025 0.93025 0 0
0.675157 0.000120044 5.28284e-05 6.72152e-05 0.559923 0.930326 0 0
0.709813 0.000120116 5.28714e-05 6.72442e-05 0.559829 0.930381 0 0
0.746248 0.00012019 5.2916e-05 6.72738e-05 0.55973 0.930432 0 0
0.784553 0.000120267 5.29626e-05 6.73039e-05 0.559623 0.930485 0 0
0.824824 0.000120346 5.30094e-05 6.73364e-05 0.559525 0.930513 0 0
0.867162 0.000120428 5.3057e-05 6.73709e-05 0.559429 0.930524 0 0
0.911674 0.000120513 5.31066e-05 6.74061e-05 0.559328 0.930532 0 0
0.95847 0.0001206 5.31577e-05 6.74425e-05 0.559224 0.930532 0 0
1.00767 0.000120691 5.32111e-05 6.74799e-05 0.559113 0.93053 0 0
1.05939 0.000120784 5.32673e-05 6.75172e-05 0.558989 0.930532 0 0
1.11377 0.000120881 5.33258e-05 6.75551e-05 0.558857 0.930533 0 0
1.17094 0.000120981 5.33875e-05 6.75931e-05 0.55871 0.930541 0 0
1.23105 0.000121084 5.34521e-05 6.76321e-05 0.558554 0.930552 0 0
1.29424 0.000121191 5.35204e-05 6.76701e-05 0.558378 0.930573 0 0
1.36067 0.000121301 5.35891e-05 6.77119e-05 0.558214 0.930557 0 0
1.43051 0.000121415 5.36634e-05 6.77513e-05 0.558016 0.930576 0 0
1.50394 0.000121532 5.37399e-05 6.77924e-05 0.557814 0.930582 0 0
1.58114 0.000121654 5.38199e-05 6.78339e-05 0.557598 0.930588 0 0
1.6623 0.000121779 5.39053e-05 6.78741e-05 0.557353 0.930619 0 0
1.74762 0.000121909 5.39944e-05 6.79148e-05 0.557093 0.930651 0 0
1.83733 0.000122044 5.40887e-05 6.79549e-05 0.556808 0.9307 0 0
1.93164 0.000122182 5.41873e-05 6.79951e-05 0.556505 0.930752 0 0
2.03079 0.000122325 5.42895e-05 6.80358e-05 0.556187 0.930796 0 0
2.13503 0.000122474 5.43981e-05 6.80755e-05 0.555838 0.930867 0 0
2.24463 0.000122626 5.45126e-05 6.81131e-05 0.555455 0.930957 0 0
2.35984 0.000122784 5.46326e-05 6.81516e-05 0.555052 0.931055 0 0
2.48097 0.000122948 5.47608e-05 6.81876e-05 0.554604 0.931196 0 0
2.60832 0.000123116 5.48945e-05 6.82212e-05 0.554123 0.931338 0 0
2.74221 0.00012329 5.50341e-05 6.82556e-05 0.55362 0.931487 0 0
2.88297 0.000123469 5.51845e-05 6.82844e-05 0.553049 0.931701 0 0
3.03095 0.000123655 5.53421e-05 6.8313e-05 0.552448 0.931934 0 0
3.18653 0.000123848 5.55077e-05 6.83398e-05 0.551806 0.93219 0 0
3.35009 0.000124045 5.56833e-05 6.83616e-05 0.551104 0.932486 0 0
3.52205 0.000124248 5.58706e-05 6.83771e-05 0.550329 0.932843 0 0
3.70284 0.00012446 5.6069e-05 6.8391e-05 0.549502 0.933255 0 0
3.89291 0.000124685 5.62807e-05 6.8404e-05 0.548616 0.933743 1.66704e-293 0
4.09273 0.000124925 5.65083e-05 6.84167e-05 0.547662 0.934338 6.22428e-279 0
4.30281 0.000125168 5.67531e-05 6.8415e-05 0.546585 0.935039 4.46326e-265 0
4.52368 0.00012539 5.70169e-05 6.83734e-05 0.545285 0.935837 6.66307e-252 0
4.75588 0.00012562 5.73015e-05 6.83183e-05 0.54385 0.936773 2.23572e-239 0
5 0.000125913 5.76152e-05 6.82979e-05 0.542421 0.937992 1.81394e-227 0
5.25665 0.000126222 5.796e-05 6.82622e-05 0.54081 0.939452 3.81458e-216 0
5.52648 0.000126445 5.83369e-05 6.81078e-05 0.538637 0.941065 2.22013e-205 0
5.81015 0.000126696 5.876e-05 6.79356e-05 0.536211 0.943068 3.81045e-195 0
6.10839 0.000127072 5.9231e-05 6.78413e-05 0.533879 0.945551 2.04627e-185 0
