# 2.58886e-07 4 19 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 223928 69.7408
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 7.17466e-14 7.12793e-14 4.6733e-16 0.00651361 0.0158875 0 0
0.0525665 7.42999e-14 7.38521e-14 4.47743e-16 0.00602616 0.0142652 0 0
0.0552647 7.79731e-14 7.75277e-14 4.45453e-16 0.00571291 0.0127583 0 0
0.0581015 8.5466e-14 8.49852e-14 4.80753e-16 0.00562508 0.0113372 0 0
0.0610839 9.6995e-14 9.64524e-14 5.42591e-16 0.00559401 0.0100369 0 0
0.0642193 1.08449e-13 1.07858e-13 5.91883e-16 0.00545769 0.00889797 0 0
0.0675157 1.1598e-13 1.15374e-13 6.06105e-16 0.00522593 0.00793142 0 0
0.0709813 1.17343e-13 1.16764e-13 5.79655e-16 0.00493982 0.00714256 0 0
0.0746248 1.12045e-13 1.11527e-13 5.18375e-16 0.00462648 0.00653655 0 0
0.0784553 1.00942e-13 1.00509e-13 4.3229e-16 0.00428258 0.00612295 0 0
0.0824824 8.59029e-14 8.55703e-14 3.32657e-16 0.00387248 0.00589576 0 0
0.0867162 7.8615e-14 7.83526e-14 2.62413e-16 0.00333795 0.0054365 0 0
0.0911674 7.42672e-14 7.40349e-14 2.32274e-16 0.00312754 0.00496859 0 0
0.095847 6.43547e-14 6.41595e-14 1.95184e-16 0.00303293 0.00477143 0 0
0.100767 5.44466e-14 5.42888e-14 1.5788e-16 0.00289972 0.00463881 0 0
0.105939 4.41762e-14 4.40547e-14 1.21548e-16 0.00275144 0.00457858 0 0
0.111377 3.70783e-14 3.69852e-14 9.31598e-17 0.00251251 0.00437847 0 0
0.117094 3.164e-14 3.15669e-14 7.30482e-17 0.00230873 0.00413409 0 0
0.123105 2.71604e-14 2.71024e-14 5.80579e-17 0.00213759 0.00387963 0 0
0.129424 2.33119e-14 2.32653e-14 4.66742e-17 0.00200216 0.00363186 0 0
0.136067 1.98771e-14 1.98391e-14 3.80392e-17 0.00191371 0.00340453 0 0
0.143051 1.63623e-14 1.63306e-14 3.1621e-17 0.00193256 0.00322946 0 0
0.150394 1.16398e-14 1.16146e-14 2.52958e-17 0.00217321 0.00307567 0 0
0.158114 7.66568e-15 7.64642e-15 1.92578e-17 0.00251221 0.00281354 0 0
0.16623 5.00799e-15 4.99353e-15 1.44581e-17 0.00288701 0.00250321 0 0
0.174762 3.39928e-15 3.38838e-15 1.08935e-17 0.00320465 0.00220958 0 0
0.183733 2.27224e-15 2.264e-15 8.23737e-18 0.00362521 0.0019496 0 9.23995e-309
0.193164 1.54791e-15 1.54163e-15 6.27944e-18 0.00405672 0.00172462 0 1.4372e-294
0.203079 1.07645e-15 1.07163e-15 4.8232e-18 0.00448065 0.00153021 0 4.50101e-281
0.213503 7.95341e-16 7.91621e-16 3.72075e-18 0.00467818 0.00136052 0 3.1988e-268
0.224463 6.69286e-16 6.66394e-16 2.89192e-18 0.0043209 0.00121311 0 5.96551e-256
0.235984 6.34354e-16 6.32082e-16 2.27163e-18 0.00358101 0.00108535 0 3.10175e-244
0.248097 6.29176e-16 6.27375e-16 1.80082e-18 0.00286218 0.000973741 0 4.4715e-233
0.260832 6.12424e-16 6.10989e-16 1.43543e-18 0.00234385 0.00087505 0 1.78842e-222
0.274221 5.91751e-16 5.90603e-16 1.1485e-18 0.00194085 0.00078722 0 2.13573e-212
0.288297 5.69774e-16 5.68851e-16 9.22758e-19 0.00161952 0.000709018 0 8.11011e-203
0.303095 5.47855e-16 5.47112e-16 7.43347e-19 0.00135683 0.000639033 0 1.03802e-193
0.318653 5.25847e-16 5.25248e-16 5.99863e-19 0.00114075 0.000576214 0 4.72239e-185
0.335009 5.04068e-16 5.03583e-16 4.85187e-19 0.000962542 0.000519877 0 8.03958e-177
0.352205 4.82853e-16 4.8246e-16 3.93064e-19 0.000814046 0.000469241 0 5.38024e-169
0.370284 4.62093e-16 4.61774e-16 3.18746e-19 0.000689787 0.000423635 0 1.48201e-161
0.389291 4.41969e-16 4.4171e-16 2.58829e-19 0.000585627 0.000382578 0 1.7569e-154
0.409273 4.22281e-16 4.2207e-16 2.10538e-19 0.000498574 0.000345652 0 9.34462e-148
0.430281 4.0316e-16 4.02989e-16 1.71303e-19 0.000424902 0.000312308 0 2.32201e-141
0.452368 3.84734e-16 3.84595e-16 1.39551e-19 0.000362721 0.000282255 0 2.80174e-135
0.475588 3.66994e-16 3.6688e-16 1.13727e-19 0.000309888 0.000255114 0 1.70252e-129
0.5 3.50069e-16 3.49977e-16 9.27829e-20 0.000265041 0.000230649 0 5.3964e-124
0.525665 3.33908e-16 3.33833e-16 7.57046e-20 0.000226723 0.000208531 0 9.2208e-119
0.552647 3.18512e-16 3.1845e-16 6.17537e-20 0.000193882 0.00018852 0 8.76371e-114
0.581015 3.03642e-16 3.03592e-16 5.04696e-20 0.000166214 0.000170503 0 4.76927e-109
0.610839 2.89511e-16 2.8947e-16 4.12527e-20 0.000142491 0.000154216 0 1.52939e-104
0.642193 2.76066e-16 2.76032e-16 3.37072e-20 0.000122098 0.00013947 0 2.96682e-100
0.675157 2.6329e-16 2.63262e-16 2.7547e-20 0.000104626 0.000126137 0 3.56946e-96
0.709813 2.51173e-16 2.5115e-16 2.25348e-20 8.97185e-05 0.000114109 0 2.72674e-92
0.746248 2.39662e-16 2.39643e-16 1.8433e-20 7.69126e-05 0.000103223 0 1.35203e-88
0.784553 2.28711e-16 2.28696e-16 1.50731e-20 6.59044e-05 9.33685e-05 0 4.44221e-85
0.824824 2.18185e-16 2.18173e-16 1.23304e-20 5.65132e-05 8.4461e-05 0 9.85867e-82
0.867162 2.08116e-16 2.08106e-16 1.00952e-20 4.85075e-05 7.64206e-05 0 1.50605e-78
0.911674 1.98507e-16 1.98498e-16 8.26328e-21 4.16272e-05 6.91406e-05 0 1.61207e-75
0.95847 1.89288e-16 1.89281e-16 6.76304e-21 3.57289e-05 6.25512e-05 0 1.2293e-72
1.00767 1.80535e-16 1.80529e-16 5.53657e-21 3.06676e-05 5.6594e-05 0 6.7892e-70
1.05939 1.72263e-16 1.72259e-16 4.53292e-21 2.63139e-05 5.12059e-05 0 2.75811e-67
1.11377 1.64392e-16 1.64388e-16 3.71019e-21 2.25692e-05 4.63268e-05 0 8.36035e-65
1.17094 1.56868e-16 1.56865e-16 3.03554e-21 1.93509e-05 4.19084e-05 1.74596e-307 1.91697e-62
