# 4.3758e-08 4 2 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 4.6813e+07 0.0758201
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 3.53838e-16 3.53827e-16 1.16552e-20 3.29394e-05 0.000446143 0 2.89119e-60
0.0525665 3.65871e-16 3.6586e-16 1.1101e-20 3.03414e-05 0.000401072 0 2.97168e-58
0.0552647 3.83753e-16 3.83742e-16 1.09957e-20 2.86531e-05 0.000358956 0 2.45412e-56
0.0581015 4.20575e-16 4.20563e-16 1.18257e-20 2.8118e-05 0.000319055 0 1.69667e-54
0.0610839 4.76388e-16 4.76375e-16 1.32817e-20 2.78799e-05 0.000282619 0 9.81983e-53
0.0642193 5.30043e-16 5.30029e-16 1.43785e-20 2.7127e-05 0.000250932 0 4.56904e-51
0.0675157 5.62729e-16 5.62715e-16 1.45817e-20 2.59125e-05 0.000224221 0 1.67669e-49
0.0709813 5.6459e-16 5.64576e-16 1.38003e-20 2.44431e-05 0.000202546 0 4.85145e-48
0.0746248 5.34802e-16 5.3479e-16 1.22223e-20 2.28538e-05 0.000185988 0 1.11573e-46
0.0784553 4.78784e-16 4.78774e-16 1.01154e-20 2.11272e-05 0.000174779 0 2.05918e-45
0.0824824 4.05927e-16 4.05919e-16 7.74623e-21 1.90828e-05 0.000168716 0 3.08167e-44
0.0867162 3.71955e-16 3.71949e-16 6.10661e-21 1.64176e-05 0.000155626 0 4.30489e-43
0.0911674 3.51058e-16 3.51052e-16 5.39362e-21 1.53639e-05 0.000142353 0 5.40826e-42
0.095847 3.03536e-16 3.03532e-16 4.52048e-21 1.48927e-05 0.000136888 0 5.5357e-41
0.100767 2.56592e-16 2.56588e-16 3.65195e-21 1.42325e-05 0.000133164 0 5.12902e-40
0.105939 2.08229e-16 2.08226e-16 2.81083e-21 1.34987e-05 0.000131415 0 4.59008e-39
0.111377 1.75041e-16 1.75039e-16 2.15549e-21 1.23142e-05 0.000125596 0 4.78057e-38
0.117094 1.49595e-16 1.49593e-16 1.69103e-21 1.13041e-05 0.000118522 0 5.86321e-37
0.123105 1.28599e-16 1.28598e-16 1.34466e-21 1.04562e-05 0.000111174 0 7.65043e-36
0.129424 1.1052e-16 1.10519e-16 1.08147e-21 9.78531e-06 0.00010403 0 9.53194e-35
0.136067 9.43367e-17 9.43358e-17 8.81715e-22 9.34646e-06 9.74819e-05 0 1.06842e-33
0.143051 7.77043e-17 7.77036e-17 7.33114e-22 9.43466e-06 9.24349e-05 0 1.02781e-32
0.150394 5.53107e-17 5.53101e-17 5.86689e-22 1.06072e-05 8.79888e-05 0 7.57532e-32
0.158114 3.64701e-17 3.64697e-17 4.46942e-22 1.2255e-05 8.04635e-05 0 4.59692e-31
0.16623 2.38572e-17 2.38568e-17 3.35785e-22 1.40748e-05 7.1579e-05 0 2.47072e-30
0.174762 1.62129e-17 1.62126e-17 2.53156e-22 1.56145e-05 6.31785e-05 0 1.2378e-29
0.183733 1.0847e-17 1.08468e-17 1.91532e-22 1.76576e-05 5.57417e-05 0 5.50545e-29
0.193164 7.39404e-18 7.39389e-18 1.46073e-22 1.97555e-05 4.93063e-05 0 2.26105e-28
0.203079 5.14439e-18 5.14427e-18 1.12239e-22 2.18177e-05 4.37455e-05 0 8.63034e-28
0.213503 3.80312e-18 3.80303e-18 8.66108e-23 2.27736e-05 3.88921e-05 0 3.2018e-27
0.224463 3.20356e-18 3.20349e-18 6.73348e-23 2.10188e-05 3.4676e-05 0 1.24344e-26
0.235984 3.04022e-18 3.04017e-18 5.29028e-23 1.7401e-05 3.10225e-05 0 5.01893e-26
0.248097 3.01893e-18 3.01889e-18 4.19453e-23 1.38941e-05 2.78312e-05 0 1.96316e-25
0.260832 2.94121e-18 2.94118e-18 3.34392e-23 1.13692e-05 2.50094e-05 0 7.00382e-25
0.274221 2.84403e-18 2.844e-18 2.67582e-23 9.40855e-06 2.24982e-05 0 2.31369e-24
0.288297 2.74009e-18 2.74007e-18 2.15009e-23 7.84677e-06 2.02626e-05 0 7.12907e-24
0.303095 2.63605e-18 2.63603e-18 1.7322e-23 6.57118e-06 1.82619e-05 0 2.05991e-23
0.318653 2.53129e-18 2.53127e-18 1.39794e-23 5.52265e-06 1.64663e-05 0 5.59666e-23
0.335009 2.42738e-18 2.42737e-18 1.13077e-23 4.65839e-06 1.4856e-05 0 1.43466e-22
0.352205 2.32598e-18 2.32597e-18 9.16125e-24 3.93866e-06 1.34087e-05 0 3.48157e-22
0.370284 2.22661e-18 2.2266e-18 7.42944e-24 3.33666e-06 1.21053e-05 0 8.01771e-22
0.389291 2.13017e-18 2.13016e-18 6.03314e-24 2.83224e-06 1.09318e-05 0 1.75721e-21
0.409273 2.03573e-18 2.03572e-18 4.90771e-24 2.41079e-06 9.87652e-06 0 3.67226e-21
0.430281 1.94391e-18 1.94391e-18 3.99327e-24 2.05424e-06 8.92366e-06 0 7.33629e-21
0.452368 1.85538e-18 1.85537e-18 3.25319e-24 1.75338e-06 8.06485e-06 0 1.40452e-20
0.475588 1.77009e-18 1.77009e-18 2.65126e-24 1.49781e-06 7.28925e-06 0 2.58216e-20
