# 2.32712e-06 4 40 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 272.439 54206.3
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 2.77169e-11 1.77001e-11 1.00168e-11 0.361396 0.772383 0 0
0.0525665 2.83405e-11 1.81268e-11 1.02137e-11 0.360394 0.754892 0 0
0.0552647 2.91692e-11 1.85385e-11 1.06306e-11 0.364448 0.734226 0 0
0.0581015 3.06843e-11 1.91932e-11 1.14911e-11 0.374494 0.710133 0 0
0.0610839 3.29317e-11 2.03013e-11 1.26305e-11 0.383535 0.686398 0 0
0.0642193 3.53803e-11 2.16833e-11 1.3697e-11 0.387137 0.66589 0 0
0.0675157 3.77103e-11 2.31139e-11 1.45964e-11 0.387067 0.6481 0 0
0.0709813 3.97822e-11 2.44539e-11 1.53283e-11 0.385305 0.631924 0 0
0.0746248 4.14985e-11 2.5611e-11 1.58875e-11 0.382845 0.616376 0 0
0.0784553 4.26879e-11 2.64959e-11 1.6192e-11 0.37931 0.600463 0 0
0.0824824 4.30604e-11 2.69809e-11 1.60796e-11 0.373418 0.58289 0 0
0.0867162 4.25013e-11 2.70479e-11 1.54534e-11 0.363599 0.55517 0 0
0.0911674 4.3327e-11 2.74358e-11 1.58911e-11 0.366772 0.520603 0 0
0.095847 4.42734e-11 2.76464e-11 1.6627e-11 0.375553 0.485694 0 0
0.100767 4.4816e-11 2.764e-11 1.7176e-11 0.383255 0.450256 0 0
0.105939 4.50272e-11 2.74743e-11 1.75529e-11 0.389829 0.420575 0 0
0.111377 4.4578e-11 2.72168e-11 1.73612e-11 0.389456 0.394815 0 0
0.117094 4.38733e-11 2.68368e-11 1.70365e-11 0.388311 0.371017 0 0
0.123105 4.27026e-11 2.61778e-11 1.65248e-11 0.386975 0.348674 0 0
0.129424 4.09742e-11 2.51365e-11 1.58377e-11 0.386529 0.327302 0 0
0.136067 3.87362e-11 2.36797e-11 1.50565e-11 0.388694 0.307198 0 0
0.143051 3.62451e-11 2.17628e-11 1.44823e-11 0.399566 0.291716 0 0
0.150394 3.09467e-11 1.74772e-11 1.34694e-11 0.435246 0.282131 0 0
0.158114 2.28779e-11 1.16509e-11 1.1227e-11 0.490735 0.255807 0 0
0.16623 1.58492e-11 7.12851e-12 8.72066e-12 0.550228 0.21921 0 0
0.174762 1.10752e-11 4.46518e-12 6.60999e-12 0.59683 0.18667 0 0
0.183733 7.74793e-12 2.77363e-12 4.9743e-12 0.642017 0.160418 0 0
0.193164 5.5274e-12 1.77364e-12 3.75376e-12 0.679118 0.139546 0 0
0.203079 4.01757e-12 1.16839e-12 2.84918e-12 0.70918 0.122564 0 0
0.213503 2.99382e-12 8.23277e-13 2.17054e-12 0.725008 0.108341 0 0
0.224463 2.33245e-12 6.65328e-13 1.66712e-12 0.714751 0.0963267 0 0
0.235984 1.90577e-12 6.09638e-13 1.29614e-12 0.68011 0.0860903 0 0
0.248097 1.60622e-12 5.87526e-13 1.01869e-12 0.634218 0.0772257 0 0
0.260832 1.36379e-12 5.57717e-13 8.06076e-13 0.591055 0.0694181 0 0
0.274221 1.16787e-12 5.27036e-13 6.40832e-13 0.548719 0.0624865 0 0
0.288297 1.00955e-12 4.97545e-13 5.12002e-13 0.50716 0.0563225 0 0
0.303095 8.80441e-13 4.70027e-13 4.10414e-13 0.466146 0.0508079 0 0
0.318653 7.73749e-13 4.44027e-13 3.29722e-13 0.426136 0.0458569 0 0
0.335009 6.85232e-13 4.19598e-13 2.65634e-13 0.387655 0.0414136 0 0
0.352205 6.1122e-13 3.96787e-13 2.14433e-13 0.350828 0.0374162 0 0
0.370284 5.48651e-13 3.75321e-13 1.7333e-13 0.315921 0.0338119 0 0
0.389291 4.95557e-13 3.55214e-13 1.40343e-13 0.283202 0.0305629 0 0
0.409273 4.50046e-13 3.36182e-13 1.13864e-13 0.253006 0.0276372 0 0
0.430281 4.10628e-13 3.18201e-13 9.24271e-14 0.225087 0.0249919 0 0
0.452368 3.76438e-13 3.01302e-13 7.51365e-14 0.199598 0.0226047 0 0
0.475588 3.46498e-13 2.85383e-13 6.11153e-14 0.17638 0.0204461 0 0
0.5 3.20261e-13 2.70487e-13 4.97741e-14 0.155417 0.0184979 0 0
0.525665 2.97055e-13 2.56506e-13 4.05487e-14 0.136502 0.0167347 0 0
0.552647 2.76418e-13 2.43389e-13 3.30289e-14 0.119489 0.0151377 0 0
0.581015 2.57887e-13 2.30928e-13 2.69593e-14 0.104539 0.0136984 0 0
0.610839 2.41245e-13 2.19234e-13 2.20104e-14 0.0912369 0.0123961 0 0
0.642193 2.26199e-13 2.08234e-13 1.79654e-14 0.0794228 0.0112159 0 0
0.675157 2.1256e-13 1.97892e-13 1.46681e-14 0.0690066 0.010148 0 0
0.709813 2.00169e-13 1.8818e-13 1.19889e-14 0.0598939 0.00918383 0 0
0.746248 1.88833e-13 1.79034e-13 9.7989e-15 0.051892 0.00831072 0 0
0.784553 1.78408e-13 1.70401e-13 8.00702e-15 0.0448804 0.00751973 0 0
0.824824 1.68714e-13 1.62169e-13 6.54582e-15 0.0387982 0.00680435 0 0
0.867162 1.59706e-13 1.5435e-13 5.3561e-15 0.0335372 0.00615826 0 0
0.911674 1.51316e-13 1.46935e-13 4.38185e-15 0.0289582 0.00557299 0 0
0.95847 1.43446e-13 1.39861e-13 3.58456e-15 0.024989 0.00504299 0 0
1.00767 1.36112e-13 1.33178e-13 2.93322e-15 0.0215501 0.00456365 0 0
1.05939 1.29291e-13 1.26891e-13 2.40056e-15 0.018567 0.00412993 0 0
1.11377 1.22896e-13 1.20932e-13 1.96413e-15 0.0159821 0.00373705 0 0
1.17094 1.16865e-13 1.15258e-13 1.60646e-15 0.0137463 0.00338115 2.43829e-298 0
1.23105 1.11193e-13 1.09878e-13 1.31462e-15 0.0118228 0.00305956 7.51534e-284 0
1.29424 1.0611e-13 1.05035e-13 1.07541e-15 0.0101349 0.00276826 4.48996e-270 0
1.36067 1.0138e-13 1.005e-13 8.80103e-16 0.0086812 0.00250481 5.62419e-257 0
1.43051 9.6914e-14 9.61943e-14 7.19737e-16 0.00742655 0.00226603 1.59333e-244 0
1.50394 9.26947e-14 9.21057e-14 5.89024e-16 0.00635445 0.00205038 1.09778e-232 0
1.58114 8.86808e-14 8.81989e-14 4.81918e-16 0.00543431 0.00185509 1.97028e-221 0
1.6623 8.48554e-14 8.44614e-14 3.93964e-16 0.00464277 0.00167805 9.8373e-211 0
1.74762 8.1269e-14 8.09469e-14 3.22145e-16 0.00396393 0.00151799 1.45553e-200 0
