# 6.62166e-06 4 50 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 14.6477 681333
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 2.85248e-10 1.38737e-10 1.46511e-10 0.513627 0.902675 0 0
0.0525665 2.88173e-10 1.3993e-10 1.48243e-10 0.514424 0.895009 0 0
0.0552647 2.91951e-10 1.40451e-10 1.515e-10 0.518921 0.884484 0 0
0.0581015 2.98068e-10 1.40999e-10 1.57069e-10 0.526956 0.869524 0 0
0.0610839 3.06463e-10 1.43104e-10 1.63359e-10 0.533046 0.853232 0 0
0.0642193 3.15494e-10 1.46934e-10 1.6856e-10 0.534273 0.839742 0 0
0.0675157 3.24309e-10 1.51819e-10 1.7249e-10 0.53187 0.829636 0 0
0.0709813 3.32518e-10 1.57202e-10 1.75316e-10 0.527237 0.822316 0 0
0.0746248 3.39767e-10 1.6265e-10 1.77117e-10 0.521289 0.817206 0 0
0.0784553 3.45519e-10 1.6793e-10 1.7759e-10 0.513979 0.814465 0 0
0.0824824 3.4916e-10 1.73063e-10 1.76097e-10 0.504344 0.815283 0 0
0.0867162 3.50521e-10 1.75981e-10 1.7454e-10 0.497945 0.813589 0 0
0.0911674 3.55701e-10 1.78397e-10 1.77304e-10 0.498465 0.803613 0 0
0.095847 3.61268e-10 1.81738e-10 1.7953e-10 0.496945 0.795575 0 0
0.100767 3.65352e-10 1.84856e-10 1.80496e-10 0.494033 0.789206 0 0
0.105939 3.6868e-10 1.88666e-10 1.80013e-10 0.488265 0.786427 0 0
0.111377 3.71828e-10 1.92842e-10 1.78986e-10 0.481367 0.784619 0 0
0.117094 3.75324e-10 1.9671e-10 1.78614e-10 0.475894 0.779926 0 0
0.123105 3.78884e-10 2.00031e-10 1.78853e-10 0.472051 0.772417 0 0
0.129424 3.83116e-10 2.03143e-10 1.79973e-10 0.469761 0.763067 0 0
0.136067 3.88877e-10 2.06833e-10 1.82044e-10 0.468127 0.753041 0 0
0.143051 3.95666e-10 2.11464e-10 1.84202e-10 0.465549 0.74078 0 0
0.150394 4.05889e-10 2.18288e-10 1.87602e-10 0.462199 0.723462 0 0
0.158114 4.27836e-10 2.19966e-10 2.0787e-10 0.485864 0.685107 0 0
0.16623 4.6779e-10 1.97663e-10 2.70127e-10 0.577453 0.613809 0 0
0.174762 5.17467e-10 1.54947e-10 3.6252e-10 0.700566 0.598007 0 0
0.183733 6.03087e-10 1.32883e-10 4.70204e-10 0.779661 0.635676 0 0
0.193164 6.37639e-10 1.12347e-10 5.25292e-10 0.823808 0.636432 0 0
0.203079 5.39451e-10 6.75094e-11 4.71942e-10 0.874855 0.577884 0 0
0.213503 4.72183e-10 4.05505e-11 4.31633e-10 0.914121 0.531234 0 0
0.224463 4.53007e-10 3.30009e-11 4.20006e-10 0.927151 0.519376 0 0
0.235984 4.42273e-10 3.381e-11 4.08463e-10 0.923554 0.534586 0 0
0.248097 4.1198e-10 3.61437e-11 3.75837e-10 0.912268 0.561931 0 0
0.260832 3.55819e-10 3.52832e-11 3.20536e-10 0.900839 0.582377 0 0
