# 4.82889e-05 4 69 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 0.0300012 3.49198e+07
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 1.52541e-08 6.49541e-09 8.75873e-09 0.574187 0.93135 0 0
0.0525665 1.52941e-08 6.46168e-09 8.83243e-09 0.577505 0.925672 0 0
0.0552647 1.53397e-08 6.38947e-09 8.95022e-09 0.583468 0.917084 0 0
0.0581015 1.54018e-08 6.27544e-09 9.12633e-09 0.592551 0.90385 0 0
0.0610839 1.54815e-08 6.1749e-09 9.30658e-09 0.601143 0.889067 0 0
0.0642193 1.55681e-08 6.12842e-09 9.43967e-09 0.606347 0.87705 0 0
0.0675157 1.56558e-08 6.13161e-09 9.52419e-09 0.608349 0.868553 0 0
0.0709813 1.57424e-08 6.17403e-09 9.56837e-09 0.607809 0.863151 0 0
0.0746248 1.58253e-08 6.24753e-09 9.57782e-09 0.60522 0.860436 0 0
0.0784553 1.58988e-08 6.35254e-09 9.5463e-09 0.60044 0.860843 0 0
0.0824824 1.59543e-08 6.49816e-09 9.45619e-09 0.592703 0.865783 0 0
0.0867162 1.59933e-08 6.57024e-09 9.4231e-09 0.589189 0.868344 0 0
0.0911674 1.60665e-08 6.56598e-09 9.50048e-09 0.591324 0.862016 0 0
0.095847 1.61391e-08 6.61714e-09 9.52193e-09 0.589992 0.858607 0 0
0.100767 1.6196e-08 6.6855e-09 9.51049e-09 0.587213 0.857774 0 0
0.105939 1.62345e-08 6.78846e-09 9.446e-09 0.581849 0.860966 0 0
0.111377 1.62683e-08 6.88828e-09 9.37998e-09 0.576581 0.865263 0 0
0.117094 1.63078e-08 6.96777e-09 9.34003e-09 0.572734 0.867781 0 0
0.123105 1.63511e-08 7.03551e-09 9.31556e-09 0.569722 0.869172 0 0
