# 0.000208763 4 83 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 0.000661921 2.78887e+12
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 2.79094e-07 1.17636e-07 1.61458e-07 0.578509 0.932485 0 0
0.0525665 2.79357e-07 1.16715e-07 1.62642e-07 0.582202 0.926792 0 0
0.0552647 2.79647e-07 1.15108e-07 1.64539e-07 0.588382 0.918099 0 0
0.0581015 2.80009e-07 1.12647e-07 1.67362e-07 0.597703 0.904596 0 0
0.0610839 2.80449e-07 1.10232e-07 1.70217e-07 0.606945 0.889464 0 0
0.0642193 2.80923e-07 1.08654e-07 1.72268e-07 0.613223 0.877164 0 0
0.0675157 2.81409e-07 1.07903e-07 1.73506e-07 0.616562 0.868492 0 0
0.0709813 2.81898e-07 1.07823e-07 1.74075e-07 0.617511 0.863026 0 0
0.0746248 2.82383e-07 1.083e-07 1.74083e-07 0.616477 0.860361 0 0
0.0784553 2.8284e-07 1.09394e-07 1.73446e-07 0.613231 0.860975 0 0
0.0824824 2.8323e-07 1.11337e-07 1.71893e-07 0.606903 0.866357 0 0
0.0867162 2.83538e-07 1.12206e-07 1.71332e-07 0.604265 0.869262 0 0
0.0911674 2.84012e-07 1.11491e-07 1.72521e-07 0.607442 0.862908 0 0
0.095847 2.84507e-07 1.11708e-07 1.72799e-07 0.607363 0.859661 0 0
0.100767 2.84937e-07 1.12358e-07 1.72579e-07 0.605674 0.859155 0 0
0.105939 2.85276e-07 1.13749e-07 1.71526e-07 0.601265 0.862905 0 0
0.111377 2.85578e-07 1.15124e-07 1.70454e-07 0.596873 0.867789 0 0
0.117094 2.85908e-07 1.16106e-07 1.69802e-07 0.593903 0.870831 0 0
0.123105 2.86257e-07 1.16857e-07 1.694e-07 0.591776 0.872724 0 0
0.129424 2.86624e-07 1.17419e-07 1.69205e-07 0.590337 0.87361 0 0
0.136067 2.87007e-07 1.17773e-07 1.69234e-07 0.589652 0.873299 0 0
0.143051 2.87397e-07 1.1779e-07 1.69607e-07 0.590149 0.870936 0 0
0.150394 2.87693e-07 1.18404e-07 1.69289e-07 0.588436 0.872006 0 0
0.158114 2.8798e-07 1.1982e-07 1.68161e-07 0.583932 0.878182 0 0
0.16623 2.88343e-07 1.2144e-07 1.66903e-07 0.578835 0.885736 0 0
0.174762 2.88776e-07 1.22953e-07 1.65824e-07 0.574229 0.892591 0 0
0.183733 2.89255e-07 1.24363e-07 1.64893e-07 0.57006 0.89871 0 0
0.193164 2.89772e-07 1.25639e-07 1.64133e-07 0.56642 0.903885 0 0
0.203079 2.90328e-07 1.26803e-07 1.63525e-07 0.563243 0.908253 0 0
0.213503 2.90848e-07 1.27829e-07 1.63019e-07 0.560496 0.911866 0 0
0.224463 2.91306e-07 1.28626e-07 1.6268e-07 0.558449 0.914459 0 0
0.235984 2.92255e-07 1.29379e-07 1.62876e-07 0.557308 0.916703 0 0
0.248097 2.92761e-07 1.30135e-07 1.62626e-07 0.555491 0.918278 0 0
0.260832 2.92922e-07 1.30787e-07 1.62136e-07 0.553511 0.919156 0 0
0.274221 2.93405e-07 1.31381e-07 1.62024e-07 0.55222 0.919834 0 0
0.288297 2.95411e-07 1.31909e-07 1.63502e-07 0.553473 0.920923 0 0
0.303095 2.9511e-07 1.32387e-07 1.62722e-07 0.551396 0.920652 0 0
0.318653 2.95858e-07 1.32793e-07 1.63065e-07 0.55116 0.920516 0 0
0.335009 2.97468e-07 1.33164e-07 1.64303e-07 0.552341 0.920711 0 0
0.352205 2.97036e-07 1.33532e-07 1.63504e-07 0.550452 0.919648 0 0
0.370284 2.98707e-07 1.33814e-07 1.64894e-07 0.552024 0.919319 0 0
0.389291 3.00093e-07 1.33939e-07 1.66154e-07 0.553676 0.918502 0 0
0.409273 2.97813e-07 1.34155e-07 1.63658e-07 0.549532 0.915825 0 0
0.430281 3.04209e-07 1.34276e-07 1.69933e-07 0.558605 0.917262 0 0
0.452368 3.00268e-07 1.34226e-07 1.66042e-07 0.55298 0.912803 0 0
0.475588 3.00269e-07 1.33994e-07 1.66275e-07 0.553754 0.910229 0 0
0.5 3.08619e-07 1.33912e-07 1.74707e-07 0.566093 0.911569 0 0
0.525665 3.04674e-07 1.33836e-07 1.70838e-07 0.560723 0.907186 0 0
0.552647 3.00007e-07 1.33876e-07 1.6613e-07 0.553755 0.901809 0 0
0.581015 3.09271e-07 1.33212e-07 1.76059e-07 0.569272 0.902656 0 0
0.610839 3.15697e-07 1.32813e-07 1.82884e-07 0.579303 0.901922 0 0
0.642193 3.07918e-07 1.32068e-07 1.7585e-07 0.571093 0.892602 0 0
0.675157 3.00722e-07 1.32115e-07 1.68607e-07 0.560675 0.883457 0 0
0.709813 3.08613e-07 1.30375e-07 1.78239e-07 0.577547 0.884103 0 0
0.746248 3.23698e-07 1.30203e-07 1.93495e-07 0.597764 0.889515 0 0
0.784553 3.26281e-07 1.30148e-07 1.96133e-07 0.601116 0.887278 0 0
0.824824 3.13046e-07 1.29371e-07 1.83674e-07 0.586733 0.874369 0 0
0.867162 3.0112e-07 1.28341e-07 1.7278e-07 0.57379 0.857845 0 0
0.911674 3.03789e-07 1.27561e-07 1.76228e-07 0.5801 0.852054 0 0
0.95847 3.20659e-07 1.2714e-07 1.93519e-07 0.603504 0.856923 0 0
1.00767 3.39641e-07 1.26286e-07 2.13355e-07 0.628177 0.858059 0 0
1.05939 3.47694e-07 1.25038e-07 2.22656e-07 0.640379 0.851702 0 0
1.11377 3.3975e-07 1.23205e-07 2.16545e-07 0.637365 0.841702 0 0
1.17094 3.1965e-07 1.19304e-07 2.00346e-07 0.626766 0.816936 0 0
1.23105 3.00128e-07 1.17157e-07 1.8297e-07 0.609641 0.792218 0 0
1.29424 2.97219e-07 1.17915e-07 1.79304e-07 0.603273 0.788794 0 0
1.36067 3.13165e-07 1.17079e-07 1.96086e-07 0.626142 0.796735 0 0
1.43051 3.35138e-07 1.16415e-07 2.18723e-07 0.652636 0.817844 0 0
1.50394 3.58106e-07 1.16094e-07 2.42011e-07 0.67581 0.833009 0 0
1.58114 3.83714e-07 1.16027e-07 2.67687e-07 0.697621 0.840518 0 0
1.6623 3.88214e-07 1.15511e-07 2.72703e-07 0.702455 0.8394 6.14085e-301 0
1.74762 3.80592e-07 1.12683e-07 2.67909e-07 0.703928 0.825957 4.67525e-286 0
1.83733 3.67749e-07 1.14337e-07 2.53412e-07 0.68909 0.802947 6.8553e-272 0
1.93164 3.39585e-07 1.13106e-07 2.26479e-07 0.666928 0.752808 1.9706e-258 0
2.03079 3.14126e-07 1.11208e-07 2.02917e-07 0.645975 0.704645 1.22429e-245 0
2.13503 2.99128e-07 1.12777e-07 1.86351e-07 0.622982 0.634553 1.83811e-233 0
2.24463 2.7899e-07 1.12096e-07 1.66894e-07 0.598208 0.543902 6.80093e-222 0
2.35984 2.93584e-07 1.07914e-07 1.8567e-07 0.632425 0.542706 6.55601e-211 0
2.48097 3.03644e-07 1.17972e-07 1.85672e-07 0.611478 0.511386 2.05847e-200 0
2.60832 3.07454e-07 1.00295e-07 2.07159e-07 0.673788 0.529873 1.53217e-190 0
2.74221 3.61123e-07 1.03584e-07 2.57539e-07 0.713163 0.580302 4.47577e-181 0
2.88297 3.93281e-07 1.12105e-07 2.81176e-07 0.714949 0.590795 4.67709e-172 0
3.03095 4.04806e-07 9.42461e-08 3.1056e-07 0.767182 0.635442 1.36584e-163 0
3.18653 4.69311e-07 9.44608e-08 3.7485e-07 0.798725 0.671319 1.79831e-155 0
3.35009 5.15245e-07 1.03424e-07 4.11821e-07 0.799272 0.674277 1.02577e-147 0
3.52205 5.0257e-07 9.27237e-08 4.09846e-07 0.815501 0.680447 1.9877e-140 0
3.70284 5.25052e-07 8.40323e-08 4.41019e-07 0.839954 0.713563 1.68621e-133 0
3.89291 5.68306e-07 8.67981e-08 4.81508e-07 0.847269 0.727564 7.35557e-127 0
4.09273 5.75983e-07 8.97198e-08 4.86263e-07 0.844232 0.718424 1.50604e-120 0
4.30281 5.35971e-07 8.04904e-08 4.55481e-07 0.849823 0.701167 1.30252e-114 0
4.52368 5.13515e-07 7.20717e-08 4.41444e-07 0.85965 0.703859 5.66806e-109 0
4.75588 5.12279e-07 7.09985e-08 4.41281e-07 0.861407 0.718529 1.41446e-103 0
5 5.00657e-07 7.29125e-08 4.27745e-07 0.854367 0.727639 1.98009e-98 0
5.25665 4.56397e-07 7.12052e-08 3.85192e-07 0.843984 0.7185 1.46204e-93 0
5.52648 3.97481e-07 6.49257e-08 3.32555e-07 0.836657 0.690122 5.75287e-89 0
5.81015 3.4821e-07 5.9598e-08 2.88612e-07 0.828845 0.65989 1.33707e-84 0
6.10839 3.0971e-07 5.76734e-08 2.52036e-07 0.813782 0.643807 1.97248e-80 0
6.42193 2.70599e-07 5.73293e-08 2.1327e-07 0.788139 0.644631 1.84515e-76 0
6.75157 2.21732e-07 5.538e-08 1.66352e-07 0.750239 0.652953 1.05988e-72 0
7.09813 1.64496e-07 5.09931e-08 1.13502e-07 0.690003 0.649161 3.75087e-69 0
7.46248 1.13361e-07 5.2006e-08 6.1355e-08 0.541235 0.61027 9.70563e-66 0
7.84553 1.03839e-07 7.69031e-08 2.69357e-08 0.259399 0.546095 2.45346e-62 0
8.24824 1.46715e-07 1.20427e-07 2.62876e-08 0.179175 0.495828 4.51066e-59 0
8.67162 1.93821e-07 1.53021e-07 4.07993e-08 0.210501 0.457352 4.70759e-56 0
9.11674 2.54254e-07 1.87331e-07 6.69233e-08 0.263214 0.421362 3.3694e-53 0
9.5847 3.1214e-07 2.14605e-07 9.7535e-08 0.312472 0.390044 1.63348e-50 0
10.0767 3.37708e-07 2.23631e-07 1.14077e-07 0.337798 0.354267 5.29611e-48 0
10.5939 3.59992e-07 2.28858e-07 1.31134e-07 0.36427 0.319178 1.25879e-45 0
11.1377 3.66992e-07 2.29241e-07 1.37752e-07 0.375353 0.296885 2.21722e-43 0
11.7094 3.67019e-07 2.27488e-07 1.39531e-07 0.380173 0.281863 2.96938e-41 0
12.3105 3.54706e-07 2.18997e-07 1.35709e-07 0.382597 0.276422 2.99947e-39 0
12.9424 3.19463e-07 1.97346e-07 1.22117e-07 0.382258 0.272564 2.23223e-37 0
13.6067 2.59299e-07 1.61531e-07 9.77683e-08 0.377048 0.254458 1.20168e-35 0
14.3051 2.00903e-07 1.32694e-07 6.82088e-08 0.339511 0.21527 5.22785e-34 0
15.0394 1.7968e-07 1.30371e-07 4.93086e-08 0.274425 0.17879 2.21375e-32 0
15.8114 1.7837e-07 1.3837e-07 4e-08 0.224253 0.151688 8.32415e-31 0
16.623 1.87238e-07 1.50933e-07 3.63053e-08 0.193899 0.130067 2.6699e-29 0
17.4762 1.99594e-07 1.63583e-07 3.6011e-08 0.180422 0.112519 7.12604e-28 0
18.3733 2.08617e-07 1.71683e-07 3.6934e-08 0.177042 0.0984784 1.55601e-26 0
19.3164 2.07603e-07 1.70736e-07 3.6867e-08 0.177584 0.0881673 2.74222e-25 0
20.3079 1.93962e-07 1.59759e-07 3.42031e-08 0.176339 0.0816423 3.90377e-24 0
