# 0.000659502 4 94 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 5.5808e-05 9.60444e+23
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 2.75937e-06 1.16447e-06 1.5949e-06 0.577995 0.932139 0 0
0.0525665 2.76055e-06 1.15461e-06 1.60594e-06 0.581745 0.926382 0 0
0.0552647 2.7618e-06 1.13803e-06 1.62378e-06 0.587941 0.917575 0 0
0.0581015 2.76331e-06 1.1128e-06 1.65051e-06 0.597295 0.90388 0 0
0.0610839 2.76507e-06 1.08755e-06 1.67753e-06 0.606685 0.888526 0 0
0.0642193 2.76694e-06 1.07019e-06 1.69675e-06 0.613222 0.876043 0 0
0.0675157 2.76887e-06 1.06077e-06 1.7081e-06 0.616894 0.86724 0 0
0.0709813 2.77083e-06 1.05781e-06 1.71302e-06 0.618232 0.861693 0 0
0.0746248 2.7728e-06 1.06024e-06 1.71256e-06 0.617628 0.858995 0 0
0.0784553 2.7747e-06 1.06872e-06 1.70598e-06 0.614833 0.859637 0 0
0.0824824 2.77643e-06 1.08573e-06 1.69071e-06 0.608949 0.865142 0 0
0.0867162 2.77789e-06 1.09301e-06 1.68488e-06 0.606532 0.868109 0 0
0.0911674 2.77991e-06 1.08406e-06 1.69585e-06 0.610038 0.861655 0 0
0.095847 2.78204e-06 1.08379e-06 1.69825e-06 0.610434 0.858386 0 0
0.100767 2.784e-06 1.08805e-06 1.69595e-06 0.609177 0.857919 0 0
0.105939 2.7857e-06 1.09993e-06 1.68577e-06 0.605151 0.861801 0 0
0.111377 2.78725e-06 1.11198e-06 1.67527e-06 0.601046 0.866828 0 0
0.117094 2.78891e-06 1.12013e-06 1.66878e-06 0.598362 0.86998 0 0
0.123105 2.79066e-06 1.12596e-06 1.6647e-06 0.596526 0.871964 0 0
