# wave A(l)/A(V) unc
1.00088e-01 5.79159e+00 2.89580e-01
1.00204e-01 5.77657e+00 2.88828e-01
1.00320e-01 5.76150e+00 2.88075e-01
1.00437e-01 5.74648e+00 2.87324e-01
1.00554e-01 5.73148e+00 2.86574e-01
1.00670e-01 5.71649e+00 2.85824e-01
1.00787e-01 5.70153e+00 2.85076e-01
1.00904e-01 5.68656e+00 2.84328e-01
1.01022e-01 5.67164e+00 2.83582e-01
1.01139e-01 5.65674e+00 2.82837e-01
1.01256e-01 5.64185e+00 2.82092e-01
1.01374e-01 5.62699e+00 2.81349e-01
1.01492e-01 5.61216e+00 2.80608e-01
1.01610e-01 5.59737e+00 2.79868e-01
1.01728e-01 5.58257e+00 2.79129e-01
1.01846e-01 5.56785e+00 2.78392e-01
1.01964e-01 5.55312e+00 2.77656e-01
1.02083e-01 5.53843e+00 2.76921e-01
1.02201e-01 5.52377e+00 2.76188e-01
1.02320e-01 5.50914e+00 2.75457e-01
1.02439e-01 5.49455e+00 2.74727e-01
1.02558e-01 5.47999e+00 2.73999e-01
1.02677e-01 5.46546e+00 2.73273e-01
1.02796e-01 5.45097e+00 2.72548e-01
1.02916e-01 5.43651e+00 2.71825e-01
1.03035e-01 5.42208e+00 2.71104e-01
1.03155e-01 5.40769e+00 2.70385e-01
1.03275e-01 5.39333e+00 2.69667e-01
1.03395e-01 5.37904e+00 2.68952e-01
1.03515e-01 5.36475e+00 2.68237e-01
1.03635e-01 5.35053e+00 2.67526e-01
1.03755e-01 5.33633e+00 2.66817e-01
1.03876e-01 5.32218e+00 2.66109e-01
1.03996e-01 5.30805e+00 2.65403e-01
1.04117e-01 5.29399e+00 2.64700e-01
1.04238e-01 5.27997e+00 2.63999e-01
1.04359e-01 5.26598e+00 2.63299e-01
1.04480e-01 5.25202e+00 2.62601e-01
1.04602e-01 5.23813e+00 2.61907e-01
1.04723e-01 5.22428e+00 2.61214e-01
1.04845e-01 5.21045e+00 2.60523e-01
1.04967e-01 5.19666e+00 2.59833e-01
1.05089e-01 5.18294e+00 2.59147e-01
1.05211e-01 5.16925e+00 2.58463e-01
1.05333e-01 5.15563e+00 2.57781e-01
1.05455e-01 5.14204e+00 2.57102e-01
1.05578e-01 5.12848e+00 2.56424e-01
1.05700e-01 5.11500e+00 2.55750e-01
1.05823e-01 5.10154e+00 2.55077e-01
1.05946e-01 5.08812e+00 2.54406e-01
1.06069e-01 5.07477e+00 2.53738e-01
1.06192e-01 5.06144e+00 2.53072e-01
1.06316e-01 5.04819e+00 2.52409e-01
1.06439e-01 5.03497e+00 2.51748e-01
1.06563e-01 5.02178e+00 2.51089e-01
1.06686e-01 5.00866e+00 2.50433e-01
1.06810e-01 4.99558e+00 2.49779e-01
1.06934e-01 4.98256e+00 2.49128e-01
1.07059e-01 4.96957e+00 2.48478e-01
1.07183e-01 4.95665e+00 2.47832e-01
1.07308e-01 4.94376e+00 2.47188e-01
1.07432e-01 4.93094e+00 2.46547e-01
1.07557e-01 4.91816e+00 2.45908e-01
1.07682e-01 4.90541e+00 2.45270e-01
1.07807e-01 4.89272e+00 2.44636e-01
1.07932e-01 4.88010e+00 2.44005e-01
1.08058e-01 4.86749e+00 2.43374e-01
1.08183e-01 4.85497e+00 2.42748e-01
1.08309e-01 4.84245e+00 2.42122e-01
1.08434e-01 4.83003e+00 2.41502e-01
1.08560e-01 4.81761e+00 2.40881e-01
1.08687e-01 4.80526e+00 2.40263e-01
1.08813e-01 4.79298e+00 2.39649e-01
1.08939e-01 4.78073e+00 2.39037e-01
1.09066e-01 4.76851e+00 2.38426e-01
1.09192e-01 4.75636e+00 2.37818e-01
1.09319e-01 4.74425e+00 2.37212e-01
1.09446e-01 4.73220e+00 2.36610e-01
1.09573e-01 4.72018e+00 2.36009e-01
1.09701e-01 4.70820e+00 2.35410e-01
1.09828e-01 4.69629e+00 2.34814e-01
1.09956e-01 4.68440e+00 2.34220e-01
1.10083e-01 4.67259e+00 2.33629e-01
1.10211e-01 4.66081e+00 2.33040e-01
1.10339e-01 4.64909e+00 2.32455e-01
1.10467e-01 4.63738e+00 2.31869e-01
1.10596e-01 4.62576e+00 2.31288e-01
1.10724e-01 4.61415e+00 2.30708e-01
1.10853e-01 4.60260e+00 2.30130e-01
1.10981e-01 4.59109e+00 2.29554e-01
1.11110e-01 4.57964e+00 2.28982e-01
1.11239e-01 4.56512e+00 2.28256e-01
1.11369e-01 4.55079e+00 2.27540e-01
1.11498e-01 4.53673e+00 2.26837e-01
1.11627e-01 4.52288e+00 2.26144e-01
1.11757e-01 4.50929e+00 2.25464e-01
1.11887e-01 4.49590e+00 2.24795e-01
1.12017e-01 4.48278e+00 2.24139e-01
1.12147e-01 4.46986e+00 2.23493e-01
1.12277e-01 4.45718e+00 2.22859e-01
1.12408e-01 4.44472e+00 2.22236e-01
1.12538e-01 4.43247e+00 2.21624e-01
1.12669e-01 4.42046e+00 2.21023e-01
1.12800e-01 4.40868e+00 2.20434e-01
1.12931e-01 4.39710e+00 2.19855e-01
1.13062e-01 4.38575e+00 2.19288e-01
1.13193e-01 4.37464e+00 2.18732e-01
1.13325e-01 4.36373e+00 2.18186e-01
1.13456e-01 4.35302e+00 2.17651e-01
1.13588e-01 4.34254e+00 2.17127e-01
1.13720e-01 4.33227e+00 2.16613e-01
1.13852e-01 4.32219e+00 2.16110e-01
1.13984e-01 4.31235e+00 2.15618e-01
1.14117e-01 4.30271e+00 2.15136e-01
1.14249e-01 4.29327e+00 2.14664e-01
1.14382e-01 4.28403e+00 2.14202e-01
1.14515e-01 4.27503e+00 2.13752e-01
1.14648e-01 4.26623e+00 2.13311e-01
1.14781e-01 4.25759e+00 2.12880e-01
1.14914e-01 4.24919e+00 2.12460e-01
1.15048e-01 4.23939e+00 2.11969e-01
1.15182e-01 4.22921e+00 2.11461e-01
1.15315e-01 4.21910e+00 2.10955e-01
1.15449e-01 4.20906e+00 2.10453e-01
1.15583e-01 4.19905e+00 2.09953e-01
1.15718e-01 4.18911e+00 2.09456e-01
1.15852e-01 4.17924e+00 2.08962e-01
1.15987e-01 4.16940e+00 2.08470e-01
1.16121e-01 4.15959e+00 2.07980e-01
1.16256e-01 4.14985e+00 2.07493e-01
1.16391e-01 4.14025e+00 2.07012e-01
1.16526e-01 4.13071e+00 2.06535e-01
1.16662e-01 4.12124e+00 2.06062e-01
1.16797e-01 4.11180e+00 2.05590e-01
1.16933e-01 4.10239e+00 2.05120e-01
1.17069e-01 4.09305e+00 2.04653e-01
1.17205e-01 4.08375e+00 2.04187e-01
1.17341e-01 4.07451e+00 2.03726e-01
1.17477e-01 4.06527e+00 2.03264e-01
1.17614e-01 4.05610e+00 2.02805e-01
1.17750e-01 4.04707e+00 2.02353e-01
1.17887e-01 4.03813e+00 2.01907e-01
1.18024e-01 4.02923e+00 2.01461e-01
1.18161e-01 4.02039e+00 2.01020e-01
1.18298e-01 4.01156e+00 2.00578e-01
1.18436e-01 4.00279e+00 2.00139e-01
1.18573e-01 3.99405e+00 1.99703e-01
1.18711e-01 3.98535e+00 1.99267e-01
1.18849e-01 3.97668e+00 1.98834e-01
1.18987e-01 3.96808e+00 1.98404e-01
1.19125e-01 3.95958e+00 1.97979e-01
1.19263e-01 3.95121e+00 1.97560e-01
1.19402e-01 3.94291e+00 1.97145e-01
1.19541e-01 3.93461e+00 1.96730e-01
1.19680e-01 3.92637e+00 1.96319e-01
1.19819e-01 3.91817e+00 1.95909e-01
1.19958e-01 3.91001e+00 1.95500e-01
1.20097e-01 3.90187e+00 1.95094e-01
1.20237e-01 3.89377e+00 1.94689e-01
1.20376e-01 3.88571e+00 1.94285e-01
1.20516e-01 3.87771e+00 1.93885e-01
1.20656e-01 3.86991e+00 1.93495e-01
1.20796e-01 3.86214e+00 1.93107e-01
1.20936e-01 3.85441e+00 1.92721e-01
1.21077e-01 3.84671e+00 1.92336e-01
1.21218e-01 3.83905e+00 1.91953e-01
1.21358e-01 3.83145e+00 1.91573e-01
1.21499e-01 3.82385e+00 1.91193e-01
1.21640e-01 3.81629e+00 1.90815e-01
1.21782e-01 3.80876e+00 1.90438e-01
1.21923e-01 3.80126e+00 1.90063e-01
1.22065e-01 3.79400e+00 1.89700e-01
1.22207e-01 3.78680e+00 1.89340e-01
1.22349e-01 3.77967e+00 1.88984e-01
1.22491e-01 3.77255e+00 1.88627e-01
1.22633e-01 3.76548e+00 1.88274e-01
1.22775e-01 3.75842e+00 1.87921e-01
1.22918e-01 3.75143e+00 1.87571e-01
1.23061e-01 3.74443e+00 1.87222e-01
1.23204e-01 3.73750e+00 1.86875e-01
1.23347e-01 3.73057e+00 1.86529e-01
1.23490e-01 3.72375e+00 1.86187e-01
1.23633e-01 3.71715e+00 1.85858e-01
1.23777e-01 3.71059e+00 1.85530e-01
