# wave A(l)/A(V) unc
1.00000e-01 4.95826e+00 4.95826e-01
1.00989e-01 4.84412e+00 4.84412e-01
1.01998e-01 4.73310e+00 4.73310e-01
1.03027e-01 4.62515e+00 4.62515e-01
1.04078e-01 4.52024e+00 4.52024e-01
1.05150e-01 4.41831e+00 4.41831e-01
1.06244e-01 4.31934e+00 4.31934e-01
1.07361e-01 4.22328e+00 4.22328e-01
1.08502e-01 4.13010e+00 4.13010e-01
1.09668e-01 4.03975e+00 4.03975e-01
1.10859e-01 3.95220e+00 3.95220e-01
1.12075e-01 3.86740e+00 3.86740e-01
1.13319e-01 3.78532e+00 3.78532e-01
1.14591e-01 3.70593e+00 3.70593e-01
1.15892e-01 3.62918e+00 3.62918e-01
1.17223e-01 3.55503e+00 3.55503e-01
1.18584e-01 3.48347e+00 3.48347e-01
1.19978e-01 3.41443e+00 3.41443e-01
1.21405e-01 3.34791e+00 3.34791e-01
1.22866e-01 3.28385e+00 3.28385e-01
1.24362e-01 3.22223e+00 3.22223e-01
1.25896e-01 3.16302e+00 3.16302e-01
1.27468e-01 3.10619e+00 3.10619e-01
1.29079e-01 3.05171e+00 3.05171e-01
1.30732e-01 2.99956e+00 2.99956e-01
1.32428e-01 2.94971e+00 2.94971e-01
1.34168e-01 2.90215e+00 2.90215e-01
1.35955e-01 2.85686e+00 2.85686e-01
1.37790e-01 2.81383e+00 2.81383e-01
1.39675e-01 2.77306e+00 2.77306e-01
1.41612e-01 2.73454e+00 2.73454e-01
1.43604e-01 2.69829e+00 2.69829e-01
1.45653e-01 2.66433e+00 2.66433e-01
1.47761e-01 2.63267e+00 2.63267e-01
1.49931e-01 2.60338e+00 2.60338e-01
1.52166e-01 2.57652e+00 2.57652e-01
1.54468e-01 2.55218e+00 2.55218e-01
1.56841e-01 2.53047e+00 2.53047e-01
1.59288e-01 2.51156e+00 2.51156e-01
1.61813e-01 2.49566e+00 2.49566e-01
1.64419e-01 2.48305e+00 2.48305e-01
1.67110e-01 2.47408e+00 2.47408e-01
1.69891e-01 2.46923e+00 2.46923e-01
1.72766e-01 2.46829e+00 2.46829e-01
1.75740e-01 2.47162e+00 2.47162e-01
1.78818e-01 2.48037e+00 2.48037e-01
1.82006e-01 2.49604e+00 2.49604e-01
1.85309e-01 2.52054e+00 2.52054e-01
1.88735e-01 2.55628e+00 2.55628e-01
1.92290e-01 2.60609e+00 2.60609e-01
1.95981e-01 2.67276e+00 2.67276e-01
1.99817e-01 2.75783e+00 2.75783e-01
2.03805e-01 2.85871e+00 2.85871e-01
2.07957e-01 2.96385e+00 2.96385e-01
2.12281e-01 3.04837e+00 3.04837e-01
2.16788e-01 3.07807e+00 3.07807e-01
2.21492e-01 3.02893e+00 3.02893e-01
2.26403e-01 2.90771e+00 2.90771e-01
2.31538e-01 2.74718e+00 2.74718e-01
2.36911e-01 2.58182e+00 2.58182e-01
2.42539e-01 2.43211e+00 2.43211e-01
2.48441e-01 2.30488e+00 2.30488e-01
2.54638e-01 2.19940e+00 2.19940e-01
2.61151e-01 2.11215e+00 2.11215e-01
2.68007e-01 2.03929e+00 2.03929e-01
2.75232e-01 1.97263e+00 1.97263e-01
2.82857e-01 1.91029e+00 1.91029e-01
2.90917e-01 1.85294e+00 1.85294e-01
2.99450e-01 1.79992e+00 1.79992e-01
3.08499e-01 1.75053e+00 1.75053e-01
3.18111e-01 1.70407e+00 1.70407e-01
3.28342e-01 1.65988e+00 1.65988e-01
3.39252e-01 1.61725e+00 1.61725e-01
3.50913e-01 1.57551e+00 1.57551e-01
3.63404e-01 1.53397e+00 1.53397e-01
3.76817e-01 1.49194e+00 1.49194e-01
3.91257e-01 1.44873e+00 1.44873e-01
4.06849e-01 1.40365e+00 1.40365e-01
4.23735e-01 1.35589e+00 1.35589e-01
4.42084e-01 1.30330e+00 1.30330e-01
4.62093e-01 1.24309e+00 1.24309e-01
4.84000e-01 1.17310e+00 1.17310e-01
5.08087e-01 1.09627e+00 1.09627e-01
5.34697e-01 1.01809e+00 1.01809e-01
5.64249e-01 9.43719e-01 1.00000e-01
5.97258e-01 8.72559e-01 1.00000e-01
6.34369e-01 8.00109e-01 1.00000e-01
6.76398e-01 7.26065e-01 1.00000e-01
7.24390e-01 6.51495e-01 1.00000e-01
7.79714e-01 5.77468e-01 1.00000e-01
8.44186e-01 5.05053e-01 1.00000e-01
9.20282e-01 4.35318e-01 1.00000e-01
1.01146e+00 3.69333e-01 1.00000e-01
1.12268e+00 3.08167e-01 1.00000e-01
1.26139e+00 2.52883e-01 1.00000e-01
1.43921e+00 2.04045e-01 1.00000e-01
1.67538e+00 1.61314e-01 1.00000e-01
2.00429e+00 1.24253e-01 1.00000e-01
2.49389e+00 9.24251e-02 1.00000e-01
3.30000e+00 6.53365e-02 1.00000e-01
