# 3.9811e-08 0 2 : grain size, compostion index, size index
# Heating and cooling timescale: 1.6945e+06 0.154657
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.25 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8 8.5 9 9.5 10
# StochasticallyHeated: 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5 EqEm6 StEm6 EqEm7 StEm7 EqEm8 StEm8 EqEm9 StEm9 EqEm10 StEm10 EqEm11 StEm11 EqEm12 StEm12 EqEm13 StEm13 EqEm14 StEm14 EqEm15 StEm15 EqEm16 StEm16 EqEm17 StEm17 EqEm18 StEm18 EqEm19 StEm19 EqEm20 StEm20 EqEm21 StEm21
0.05 7.86498e-17 7.8649e-17 7.6575e-22 9.73619e-06 2.66627e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0525665 8.69313e-17 8.69304e-17 8.4638e-22 9.73619e-06 2.94702e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0552647 9.60847e-17 9.60838e-17 9.35499e-22 9.73619e-06 3.25733e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0581015 1.06202e-16 1.06201e-16 1.034e-21 9.73619e-06 3.60031e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 2.8026e-45 0 2.8026e-45 0 4.2039e-45 0 4.2039e-45 0 5.60519e-45 0 5.60519e-45 0 7.00649e-45 0 7.00649e-45 0 8.40779e-45 0 9.80909e-45
0.0610839 1.17384e-16 1.17383e-16 1.14288e-21 9.73619e-06 3.9794e-05 0 0 0 0 0 1.4013e-45 0 2.8026e-45 0 5.60519e-45 0 8.40779e-45 0 1.26117e-44 0 1.82169e-44 0 2.52234e-44 0 3.22299e-44 0 4.2039e-44 0 5.1848e-44 0 6.30584e-44 0 7.42688e-44 0 8.82818e-44 0 1.02295e-43 0 1.17709e-43 0 1.34525e-43 0 1.52742e-43 0 1.7236e-43 0 1.93379e-43
0.0642193 1.29744e-16 1.29743e-16 1.26322e-21 9.73619e-06 4.39841e-05 0 0 0 0 0 1.68156e-44 0 4.48416e-44 0 8.96831e-44 0 1.5134e-43 0 2.28412e-43 0 3.26503e-43 0 4.4281e-43 0 5.74532e-43 0 7.27274e-43 0 8.99634e-43 0 1.09722e-42 0 1.30321e-42 0 1.52882e-42 0 1.77685e-42 0 2.0459e-42 0 2.33737e-42 0 2.65266e-42 0 2.99177e-42 0 3.35331e-42
0.0675157 1.43406e-16 1.43405e-16 1.39623e-21 9.73619e-06 4.86155e-05 0 0 0 1.4013e-45 0 2.83062e-43 0 7.27274e-43 0 1.42652e-42 0 2.3724e-42 0 3.56771e-42 0 5.0713e-42 0 6.83974e-42 0 8.8478e-42 0 1.11571e-41 0 1.37692e-41 0 1.67413e-41 0 1.98676e-41 0 2.3263e-41 0 2.6996e-41 0 3.10542e-41 0 3.5415e-41 0 4.01472e-41 0 4.52171e-41 0 5.06275e-41
0.0709813 1.58506e-16 1.58504e-16 1.54324e-21 9.73619e-06 5.37344e-05 0 1.26117e-44 0 7.84727e-44 0 4.49116e-42 0 1.08601e-41 0 2.05921e-41 0 3.36115e-41 0 4.99185e-41 0 7.02569e-41 0 9.40622e-41 0 1.21061e-40 0 1.51965e-40 0 1.86825e-40 0 2.26294e-40 0 2.67921e-40 0 3.13084e-40 0 3.62589e-40 0 4.16313e-40 0 4.73951e-40 0 5.3635e-40 0 6.03095e-40 0 6.74198e-40
0.0746248 1.75196e-16 1.75194e-16 1.70574e-21 9.73619e-06 5.93924e-05 0 6.12367e-43 0 3.60554e-42 0 7.62208e-41 0 1.63597e-40 0 2.90398e-40 0 4.55642e-40 0 6.59368e-40 0 9.0946e-40 0 1.19985e-39 0 1.52766e-39 0 1.90036e-39 0 2.31854e-39 0 2.78905e-39 0 3.28609e-39 0 3.82395e-39 0 4.41143e-39 0 5.04718e-39 0 5.72764e-39 0 6.46219e-39 0 7.2461e-39 0 8.0794e-39
0.0784553 1.93643e-16 1.93641e-16 1.88535e-21 9.73619e-06 6.56461e-05 0 2.5009e-41 0 1.37176e-40 0 1.5187e-39 0 2.80053e-39 0 4.49285e-39 0 6.58464e-39 0 9.07692e-39 0 1.20436e-38 0 1.54268e-38 0 1.91997e-38 0 2.34318e-38 0 2.81292e-38 0 3.3355e-38 0 3.88699e-38 0 4.4804e-38 0 5.12423e-38 0 5.81722e-38 0 6.55576e-38 0 7.34894e-38 0 8.19199e-38 0 9.0849e-38
0.0824824 2.14033e-16 2.14031e-16 2.08386e-21 9.73619e-06 7.25583e-05 0 8.49658e-40 0 4.35877e-39 0 3.38366e-38 0 5.57044e-38 0 8.13977e-38 0 1.10801e-37 0 1.43938e-37 0 1.81421e-37 0 2.22757e-37 0 2.67721e-37 0 3.16897e-37 0 3.70334e-37 0 4.28549e-37 0 4.89578e-37 0 5.54457e-37 0 6.23918e-37 0 6.97873e-37 0 7.75994e-37 0 8.59053e-37 0 9.46622e-37 0 1.0387e-36
