# 5.98828e-08 0 5 : grain size, compostion index, size index
# Heating and cooling timescale: 404601 3.20381
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.25 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8 8.5 9 9.5 10
# StochasticallyHeated: 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5 EqEm6 StEm6 EqEm7 StEm7 EqEm8 StEm8 EqEm9 StEm9 EqEm10 StEm10 EqEm11 StEm11 EqEm12 StEm12 EqEm13 StEm13 EqEm14 StEm14 EqEm15 StEm15 EqEm16 StEm16 EqEm17 StEm17 EqEm18 StEm18 EqEm19 StEm19 EqEm20 StEm20 EqEm21 StEm21
0.05 9.11547e-16 9.11398e-16 1.49472e-19 0.000163976 0.000784179 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0525665 1.05569e-15 1.05553e-15 1.60267e-19 0.000151813 0.000698515 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0552647 1.21824e-15 1.21807e-15 1.71698e-19 0.000140939 0.000621997 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0581015 1.43196e-15 1.43178e-15 1.81126e-19 0.000126488 0.000553563 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0610839 1.98831e-15 1.98812e-15 1.92579e-19 9.68555e-05 0.000487525 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0642193 2.51281e-15 2.51259e-15 2.14556e-19 8.53849e-05 0.000421658 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0675157 3.00572e-15 3.00546e-15 2.52128e-19 8.38828e-05 0.000355283 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0709813 3.45337e-15 3.45311e-15 2.60265e-19 7.53654e-05 0.000297832 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0746248 3.22636e-15 3.22613e-15 2.27259e-19 7.04382e-05 0.000256882 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0784553 2.53533e-15 2.53516e-15 1.76287e-19 6.9532e-05 0.000229642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0824824 2.01244e-15 2.01232e-15 1.24007e-19 6.162e-05 0.000214667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0867162 1.68581e-15 1.68572e-15 9.5562e-20 5.66861e-05 0.000206124 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0911674 1.47098e-15 1.4709e-15 8.01666e-20 5.44987e-05 0.000200151 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.095847 1.31644e-15 1.31638e-15 6.36122e-20 4.83214e-05 0.000211025 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.100767 1.15564e-15 1.15559e-15 4.3407e-20 3.75612e-05 0.000246132 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.105939 1.00755e-15 1.00752e-15 3.00756e-20 2.98502e-05 0.000265542 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.111377 8.64673e-16 8.64655e-16 1.83975e-20 2.12768e-05 0.000303911 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.117094 7.32891e-16 7.32879e-16 1.14708e-20 1.56515e-05 0.000278323 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.123105 6.16073e-16 6.16065e-16 7.47443e-21 1.21324e-05 0.000238783 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.129424 5.18233e-16 5.18228e-16 4.80823e-21 9.27812e-06 0.000200823 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.136067 4.6999e-16 4.69987e-16 3.11519e-21 6.62821e-06 0.000169913 0 0 0 1.4013e-45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.143051 4.26572e-16 4.2657e-16 2.04616e-21 4.79675e-06 0.000144941 0 5.60519e-45 0 1.96182e-44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.150394 4.02949e-16 4.02947e-16 1.39398e-21 3.45944e-06 0.000123727 0 9.94922e-44 0 3.96567e-43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.158114 3.98275e-16 3.98274e-16 1.05422e-21 2.64696e-06 0.000105952 0 1.77545e-42 0 7.10038e-42 0 0 0 0 0 0 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 4.2039e-45 0 5.60519e-45 0 7.00649e-45 0 9.80909e-45 0 1.4013e-44
0.16623 4.14098e-16 4.14097e-16 9.73775e-22 2.35156e-06 9.10834e-05 0 2.89396e-41 0 1.15753e-40 0 1.96182e-44 0 2.94273e-44 0 3.92364e-44 0 4.90454e-44 0 5.88545e-44 0 6.86636e-44 0 7.9874e-44 0 8.96831e-44 0 9.94922e-44 0 1.12104e-43 0 1.24716e-43 0 1.4013e-43 0 1.61149e-43 0 1.87774e-43 0 2.2701e-43 0 2.8026e-43 0 3.60134e-43 0 4.77843e-43 0 6.31986e-43
0.174762 4.53678e-16 4.53677e-16 1.17327e-21 2.58613e-06 7.83173e-05 0 4.33754e-40 0 1.73448e-39 0 1.16308e-42 0 1.74462e-42 0 2.32616e-42 0 2.9091e-42 0 3.49063e-42 0 4.07778e-42 0 4.66773e-42 0 5.26888e-42 0 5.88826e-42 0 6.54547e-42 0 7.26153e-42 0 8.06167e-42 0 9.07201e-42 0 1.02393e-41 0 1.189e-41 0 1.40032e-41 0 1.69571e-41 0 2.1168e-41 0 2.64691e-41
0.183733 5.24182e-16 5.2418e-16 1.67534e-21 3.19611e-06 6.67028e-05 0 6.02904e-39 0 2.4087e-38 0 5.9174e-41 0 8.87807e-41 0 1.18401e-40 0 1.48035e-40 0 1.77668e-40 0 2.07487e-40 0 2.37456e-40 0 2.6784e-40 0 2.98887e-40 0 3.31268e-40 0 3.65669e-40 0 4.02796e-40 0 4.46661e-40 0 4.95342e-40 0 5.58738e-40 0 6.35633e-40 0 7.36796e-40 0 8.73539e-40 0 1.03991e-39
0.193164 6.48845e-16 6.48842e-16 2.66117e-21 4.10139e-06 5.55065e-05 0 7.96932e-38 0 3.17439e-37 0 2.66597e-39 0 3.99981e-39 0 5.33418e-39 0 6.66912e-39 0 8.00407e-39 0 9.34624e-39 0 1.06937e-38 0 1.20556e-38 0 1.3439e-38 0 1.48645e-38 0 1.63516e-38 0 1.79185e-38 0 1.96798e-38 0 2.15733e-38 0 2.38713e-38 0 2.65247e-38 0 2.9812e-38 0 3.40085e-38 0 3.89347e-38
0.203079 8.4987e-16 8.49866e-16 4.06135e-21 4.77879e-06 4.4511e-05 0 1.00388e-36 0 3.96226e-36 0 1.05986e-37 0 1.59011e-37 0 2.12055e-37 0 2.65121e-37 0 3.18185e-37 0 3.71502e-37 0 4.24986e-37 0 4.78912e-37 0 5.33465e-37 0 5.89197e-37 0 6.46615e-37 0 7.0612e-37 0 7.7065e-37 0 8.38442e-37 0 9.16219e-37 0 1.0024e-36 0 1.10348e-36 0 1.2255e-36 0 1.36371e-36
0.213503 1.04697e-15 1.04696e-15 4.9835e-21 4.75993e-06 3.42333e-05 0 1.10072e-35 0 4.23521e-35 0 3.33396e-36 0 5.00187e-36 0 6.67037e-36 0 8.33948e-36 0 1.00085e-35 0 1.16846e-35 0 1.33649e-35 0 1.5056e-35 0 1.67617e-35 0 1.84938e-35 0 2.0263e-35 0 2.20758e-35 0 2.3993e-35 0 2.5975e-35 0 2.81554e-35 0 3.04956e-35 0 3.31185e-35 0 3.61306e-35 0 3.94328e-35
0.224463 1.00543e-15 1.00543e-15 4.13995e-21 4.11758e-06 2.53457e-05 0 9.16504e-35 0 3.31719e-34 0 6.93594e-35 0 1.04057e-34 0 1.38767e-34 0 1.73488e-34 0 2.08208e-34 0 2.43057e-34 0 2.77976e-34 0 3.13073e-34 0 3.48397e-34 0 3.84116e-34 0 4.20384e-34 0 4.57262e-34 0 4.95592e-34 0 5.3479e-34 0 5.76639e-34 0 6.20529e-34 0 6.68034e-34 0 7.20417e-34 0 7.76304e-34
0.235984 7.76934e-16 7.76932e-16 2.80811e-21 3.61434e-06 1.80895e-05 0 6.43785e-34 0 2.07583e-33 0 9.92962e-34 0 1.48969e-33 0 1.98657e-33 0 2.48361e-33 0 2.98062e-33 0 3.47928e-33 0 3.97875e-33 0 4.48027e-33 0 4.98421e-33 0 5.49229e-33 0 6.00603e-33 0 6.52569e-33 0 7.05946e-33 0 7.60139e-33 0 8.16808e-33 0 8.75297e-33 0 9.37026e-33 0 1.00304e-32 0 1.07203e-32
0.248097 5.86806e-16 5.86804e-16 1.81747e-21 3.09723e-06 1.38567e-05 0 4.86958e-33 0 1.34589e-32 0 1.19733e-32 0 1.79627e-32 0 2.39538e-32 0 2.99468e-32 0 3.59394e-32 0 4.19498e-32 0 4.79682e-32 0 5.40065e-32 0 6.0067e-32 0 6.61642e-32 0 7.23113e-32 0 7.85075e-32 0 8.48206e-32 0 9.11996e-32 0 9.77765e-32 0 1.04492e-31 0 1.11456e-31 0 1.18744e-31 0 1.26248e-31
0.260832 4.69644e-16 4.69643e-16 1.24812e-21 2.65758e-06 1.44184e-05 0 4.18673e-32 0 1.00725e-31 0 1.32793e-31 0 1.99218e-31 0 2.65662e-31 0 3.32124e-31 0 3.98583e-31 0 4.65219e-31 0 5.31927e-31 0 5.98816e-31 0 6.65893e-31 0 7.33274e-31 0 8.01067e-31 0 8.69235e-31 0 9.38306e-31 0 1.00788e-30 0 1.07893e-30 0 1.15096e-30 0 1.22478e-30 0 1.30089e-30 0 1.37847e-30
0.274221 3.99491e-16 3.9949e-16 9.00219e-22 2.25341e-06 1.92793e-05 0 3.81574e-31 0 8.38842e-31 0 1.36807e-30 0 2.05239e-30 0 2.73688e-30 0 3.42155e-30 0 4.10619e-30 0 4.79247e-30 0 5.47937e-30 0 6.16781e-30 0 6.85774e-30 0 7.55004e-30 0 8.24554e-30 0 8.94373e-30 0 9.64849e-30 0 1.03569e-29 0 1.10756e-29 0 1.18009e-29 0 1.25385e-29 0 1.32912e-29 0 1.40534e-29
0.288297 3.55705e-16 3.55705e-16 6.70967e-22 1.8863e-06 2.58662e-05 0 3.42298e-30 0 7.17135e-30 0 1.29792e-29 0 1.94713e-29 0 2.5965e-29 0 3.24602e-29 0 3.89552e-29 0 4.54643e-29 0 5.19783e-29 0 5.85045e-29 0 6.50417e-29 0 7.1596e-29 0 7.81737e-29 0 8.47693e-29 0 9.14093e-29 0 9.80741e-29 0 1.04807e-28 0 1.11581e-28 0 1.18432e-28 0 1.25379e-28 0 1.32383e-28
0.303095 3.22251e-16 3.22251e-16 5.17038e-22 1.60446e-06 2.90022e-05 0 2.85129e-29 0 5.83435e-29 0 1.10911e-28 0 1.66386e-28 0 2.21875e-28 0 2.77376e-28 0 3.32875e-28 0 3.88483e-28 0 4.44127e-28 0 4.99859e-28 0 5.55664e-28 0 6.11583e-28 0 6.67657e-28 0 7.23839e-28 0 7.80295e-28 0 8.36908e-28 0 8.93933e-28 0 9.51182e-28 0 1.00889e-27 0 1.06715e-27 0 1.12572e-27
