# 3e-08 0 0 : grain size, compostion index, size index
# Heating and cooling timescale: 1.18775e+07 0.00119704
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: ISRF
# Scales: 0.25 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8 8.5 9 9.5 10
# StochasticallyHeated: 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5 EqEm6 StEm6 EqEm7 StEm7 EqEm8 StEm8 EqEm9 StEm9 EqEm10 StEm10 EqEm11 StEm11 EqEm12 StEm12 EqEm13 StEm13 EqEm14 StEm14 EqEm15 StEm15 EqEm16 StEm16 EqEm17 StEm17 EqEm18 StEm18 EqEm19 StEm19 EqEm20 StEm20 EqEm21 StEm21
0.05 7.47499e-17 7.47492e-17 7.47642e-22 1.00019e-05 0.00020986 0 8.73564e-37 0 1.74713e-36 0 3.49426e-36 0 5.24139e-36 0 6.98852e-36 0 8.73566e-36 0 1.04828e-35 0 1.22299e-35 0 1.39771e-35 0 1.57242e-35 0 1.74713e-35 0 1.92185e-35 0 2.09656e-35 0 2.27128e-35 0 2.44599e-35 0 2.62071e-35 0 2.79542e-35 0 2.97014e-35 0 3.14485e-35 0 3.31957e-35 0 3.49428e-35
0.0525665 8.11463e-17 8.11455e-17 7.4734e-22 9.20979e-06 0.000188633 0 1.77928e-35 0 3.55857e-35 0 7.11714e-35 0 1.06757e-34 0 1.42343e-34 0 1.77929e-34 0 2.13515e-34 0 2.49101e-34 0 2.84686e-34 0 3.20272e-34 0 3.55858e-34 0 3.91444e-34 0 4.2703e-34 0 4.62616e-34 0 4.98202e-34 0 5.33788e-34 0 5.69374e-34 0 6.04961e-34 0 6.40547e-34 0 6.76133e-34 0 7.11719e-34
0.0552647 8.82395e-17 8.82387e-17 7.50542e-22 8.50574e-06 0.000169422 0 3.11885e-34 0 6.23769e-34 0 1.24754e-33 0 1.87131e-33 0 2.49508e-33 0 3.11885e-33 0 3.74262e-33 0 4.3664e-33 0 4.99017e-33 0 5.61394e-33 0 6.23772e-33 0 6.86149e-33 0 7.48526e-33 0 8.10904e-33 0 8.73281e-33 0 9.35659e-33 0 9.98037e-33 0 1.06041e-32 0 1.12279e-32 0 1.18517e-32 0 1.24755e-32
0.0581015 9.62542e-17 9.62534e-17 7.58426e-22 7.87941e-06 0.000152038 0 4.74693e-33 0 9.49387e-33 0 1.89877e-32 0 2.84816e-32 0 3.79755e-32 0 4.74694e-32 0 5.69633e-32 0 6.64572e-32 0 7.59511e-32 0 8.54451e-32 0 9.4939e-32 0 1.04433e-31 0 1.13927e-31 0 1.23421e-31 0 1.32915e-31 0 1.42409e-31 0 1.51903e-31 0 1.61397e-31 0 1.70891e-31 0 1.80385e-31 0 1.89879e-31
0.0610839 1.05276e-16 1.05275e-16 7.7148e-22 7.32817e-06 0.000136271 0 6.31525e-32 0 1.26305e-31 0 2.5261e-31 0 3.78915e-31 0 5.05221e-31 0 6.31526e-31 0 7.57832e-31 0 8.84137e-31 0 1.01044e-30 0 1.13675e-30 0 1.26305e-30 0 1.38936e-30 0 1.51567e-30 0 1.64197e-30 0 1.76828e-30 0 1.89458e-30 0 2.02089e-30 0 2.1472e-30 0 2.2735e-30 0 2.39981e-30 0 2.52612e-30
0.0642193 1.15523e-16 1.15522e-16 7.90827e-22 6.84561e-06 0.00012197 0 7.39855e-31 0 1.47971e-30 0 2.95942e-30 0 4.43913e-30 0 5.91885e-30 0 7.39856e-30 0 8.87828e-30 0 1.0358e-29 0 1.18377e-29 0 1.33174e-29 0 1.47972e-29 0 1.62769e-29 0 1.77566e-29 0 1.92363e-29 0 2.0716e-29 0 2.21958e-29 0 2.36755e-29 0 2.51552e-29 0 2.6635e-29 0 2.81147e-29 0 2.95944e-29
0.0675157 1.2713e-16 1.27129e-16 8.17026e-22 6.42672e-06 0.000109002 0 7.6788e-30 0 1.53576e-29 0 3.07152e-29 0 4.60729e-29 0 6.14305e-29 0 7.67882e-29 0 9.21459e-29 0 1.07504e-28 0 1.22861e-28 0 1.38219e-28 0 1.53577e-28 0 1.68934e-28 0 1.84292e-28 0 1.9965e-28 0 2.15008e-28 0 2.30365e-28 0 2.45723e-28 0 2.61081e-28 0 2.76439e-28 0 2.91797e-28 0 3.07154e-28
0.0709813 1.39822e-16 1.39821e-16 8.48807e-22 6.07062e-06 9.7228e-05 0 7.07964e-29 0 1.41593e-28 0 2.83186e-28 0 4.24779e-28 0 5.66372e-28 0 7.07966e-28 0 8.49559e-28 0 9.91153e-28 0 1.13275e-27 0 1.27434e-27 0 1.41593e-27 0 1.55753e-27 0 1.69912e-27 0 1.84072e-27 0 1.98231e-27 0 2.1239e-27 0 2.2655e-27 0 2.40709e-27 0 2.54869e-27 0 2.69028e-27 0 2.83188e-27
0.0746248 1.52526e-16 1.52525e-16 8.8071e-22 5.77417e-06 8.66712e-05 0 5.78811e-28 0 1.15762e-27 0 2.31525e-27 0 3.47287e-27 0 4.6305e-27 0 5.78813e-27 0 6.94575e-27 0 8.10338e-27 0 9.26101e-27 0 1.04186e-26 0 1.15763e-26 0 1.27339e-26 0 1.38915e-26 0 1.50492e-26 0 1.62068e-26 0 1.73644e-26 0 1.85221e-26 0 1.96797e-26 0 2.08373e-26 0 2.1995e-26 0 2.31526e-26
0.0784553 1.57196e-16 1.57195e-16 8.50007e-22 5.40731e-06 7.83108e-05 0 4.01958e-27 0 8.03916e-27 0 1.60783e-26 0 2.41175e-26 0 3.21567e-26 0 4.01959e-26 0 4.82351e-26 0 5.62742e-26 0 6.43134e-26 0 7.23527e-26 0 8.03919e-26 0 8.84311e-26 0 9.64703e-26 0 1.0451e-25 0 1.12549e-25 0 1.20588e-25 0 1.28627e-25 0 1.36667e-25 0 1.44706e-25 0 1.52745e-25 0 1.60784e-25
0.0824824 1.48528e-16 1.48528e-16 7.29196e-22 4.90947e-06 7.23019e-05 0 2.31309e-26 0 4.62618e-26 0 9.25237e-26 0 1.38786e-25 0 1.85048e-25 0 2.3131e-25 0 2.77572e-25 0 3.23834e-25 0 3.70096e-25 0 4.16358e-25 0 4.6262e-25 0 5.08882e-25 0 5.55144e-25 0 6.01406e-25 0 6.47669e-25 0 6.93931e-25 0 7.40193e-25 0 7.86456e-25 0 8.32718e-25 0 8.7898e-25 0 9.25243e-25
0.0867162 1.34297e-16 1.34297e-16 5.97024e-22 4.44554e-06 6.77326e-05 0 1.15717e-25 0 2.31434e-25 0 4.62869e-25 0 6.94303e-25 0 9.25738e-25 0 1.15717e-24 0 1.38861e-24 0 1.62004e-24 0 1.85148e-24 0 2.08291e-24 0 2.31435e-24 0 2.54579e-24 0 2.77722e-24 0 3.00866e-24 0 3.24009e-24 0 3.47153e-24 0 3.70297e-24 0 3.9344e-24 0 4.16584e-24 0 4.39728e-24 0 4.62872e-24
0.0911674 1.17711e-16 1.17711e-16 4.72869e-22 4.0172e-06 6.42442e-05 0 5.12255e-25 0 1.02451e-24 0 2.04902e-24 0 3.07354e-24 0 4.09805e-24 0 5.12256e-24 0 6.14708e-24 0 7.17159e-24 0 8.19611e-24 0 9.22063e-24 0 1.02451e-23 0 1.12697e-23 0 1.22942e-23 0 1.33187e-23 0 1.43432e-23 0 1.53677e-23 0 1.63923e-23 0 1.74168e-23 0 1.84413e-23 0 1.94658e-23 0 2.04904e-23
0.095847 1.01076e-16 1.01076e-16 3.65914e-22 3.62019e-06 6.13969e-05 0 2.03731e-24 0 4.07461e-24 0 8.14923e-24 0 1.22238e-23 0 1.62985e-23 0 2.03731e-23 0 2.44477e-23 0 2.85223e-23 0 3.2597e-23 0 3.66716e-23 0 4.07463e-23 0 4.48209e-23 0 4.88955e-23 0 5.29702e-23 0 5.70448e-23 0 6.11195e-23 0 6.51941e-23 0 6.92688e-23 0 7.33435e-23 0 7.74181e-23 0 8.14928e-23
0.100767 8.57666e-17 8.57663e-17 2.79187e-22 3.25519e-06 5.87587e-05 0 7.37517e-24 0 1.47504e-23 0 2.95007e-23 0 4.42511e-23 0 5.90015e-23 0 7.37519e-23 0 8.85023e-23 0 1.03253e-22 0 1.18003e-22 0 1.32754e-22 0 1.47504e-22 0 1.62254e-22 0 1.77005e-22 0 1.91755e-22 0 2.06506e-22 0 2.21256e-22 0 2.36007e-22 0 2.50757e-22 0 2.65508e-22 0 2.80259e-22 0 2.95009e-22
0.105939 7.23551e-17 7.23549e-17 2.10835e-22 2.91389e-06 5.59779e-05 0 2.45532e-23 0 4.91065e-23 0 9.8213e-23 0 1.4732e-22 0 1.96426e-22 0 2.45533e-22 0 2.9464e-22 0 3.43746e-22 0 3.92853e-22 0 4.4196e-22 0 4.91067e-22 0 5.40174e-22 0 5.8928e-22 0 6.38387e-22 0 6.87494e-22 0 7.36601e-22 0 7.85708e-22 0 8.34815e-22 0 8.83922e-22 0 9.3303e-22 0 9.82137e-22
0.111377 6.09536e-17 6.09534e-17 1.58258e-22 2.59636e-06 5.28812e-05 0 7.58061e-23 0 1.51612e-22 0 3.03225e-22 0 4.54837e-22 0 6.0645e-22 0 7.58062e-22 0 9.09675e-22 0 1.06129e-21 0 1.2129e-21 0 1.36451e-21 0 1.51613e-21 0 1.66774e-21 0 1.81935e-21 0 1.97097e-21 0 2.12258e-21 0 2.27419e-21 0 2.42581e-21 0 2.57742e-21 0 2.72904e-21 0 2.88065e-21 0 3.03226e-21
0.117094 5.14334e-17 5.14333e-17 1.18227e-22 2.29863e-06 4.94324e-05 0 2.18557e-22 0 4.37113e-22 0 8.74227e-22 0 1.31134e-21 0 1.74846e-21 0 2.18557e-21 0 2.62269e-21 0 3.0598e-21 0 3.49692e-21 0 3.93403e-21 0 4.37115e-21 0 4.80826e-21 0 5.24538e-21 0 5.6825e-21 0 6.11962e-21 0 6.55673e-21 0 6.99385e-21 0 7.43097e-21 0 7.86809e-21 0 8.30521e-21 0 8.74233e-21
0.123105 4.37382e-17 4.37381e-17 8.79319e-23 2.01041e-06 4.56614e-05 0 5.9421e-22 0 1.18842e-21 0 2.37684e-21 0 3.56526e-21 0 4.75369e-21 0 5.94211e-21 0 7.13053e-21 0 8.31896e-21 0 9.50738e-21 0 1.06958e-20 0 1.18842e-20 0 1.30727e-20 0 1.42611e-20 0 1.54495e-20 0 1.6638e-20 0 1.78264e-20 0 1.90148e-20 0 2.02033e-20 0 2.13917e-20 0 2.25801e-20 0 2.37686e-20
