# 9.09832e-08 0 9 : grain size, compostion index, size index
# Heating and cooling timescale: 110005 9.83699
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
# StochasticallyHeated: 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 3.18646e-15 3.18463e-15 1.82647e-18 0.000573198 0.00181365 0 0 0 0 0 0 0 0 0 0
0.0525665 3.69049e-15 3.68853e-15 1.95897e-18 0.000530816 0.00161544 0 0 0 0 0 0 0 0 0 0
0.0552647 4.25914e-15 4.25704e-15 2.09931e-18 0.000492897 0.00143838 0 0 0 0 0 0 0 0 0 0
0.0581015 5.01451e-15 5.0123e-15 2.21523e-18 0.000441764 0.00128001 0 0 0 0 0 0 0 0 0 0
0.0610839 6.97536e-15 6.97301e-15 2.35636e-18 0.000337811 0.00112725 0 0 0 0 0 0 0 0 0 0
0.0642193 8.81513e-15 8.8125e-15 2.62695e-18 0.000298004 0.000974937 0 0 0 0 0 0 0 0 0 0
0.0675157 1.05442e-14 1.05412e-14 3.09026e-18 0.000293076 0.000821405 0 0 0 0 0 0 0 0 0 0
0.0709813 1.21144e-14 1.21112e-14 3.19535e-18 0.000263764 0.000688355 0 0 0 0 0 0 0 0 0 0
0.0746248 1.13179e-14 1.13151e-14 2.79478e-18 0.000246934 0.000593456 0 0 0 0 0 0 0 0 0 0
0.0784553 8.89383e-15 8.89166e-15 2.1704e-18 0.000244034 0.000530326 0 0 0 0 0 0 0 0 0 0
0.0824824 7.0594e-15 7.05787e-15 1.52735e-18 0.000216358 0.000495541 0 0 0 0 0 0 0 0 0 0
0.0867162 5.91356e-15 5.91238e-15 1.17687e-18 0.000199012 0.00047565 0 0 0 0 0 0 0 0 0 0
0.0911674 5.15995e-15 5.15897e-15 9.87352e-19 0.000191349 0.000461714 0 0 0 0 0 0 0 0 0 0
0.095847 4.61775e-15 4.61697e-15 7.83668e-19 0.000169707 0.00048667 0 0 0 0 0 0 0 0 0 0
0.100767 4.05357e-15 4.05304e-15 5.34732e-19 0.000131916 0.000567674 0 0 0 0 0 0 0 0 0 0
0.105939 3.53407e-15 3.5337e-15 3.70468e-19 0.000104827 0.000612566 0 0 0 0 0 0 0 0 0 0
0.111377 3.03287e-15 3.03264e-15 2.26553e-19 7.46994e-05 0.000701126 0 0 0 0 0 0 0 0 0 0
0.117094 2.57059e-15 2.57045e-15 1.41215e-19 5.49348e-05 0.000642353 0 0 0 0 0 0 0 0 0 0
0.123105 2.16084e-15 2.16075e-15 9.1999e-20 4.25756e-05 0.000551143 0 0 0 0 0 0 0 0 0 0
0.129424 1.81766e-15 1.8176e-15 5.91734e-20 3.25547e-05 0.000463535 0 0 0 0 0 0 0 0 0 0
0.136067 1.64844e-15 1.6484e-15 3.83335e-20 2.32544e-05 0.000392198 0 0 0 0 0 0 0 0 0 0
0.143051 1.49615e-15 1.49612e-15 2.51767e-20 1.68277e-05 0.000334563 0 0 0 0 0 0 0 0 0 0
0.150394 1.41329e-15 1.41327e-15 1.71507e-20 1.21353e-05 0.000285602 0 0 0 0 0 0 0 0 0 0
0.158114 1.39689e-15 1.39688e-15 1.29694e-20 9.28448e-06 0.000244575 0 0 0 0 0 0 0 0 0 0
0.16623 1.45239e-15 1.45238e-15 1.19785e-20 8.24745e-06 0.000210259 0 0 0 0 0 0 0 0 0 0
0.174762 1.59121e-15 1.5912e-15 1.44307e-20 9.06902e-06 0.000180793 0 0 0 0 0 0 0 0 0 0
0.183733 1.8385e-15 1.83847e-15 2.06038e-20 1.12069e-05 0.000153984 0 0 0 0 0 0 0 0 0 0
0.193164 2.27574e-15 2.27571e-15 3.2727e-20 1.43808e-05 0.00012814 0 0 0 0 0 0 0 0 0 0
0.203079 2.98082e-15 2.98077e-15 4.99548e-20 1.67588e-05 0.000102755 0 0 0 0 0 0 0 0 0 0
0.213503 3.67211e-15 3.67205e-15 6.13181e-20 1.66983e-05 7.90287e-05 0 0 0 0 0 0 0 0 0 0
0.224463 3.52643e-15 3.52638e-15 5.09517e-20 1.44485e-05 5.85126e-05 0 0 0 0 0 0 0 0 0 0
0.235984 2.72499e-15 2.72495e-15 3.45605e-20 1.26828e-05 4.17626e-05 0 0 0 0 0 0 0 0 0 0
0.248097 2.05814e-15 2.05812e-15 2.23665e-20 1.08673e-05 3.1988e-05 0 0 0 0 0 0 0 0 0 0
0.260832 1.64721e-15 1.6472e-15 1.53586e-20 9.32401e-06 3.32758e-05 0 0 0 0 0 0 0 0 0 0
0.274221 1.40116e-15 1.40115e-15 1.10769e-20 7.90551e-06 4.44869e-05 0 0 0 0 0 0 0 0 0 5.60519e-45
0.288297 1.24759e-15 1.24758e-15 8.25564e-21 6.6173e-06 5.96901e-05 0 0 0 0 0 0 0 1.26117e-44 0 1.69557e-43
0.303095 1.13042e-15 1.13041e-15 6.3615e-21 5.62755e-06 6.69323e-05 0 0 0 0 0 4.2039e-45 0 3.96567e-43 0 4.70136e-42
0.318653 9.88129e-16 9.88124e-16 4.95334e-21 5.01285e-06 6.98415e-05 0 0 0 1.4013e-45 0 1.24716e-43 0 9.80208e-42 0 1.0614e-40
0.335009 8.6828e-16 8.68277e-16 3.90143e-21 4.49328e-06 6.86839e-05 0 1.54143e-44 0 7.56701e-44 0 3.19636e-42 0 2.05795e-40 0 2.04425e-39
0.352205 7.5797e-16 7.57967e-16 3.11081e-21 4.10414e-06 6.51739e-05 0 6.78228e-43 0 2.55176e-42 0 6.92129e-41 0 3.65556e-39 0 3.34773e-38
0.370284 6.56989e-16 6.56986e-16 2.50236e-21 3.80884e-06 6.09314e-05 0 2.5278e-41 0 7.6197e-41 0 1.29046e-39 0 5.54045e-38 0 4.69694e-37
0.389291 5.65196e-16 5.65194e-16 2.02842e-21 3.58887e-06 5.68083e-05 0 7.74607e-40 0 2.01266e-39 0 2.11841e-38 0 7.23143e-37 0 5.68933e-36
0.409273 4.82579e-16 4.82578e-16 1.64915e-21 3.41736e-06 5.28053e-05 0 1.96941e-38 0 4.65028e-38 0 3.14446e-37 0 8.2196e-36 0 5.99967e-35
0.430281 4.08645e-16 4.08644e-16 1.34212e-21 3.28432e-06 4.90023e-05 0 4.18552e-37 0 9.30581e-37 0 4.32394e-36 0 8.2464e-35 0 5.55615e-34
0.452368 3.4298e-16 3.42979e-16 1.0921e-21 3.18414e-06 4.50738e-05 0 7.49095e-36 0 1.6041e-35 0 5.58444e-35 0 7.43612e-34 0 4.56781e-33
0.475588 2.85174e-16 2.85174e-16 8.89242e-22 3.11824e-06 4.13115e-05 0 1.13717e-34 0 2.37858e-34 0 6.75938e-34 0 6.16924e-33 0 3.38199e-32
0.5 2.34835e-16 2.34834e-16 7.25973e-22 3.09142e-06 3.77019e-05 0 1.47479e-33 0 3.0394e-33 0 7.56199e-33 0 4.83133e-32 0 2.299e-31
