# 1.89175e-07 0 16 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 11973.7 117.701
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales:  0.5 1 2 5 10
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 2.81083e-14 2.79666e-14 1.41711e-16 0.0050416 0.00793223 0 0 0 0 0 0 0 0 0 0
0.0525665 3.25533e-14 3.24011e-14 1.52237e-16 0.00467655 0.00706397 0 0 0 0 0 0 0 0 0 0
0.0552647 3.75778e-14 3.74144e-14 1.63397e-16 0.00434823 0.00628764 0 0 0 0 0 0 0 0 0 0
0.0581015 4.46929e-14 4.45202e-14 1.72673e-16 0.00386355 0.00559271 0 0 0 0 0 0 0 0 0 0
0.0610839 6.28639e-14 6.26798e-14 1.84097e-16 0.0029285 0.00492394 0 0 0 0 0 0 0 0 0 0
0.0642193 7.94209e-14 7.9215e-14 2.05947e-16 0.00259311 0.00425875 0 0 0 0 0 0 0 0 0 0
0.0675157 9.49973e-14 9.47536e-14 2.43686e-16 0.00256519 0.00358706 0 0 0 0 0 0 0 0 0 0
0.0709813 1.09121e-13 1.08867e-13 2.54418e-16 0.00233152 0.00300076 0 0 0 0 0 0 0 0 0 0
0.0746248 1.01936e-13 1.01711e-13 2.24777e-16 0.00220508 0.00258055 0 0 0 0 0 0 0 0 0 0
0.0784553 8.01022e-14 7.99263e-14 1.75841e-16 0.00219521 0.00230077 0 0 0 0 0 0 0 0 0 0
0.0824824 6.35668e-14 6.34426e-14 1.24126e-16 0.0019527 0.00214455 0 0 0 0 0 0 0 0 0 0
0.0867162 5.32416e-14 5.3146e-14 9.56091e-17 0.00179576 0.00205391 0 0 0 0 0 0 0 0 0 0
0.0911674 4.64537e-14 4.63735e-14 8.0266e-17 0.00172787 0.00198963 0 0 0 0 0 0 0 0 0 0
0.095847 4.15654e-14 4.15016e-14 6.38204e-17 0.00153542 0.00209359 0 0 0 0 0 0 0 0 0 0
0.100767 3.64761e-14 3.64325e-14 4.35522e-17 0.00119399 0.00244253 0 0 0 0 0 0 0 0 0 0
0.105939 3.17944e-14 3.17642e-14 3.01623e-17 0.000948668 0.00263848 0 0 0 0 0 0 0 0 0 0
0.111377 2.72785e-14 2.72601e-14 1.84166e-17 0.000675134 0.00302074 0 0 0 0 0 0 0 0 0 0
0.117094 2.31171e-14 2.31056e-14 1.14606e-17 0.000495762 0.00277379 0 0 0 0 0 0 0 0 0 0
0.123105 1.94303e-14 1.94228e-14 7.45838e-18 0.000383854 0.00238102 0 0 0 0 0 0 0 0 0 0
0.129424 1.63431e-14 1.63383e-14 4.79306e-18 0.000293278 0.00200275 0 0 0 0 0 0 0 0 0 0
0.136067 1.48205e-14 1.48174e-14 3.10311e-18 0.00020938 0.0016947 0 0 0 0 0 0 0 0 0 0
0.143051 1.34506e-14 1.34485e-14 2.03715e-18 0.000151454 0.00144583 0 0 0 0 0 0 0 0 0 0
