# 3.94133e-08 0 1 : grain size, compostion index, size index
# Heating and cooling timescale: 1.62697e+06 0.850337
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
StochasticallyHeated: 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 2.60276e-16 2.60264e-16 1.21855e-20 4.68175e-05 0.000339431 0 0 0 0 0 0 0 0 0 0
0.0525665 3.01425e-16 3.01412e-16 1.30638e-20 4.334e-05 0.000302358 0 0 0 0 0 0 0 0 0 0
0.0552647 3.47822e-16 3.47808e-16 1.39937e-20 4.02323e-05 0.000269245 0 0 0 0 0 0 0 0 0 1.4013e-45
0.0581015 4.08559e-16 4.08544e-16 1.47601e-20 3.61271e-05 0.000239632 0 0 0 0 0 1.4013e-45 0 7.00649e-45 0 2.94273e-44
0.0610839 5.66863e-16 5.66847e-16 1.56902e-20 2.7679e-05 0.00021105 0 1.4013e-45 0 7.00649e-45 0 3.08286e-44 0 2.11596e-43 0 8.82818e-43
0.0642193 7.16399e-16 7.16382e-16 1.74758e-20 2.43939e-05 0.000182537 0 3.64338e-44 0 1.65353e-43 0 7.25873e-43 0 4.97181e-42 0 2.06762e-41
0.0675157 8.56928e-16 8.56908e-16 2.05264e-20 2.39535e-05 0.00015381 0 7.20267e-43 0 3.22579e-42 0 1.40718e-41 0 9.55181e-41 0 3.95766e-40
0.0709813 9.84559e-16 9.84538e-16 2.11735e-20 2.15056e-05 0.000128956 0 1.19839e-41 0 5.28346e-41 0 2.2806e-40 0 1.53375e-39 0 6.3305e-39
0.0746248 9.19841e-16 9.19823e-16 1.84752e-20 2.00852e-05 0.000111247 0 1.4518e-40 0 6.22549e-40 0 2.64494e-39 0 1.75755e-38 0 7.22083e-38
0.0784553 7.22829e-16 7.22815e-16 1.43246e-20 1.98173e-05 9.94657e-05 0 1.40144e-39 0 5.63711e-39 0 2.31497e-38 0 1.50429e-37 0 6.13193e-37
0.0824824 5.73756e-16 5.73746e-16 1.00748e-20 1.75594e-05 9.29951e-05 0 1.44658e-38 0 5.06071e-38 0 1.91556e-37 0 1.17985e-36 0 4.72163e-36
0.0867162 4.80634e-16 4.80627e-16 7.76436e-21 1.61544e-05 8.9308e-05 0 1.86002e-37 0 5.28248e-37 0 1.70451e-36 0 9.26839e-36 0 3.53863e-35
0.0911674 4.19386e-16 4.19379e-16 6.51331e-21 1.55306e-05 8.67327e-05 0 2.8572e-36 0 6.76879e-36 0 1.789e-35 0 7.82274e-35 0 2.69064e-34
0.095847 3.75326e-16 3.75321e-16 5.16777e-21 1.37688e-05 9.14547e-05 0 4.55039e-35 0 9.76081e-35 0 2.2233e-34 0 7.63782e-34 0 2.22589e-33
0.100767 3.29481e-16 3.29478e-16 3.52638e-21 1.07028e-05 0.000106665 0 6.5621e-34 0 1.34932e-33 0 2.84936e-33 0 8.27522e-33 0 2.0416e-32
0.105939 2.87262e-16 2.8726e-16 2.44345e-21 8.50599e-06 0.000115066 0 8.36275e-33 0 1.69133e-32 0 3.45881e-32 0 9.22659e-32 0 2.03981e-31
0.111377 2.46529e-16 2.46527e-16 1.49487e-21 6.06369e-06 0.000131687 0 9.24603e-32 0 1.85791e-31 0 3.75068e-31 0 9.64071e-31 0 2.01682e-30
0.117094 2.08957e-16 2.08956e-16 9.32169e-22 4.46105e-06 0.00012058 0 8.90509e-31 0 1.78475e-30 0 3.5841e-30 0 9.07008e-30 0 1.851e-29
0.123105 1.75651e-16 1.7565e-16 6.07457e-22 3.45832e-06 0.000103446 0 7.53371e-30 0 1.50825e-29 0 3.02216e-29 0 7.59754e-29 0 1.53378e-28
