# 5.97623e-07 0 27 : grain size, compostion index, size index
# Heating and cooling timescale: 377.693 6689.56
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
StochasticallyHeated: 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 7.6309e-13 6.75808e-13 8.72822e-14 0.11438 0.0897355 0 0 0 0 0 0 0 0 0 0
0.0525665 8.72673e-13 7.78018e-13 9.46555e-14 0.108466 0.0802044 0 0 0 0 0 0 0 0 0 0
0.0552647 9.97168e-13 8.94742e-13 1.02425e-13 0.102716 0.0715676 0 0 0 0 0 0 0 0 0 0
0.0581015 1.32846e-12 1.21963e-12 1.08826e-13 0.0819193 0.0636919 0 0 0 0 0 0 0 0 0 0
0.0610839 2.09317e-12 1.97614e-12 1.1703e-13 0.0559103 0.0561805 0 0 0 0 0 0 0 0 0 0
0.0642193 2.63069e-12 2.49746e-12 1.33225e-13 0.0506426 0.0488803 0 0 0 0 0 0 0 0 0 0
0.0675157 3.15014e-12 2.98735e-12 1.62787e-13 0.0516762 0.0414641 0 0 0 0 0 0 0 0 0 0
0.0709813 3.61602e-12 3.43231e-12 1.83709e-13 0.0508044 0.0344007 0 0 0 0 0 0 0 0 0 0
0.0746248 3.38745e-12 3.2067e-12 1.80747e-13 0.0533579 0.0288911 0 0 0 0 0 0 0 0 0 0
0.0784553 2.67696e-12 2.51988e-12 1.57081e-13 0.0586789 0.0250811 0 0 0 0 0 0 0 0 0 0
0.0824824 2.11986e-12 2.0002e-12 1.19665e-13 0.0564495 0.0227007 0 0 0 0 0 0 0 0 0 0
0.0867162 1.7698e-12 1.67556e-12 9.42395e-14 0.0532486 0.021145 0 0 0 0 0 0 0 0 0 0
0.0911674 1.54267e-12 1.46205e-12 8.06293e-14 0.0522659 0.0199269 0 0 0 0 0 0 0 0 0 0
0.095847 1.37475e-12 1.30845e-12 6.62992e-14 0.0482265 0.020392 0 0 0 0 0 0 0 0 0 0
0.100767 1.19477e-12 1.14863e-12 4.61418e-14 0.0386198 0.0235804 0 0 0 0 0 0 0 0 0 0
0.105939 1.03364e-12 1.00145e-12 3.2194e-14 0.0311461 0.0256437 0 0 0 0 0 0 0 0 0 0
0.111377 8.78939e-13 8.59446e-13 1.94928e-14 0.0221776 0.0291647 0 0 0 0 0 0 0 0 0 0
0.117094 7.40393e-13 7.28464e-13 1.19291e-14 0.0161118 0.0274536 0 0 0 0 0 0 0 0 0 0
0.123105 6.20032e-13 6.12354e-13 7.67869e-15 0.0123843 0.0236551 0 0 0 0 0 0 0 0 0 0
0.129424 5.19996e-13 5.15106e-13 4.88957e-15 0.0094031 0.0198997 0 0 0 0 0 0 0 0 0 0
0.136067 4.70301e-13 4.67156e-13 3.14448e-15 0.00668611 0.0168467 0 0 0 0 0 0 0 0 0 0
0.143051 4.26055e-13 4.24e-13 2.05425e-15 0.00482157 0.0143862 0 0 0 0 0 0 0 0 0 0
0.150394 4.01912e-13 4.0052e-13 1.392e-15 0.00346344 0.0122971 0 0 0 0 0 0 0 0 0 0
0.158114 3.96921e-13 3.95875e-13 1.04592e-15 0.00263508 0.0105457 0 0 0 0 0 0 0 0 0 0
0.16623 4.12561e-13 4.11603e-13 9.58152e-16 0.00232245 0.00908028 0 0 0 0 0 0 0 0 0 0
0.174762 4.52085e-13 4.50943e-13 1.14231e-15 0.00252675 0.00782053 0 0 0 0 0 0 0 0 0 0
0.183733 5.22637e-13 5.21021e-13 1.61571e-15 0.00309146 0.00667198 0 0 0 0 0 0 0 0 0 0
0.193164 6.4749e-13 6.44933e-13 2.55703e-15 0.00394915 0.00556004 0 0 0 0 0 0 0 0 0 0
0.203079 8.48688e-13 8.44746e-13 3.9422e-15 0.00464505 0.00445998 0 0 0 0 0 0 0 0 0 0
0.213503 1.04562e-12 1.04066e-12 4.96037e-15 0.00474396 0.00342914 0 0 0 0 0 0 0 0 0 0
0.224463 1.00359e-12 9.99371e-13 4.21407e-15 0.00419902 0.00254317 0 0 0 0 0 0 0 0 0 0
0.235984 7.75119e-13 7.72251e-13 2.86808e-15 0.00370018 0.00182169 0 0 0 0 0 0 0 0 0 0
0.248097 5.85116e-13 5.83269e-13 1.84736e-15 0.00315725 0.00138911 0 0 0 0 0 0 0 0 0 0
0.260832 4.68075e-13 4.66813e-13 1.26197e-15 0.00269609 0.00141758 0 0 0 0 0 0 0 0 0 0
0.274221 3.9799e-13 3.97084e-13 9.0645e-16 0.00227757 0.00186895 0 0 0 0 0 0 0 0 0 0
0.288297 3.54235e-13 3.53562e-13 6.7352e-16 0.00190134 0.00251637 0 0 0 0 0 0 0 0 0 0
0.303095 3.20898e-13 3.2038e-13 5.17883e-16 0.00161386 0.00283649 0 0 0 0 0 0 0 0 0 0
0.318653 2.80495e-13 2.80093e-13 4.02558e-16 0.00143517 0.00297251 0 0 0 0 0 0 0 0 0 0
0.335009 2.46452e-13 2.46135e-13 3.16627e-16 0.00128474 0.0029323 0 0 0 0 0 0 0 0 0 0
0.352205 2.15134e-13 2.14882e-13 2.52175e-16 0.00117218 0.00278807 0 0 0 0 0 0 0 0 0 0
0.370284 1.86478e-13 1.86275e-13 2.02657e-16 0.00108676 0.00261022 0 0 0 0 0 0 0 0 0 0
0.389291 1.60439e-13 1.60275e-13 1.64138e-16 0.00102306 0.00243614 0 0 0 0 0 0 0 0 0 0
0.409273 1.37011e-13 1.36878e-13 1.33352e-16 0.000973292 0.00226639 0 0 0 0 0 0 0 0 0 0
0.430281 1.16055e-13 1.15946e-13 1.08456e-16 0.000934523 0.00210468 0 0 0 0 0 0 0 0 0 0
0.452368 9.74531e-14 9.73649e-14 8.82006e-17 0.000905057 0.001937 0 0 0 0 0 0 0 0 0 0
0.475588 8.10941e-14 8.10223e-14 7.17799e-17 0.000885143 0.0017761 0 0 0 0 0 0 0 0 0 0
0.5 6.68721e-14 6.68135e-14 5.85736e-17 0.000875905 0.00162147 0 0 0 0 0 0 0 0 0 0
0.525665 5.45869e-14 5.4539e-14 4.78505e-17 0.000876593 0.00147509 0 0 0 0 0 0 0 0 0 0
0.552647 4.4081e-14 4.40419e-14 3.91065e-17 0.00088715 0.00134166 0 0 0 0 0 0 0 0 0 0
0.581015 3.521e-14 3.51779e-14 3.21176e-17 0.000912173 0.00121754 0 0 0 0 0 0 0 0 0 0
0.610839 2.77998e-14 2.77734e-14 2.63863e-17 0.000949155 0.00110507 0 0 0 0 0 0 0 0 0 0
0.642193 2.16651e-14 2.16434e-14 2.16746e-17 0.00100044 0.00100302 0 0 0 0 0 0 0 0 0 0
0.675157 1.6644e-14 1.66262e-14 1.78252e-17 0.00107096 0.000910808 0 0 0 0 0 0 0 0 0 0
0.709813 1.25939e-14 1.25792e-14 1.46846e-17 0.001166 0.000828075 0 0 0 0 0 0 0 0 0 0
0.746248 9.33506e-15 9.32296e-15 1.20997e-17 0.00129615 0.000754146 0 0 0 0 0 0 0 0 0 0
0.784553 6.68812e-15 6.67816e-15 9.96689e-18 0.00149024 0.000686995 0 0 0 0 0 0 0 0 0 0
0.824824 4.39764e-15 4.38943e-15 8.20833e-18 0.00186653 0.000626724 0 0 0 0 0 0 0 0 0 0
0.867162 2.32248e-15 2.31572e-15 6.76265e-18 0.00291182 0.000572488 0 0 0 0 0 0 0 0 0 0
0.911674 1.31472e-15 1.30915e-15 5.56869e-18 0.00423566 0.000523419 0 0 0 0 0 0 0 0 0 0
0.95847 8.88038e-16 8.83456e-16 4.58178e-18 0.00515944 0.000479439 0 0 0 0 0 0 0 0 0 0
1.00767 4.54712e-16 4.50941e-16 3.77008e-18 0.00829115 0.000439499 0 0 0 0 0 0 0 0 0 0
1.05939 1.30254e-16 1.27153e-16 3.10092e-18 0.0238068 0.000403271 0 0 0 0 0 0 0 0 0 0
